publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Actuel Marx	0994-4524	1969-6728	1987	1	1				https://www.cairn.info/revue-actuel-marx.htm		revue-actuel-marx		fulltext		Presses Universitaires de France	serial								P
Aden	1638-9867	2649-7263	2007	6	1				https://www.cairn.info/revue-aden.htm		revue-aden		fulltext		Le groupe interdisciplinaire d'études nizaniennes	serial								P
Africultures	1276-2458	2271-1732	2003	54	1				https://www.cairn.info/revue-africultures.htm		revue-africultures		fulltext		Africultures	serial								P
Afrique contemporaine	0002-0478	1782-138X	2003	205	1				https://www.cairn.info/revue-afrique-contemporaine.htm		revue-afrique-contemporaine		fulltext		De Boeck Supérieur	serial								P
Agone	1157-6790	1953-7999	2013	50	1				https://www.cairn.info/revue-agone.htm		revue-agone		fulltext		Agone	serial								P
Allemagne d'aujourd'hui	0002-5712	2551-9409	2013	203	1				https://www.cairn.info/revue-allemagne-d-aujourd-hui.htm		revue-allemagne-d-aujourd-hui		fulltext		Association pour la connaissance de l'Allemagne d'aujourd'hui	serial								P
Annales de Bretagne et des pays de l’Ouest	0399-0826	2108-6443	2018	125	1				https://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm		revue-annales-de-bretagne-et-des-pays-de-l-ouest		fulltext		Presses universitaires de Rennes	serial								P
Annales de démographie historique	0066-2062	1776-2774	2001	101	1				https://www.cairn.info/revue-annales-de-demographie-historique.htm		revue-annales-de-demographie-historique		fulltext		Belin	serial								P
Annales de géographie	0003-4010	1777-5884	2005	641	1				https://www.cairn.info/revue-annales-de-geographie.htm		revue-annales-de-geographie		fulltext		Armand Colin	serial								P
Annales de Normandie	0003-4134	2261-4427	2010		1				https://www.cairn.info/revue-annales-de-normandie.htm		revue-annales-de-normandie		fulltext		Association Les Annales de Normandie	serial								P
Annales des Mines - Gérer et comprendre	0295-4397	2271-7943	2008	91	1				https://www.cairn.info/revue-gerer-et-comprendre.htm		revue-gerer-et-comprendre		fulltext		F.F.E.	serial								P
Annales des Mines - Réalités industrielles	1148-7941	2271-7978	2008	2008	1				https://www.cairn.info/revue-realites-industrielles.htm		revue-realites-industrielles		fulltext		F.F.E.	serial								P
Annales des Mines - Responsabilité et environnement	1268-4783	2271-8052	2008	49	1				https://www.cairn.info/revue-responsabilite-et-environnement.htm		revue-responsabilite-et-environnement		fulltext		F.F.E.	serial								P
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146	2001		1				https://www.cairn.info/revue-annales.htm		revue-annales		fulltext		Éditions de l'EHESS	serial								P
Annales historiques de la Révolution française	0003-4436	1952-403X	2013	371	1				https://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm		revue-annales-historiques-de-la-revolution-francaise		fulltext		Armand Colin	serial								P
