publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Bulletin de psychologie	0007-4403	1968-3766	2005	475	1				https://www.cairn.info/revue-bulletin-de-psychologie.htm		revue-bulletin-de-psychologie		fulltext		Groupe d'études de psychologie	serial								P	157982742
Cahiers de PréAut	1767-3151	2273-2225	2004	1	1				https://www.cairn.info/revue-cahiers-de-preaut.htm		revue-cahiers-de-preaut		fulltext		Érès	serial								P	178719269
Cliniques	2115-8177	1968-3944	2011	1	1				https://www.cairn.info/revue-cliniques.htm		revue-cliniques		fulltext		Érès	serial								P	154901857
Contraste	1254-7689	2259-3780	2005		1				https://www.cairn.info/revue-contraste.htm		revue-contraste		fulltext		Érès	serial								P	166772410
Devenir	1015-8154	2235-2090	2001	13	1				https://www.cairn.info/revue-devenir.htm		revue-devenir		fulltext		Médecine et Hygiène	serial								P	156453371
Dialogue	0242-8962	1961-8662	2001	151	1				https://www.cairn.info/revue-dialogue.htm		revue-dialogue		fulltext		Érès	serial								P	111875161
Études sur la mort	1286-5702	1961-8654	2001	119	1				https://www.cairn.info/revue-etudes-sur-la-mort.htm		revue-etudes-sur-la-mort		fulltext		L’Esprit du temps	serial								P	111983657
Forum	0988-6486	2551-9921	2016	147	1				https://www.cairn.info/revue-forum.htm		revue-forum		fulltext		Champ social	serial								P	197361137
Journal français de psychiatrie	1260-5999	1776-2855	2001	12	1				https://www.cairn.info/revue-journal-francais-de-psychiatrie.htm		revue-journal-francais-de-psychiatrie		fulltext		Érès	serial								P	097559679
La psychiatrie de l'enfant	0079-726X	2102-5320	2001	44	1				https://www.cairn.info/revue-la-psychiatrie-de-l-enfant.htm		revue-la-psychiatrie-de-l-enfant		fulltext		Presses Universitaires de France	serial								P	111181674
L'Autre	1626-5378	2259-4566	2000	1	1				https://www.cairn.info/revue-l-autre.htm		revue-l-autre		fulltext		La Pensée sauvage	serial								P	174290853
Le Carnet PSY	1260-5921	2107-0954	2001	61	1				https://www.cairn.info/revue-le-carnet-psy.htm		revue-le-carnet-psy		fulltext		Éditions Cazaubon	serial								P	139600752
Perspectives Psy	0031-6032	2118-4038	2004	43	1				https://www.cairn.info/revue-perspectives-psy.htm		revue-perspectives-psy		fulltext		EDP Sciences	serial								P	150142404
Pratiques en santé mentale	1286-1286	2426-640X	2014		1				https://www.cairn.info/revue-pratique-en-sante-mentale.htm		revue-pratique-en-sante-mentale		fulltext		Champ social	serial								P	187657408
Psychotropes	1245-2092	1782-1487	2001	7	1				https://www.cairn.info/revue-psychotropes.htm		revue-psychotropes		fulltext		De Boeck Supérieur	serial								P	097586811
Recherche en soins infirmiers	0297-2964	2271-8362	2005	80	1				https://www.cairn.info/revue-recherche-en-soins-infirmiers.htm		revue-recherche-en-soins-infirmiers		fulltext		Association de Recherche en Soins Infirmiers	serial								P	175399247
Revue de psychothérapie psychanalytique de groupe	0297-1194	1776-2863	2001	36	1				https://www.cairn.info/revue-de-psychotherapie-psychanalytique-de-groupe.htm		revue-de-psychotherapie-psychanalytique-de-groupe		fulltext		Érès	serial								P	09884637X
Revue française de psychanalyse	0035-2942	2105-2964	2001	65	1				https://www.cairn.info/revue-francaise-de-psychanalyse.htm		revue-francaise-de-psychanalyse		fulltext		Presses Universitaires de France	serial								P	111200229
Revue internationale de soins palliatifs	1664-1531	2235-2155	2001	16	3				https://www.cairn.info/revue-infokara.htm		revue-infokara		fulltext		Médecine et Hygiène	serial								P	143149709
Savoirs et clinique	1634-3298	1776-2871	2002	1	1				https://www.cairn.info/revue-savoirs-et-cliniques.htm		revue-savoirs-et-cliniques		fulltext		Érès	serial								P	099209225
Spécificités	2256-7186	2426-6272	2008	1	1				https://www.cairn.info/revue-specificites.htm		revue-specificites		fulltext		Champ social	serial								P	184282659
Spirale	1278-4699	1951-6274	2001	17	1				https://www.cairn.info/revue-spirale.htm		revue-spirale		fulltext		Érès	serial								P	099215543
Sud/Nord	1265-2067	1776-288X	2001	14	1				https://www.cairn.info/revue-sud-nord.htm		revue-sud-nord		fulltext		Érès	serial								P	099222272
Topique	0040-9375	1965-0604	2001	74	1				https://www.cairn.info/revue-topique.htm		revue-topique		fulltext		L’Esprit du temps	serial								P	112264441
VST - Vie sociale et traitements	0396-8669	1776-2898	2001	69	1				https://www.cairn.info/revue-vie-sociale-et-traitements.htm		revue-vie-sociale-et-traitements		fulltext		Érès	serial								P	099235749
