publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
1, 2, 3... comptines !									http://www.cairn.info/1-2-3-comptines--9782749207490.htm		ERES_MOREA_2007_01				
1948 : la guerre de Palestine									http://www.cairn.info/1948-la-guerre-de-palestine--9782746702400.htm		AUTRE_ROGAN_2002_01				
À l'école du sujet									http://www.cairn.info/a-l-ecole-du-sujet--9782749202358.htm		ERES_DUMEZ_2003_01				
À l'écoute des bébés et de ceux qui les entourent									http://www.cairn.info/a-l-ecoute-des-bebes-et-de-ceux-qui-les-entourent--9782749206769.htm		ERES_GIAMP_2006_01				
À quoi sert la sociologie&nbsp?									http://www.cairn.info/a-quoi-sert-la-sociologie--9782707144218.htm		DEC_LAHIR_2004_01				
L'ABC de la VAE 									http://www.cairn.info/l-abc-de-la-vae--9782749211091.htm		ERES_BOUTI_2009_01				
Accompagner									http://www.cairn.info/accompagner--9782865868308.htm		ERES_TITRA_2003_01				
Accompagner des personnes en deuil									http://www.cairn.info/accompagner-des-personnes-en-deuil--9782749202228.htm		ERES_BERCO_2004_01				
Accueillir									http://www.cairn.info/accueillir--9782865868292.htm		ERES_MYRIA_2007_01				
Accueillir l'enfant entre 2 et 3 ans									http://www.cairn.info/accueillir-l-enfant-entre-2-et-3-ans--9782749206813.htm		ERES_THOLO_2006_01				
L'action collective en Europe. Collective Action in Europe									http://www.cairn.info/l-action-collective-en-europe-collective-action-in--978272460855.htm		SCPO_BALME_2002_01				
Action publique et économie solidaire									http://www.cairn.info/action-publique-et-economie-solidaire--9782749204895.htm		ERES_LAVIL_2005_01				
L'action sociale à la SNCF 1945-1985									http://www.cairn.info/l-action-sociale-a-la-sncf-1945-1985--9782749206721.htm		ERES_FELLE_2006_01				
L'activité évaluative réinterrogée									http://www.cairn.info/l-activite-evaluative-reinterrogee--9782804136147.htm		DBU_FIGAR_2001_01				
Actualité de l'hystérie									http://www.cairn.info/actualite-de-l-hysterie--9782865868551.htm		ERES_MICHE_2001_01				
Actualité des troubles névrotiques chez l'enfant et l'adolescent									http://www.cairn.info/actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644.htm		ERES_EMMAN_2011_01				
Actualité du trauma									http://www.cairn.info/actualite-du-trauma--9782749200637.htm		ERES_CHEML_2002_01				
Actualités de la psychanalyse chez l’enfant et chez l’adolescent									http://www.cairn.info/actualites-de-la-psychanalyse-chez-l-enfant-et-che--9782749206868.htm		ERES_FORGE_2006_01				
Actualités psychopathologiques de l'adolescence									http://www.cairn.info/actualites-psychopathologiques-de-l-adolescence--9782804104085.htm		DBU_MORHA_2009_01				
Les addictions comportementales									http://www.cairn.info/les-addictions-comportementales--9782804700225.htm		MARD_VARES_2009_01				
L'administrateur ad hoc									http://www.cairn.info/l-administrateur-ad-hoc--9782749200033.htm		ERES_TETU_2002_01				
L'adolescence aujourd'hui									http://www.cairn.info/l-adolescence-aujourd-hui--978274920509.htm		ERES_BRACO_2007_01				
Affliction									http://www.cairn.info/affliction--2825706353.htm		GREU_GUTTO_1999_01				
L'agir adolescent									http://www.cairn.info/l-agir-adolescent--9782865868353.htm		ERES_HOFF_2004_01				
Agir en clinique du travail									http://www.cairn.info/agir-en-clinique-du-travail--9782749211725.htm		ERES_LHUIL_2010_01				
