publication_title	print_identifier	online_identifier	first_author	title_url	publisher_name	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Juges, bourreaux, victimes	9782746712072		Stéphanie Maupas	http://www.cairn.info/juges-bourreaux-victimes--9782746712072 .htm	Autrement	2012-04-01							AUTRE_MAUPA_2008_01											
Guide philosophique pour penser le travail éducatif et médico-social	9782865869695	9782749220598	Alain Boyer	http://www.cairn.info/guide-philosophique-pour-penser-le-travail-2--9782865869695 .htm	ERES	2012-04-01							ERES_BOYER_2001_01											
Guide philosophique pour penser le travail éducatif et médico-social	9782749202341	9782749220611	Alain Boyer	http://www.cairn.info/guide-philosophique-pour-penser-le-travail-3--9782749202341 .htm	ERES	2012-04-01							ERES_BOYER_2003_01											
Le père et ses noms	9782749233529		Pierre Bruno	http://www.cairn.info/le-pere-et-ses-noms--9782749233529 .htm	ERES	2014-08-14							ERES_BRUNO_2012_02											
Patronymies	9782749215662		Marcel Czermak	http://www.cairn.info/patronymies--9782749215662 .htm	ERES	2012-07-01							ERES_CZERM_2012_01											
Jouer pour de vrai	9782749213880		Patrick Delaroche	http://www.cairn.info/jouer-pour-de-vrai--9782749213880 .htm	ERES	2012-07-01							ERES_DELAR_2011_01											
Salomon Resnik	9782749205380		Pierre Delion	http://www.cairn.info/salomon-resnik--9782749205380 .htm	ERES	2012-04-01							ERES_DELIO_2005_01											
Changer en famille	9782749211039	9782749235011	Nathalie Duriez	http://www.cairn.info/changer-en-famille--9782749211039 .htm	ERES	2013-04-02							ERES_DURIE_2009_01											
La psychanalyse comme littérature et thérapie	9782749204888		Antonino Ferro	http://www.cairn.info/la-psychanalyse-comme-litterature-et-therapie--9782749204888 .htm	ERES	2012-04-01							ERES_FERRO_2005_01											
Difficultés et réussites de la vie en établissements pour personnes âgées 	9782749208039		Daniel Alaphilippe	http://www.cairn.info/difficultes-et-reussites-de-la-vie-en-etablissemen--9782749208039 .htm	ERES	2012-04-01							ERES_PERSO_2007_01											
Questions de discipline à l'école	9782749201139	9782749222981	Eirick Prairat	http://www.cairn.info/questions-de-discipline-a-l-ecole--9782749201139 .htm	ERES	2012-04-01							ERES_PRAIR_2007_01											
Voies nouvelles pour les psychothérapies de groupe	9782749238319	9782749239743	François Sacco	http://www.cairn.info/voies-nouvelles-pour-les-psychotherapies-de-groupe--9782749238319 .htm	ERES	2014-08-14							ERES_SACCO_2013_01											
La décision en médecine f?tale	9782749200668	9782749219196	François Sirol	http://www.cairn.info/la-decision-en-medecine-foetale--9782749200668 .htm	ERES	2012-04-01							ERES_SIROL_2002_01											
Le prochain, nouage et dénouage de la jouissance	9782749205441	9782749222523	Isidoro Vegh	http://www.cairn.info/le-prochain-nouage-et-denouage-de-la-jouissance--9782749205441 .htm	ERES	2012-04-01							ERES_VEGH_2006_01											
Vivre et dire sa psychose	9782749207742	9782749224121	Clément Bonnet	http://www.cairn.info/vivre-et-dire-sa-psychose--9782749207742 .htm	ERES	2012-04-01							ERES_VELPR_2007_01											
Construire une éthique en établissements pour personnes âgées	9782749203102	9782749224206	Bernard Laborel	http://www.cairn.info/construire-une-ethique-en-etablissements-pour-pers--9782749203102 .htm	ERES	2012-04-01							ERES_VERCA_2004_01											
Mythologies politiques du cinéma français	9782130500339		Yannick Dehée	http://www.cairn.info/mythologies-politiques-du-cinema-francais--9782130500339.htm	Presses Universitaires de France	2014-07-01							PUF_DEHEE_2000_01											
La voix et la vertu	9782130579946		Sandra Laugier	http://www.cairn.info/la-voix-et-la-vertu--9782130579946.htm	Presses Universitaires de France	2014-07-01							PUF_LAUGI_2010_01											
Jefferson-Madison	9782130506652		Annie Léchenet	http://www.cairn.info/jefferson-madison--9782130506652 .htm	Presses Universitaires de France	2014-07-01							PUF_LECHE_2003_01											
Nietzsche et la biologie	9782130507420		Barbara Stiegler	http://www.cairn.info/nietzsche-et-la-biologie--9782130507420.htm	Presses Universitaires de France	2014-07-01							PUF_STIEG_2001_01											
La politique en France et en Europe	9782724610192	9782724686791	Pascal Perrineau	http://www.cairn.info/la-politique-en-france-et-en-europe--9782724610192 .htm	Presses de Sciences Po	2011-06-09							SCPO_PERRI_2007_02											
