publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	embargo_info	coverage_depth	coverage_notes	publisher_name	title_id	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Le socialisme libéral									http://www.cairn.info/le-socialisme-liberal--9782707147110.htm						DEC_AUDIE_2006_01									
Économie de l’euro									http://www.cairn.info/Economie-de-l-euro--9782707159359.htm						DEC_BENAS_2010_01									
L’économie de l’environnement									http://www.cairn.info/l-economie-de-l-environnement--9782707152343.htm						DEC_BONTE_2007_01									
La crise des dettes souveraines									http://www.cairn.info/la-crise-des-dettes-souveraines--9782707173768.htm						DEC_BREND_2012_01									
Le contrôle de gestion									http://www.cairn.info/le-controle-de-gestion--9782707148889.htm						DEC_BURLA_2006_01									
Les médias en France									http://www.cairn.info/les-medias-en-france--9782707138668.htm						DEC_CHARO_2003_01									
La presse quotidienne									http://www.cairn.info/la-presse-quotidienne--9782707143433.htm						DEC_CHARO_2007_01									
La presse en ligne									http://www.cairn.info/la-presse-en-ligne--9782707157744.htm						DEC_CHARO_2011_01									
Sociologie des relations internationales									http://www.cairn.info/sociologie-des-relations-internationales--9782707150790.htm						DEC_DEVIN_2009_01									
L’économie du Japon									http://www.cairn.info/l-economie-du-japon--9782707147455.htm						DEC_DOURI_2005_01									
Le multiculturalisme									http://www.cairn.info/le-multiculturalisme--9782707143730.htm						DEC_DOYTC_2005_01									
Économie du football professionnel									http://www.cairn.info/economie-du-football-professionnel--9782707166951.htm						DEC_DRUT_2011_01									
Sociologie des villes									http://www.cairn.info/sociologie-des-villes--9782707153159.htm						DEC_FIJAL_2007_01									
L’industrie des médias à l’ère numérique									http://www.cairn.info/l-industrie-des-medias-a-l-ere-numerique--9782707159984.htm						DEC_GABSZ_2010_01									
La gouvernance de la mondialisation									http://www.cairn.info/la-gouvernance-de-la-mondialisation--9782707165015.htm						DEC_GRAZ_2010_01									
Les théories de la reconnaissance									http://www.cairn.info/les-theories-de-la-reconnaissance--9782707157775.htm						DEC_GUEGU_2012_01									
L’économie de l’Afrique									http://www.cairn.info/l-economie-de-l-afrique--9782707159670.htm						DEC_HUGON_2009_01									
Économie de la presse									http://www.cairn.info/economie-de-la-presse--9782707146694.htm						DEC_LEFLO_2007_01									
La Grande Guerre									http://www.cairn.info/la-grande-guerre--9782707158635.htm						DEC_LOEZ_2010_01									
Mondialisation et délocalisation des entreprises									http://www.cairn.info/mondialisation-et-delocalisation-des-entreprises--9782707163387.htm						DEC_MOUHO_2011_01									
Le syndicalisme en France depuis 1945									http://www.cairn.info/le-syndicalisme-en-france-depuis-1945--9782707156068.htm						DEC_MOURI_2008_01									
Sociologie du journalisme									http://www.cairn.info/sociologie-du-journalisme--9782707158277.htm						DEC_NEVEU_2009_01									
La monnaie et ses mécanismes									http://www.cairn.info/la-monnaie-et-ses-mecanismes--9782707152787.htm						DEC_PLIHO_2008_01									
Sociologie de la communication politique									http://www.cairn.info/sociologie-de-la-communication-politique--9782707148612.htm						DEC_RIUTO_2007_01									
Économie bancaire									http://www.cairn.info/Économie-bancaire--9782707152824.htm						DEC_SCIAL_2007_01									
Les hedge funds									http://www.cairn.info/les-hedge-funds--9782707152985.htm						DEC_TEILE_2009_01									
Le système éducatif									http://www.cairn.info/le-systeme-educatif--9782707142252.htm						DEC_VASCO_2006_02									
Sociologie de Bordeaux									http://www.cairn.info/sociologie-de-bordeaux--9782707151445.htm						DEC_VICTO_2007_01									
L’éducation interculturelle									http://www.cairn.info/l-education-interculturelle--9782130585152.htm						PUF_ABDAL_2011_01									
Le communisme									http://www.cairn.info/le-communisme--9782130514510.htm						PUF_ADLER_2001_01									
La psychiatrie du bébé									http://www.cairn.info/la-psychiatrie-du-bebe--9782130567202.htm						PUF_ALVAR_2008_01									
La philosophie du langage									http://www.cairn.info/la-philosophie-du-langage--9782130568896.htm						PUF_AUROU_2008_01									
Le deuil									http://www.cairn.info/le-deuil--9782130590774.htm						PUF_BACQU_2012_01									
Le droit constitutionnel									http://www.cairn.info/le-droit-constitutionnel--9782130572244.htm						PUF_BARAN_2009_01									
L’épistémologie									http://www.cairn.info/l-epistemologie--9782130580775.htm						PUF_BARRE_2010_01									
Les 100 mots de la comptabilité									http://www.cairn.info/les-100-mots-de-la-comptabilite--9782130569299.htm						PUF_BATSC_2009_01									
Histoire du protestantisme									http://www.cairn.info/histoire-du-protestantisme--9782130578765.htm						PUF_BAUBE_2009_02									
Les fichiers de police et de gendarmerie									http://www.cairn.info/les-fichiers-de-police-et-de-gendarmerie--9782130591160.htm						PUF_BAUER_2011_04									
Le sport et les collectivités territoriales									http://www.cairn.info/le-sport-et-les-collectivites-territoriales--9782130582663.htm						PUF_BAYEU_2011_01									
L’Europe des Lumières									http://www.cairn.info/l-europe-des-lumieres--9782130545354.htm						PUF_BEAUR_2004_01									
Les 100 mots de l’épargne									http://www.cairn.info/les-100-mots-de-l-epargne--9782130569251.htm						PUF_BEKER_2010_01									
Le décrochage scolaire									http://www.cairn.info/le-decrochage-scolaire--9782130584414.htm						PUF_BERNA_2011_01									
Histoire constitutionnelle de la France									http://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130549109.htm						PUF_BODIN_2004_01									
L’autoanalyse									http://www.cairn.info/l-autoanalyse--9782130576839.htm						PUF_BONNE_2010_01									
La politique de santé en France									http://www.cairn.info/la-politique-de-sante-en-france--9782130591627.htm						PUF_BONNI_2011_01									
Histoire de la Suisse									http://www.cairn.info/histoire-de-la-suisse--9782130588375.htm						PUF_BOUQU_2011_01									
Les schizophrénies									http://www.cairn.info/les-schizophrenies--9782130591085.htm						PUF_BOURG_2011_01									
Psychologie des conduites à projet									http://www.cairn.info/psychologie-des-conduites-a-projet--9782130543176.htm						PUF_BOUTI_2004_01									
La science politique									http://www.cairn.info/la-science-politique--9782130583585.htm						PUF_BRAUD_2011_01									
title									http://www.cairn.info/l-ethique-du-care--9782130586333.htm						PUF_BRUGE_2011_01									
La sociolinguistique									http://www.cairn.info/la-sociolinguistique--9782130570523.htm						PUF_CALVE_2009_01									
Le luxe									http://www.cairn.info/le-luxe--9782130594772.htm						PUF_CASTA_2012_01									
La naissance du français									http://www.cairn.info/la-naissance-du-francais--9782130564331.htm						PUF_CERQU_2007_01									
Le management interculturel									http://www.cairn.info/le-management-interculturel--9782130583271.htm						PUF_CHEVR_2010_01									
Histoire de Byzance									http://www.cairn.info/histoire-de-byzance--9782130572282.htm						PUF_CHEYN_2009_01									
Les royaumes barbares en Occident									http://www.cairn.info/les-royaumes-barbares-en-occident--9782130575771.htm						PUF_COUME_2010_01									
L'exclusion									http://www.cairn.info/l-exclusion--9782130589181.htm						PUF_DAMON_2011_01									
La politique économique									http://www.cairn.info/la-politique-economique--9782130594734.htm						PUF_DANIE_2012_01									
Les troubles du langage et de la communication chez l’enfant									http://www.cairn.info/les-troubles-du-langage-et-de-la-communication-che--9782130590675.htm						PUF_DANON_2011_01									
L’haptonomie									http://www.cairn.info/l-haptonomie--9782130586586.htm						PUF_DECAN_2011_01									
Le symbole									http://www.cairn.info/le-symbole--9782130530322.htm						PUF_DECHA_2003_01									
Géopolitique du Proche-Orient									http://www.cairn.info/geopolitique-du-proche-orient--9782130581413.htm						PUF_DEFAY_2011_01									
Le facteur humain									http://www.cairn.info/le-facteur-humain--9782130582281.htm						PUF_DEJOU_2010_01									
Le crime contre l'humanité									http://www.cairn.info/le-crime-contre-l-humanite--9782130566038.htm						PUF_DELMA_2009_01									
La couleur									http://www.cairn.info/la-couleur--9782130566557.htm						PUF_DERIB_2008_01									
Homère									http://www.cairn.info/homere--9782130548300.htm						PUF_DEROM_2005_01									
La construction de l’Europe									http://www.cairn.info/la-construction-de-l-europe--9782130552628.htm						PUF_DETEY_2005_01									
Santé et économie en Europe									http://www.cairn.info/sante-et-economie-en-europe--9782130584926.htm						PUF_DINTI_2010_01									
Le Brésil									http://www.cairn.info/le-bresil--9782130570622.htm						PUF_DROUL_2008_01									
Histoire de Genève									http://www.cairn.info/histoire-de-geneve--9782130583677.htm						PUF_DUFOU_2010_01									
Les politiques de l'emploi									http://www.cairn.info/les-politiques-de-l-emploi--9782130561330.htm						PUF_ERHEL_2009_01									
Introduction au droit									http://www.cairn.info/introduction-au-droit--9782130585015.htm						PUF_FABRE_2010_01									
L’acquisition du nombre									http://www.cairn.info/l-acquisition-du-nombre--9782130585084.htm						PUF_FAYOL_2012_01									
La prospective									http://www.cairn.info/la-prospective--9782130543411.htm						PUF_GAUDI_2005_01									
La Kabbale									http://www.cairn.info/la-kabbale--9782130580881.htm						PUF_GOETS_2010_01									
La responsabilité sociale de l’entreprise									http://www.cairn.info/la-responsabilite-sociale-de-l-entreprise--9782130595182.htm						PUF_GOND_2012_01									
Les origines de Rome									http://www.cairn.info/les-origines-de-rome--9782130532194.htm						PUF_GRAND_2003_01									
Les personnes en situation de handicap									http://www.cairn.info/les-personnes-en-situation-de-handicap--9782130578000.htm						PUF_HAMON_2010_01									
La Bourse									http://www.cairn.info/la-bourse--9782130588436.htm						PUF_HAMON_2011_01									
Histoire de la psychiatrie									http://www.cairn.info/histoire-de-la-psychiatrie--9782130586487.htm						PUF_HOCHM_2011_01									
La psychologie de l’enfant									http://www.cairn.info/la-psychologie-de-l-enfant--9782130591597.htm						PUF_HOUDE_2011_02									
Les 100 mots de la finance									http://www.cairn.info/les-100-mots-de-la-finance--9782130590149.htm						PUF_JACQU_2011_01									
Les 100 mots de la crise financière									http://www.cairn.info/les-100-mots-de-la-crise-financiere--9782130590729.htm						PUF_JACQU_2011_02									
La police technique et scientifique									http://www.cairn.info/la-police-technique-et-scientifique--9782130584582.htm						PUF_JALBY_2010_01									
Sociologie du couple									http://www.cairn.info/sociologie-du-couple--9782130583257.htm						PUF_KAUFM_2010_01									
Réseaux sociaux et structures relationnelles									http://www.cairn.info/reseaux-sociaux-et-structures-relationnelles--9782130561125.htm						PUF_LAZEG_2007_01									
La communication dans l’entreprise									http://www.cairn.info/la-communication-dans-l-entreprise--9782130586548.htm						PUF_LEHNI_2011_01									
Histoire du Canada									http://www.cairn.info/histoire-du-canada--9782130584018.htm						PUF_LINTE_2010_01									
La psychologie sociale									http://www.cairn.info/la-psychologie-sociale--9782130574026.htm						PUF_MAISO_2009_01									
La dynamique des groupes									http://www.cairn.info/la-dynamique-des-groupes--9782130592051.htm						PUF_MAISO_2011_01									
La philosophie du corps									http://www.cairn.info/la-philosophie-du-corps--9782130575573.htm						PUF_MARZA_2009_01									
Pythagore et les Pythagoriciens									http://www.cairn.info/pythagore-et-les-pythagoriciens--9782130524595.htm						PUF_MATTE_2001_01									
L’Organisation des Nations Unies									http://www.cairn.info/l-organisation-des-nations-unies--9782130574040.htm						PUF_MESTR_2009_01									
Les finances publiques									http://www.cairn.info/les-finances-publiques--9782130607052.htm						PUF_MORDA_2012_01									
Les politiques publiques de la culture en France									http://www.cairn.info/les-politiques-publiques-de-la-culture-en-france--9782130579038.htm						PUF_MOULI_2010_01									
L’Arménie									http://www.cairn.info/l-armenie--9782130566687.htm						PUF_MOURA_2009_01									
L’identité									http://www.cairn.info/l-identite--9782130589204.htm						PUF_MUCCH_2011_01									
Les politiques publiques									http://www.cairn.info/les-politiques-publiques--9782130591047.htm						PUF_MULLE_2011_01									
Le lien social									http://www.cairn.info/le-lien-social--9782130578307.htm						PUF_PAUGA_2009_01									
Les 100 mots de la banque									http://www.cairn.info/les-100-mots-de-la-banque--9782130585503.htm						PUF_PAUGE_2010_01									
Le chamanisme									http://www.cairn.info/le-chamanisme--9782130582915.htm						PUF_PERRI_2010_01									
Jésus									http://www.cairn.info/jesus--9782130564898.htm						PUF_PERRO_2007_01									
Les histoires de vie									http://www.cairn.info/les-histoires-de-vie--9782130564447.htm						PUF_PINEA_2007_01									
L’ordre maçonnique									http://www.cairn.info/l-ordre-maconnique--9782130532415.htm						PUF_PRAT_2003_01									
Rumeurs et légendes urbaines									http://www.cairn.info/rumeurs-et-legendes-urbaines--9782130553793.htm						PUF_RENAR_2006_01									
La Commune de 1871									http://www.cairn.info/la-commune-de-1871--9782130554622.htm						PUF_ROUGE_2009_01									
L’éthique médicale et la bioéthique									http://www.cairn.info/l-ethique-medicale-et-la-bioethique--9782130586623.htm						PUF_SICAR_2011_01									
Les 100 mots des marchés dérivés									http://www.cairn.info/les-100-mots-des-marches-derives--9782130592921.htm						PUF_SIMON_2012_01									
Le logement social en France									http://www.cairn.info/le-logement-social-en-france--9782130589914.htm						PUF_STEBE_2011_01									
Les figures de style									http://www.cairn.info/les-figures-de-style--9782130545514.htm						PUF_SUHAM_2004_01									
L’esthétique									http://www.cairn.info/l-esthetique--9782130564515.htm						PUF_TALON_2008_01									
Histoire du sport									http://www.cairn.info/histoire-du-sport--9782130592099.htm						PUF_TERRE_2011_01									
La guerre									http://www.cairn.info/la-guerre--9782130573968.htm						PUF_TERTR_2010_01									
Le droit public									http://www.cairn.info/le-droit-public--9782130584902.htm						PUF_TRUCH_2010_01									
Les énergies renouvelables									http://www.cairn.info/les-energies-renouvelables--9782130592303.htm						PUF_VERNI_2012_01									
La mode									http://www.cairn.info/la-mode--9782130580911.htm						PUF_WAQUE_2010_01									
Le droit administratif									http://www.cairn.info/le-droit-administratif--9782130584605.htm						PUF_WEIL_2010_01									
Histoire de l’Union soviétique de Khrouchtchev à Gorbatchev (1953-1991)									http://www.cairn.info/histoire-de-l-union-sovietique-de-khrouchtchev-a-g--9782130542407.htm						PUF_WERTH_2007_01									
Histoire de l’Union soviétique de Lénine à Staline (1917-1953)									http://www.cairn.info/histoire-de-l-union-sovietique-de-lenine-a-staline--9782130561439.htm						PUF_WERTH_2007_02									
