publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Histoire de la Turquie contemporaine	9782707151407	9782707160898	Hamit Bozarslan	http://www.cairn.info/histoire-de-la-turquie-contemporaine--9782707151407.htm	2011-01-01							DEC_BOZAR_2010_01												
L’argumentation dans la communication	9782707147950	9782707161918	Philippe Breton	http://www.cairn.info/l-argumentation-dans-la-communication--9782707147950.htm	2011-01-01							DEC_BRETO_2009_01												
L’euthanasie	9782130607700	9782130622857	Nicolas Aumonier	http://www.cairn.info/l-euthanasie--9782130607700.htm	2013-01-20							PUF_AUMON_2012_01												
L'économie du spectacle vivant	9782130609452	9782130628040	Isabelle Barbéris	http://www.cairn.info/l-economie-du-spectacle-vivant--9782130609452.htm	2013-06-30							PUF_BARBE_2013_01												
Le décrochage scolaire	9782130620327	9782130627043	Pierre-Yves Bernard	http://www.cairn.info/le-decrochage-scolaire--9782130620327.htm	2013-05-28							PUF_BERNA_2013_01												
Les 100 mots de l’économie	9782130591474	9782130606024	Jean-Paul Betbèze	http://www.cairn.info/les-100-mots-de-l-economie--9782130591474.htm	2011-08-16							PUF_BETBE_2011_02												
La politique de santé en France	9782130626824	9782130626831	Bernard Bonnici	http://www.cairn.info/la-politique-de-sante-en-france--9782130626824.htm	2013-11-19							PUF_BONNI_2013_01												
Les 100 mots de la comptabilité	9782130624424	9782130629917	Dominique Bonsergent	http://www.cairn.info/les-100-mots-de-la-comptabilite--9782130624424.htm	2013-09-26							PUF_BONSE_2013_01												
Histoire de la Suisse	9782130621614	9782130629870	Jean-Jacques Bouquet	http://www.cairn.info/histoire-de-la-suisse--9782130621614.htm	2013-08-27							PUF_BOUQU_2013_01												
Les relations internationales	9782130607427	9782130622826	Philippe Braillard	http://www.cairn.info/les-relations-internationales--9782130607427.htm	2012-10-15							PUF_BRAIL_2012_01												
Alexandre le Grand	9782130591481	9782130606031	Pierre Briant	http://www.cairn.info/alexandre-le-grand--9782130591481.htm	2011-12-07							PUF_BRIAN_2011_01												
Les étrusques	9782130607397	9782130622802	Dominique Briquel	http://www.cairn.info/les-etrusques--9782130607397.htm	2012-09-09							PUF_BRIQU_2012_01												
La discrimination positive	9782130583318	9782130604587		http://www.cairn.info/la-discrimination-positive--9782130583318.htm	2010-10-26							PUF_CALVE_2010_01												
Les 100 dates du droit	9782130581895	9782130604129	Jean-Marie Carbasse	http://www.cairn.info/les-100-dates-du-droit--9782130581895.htm	2011-06-28							PUF_CARBA_2011_01												
Le service public	9782130595045	9782130622529	Jacques Chevallier	http://www.cairn.info/le-service-public--9782130595045.htm	2012-04-15							PUF_CHEVA_2012_01												
La littérature comparée	9782130574996	9782130602576	Yves Chevrel	http://www.cairn.info/la-litterature-comparee--9782130574996.htm	2010-02-07							PUF_CHEVR_2008_01												
Géopolitique du Proche-Orient	9782130620488	9782130626985	Alexandre Defay	http://www.cairn.info/geopolitique-du-proche-orient--9782130620488.htm	2013-06-27							PUF_DEFAY_2013_01												
L’Égypte ancienne	9782130576808	9782130603160	Sophie Desplancques	http://www.cairn.info/l-egypte-ancienne--9782130576808.htm	2010-03-30							PUF_DESPL_2010_01												
Les états limites	9782130577362	9782130602699	Vincent Estellon	http://www.cairn.info/les-etats-limites--9782130577362.htm	2010-03-31							PUF_ESTEL_2010_01												
La responsabilité sociale de l’entreprise	9782130626640	9782130626657	Jean-Pascal Gond	http://www.cairn.info/la-responsabilite-sociale-de-l-entreprise--9782130626640.htm	2014-03-11							PUF_GOND_2014_01												
La philosophie de la religion	9782130592143	9782130622048	Jean Grondin	http://www.cairn.info/la-philosophie-de-la-religion--9782130592143.htm	2012-03-11							PUF_GROND_2012_01												
Paul Ric?ur	9782130606390	9782130622697	Jean Grondin	http://www.cairn.info/paul-ricoeur--9782130606390.htm	2013-01-30							PUF_GROND_2013_01												
Les personnes en situation de handicap	9782130595052	9782130622536	Claude Hamonet	http://www.cairn.info/les-personnes-en-situation-de-handicap--9782130595052.htm	2012-07-08							PUF_HAMON_2012_01												
L'orthophonie en France	9782130607717	9782130622864	Jean-Marc Kremer	http://www.cairn.info/l-orthophonie-en-france--9782130607717.htm	2012-10-16							PUF_KREME_2012_01												
La sociologie du corps	9782130608165	9782130622949	David Le Breton	http://www.cairn.info/la-sociologie-du-corps--9782130608165.htm	2012-11-20							PUF_LEBRE_2012_02												
La politique étrangère européenne	9782130584483	9782130604785	Maxime Lefebvre	http://www.cairn.info/la-politique-etrangere-europeenne--9782130584483.htm	2011-03-16							PUF_LEFEB_2011_01												
Le droit comparé	9782130590767	9782130605881	Pierre Legrand	http://www.cairn.info/le-droit-compare--9782130590767.htm	2011-09-27							PUF_LEGRA_2011_01												
Les représentations sociales	9782130607458	9782130622833	Pierre Mannoni	http://www.cairn.info/les-representations-sociales--9782130607458.htm	2012-10-15							PUF_MANNO_2012_01												
La philosophie du corps	9782130619987	9782130627005	Michela Marzano	http://www.cairn.info/la-philosophie-du-corps--9782130619987.htm	2013-05-28							PUF_MARZA_2013_01												
L’analyse du discours	9782130585237	9782130605041	Francine Mazière	http://www.cairn.info/l-analyse-du-discours--9782130585237.htm	2010-10-27							PUF_MAZIE_2010_01												
L'urbanisme	9782130617624	9782130623199	Pierre Merlin	http://www.cairn.info/l-urbanisme--9782130617624.htm	2013-02-13							PUF_MERLI_2013_01												
L’aménagement du territoire	9782130594789	9782130622390	Jérôme Monod	http://www.cairn.info/l-amenagement-du-territoire--9782130594789.htm	2012-02-01							PUF_MONOD_2012_01												
Les finances publiques	9782130630128	9782130630135	Frank Mordacq	http://www.cairn.info/les-finances-publiques--9782130630128.htm	2014-03-11							PUF_MORDA_2014_01												
La gouvernance	9782130584544	9782130604846	Philippe Moreau Defarges	http://www.cairn.info/la-gouvernance--9782130584544.htm	2011-03-15							PUF_MOREA_2011_01												
Les conflits relationnels	9782130594598	9782130622352	Dominique Picard	http://www.cairn.info/les-conflits-relationnels--9782130594598.htm	2012-09-06							PUF_PICAR_2012_01												
Les 100 mots de l'entreprise	9782130730392	9782130730415	David Simonnet	http://www.cairn.info/les-cent-mots-de-l-entreprise--9782130730392.htm	0000-00-00							PUF_SIMON_2016_01												
Le logement social en France	9782130624493	9782130631095	Jean-Marc Stébé	http://www.cairn.info/le-logement-social-en-france--9782130624493.htm	2013-11-27							PUF_STEBE_2013_01												
Les figures de style	9782130620419	9782130626961	Henri Suhamy	http://www.cairn.info/les-figures-de-style--9782130620419.htm	2013-05-28							PUF_SUHAM_2013_01												
Histoire du sport	9782130620792	9782130629764	Thierry Terret	http://www.cairn.info/histoire-du-sport--9782130620792.htm	2013-09-26							PUF_TERRE_2013_01												
La culture d'entreprise	9782130579014	9782130603603	Maurice Thévenet	http://www.cairn.info/la-culture-d-entreprise--9782130579014.htm	2010-04-01							PUF_THEVE_2010_01												
Le vieillissement psychique	9782130593201	9782130629689	Benoît Verdon	http://www.cairn.info/le-vieillissement-psychique--9782130593201.htm	2013-11-06							PUF_VERDO_2013_01												
