publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
A contrario	1660-7880	1662-8667							http://www.cairn.info/revue-a-contrario.htm		ACO				
Actes de la recherche en sciences sociales	0335-5322	1955-2564							http://www.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales.htm		ARSS				
Actuel Marx	0994-4524	1969-6728							http://www.cairn.info/revue-actuel-marx.htm		AMX				
Adolescence	0751-7696	1969-6736							http://www.cairn.info/revue-adolescence.htm		ADO				
Afrique & histoire	1764-1977	1776-2766							http://www.cairn.info/revue-afrique-et-histoire.htm		AFHI				
Afrique contemporaine	0002-0478	1782-138X							http://www.cairn.info/revue-afrique-contemporaine.htm		AFCO				
Agora débats/jeunesses	1268-5666	1968-3758							http://www.cairn.info/revue-agora-debats-jeunesses.htm		AGORA				
@GRH	2034-9130								http://www.cairn.info/revue-@grh.htm		GRH				
Analyse Freudienne Presse	1253-1472	1969-6744							http://www.cairn.info/revue-analyse-freudienne-presse.htm		AFP				
Annales de Bretagne et des pays de l’Ouest	0399-0826	2108-6443							http://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm		ABPO				
Annales de démographie historique	0066-2062	1776-2774							http://www.cairn.info/revue-annales-de-demographie-historique.htm		ADH				
Annales de géographie	0003-4010	1777-5884							http://www.cairn.info/revue-annales-de-geographie.htm		AG				
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146							http://www.cairn.info/revue-annales.htm		ANNA				
Annales. Histoire, Sciences Sociales (English)	2268-3763								http://www.cairn.info/revue-annales-english.htm		ANNAE				
Annales historiques de la Révolution française	0003-4436	1952-403X							http://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm		AHRF				
L'Année balzacienne 	0084-6473	1969-6752							http://www.cairn.info/revue-l-annee-balzacienne.htm		BALZ				
L'Année sociologique	0066-2399	1969-6760							http://www.cairn.info/revue-l-annee-sociologique.htm		ANSO				
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670							http://www.cairn.info/revue-approche-centree-sur-la-personne.htm		ACP				
ArchéoSciences	1960-1360	2104-3728							http://www.cairn.info/revue-archeosciences.htm		ARSC				
Archives d'histoire doctrinale et littéraire du Moyen Âge	0373-5478	2109-9529							http://www.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age.htm		AHDLM				
Archives de Philosophie	0003-9632	1769-681X							http://www.cairn.info/revue-archives-de-philosophie.htm		APHI				
Archives de politique criminelle	0242-5637	2105-2670							http://www.cairn.info/revue-archives-de-politique-criminelle.htm		APC				
Archives de sciences sociales des religions	0335-5985	1777-5825							http://www.cairn.info/revue-archives-de-sciences-sociales-des-religions.htm		ASSR				
Archives Juives	0003-9837	1965-0531							http://www.cairn.info/revue-archives-juives.htm		AJ				
Autrepart	1278-3986	2109-9561							http://www.cairn.info/revue-autrepart.htm		AUTR				
Bulletin d’études orientales	0253-1623	2077-4079							http://www.cairn.info/revue-bulletin-d-etudes-orientales.htm		BEO				
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305							http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm		BIPR				
Bulletin de psychologie	0007-4403	1968-3766							http://www.cairn.info/revue-bulletin-de-psychologie.htm		BUPSY				
Cahiers critiques de thérapie familiale et de pratiques de réseaux	1372-8202	1782-1398							http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm		CTF				
Cahiers d'économie Politique / Papers in Political Economy	0154-8344	1969-6779							http://www.cairn.info/revue-cahiers-d-economie-politique.htm		CEP				
Cahiers d'études africaines	0008-0055	1777-5353							http://www.cairn.info/revue-cahiers-d-etudes-africaines.htm		CEA				
Cahiers de Gestalt-thérapie	1277-6874	1775-4348							http://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm		CGES				
Les Cahiers de la Shoah	1262-0386	1965-0523							http://www.cairn.info/revue-les-cahiers-de-la-shoah.htm		LCS				
Cahiers de psychologie clinique	1370-074X	1782-1401							http://www.cairn.info/revue-cahiers-de-psychologie-clinique.htm		CPC				
Cahiers jungiens de psychanalyse	0984-8207	2262-4783							http://www.cairn.info/revue-cahiers-jungiens-de-psychanalyse.htm		CJUNG				
Les Cahiers d'Outre Mer	0373-5834	1961-8603							http://www.cairn.info/revue-les-cahiers-d-outre-mer.htm		COM				
Cahiers du Genre	1298-6046	1968-3928							http://www.cairn.info/revue-cahiers-du-genre.htm		CDGE				
Cahiers du monde russe	1252-6576	1777-5388							http://www.cairn.info/revue-cahiers-du-monde-russe.htm		CMR				
Les Cahiers du numérique	1622-1494	2111-434X							http://www.cairn.info/revue-les-cahiers-du-numerique.htm		LCN				
Les Cahiers Dynamiques	1276-3780	2109-9545							http://www.cairn.info/revue-les-cahiers-dynamiques.htm		LCD				
Les cahiers internationaux de psychologie sociale	0777-0707								http://www.cairn.info/revue-les-cahiers-internationaux-de-psychologie-sociale.htm		CIPS				
Cahiers internationaux de sociologie	0008-0276	1969-6787							http://www.cairn.info/revue-cahiers-internationaux-de-sociologie.htm		CIS				
Les cahiers Irice	1967-2713	2118-0067							http://www.cairn.info/revue-les-cahiers-irice.htm		LCI				
Cahiers Jaurès	1268-5399	1969-6809							http://www.cairn.info/revue-cahiers-jaures.htm		CJ				
Cahiers Sens public	1767-9397	1775-4356							http://www.cairn.info/revue-cahiers-sens-public.htm		CSP				
Le Carnet PSY	1260-5921	2107-0954							http://www.cairn.info/revue-le-carnet-psy.htm		LCP				
Carrefours de l'éducation	1262-3490	1969-6949							http://www.cairn.info/revue-carrefours-de-l-education.htm		CDLE				
Champ psy	1266-5371	1961-8638							http://www.cairn.info/revue-champ-psychosomatique.htm		CPSY				
Che vuoi ?	0994-2424	2262-4848							http://www.cairn.info/revue-che-vuoi.htm		CHEV				
Cités	1299-5495	1969-6876							http://www.cairn.info/revue-cites.htm		CITE				
Civilisations	0009-8140	2032-0442							http://www.cairn.info/revue-civilisations.htm		CIVI				
