publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Alternatives économiques	0247-3739	N/A							http://www.cairn.info/./magazine-alternatives-economiques.htm		AE				
Alternatives Internationales	1634-6386	N/A							http://www.cairn.info/./magazine-alternatives-internationales.htm		AI				
Sciences-humaines	0996-6994	N/A							http://www.cairn.info/./magazine-sciences-humaines.htm		SH				
Grands Dossiers des Sciences Hum.	1777-375X	N/A							http://www.cairn.info/./magazine-les-grands-dossiers-des-sciences-humaines.htm		GDSH				
Le Monde diplomatique	0026-9395	N/A							http://www.cairn.info/./magazine-le-monde-diplomatique.htm		SNI_LMD				
Manière de voir	1241-6290	N/A							http://www.cairn.info/./magazine-maniere-de-voir.htm		SNI_MDV				
Le Magazine Littéraire	0024-9807	N/A							http://www.cairn.info/./magazine-le-magazine-litteraire.htm		SNI_LML				
L'Histoire	0182-2411	N/A							http://www.cairn.info/./magazine-l-histoire.htm		SNI_LHIST				
Alternatives économiques	0247-3739	N/A							http://www.cairn.info/./magazine-alternatives-economiques.htm		magazine-alternatives-economiques				
Alternatives Internationales	1634-6386	N/A							http://www.cairn.info/./magazine-alternatives-internationales.htm		magazine-alternatives-internationales				
Sciences-humaines	0996-6994	N/A							http://www.cairn.info/./magazine-sciences-humaines.htm		magazine-sciences-humaines				
Grands Dossiers des Sciences Hum.	1777-375X	N/A							http://www.cairn.info/./magazine-les-grands-dossiers-des-sciences-humaines.htm		magazine-les-grands-dossiers-des-sciences-humaines				
Le Monde diplomatique	0026-9395	N/A							http://www.cairn.info/./magazine-le-monde-diplomatique.htm		magazine-le-monde-diplomatique				
Manière de voir	1241-6290	N/A							http://www.cairn.info/./magazine-maniere-de-voir.htm		magazine-maniere-de-voir				
Le Magazine Littéraire	0024-9807	N/A							http://www.cairn.info/./magazine-le-magazine-litteraire.htm		magazine-le-magazine-litteraire				
L'Histoire	0182-2411	N/A							http://www.cairn.info/./magazine-l-histoire.htm		magazine-l-histoire				
