publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Chimie Analytique - Chimie Organique - Biophysique	978-2-294-77986-2	978-2-294-78066-0							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220002166	Association des enseignants de sciences, analytiques de pharmacie (AESAP)	3-s2.0-C20220002166		fulltext	Chemistry/Clinical Chemistry,Physics/Biophysics	Elsevier Masson	monograph	2023	2023		1				P	272692115
Economie De La Santé	9782294769214	978-2-294-76996-2							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190011739	Beresniak, Ariel	3-s2.0-C20190011739		fulltext	Health Assessment,Public Health	Elsevier Masson	monograph	2020	2020		1				P	250544237
Hématologie	9782294782800	978-2-294-78353-1							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220026751	SFH (Société française d'hématologie)	3-s2.0-C20220026751		fulltext	Hematology	Elsevier Masson	monograph	2024	2024		5				P	281500452
Dermatologie	9782294767074	978-2-294-76850-7							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190000908	CEDEF (Collège des enseignants en dermatologie de France)	3-s2.0-C20190000908		fulltext	Dermatology	Elsevier Masson	monograph	2022	2022		8				P	262535726
Gériatrie	9782294770227	978-2-294-77097-5							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190027215	CNEG (Collège national des enseignants de gériatrie)	3-s2.0-C20190027215		fulltext	Gerontology/Geriatrics	Elsevier Masson	monograph	2021	2021		5				P	259226769
Anatomie Et Cytologie Pathologiques	9782294778308	978-2-294-77911-4							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210023282	CoPath (Collège français des pathologistes)	3-s2.0-C20210023282		fulltext	Pathology	Elsevier Masson	monograph	2023	2023		4				P	27342226X
Chirurgie Maxillo-faciale	978-2-294-78543-6	978-2-294-78580-1							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230007269	Kadlub	3-s2.0-C20230007269		fulltext	Oral and Maxillofacial Pathology,Oral and Maxillofacial Surgery	Elsevier Masson	monograph	2024	2024		6				P	279357648
Gaz Du Sang Facile	9782294750380	978-2-294-75145-5							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150063316	Iain A M Hennessey	3-s2.0-C20150063316		fulltext	Hematology	Elsevier Masson	monograph	2016	2016		2				P	199111057
Imagerie Médicale	9782294777783	978-2-294-77805-6							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210014814	Collège des enseignants de radiologie de France ; Collège national des enseignants de biophysique et de médecine nucléaire	3-s2.0-C20210014814		fulltext	Radiology,Radiology/Diagnostic Imaging	Elsevier Masson	monograph	2022	2022		3				P	266474497
Bases Théoriques Et Pratiques Pour Le Service Sanitaire	9782294774782	978-2-294-77511-6							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200039344	Collège universitaire des enseignants de santé publique (CUESP)	3-s2.0-C20200039344		fulltext	Public Health	Elsevier Masson	monograph	2021	2021		1				P	257722173
Génétique Médicale	9782294772894	978-2-294-77303-7							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200002975	Collège national des enseignants et praticiens de génétique médicale	3-s2.0-C20200002975		fulltext	Genetics	Elsevier Masson	monograph	2022	2022		2				P	264755928
Immunopathologie	9782294775079	978-2-294-77576-5							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200036558	Collège des Enseignants d'Immunologie	3-s2.0-C20200036558		fulltext	Immunology	Elsevier Masson	monograph	2022	2022		3				P	264210778
Douleurs - Soins Palliatifs - Deuils - Ethique	9782294774775	978-2-294-77557-4							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200033979	de Broca, Alain	3-s2.0-C20200033979		fulltext	Pain Medicine	Elsevier Masson	monograph	2022	2022		3				P	270200371
Gériatrie	9782294736957	978-2-294-73863-0							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150063286	Boully	3-s2.0-C20150063286		fulltext	Gerontology/Geriatrics	Elsevier Masson	monograph	2019	2019		1				P	250240262
Atlas D'anatomie Des Membres	9782294742446	978-2-294-75252-0							https://www.clinicalkey.com/student/content/toc/3-s2.0-C2015005701X	Rigoard	3-s2.0-C2015005701X		fulltext	Anatomy	Elsevier Masson	monograph	2016	2016		1				P	249985705
Immunologie Fondamentale Et Immunopathologie	978-2-294-77994-7	978-2-294-78045-5							https://www.clinicalkey.com/student/content/toc/3-s2.0-C2022000026X	Collège des Enseignants d'Immunologie	3-s2.0-C2022000026X		fulltext	Immunology	Elsevier Masson	monograph	2023	2023		3				P	27269178X
Droit Pharmaceutique	9782294747564	978-2-294-74838-7							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150063584	Guerriaud	3-s2.0-C20150063584		fulltext	Pharmacology/Toxicology	Elsevier Masson	monograph	2016	2016		1				P	249986140
Atlas Netter D'anatomie Humaine	978-2-294-77369-3	978-2-294-77452-2							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200023273	Netter	3-s2.0-C20200023273		fulltext	Anatomy	Elsevier Masson	monograph	2023	2023		8				P	27205013X
Gray's Atlas D'anatomie Humaine	9782294747809	978-2-294-74897-4							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150064711	Drake, Vogl, Mitchell, Tibbitts, Richardson	3-s2.0-C20150064711		fulltext	Anatomy	Elsevier Masson	monograph	2017	2017		1				P	250038811
Atlas Photographique Et Vidéos De Dissection Du Corps Humain	9782294765513	978-2-294-76671-8							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180029886	Valerius Klaus-Peter	3-s2.0-C20180029886		fulltext	Anatomy	Elsevier Masson	monograph	2020	2020		1				P	250521903
Gériatrie	9782294742866	978-2-294-74512-6							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150017701	Moulias	3-s2.0-C20150017701		fulltext	Gerontology/Geriatrics	Elsevier Masson	monograph	2015	2015		3				P	19206827X
La Dermatologie Facile Aux Edn	9782294775185	978-2-294-77574-1							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200036571	Velter, Charles	3-s2.0-C20200036571		fulltext	Dermatology	Elsevier Masson	monograph	2022	2022		2				P	266772382
Dictionnaire Médical De Poche	9782294747212	978-2-294-74902-5							https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160025081	Marroun	3-s2.0-C20160025081		fulltext	Dictionaries	Elsevier Masson	monograph	2018	2018		3				P	25019984X
