publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Cambridge Archaeological Journal	0959-7743	1474-0540	2000-04-01	10	1				https://www.cambridge.org/core/product/F47DA54159786085C86FFF4E5142B103/all-issues		F47DA54159786085C86FFF4E5142B103		fulltext		Cambridge University Press	serial								F	107996537
International Organization	0020-8183	1531-5088	1997	51	1				https://www.cambridge.org/core/product/146C8B1E6606CE283EBC5B10B255F4C0/all-issues		146C8B1E6606CE283EBC5B10B255F4C0		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/146C8B1E6606CE283EBC5B10B255F4C0/open-access	Cambridge University Press	serial								P	058401636
Law And History Review	0738-2480	1939-9022	2005-04-01	23	1				https://www.cambridge.org/core/product/1F5F64176DE6E081AE0FFC511CB134A2/all-issues		1F5F64176DE6E081AE0FFC511CB134A2		fulltext	Research content is Open Access, see https://www.cambridge.org/core/product/1F5F64176DE6E081AE0FFC511CB134A2/open-access	Cambridge University Press	serial								P	119402971
Studies In American Political Development	0898-588X	1469-8692	1998-04-01	12					https://www.cambridge.org/core/product/59945CEE3956FCF60F6F1A156B98EEA1/all-issues		59945CEE3956FCF60F6F1A156B98EEA1		fulltext		Cambridge University Press	serial								F	048900907
Signs And Society	2326-4489	2326-4497		1	1				https://www.cambridge.org/core/product/039E353471A736632C5553D684A58A05/all-issues		039E353471A736632C5553D684A58A05		fulltext		Cambridge University Press	serial								F	176867252
High Power Laser Science And Engineering	2095-4719	2052-3289	2013-03-01	1	1				https://www.cambridge.org/core/product/D30FF81AE5FAEE26735889C8553C99DD/all-issues		D30FF81AE5FAEE26735889C8553C99DD		fulltext		Cambridge University Press	serial								F	174285256
Slavic Review	0037-6779	2325-7784	2012-04-01	71	1				https://www.cambridge.org/core/product/BE028C241144CA93B60D30FFBA435841/all-issues		BE028C241144CA93B60D30FFBA435841		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/BE028C241144CA93B60D30FFBA435841/open-access	Cambridge University Press	serial							B44220D213A75F5F59196D1053A5614A	P	119754487
Cambridge Prisms: Energy Transitions		3049-4672	2025	1					https://www.cambridge.org/core/product/065890958B53495B607AB3B154E1AE30/all-issues		065890958B53495B607AB3B154E1AE30		fulltext		Cambridge University Press	serial								F	29180280X
Asian Journal Of Comparative Law	2194-6078	1932-0205	2013	8					https://www.cambridge.org/core/product/D42895AA0E1285070ED902324926F7C0/all-issues		D42895AA0E1285070ED902324926F7C0		fulltext		Cambridge University Press	serial								F	116271035
Journal Of American Studies	0021-8758	1469-5154	1997-04-01	31	1				https://www.cambridge.org/core/product/6809E89819E4BB6F6C96CB367CB84811/all-issues		6809E89819E4BB6F6C96CB367CB84811		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/6809E89819E4BB6F6C96CB367CB84811/open-access	Cambridge University Press	serial								P	04890046X
Journal Of Linguistic Geography		2049-7547	2013-06-01	1	1				https://www.cambridge.org/core/product/E89214D9093619C1033930AC92B80CB7/all-issues		E89214D9093619C1033930AC92B80CB7		fulltext		Cambridge University Press	serial								F	176271651
Journal Of The Institute Of Mathematics Of Jussieu	1474-7480	1475-3030	2002	1	1				https://www.cambridge.org/core/product/5430C96B2C9B56BD95E6D852E88B3C36/all-issues		5430C96B2C9B56BD95E6D852E88B3C36		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/5430C96B2C9B56BD95E6D852E88B3C36/open-access	Cambridge University Press	serial								P	068852304
Studies In Second Language Acquisition	0272-2631	1470-1545	1997-03-01	19	1				https://www.cambridge.org/core/product/89E81FB21B749A8242E89C9FF383859A/all-issues		89E81FB21B749A8242E89C9FF383859A		fulltext		Cambridge University Press	serial								F	048901083
The Journal Of Symbolic Logic	0022-4812	1943-5886	2014-03-01	79	1				https://www.cambridge.org/core/product/56ED3BA46977662562A26BC04DD604FD/all-issues		56ED3BA46977662562A26BC04DD604FD		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/56ED3BA46977662562A26BC04DD604FD/open-access	Cambridge University Press	serial								P	119183439
Animal Welfare	0962-7286	2054-1538	2023	32					https://www.cambridge.org/core/product/009887EC68986382384149E9F1D04621/all-issues		009887EC68986382384149E9F1D04621		fulltext		Cambridge University Press	serial								F	165963743
Canadian Journal Of Mathematics	0008-414X	1496-4279	2014-02-01	66	1				https://www.cambridge.org/core/product/FAAF8BA43F0C1CDBEABE89B6B3FB56CE/all-issues		FAAF8BA43F0C1CDBEABE89B6B3FB56CE		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/FAAF8BA43F0C1CDBEABE89B6B3FB56CE/open-access	Cambridge University Press	serial								P	229925006
Forum Of Mathematics, Sigma		2050-5094	2013	1					https://www.cambridge.org/core/product/FFA2827E377ED5D335BA35E30804D5A3/all-issues		FFA2827E377ED5D335BA35E30804D5A3		fulltext		Cambridge University Press	serial								F	170774457
International Journal Of Asian Studies	1479-5914	1479-5922	2004	1	1				https://www.cambridge.org/core/product/90101B90A57E0DB2796B72C665F8DD30/all-issues		90101B90A57E0DB2796B72C665F8DD30		fulltext	Research content is Open Access. See https://www.cambridge.org/core/product/90101B90A57E0DB2796B72C665F8DD30/open-access	Cambridge University Press	serial								P	134315626
Weed Science	0043-1745	1550-2759	2012	60	SP1				https://www.cambridge.org/core/product/279C3F50B926CC9F3061C31162FADD80/all-issues		279C3F50B926CC9F3061C31162FADD80		fulltext		Cambridge University Press	serial							A1FFBB733103D41F519FE92DAF39D28D	F	120421348
Computational Humanities Research		2977-8158	2025	1					https://www.cambridge.org/core/product/9136A3CAA620A84558957E9EF5272548/all-issues		9136A3CAA620A84558957E9EF5272548		fulltext		Cambridge University Press	serial								F	291802524
Journal Of African Law	0021-8553	1464-3731	2001-04-01	45	1				https://www.cambridge.org/core/product/7457CC9ABA67940F4E4B4B09776518B2/all-issues		7457CC9ABA67940F4E4B4B09776518B2		fulltext		Cambridge University Press	serial								F	058286675
Irish Journal Of Psychological Medicine	0790-9667	2051-6967	2009-03-01	26	1				https://www.cambridge.org/core/product/62BB8DA57ECA3A966AA1CC91C75FE255/all-issues		62BB8DA57ECA3A966AA1CC91C75FE255		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/62BB8DA57ECA3A966AA1CC91C75FE255/open-access	Cambridge University Press	serial								P	169699323
New Blackfriars	0028-4289	1741-2005	1998	79	923				https://www.cambridge.org/core/product/3C5024A65C96E0BD1F49853A32A7AB0F/all-issues		3C5024A65C96E0BD1F49853A32A7AB0F		fulltext	Certain articles are Open Access, see https://www.cambridge.org/core/product/3C5024A65C96E0BD1F49853A32A7AB0F/open-access	Cambridge University Press	serial								P	110858719
Business And Human Rights Journal	2057-0198	2057-0201	2016	1	1				https://www.cambridge.org/core/product/2F27E1E24B906F6B8FD43062EEDE9C21/all-issues		2F27E1E24B906F6B8FD43062EEDE9C21		fulltext	Research content is Open Access. See https://www.cambridge.org/core/product/2F27E1E24B906F6B8FD43062EEDE9C21/open-access	Cambridge University Press	serial								P	193239345
Journal Of Classics Teaching		2058-6310	2015-04-01	16	31				https://www.cambridge.org/core/product/614D38B0B2E9358263A484E6E6CA4A94/all-issues		614D38B0B2E9358263A484E6E6CA4A94		fulltext		Cambridge University Press	serial								F	189875127
Advances In Applied Probability	0001-8678	1475-6064	2012-03-01	44	1				https://www.cambridge.org/core/product/22C8F4910E8F250FF1C359A24E9E8DC4/all-issues		22C8F4910E8F250FF1C359A24E9E8DC4		fulltext		Cambridge University Press	serial								P	06416179X
