publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Abstracts of Working Papers in Economics	0951-0079	1471-6410									PYE													
Acta Neuropsychiatrica	0924-2708	1601-5215									NEU													
Acta Numerica	0962-4929	1474-0508									ANU													
Advances in Animal Biosciences	2040-4700	2040-4719									ABS													
Africa	0001-9720	1750-0184									AFR													
Africa Bibliography	0266-6731	1757-1642									AFB													
African Studies Review	1597-0337	1597-0337									ASR													
Ageing & Society	0144-686X	1469-1779									ASO													
AI EDAM	0890-0604	1469-1760									AIE													
AJS Review	0364-0094	1475-4541									AJS													
Albion	0095-1390	2326-1242									ALB													
American Journal of Alternative Agriculture	0889-1893	1478-5498									AJA													
American Political Science Review	0003-0554	1537-5943									PSR													
Anatolian Studies	0066-1546	2048-0849									ANK													
Ancient Mesoamerica	0956-5361	1469-1787									ATM													
Anglo-Saxon England	0263-6751	1474-0532									ASE													
animal											ANM													
Animal Genetic Resources / Resources génétiques animales / Recursos genéticos animales (formerly Animal Genetic Resources Information Volumes 1 (1983) - 45 (2009))	2078-6336	2078-6344									AGR													
Animal Health Research Reviews	1466-2523	1475-2654									AHR													
Animal Science (formerly Animal Production Volumes 1 (1959) - 59 (1994))	1357-7298	1748-748X									ASC													
Annales de Limnologie - International Journal of Limnology	0003-4088	2100-000X									ANL													
Annals of Actuarial Science	1748-4995	1748-5002									AAS													
Annual of the British School at Athens	0068-2454	2045-2403									ATH													
Annual Review of Applied Linguistics	0267-1905	1471-6356									APL													
Antarctic Science	0954-1020	1365-2079									ANS													
Applied Psycholinguistics	0142-7164	1469-1817									APS													
APSIPA Transactions on Signal and Information Processing	2048-7703										SIP													
Aquatic Living Resources	0990-7440	1765-2952									ALR													
Arabic Sciences and Philosophy	0957-4239	1474-0524									ASP													
Arbor Clinical Nutrition Updates	1446-5450	1446-5450									ACN													
Archaeologia	0261-3409	2051-3186									ACH													
Archaeological Dialogues	1380-2038	1478-2294									ARD													
Archaeological Reports	0570-6084	2041-4102									ARE													
arq: Architectural Research Quarterly	1359-1355	1474-0516									ARQ													
Asian Journal of International Law	2044-2513	2044-2521									AJL													
Asian Journal of Law and Society	 2044-2513	2044-2521									ALS													
ASTIN Bulletin	0515-0361	 1783-1350									ASB													
Australasian Journal of Special Education	1030-0112	1833-6914									JSE													
Australian and New Zealand Journal of Family Therapy	0814-723X	1467-8438									AFT													
Australian Journal of Environmental Education	0814-0626	2049-775X									AEE													
Australian Journal of Guidance and Counselling	1037-2911	1839-2520									JGC													
Austrian History Yearbook	 0067-2378	1558-5255									AHY													
Behavioral and Brain Sciences	0140-525X	1469-1825									BBS													
Behaviour Change	0813-4839	2049-7768									BEC													
Behavioural and Cognitive Psychotherapy (formerly Behavioural Psychotherapy Volumes 6 (1978) - 21 issue 2 (1993), B.A.B.P. Bulletin Volumes 1 (1973) - 5 (1977))	1352-4658	1469-1833									BCP													
Bilingualism: Language and Cognition	1366-7289	1469-1841									BIL													
Biofilms	1479-0505	1479-0513									BFM													
BioSocieties	1745-8552	1745-8560									BIO													
Bird Conservation International	0959-2709	1474-0001									BCI													
Brain Impairment	1443-9646	1839-5252									BIM													
Breast Cancer Online		1470-9031									BCO													
Britannia	0068-113X	1753-5352									BRI													
British Actuarial Journal (formerly Journal of the Institute of Actuaries merged with Transactions of the Faculty of Actuaries in 1995 to form the current title)	1357-3217	2044-0456									BAJ													
British Journal of Anaesthetic and Recovery Nursing	1742-6456	1744-2192									ARN													
British Journal of Music Education	0265-0517	1469-2104									BME													
British Journal of Nutrition	 0007-1145	1475-2662									BJN													
British Journal of Political Science	0007-1234	1469-2112									JPS													
BSAP Occasional Publication	 0263-967X										OBA													
Bulletin International des Societes de la Croix-Rouge (formerly Bulletin International des Societes de Secours aux Militaires Blesses Volumes 1-16 (1869-1885) )	1816-9686	1816-9686									BRC													
Bulletin of Entomological Research	 0007-4853	1475-2670									BER													
Bulletin of Entomological Research Supplement Series	 1367-4269										BES													
Bulletin of Symbolic Logic	1079-8986										BSL													
Bulletin of the Australian Mathematical Society	0004-9727	1755-1633									BAZ													
Bulletin of the British Association for American Studies	0524-5001	 0524-5001									BMS													
Bulletin of the British Society for the History of Science	0950-5636	0950-5636									BBH													
Bulletin of the International Institute of Social History	1873-0841	1873-0841									BSH													
Bulletin of the School of Oriental and African Studies	0041-977X 	1474-0699									BSO													
Business History Review (formerly Bulletin of the Business Historical Society Volumes 1 (1926) - 27 (1953))	0007-6805	 2044-768X									BHR													
Cambridge Archaeological Journal	0959-7743	1474-0540									CAJ													
Cambridge Historical Journal	 1474-6913	1474-6913									CHJ													
Cambridge Journal of Postcolonial Literary Inquiry	2052-2614	2052-2622									PLI													
Cambridge Opera Journal	0954-5867	1474-0621									OPR													
Cambridge Quarterly of Healthcare Ethics	0963-1801	1469-2147									CGH													
Camden Fifth Series (formerly Camden Fourth Series Volumes 1 (1964) - 44 (1992), Camden Third Series Volumes 1 (1900) - 94 (1963), Camden New Series Volumes 1 (1871) - 62 (1901), Camden Old Series Volumes 1 (1838) - 105 (1872))	0960-1163 	1478-5110									RHC													
Camden Fourth Series (formerly Camden Third Series Volumes 1 (1900) - 94 (1963), Camden New Series Volumes 1 (1871) - 62 (1901), Camden Old Series Volumes 1 (1838) - 105 (1872))	0068-6905	0068-6905									RHF													
Camden New Series (formerly Camden Old Series Volumes 1 (1838) - 105 (1872))	2042-1702	2042-1702									RHN													
Camden Old Series	2042-1699	2042-1699									RHO													
Camden Third Series (formerly Camden New Series Volumes 1 (1871) - 62 (1901), Camden Old Series Volumes 1 (1838) - 105 (1872))	2042-1710	2042-1710									RHR													
Canadian Journal of Law and Society / La Revue Canadienne Droit et Société	0829-3201	1911-0227									CLS													
Canadian Journal of Political Science/Revue canadienne de science politique (formerly Canadian Journal of Economics and Political Science/Revue Canadienne de Economiques et Science Politique Volumes 1 (1935) - 33 (1967))	0008-4239	1744-9324									CJP													
Canadian Journal on Aging/La Revue canadienne du vieillissement	0714-9808	1710-1107									CJG													
Cardiology in the Young	1047-9511	1467-1107									CTY													
Central European History	0008-9389	1569-1616									CCC													
Children Australia	1035-0772	2049-7776									CHA													
Chinese Journal of Agricultural Biotechnology	 1479-2362	1479-2362									CJA													
Church History: Studies in Christianity and Culture	0009-6407	1755-2613									CHH													
CNS Spectrums	1092-8529	2165-6509									CNS													
Combinatorics, Probability and Computing	 0963-5483	1469-2163									CPC													
Comparative Exercise Physiology (formerly Equine and Comparative Exercise Physiology Volumes 1 (2004) - 4 (2007))	1755-2540	1755-2559									CEP													
Comparative Studies in Society and History	0010-4175	1475-2999									CSS													
Compositio Mathematica	0010-437X	1570-5846									COM													
Contemporary European History	0960-7773	1469-2171									CEH													
Continuity and Change	0268-4160	1469-218X									CON													
CORD Conference Proceedings	2049-1255 										COR													
Dance Research Journal	0149-7677	1940-509X									DRJ													
Development and Psychopathology	0954-5794	1469-2198									DPP													
Dialogue: Canadian Philosophical Review/Revue canadienne de philosophie	0012-2173	1759-0949									DIA													
Diamond Light Source Proceedings		 2044-8201									DLS													
Disaster Medicine and Public Health Preparedness	1935-7893	1938-744X									DMP													
Du Bois Review: Social Science Research on Race	 1742-058X	1742-0598									DBR													
Early Music History	0261-1279	1474-0559									EMH													
