publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A brief history of entrepreneurship : the pioneers, profiteers, and racketeers who shaped our world									https://univ.scholarvox.com/book/88864991	Carlen	88864991		fulltext	langue : eng	Columbia University Press	monograph		2016						P	
A chaque enjeu son business plan	978-2-311-01199-9	978-2-311-01199-9							https://univ.scholarvox.com/book/88808310	Pic	88808310		fulltext	langue : fre	Vuibert	monograph		2012						P	170266893
À chaque enjeu, son business plan									https://univ.scholarvox.com/book/10207433	Pic	10207433		fulltext	langue : fre	Vuibert	monograph		2007						P	
A class with Drucker : the lost lessons of the World's greatest management teacher	978-0-8144-0954-1	978-0-8144-0954-1							https://univ.scholarvox.com/book/88814781	Cohen	88814781		fulltext	langue : eng	Amacom	monograph		2013						P	176638105
A collection of surveys on market experiments									https://univ.scholarvox.com/book/88826906	Noussair	88826906		fulltext	langue : eng	Wiley-Blackwell	monograph		2013						P	
À côté de nous le déluge	978-28-9719-514-4	978-28-9719-514-4							https://univ.scholarvox.com/book/88874148	Lessenich	88874148		fulltext	langue : fre	Les Editions Ecosociété	monograph		2019						P	240179226
A course in game theory	978-0-26228-107-2	978-0-26228-107-2							https://univ.scholarvox.com/book/88841810	Osborne	88841810		fulltext	langue : eng	Mit Press	monograph		1994						P	220189196
A critical introduction to international law	978-28-0041-702-8	978-28-0041-702-8							https://univ.scholarvox.com/book/88884270	Corten	88884270		fulltext	langue : eng	Éditions de l'Université de Bruxelles	monograph		2020						P	248788388
A Development Agenda for the Caribbean : Financial and Economic Approaches : A Collection of Speeches	978-976-637-631-4	978-976-637-631-4							https://univ.scholarvox.com/book/88818506	Venner	88818506		fulltext	langue : eng	Ian Randle Publishers	monograph		2007						P	198687338
A dozen lessons for entrepreneurs									https://univ.scholarvox.com/book/88864992	Griffin	88864992		fulltext	langue : eng	Columbia University Press	monograph		2017						P	
A fine balance : assessing the quality of governance in Botswana	978-1-920409-85-2	978-1-920409-85-2							https://univ.scholarvox.com/book/88825007	Alexander	88825007		fulltext	langue : eng	Idasa	monograph		2012						P	187339945
À gauche normes IFRS, à droite normes françaises									https://univ.scholarvox.com/book/10162367	Pottier	10162367		fulltext	langue : fre	EMS Editions	monograph		2005						P	
A gender perspective of municipal solid waste generation and management in the city of Bamenda, Cameroon	978-99-5655-029-6	978-99-5655-029-6							https://univ.scholarvox.com/book/88865160	Kien	88865160		fulltext	langue : eng	Langaa RPCIG	monograph		2018						P	233901132
A guide to Microsoft Excel 2013 for scientists and engineers	978-0-12-802816-2	978-0-12-802816-2							https://univ.scholarvox.com/book/88827102	Liengme	88827102		fulltext	langue : eng	Elsevier Science	monograph		2015						P	19868228X
À la conquête de LinkedIn : 10 étapes pour déployer votre stratégie marketing, bâtir une réputation forte et générer des prospects	978-22-1280-393-8	978-22-1280-393-8							https://univ.scholarvox.com/book/88906189	Piton	88906189		fulltext	langue : fre	Eyrolles	monograph		2020						P	252622855
