publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A la conquête de votre emploi : CV gagnants, lettres efficaces, entretiens réussis	978-22-9707-064-5	978-22-9707-089-8							http://univ.scholarvox.com/book/88857032	Raboutet	88857032		fulltext		Gualino	monograph	2018	2018						P
Actualité sanitaire et sociale : [Concours AS /AP /IFSI]	978-22-1614-811-0								http://univ.scholarvox.com/book/88861936	Moignau	88861936		fulltext		Foucher	monograph	2018	2018						P
Adjoint administratif	978-22-1614-806-6								http://univ.scholarvox.com/book/88861933	Laurent	88861933		fulltext		Foucher	monograph	2018	2018						P
Adjoint administratif : [catégorie C]	978-2-247-09813-2	978-2-247-08106-6							https://univ.scholarvox.com/catalog/book/docid/41001197	Dineur	41001197		fulltext		Dalloz	monograph	2008	2008						P
Adjoint administratif d'État : concours externe, interne, examens professionnels : catégorie C : [2018]	978-22-1614-824-0								http://univ.scholarvox.com/book/88861945	Ducastel	88861945		fulltext		Foucher	monograph	2018	2018						P
Adjoint administratif territorial	978-2-247-15609-2	978-2-247-15240-7							https://univ.scholarvox.com/catalog/book/docid/88834896	Derycke	88834896		fulltext		Dalloz	monograph	2015	2015						P
Adjoint administratif territorial : [catégorie C]	978-2-247-09814-9	978-2-247-08107-3							https://univ.scholarvox.com/catalog/book/docid/41001198	Derycke	41001198		fulltext		Sirey	monograph	2008	2008						P
Admission postbac, mode d'emploi : les stratégies à adopter pour voir ses voeux exaucés	978-2-8176-0075-8								http://univ.scholarvox.com/catalog/book/docid/45008492	De Tarle	45008492		fulltext		L'Etudiant	monograph	2011	2011						P
Admissions parallèles en école de commerce	978-2-8176-0451-0								http://univ.scholarvox.com/catalog/book/docid/88827602	Gourdon	88827602		fulltext		L'Etudiant	monograph	2015	2015						P
Advanced IQ Tests : The Toughest Practice Questions to Test Your Lateral Thinking, Problem Solving and Reasoning Skills	978-0-7494-5232-2	978-0-7494-5424-1							http://univ.scholarvox.com/catalog/book/docid/45003542	Carter	45003542		fulltext		Kogan Page	monograph	2008	2008						P
Aide-soignant : épreuve orale	978-22-1614-813-4								http://univ.scholarvox.com/book/88861937	Moignau	88861937		fulltext		Foucher	monograph	2018	2018						P
