publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A Deep Dive into NoSQL Databases : The Use Cases and Applications	978-01-2813-786-4	978-01-2813-787-1							http://univ.scholarvox.com/book/88864338	Raj	88864338		fulltext		Elsevier Science	monograph	2018	2018						P
A handbook of digital library economics : operations, collections and services	978-1-84334-620-3	978-1-78063-318-3							http://univ.scholarvox.com/catalog/book/docid/88827816	Baker	88827816		fulltext		Elsevier Science	monograph	2013	2013						P
A la découverte de Mac OS Sierra	978-22-1211-888-9	978-22-1241-962-7							http://univ.scholarvox.com/book/88836948	Lavant	88836948		fulltext		Eyrolles	monograph	2017	2017						P
A la découverte de Mac OS X Lion [Ressource électronique]	978-22-1213-345-5	978-22-1201-162-3							http://univ.scholarvox.com/book/88812853	Lavant	88812853		fulltext		Eyrolles	monograph	2011	2011						P
À la découverte de Photoshop : grands débutants	978-22-1212-757-7	978-22-1200-856-2							http://univ.scholarvox.com/book/88805903	Curtil	88805903		fulltext		Eyrolles	monograph	2011	2011						P
A la découverte de son iPad : Cahier d'exercices	978-2-212-12823-9	978-2-212-70012-1							http://univ.scholarvox.com/catalog/book/docid/45006781	Gete	45006781		fulltext		Eyrolles	monograph	2010	2010						P
A la découverte de son iPhone : Spécial débutants !	978-2-212-12795-9	978-2-212-40977-2							http://univ.scholarvox.com/catalog/book/docid/88805995	Defrance	88805995		fulltext		Eyrolles	monograph	2011	2011						P
A la découverte de son Mac - Version Mountain Lion - Spécial grands débutants !	978-2-212-13555-8	978-2-212-17594-3							http://univ.scholarvox.com/catalog/book/docid/88812620	Lavant	88812620		fulltext		Eyrolles	monograph	2012	2012						P
A la découverte de Windows 10	978-2-212-14169-6	978-2-212-34106-5							http://univ.scholarvox.com/catalog/book/docid/88829372	Lavant	88829372		fulltext		Eyrolles	monograph	2015	2015						P
A la découverte de Windows 10 : anniversaire	978-2-212-11887-2	978-2-212-24803-6							http://univ.scholarvox.com/catalog/book/docid/88836312	Lavant	88836312		fulltext		Eyrolles	monograph	2016	2016						P
A la découverte de Windows 7 : Spécial débutants - Cahier Windows n°1	978-2-212-12595-5	978-2-212-85294-3							http://univ.scholarvox.com/catalog/book/docid/88802659	Lavant	88802659		fulltext		Eyrolles	monograph	2009	2009						P
A la découverte de Windows 8 - Spécial grands débutants !	978-2-212-13633-3	978-2-212-18140-1							http://univ.scholarvox.com/catalog/book/docid/88812480	Lavant	88812480		fulltext		Eyrolles	monograph	2012	2012						P
À la découverte des cartes Nucleo	978-2-212-67369-2	978-2-212-41798-2							http://univ.scholarvox.com/book/88840516	Laury	88840516		fulltext		Eyrolles	monograph	2017	2017						P
À la découverte des graphes et des algorithmes de graphes	978-2-75981-830-3	978-2-75982-102-0							http://univ.scholarvox.com/book/88840776	Laforest	88840776		fulltext		EDP Sciences	monograph	2017	2017						P
A la découverte d'Internet [Ressource électronique]	978-22-1212-797-3	978-22-1216-755-9							http://univ.scholarvox.com/book/88814954	Lavant	88814954		fulltext		Eyrolles	monograph	2012	2012						P
A la découverte du Raspberry Pi	978-2-212-13747-7	978-2-212-24714-5							http://univ.scholarvox.com/catalog/book/docid/88816999	Wallace	88816999		fulltext		Eyrolles	monograph	2014	2014						P
A Practical Guide to Electronic Resources in the Humanities	978-1-84334-597-8	978-1-78063-047-2							http://univ.scholarvox.com/catalog/book/docid/88827748	Dubnjakovic	88827748		fulltext		Elsevier Science	monograph	2010	2010						P
A practical guide to SysML : the Systems Modeling Language	978-01-2385-206-9	978-01-2385-207-6							http://univ.scholarvox.com/book/88803372	Friedenthal	88803372		fulltext		Morgan Kaufmann Object Management Group/Elsevier	monograph	2011	2011						P
Academic Search Engines : A Quantitative Outlook	978-1-84334-791-0	978-1-78063-472-2							http://univ.scholarvox.com/catalog/book/docid/88827777	Ortega	88827777		fulltext		Elsevier Science	monograph	2014	2014						P
Access 2007 de fond en comble	978-2-10-051371-0	978-2-10-055172-9							http://univ.scholarvox.com/catalog/book/docid/45006203	Viescas	45006203		fulltext		Microsoft Press	monograph	2007	2007						P
Access 2010 - Utilisateur	978-2-212-12825-3	978-2-212-41679-4							http://univ.scholarvox.com/catalog/book/docid/88800409	Picot	88800409		fulltext		Eyrolles	monograph	2010	2010						P
Accessibilité web - Normes et bonnes pratiques pour des sites plus accessibles	978-2-212-12889-5	978-2-212-17773-2							http://univ.scholarvox.com/catalog/book/docid/88812536	Altinier	88812536		fulltext		Eyrolles	monograph	2012	2012						P
Acheter des services informatiques avec ITIL v3	978-2-212-86005-4								http://univ.scholarvox.com/catalog/book/docid/45001959	Jourdan	45001959		fulltext		Editions d'Organisation	monograph	2009	2009						P
Acquisition de données : Du capteur à l'ordinateur	978-2-10-052331-3	978-2-10-056469-9							http://univ.scholarvox.com/catalog/book/docid/88802104	Asch	88802104		fulltext		Dunod	monograph	2011	2011						P
ActionScript Graphing Cookbook	978-1-84969-320-2	978-1-84969-321-9							http://univ.scholarvox.com/book/88850863	Backx	88850863		fulltext		Packt Publishing	monograph	2012	2012						P
ActionScript 3 : Programmation séquentielle et orientée objet - Avec 200 scripts gratuits !	978-2-212-13238-0	978-2-212-40812-6							http://univ.scholarvox.com/catalog/book/docid/88805982	Tardiveau	88805982		fulltext		Eyrolles	monograph	2011	2011						P
Active Directory Disaster Recovery	978-1-84719-327-8	978-1-84719-328-5							http://univ.scholarvox.com/book/88852175	Rommel	88852175		fulltext		Packt Publishing	monograph	2008	2008						P
Active learning techniques for librarians : practical examples	978-1-84334-592-3	978-1-78063-040-3							http://univ.scholarvox.com/catalog/book/docid/88827782	Walsh	88827782		fulltext		Elsevier Science	monograph	2010	2010						P
Activiti 5.x Business Process Management Beginner's Guide	978-1-84951-706-5	978-1-84951-707-2							http://univ.scholarvox.com/book/88851016	Laliwala	88851016		fulltext		Packt Publishing	monograph	2014	2014						P
ADempiere 3.4 ERP Solutions	978-1-84719-726-9	978-1-84719-727-6							http://univ.scholarvox.com/book/88852013	Pamungkas	88852013		fulltext		Packt Publishing	monograph	2009	2009						P
ADempiere 3.6 Cookbook	978-1-84951-338-8	978-1-84951-339-5							http://univ.scholarvox.com/book/88851762	Kumar	88851762		fulltext		Packt Publishing	monograph	2011	2011						P
Administering ArcGIS for Server	978-1-78217-736-4	978-1-78217-737-1							http://univ.scholarvox.com/book/88850946	Nasser	88850946		fulltext		Packt Publishing	monograph	2014	2014						P
Administrating Solr	978-1-78328-325-5	978-1-78328-326-2							http://univ.scholarvox.com/book/88850034	Mohan	88850034		fulltext		Packt Publishing	monograph	2013	2013						P
Administration et maintenance d'un environnement Windows Server 2003 : Examen 70-290	978-2-10-007403-7	978-2-10-055186-6							http://univ.scholarvox.com/catalog/book/docid/45006264	Holme	45006264		fulltext		Microsoft Press	monograph	2004	2004						P
Administrez vos bases de données avec MySQL : Gérer vos données n'a jamais été aussi facile!	979-10-90085-10-7	979-10-90085-13-8							http://univ.scholarvox.com/catalog/book/docid/88809438	Gribaumont	88809438		fulltext		OpenClassrooms	monograph	2012	2012						P
Adobe Captivate 7 for Mobile Learning : create mobile-friendly and interactive m-learning content with Adobe Captivate 7	978-1-84969-955-6	978-1-84969-956-3							http://univ.scholarvox.com/book/88850152	Bruyndonckx	88850152		fulltext		Mumbai	monograph	2013	2013						P
Adobe Edge Quickstart Guide	978-1-84969-330-1	978-1-84969-331-8							http://univ.scholarvox.com/book/88850689	Labrecque	88850689		fulltext		Packt Publishing	monograph	2012	2012						P
Adobe Flash 11 Stage3D (Molehill) Game Programming Beginner's Guide	978-1-84969-168-0	978-1-84969-169-7							http://univ.scholarvox.com/book/88851582	Kaitila	88851582		fulltext		Packt Publishing	monograph	2011	2011						P
ADSL/Câble : Sécurité absolue - Protégez votre PC des virus, spams, pirates et espions	978-2-10-007299-6	978-2-10-053094-6							http://univ.scholarvox.com/catalog/book/docid/10155570	Beauvais	10155570		fulltext		Dunod	monograph	2004	2004						P
Advanced analytics with R and Tableau : advanced visual analytical solutions for your business	978-17-8646-011-0	978-17-8646-024-0							http://univ.scholarvox.com/book/88859384	Stirrup	88859384		fulltext		Packt Publishing	monograph	2017	2017						P
Advanced Express Web Application Development	978-1-78328-249-4	978-1-78328-250-0							http://univ.scholarvox.com/book/88849864	Keig	88849864		fulltext		Packt Publishing	monograph	2013	2013						P
Advanced Machine Learning with Python	978-1-78439-863-7	978-1-78439-383-0							http://univ.scholarvox.com/book/88843308	Hearty	88843308		fulltext		Packt Publishing	monograph	2016	2016						P
Advanced Microsoft Content Management Server Development	978-1-904811-53-4	978-1-84719-040-6							http://univ.scholarvox.com/book/88852304	Connell	88852304		fulltext		Packt Publishing	monograph	2005	2005						P
Advanced Oracle PL/SQL Developer's Guide	978-1-78528-480-9	978-1-78528-252-2							http://univ.scholarvox.com/book/88843044	Gupta	88843044		fulltext		Packt Publishing	monograph	2016	2016						P
Advanced penetration testing for highly-secured environments : the ultimate security guide : learn how to perform professional penetration testing for highly-secured environments with this intensive hands-on guide	978-1-84951-774-4	978-1-84951-775-1							http://univ.scholarvox.com/book/88850727	Allen	88850727		fulltext		Packt Pub.	monograph	2012	2012						P
