publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Apprenez à programmer en Python	978-22-1239-639-3	978-22-1239-639-3							https://univ.scholarvox.com/book/88876428	Le Goff	88876428		fulltext	langue : fre	OpenClassrooms	monograph		2019						P	242012353
Architectures PKI et communications sécurisées	978-21-0072-908-1	978-21-0072-908-1							https://univ.scholarvox.com/book/88828483	Dumas	88828483		fulltext	langue : fre	Dunod	monograph		2015						P	188450661
Comment développer votre activité grâce aux médias sociaux : Facebook, Twitter, Viadeo, Linkedln et les autres plateformes sociales	978-21-0057-317-2	978-21-0057-317-2							https://univ.scholarvox.com/book/88805710	March	88805710		fulltext	langue : fre	Dunod	monograph		2011						P	156592851
Contemporary Topics in Computer Graphics and Games : Selected Papers from the Eurasia Graphics Conference Series	978-36-3180-522-0	978-36-3180-522-0							https://univ.scholarvox.com/book/88880054	Gürçay	88880054		fulltext	langue : eng	Peter Lang	monograph		2019						P	242834086
Création d'assets 3D pour le jeu vidéo avec Blender	978-28-2270-960-6	978-28-2270-960-6							https://univ.scholarvox.com/book/88902628	Cardinale	88902628		fulltext	langue : fre	D-BookeR éditions	monograph		2020						P	250246627
Créez des jeux de A à Z avec Unity : bases et jeux mobiles	978-28-2270-521-9	978-28-2270-521-9							https://univ.scholarvox.com/book/88838102	Cardinale	88838102		fulltext	langue : fre	D-BookeR éditions	monograph		2016						P	233383980
Créez des jeux de A à Z avec Unity : bases et jeux mobiles	978-28-2270-526-4	978-28-2270-526-4							https://univ.scholarvox.com/book/88838103	Cardinale	88838103		fulltext	langue : fre	D-BookeR éditions	monograph		2016						P	233376283
Dessin et peinture numérique avec Krita	978-28-2270-441-0	978-28-2270-441-0							https://univ.scholarvox.com/book/88833070	Giet	88833070		fulltext	langue : fre	D-Booker éditions	monograph		2016						P	233374019
Dessin et peinture numérique avec Krita	978-28-2270-771-8	978-28-2270-771-8							https://univ.scholarvox.com/book/88865113	Giet	88865113		fulltext	langue : fre	D-Booker éditions	monograph		2018						P	233898824
Développer des jeux avec Godot Game Engine	978-28-2270-797-8	978-28-2270-797-8							https://univ.scholarvox.com/book/88876689	Cardinale	88876689		fulltext	langue : fre	Éditions D-BookeR	monograph		2019						P	250245337
Droit des données personnelles	978-22-9701-986-6	978-22-9701-986-6							https://univ.scholarvox.com/book/88801834	Forest	88801834		fulltext	langue : fre	Gualino	monograph		2011						P	15683412X
Instagram pour les pros : mieux utiliser le réseau social pour développer votre activité	978-22-1244-157-4	978-22-1244-157-4							https://univ.scholarvox.com/book/88876777	Mancel	88876777		fulltext	langue : fre	Editions Eyrolles	monograph		2019						P	242830145
Learning management system pour l'entreprise	978-23-5953-092-6	978-23-5953-092-6							https://univ.scholarvox.com/book/88812417	Lungu	88812417		fulltext	langue : fre	Gereso	monograph		2011						P	233374329
Les tableaux de bord de la DSI : pilotage, performance et benchmarking du système d'information	978-21-0074-513-5	978-21-0074-513-5							https://univ.scholarvox.com/book/88832584	Legrenzi	88832584		fulltext	langue : fre	Dunod	monograph		2016						P	233388664
Photoshop Elements 11 pour les photographes	978-22-1222-158-9	978-22-1222-158-9							https://univ.scholarvox.com/book/88812363	Kelby	88812363		fulltext	langue : fre	Eyrolles	monograph		2013						P	233374337
Python pour les kids	978-2-212-31031-3	978-2-212-31031-3							https://univ.scholarvox.com/book/88828035	Briggs	88828035		fulltext	langue : fre	Eyrolles	monograph		2015						P	187350183
Référencement Google : mode d’emploi	978-22-1243-271-8	978-22-1243-271-8							https://univ.scholarvox.com/book/88855353	Andrieu	88855353		fulltext	langue : fre	Eyrolles	monograph		2018						P	233378170
Référencement Google : mode d’emploi	978-22-1273-177-4	978-22-1273-177-4							https://univ.scholarvox.com/book/88871779	Andrieu	88871779		fulltext	langue : fre	Editions Eyrolles	monograph		2019						P	238403351
Stratégie de contenu Web	978-22-1213-279-3	978-22-1213-279-3							https://univ.scholarvox.com/book/88805964	Kissane	88805964		fulltext	langue : fre	Eyrolles	monograph		2011						P	233373950
Stratégies de design UX : accélérer l'innovation et réduire l'incertitude	978-22-1259-806-3	978-22-1259-806-3							https://univ.scholarvox.com/book/88851465	Visonneau	88851465		fulltext	langue : fre	Editions Eyrolles	monograph		2018						P	232900795
