publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
À pied sur le Tôkaidô : roman picaresque	978-2-8097-1149-3	978-2-8097-3219-1							http://univ.scholarvox.com/catalog/book/docid/88831333	Jippensha	88831333		fulltext		Editions Philippe Picquier	monograph	2016	2016						P
Chine, histoire de la littérature	978-2-8097-1210-0	978-2-8097-2707-4							http://univ.scholarvox.com/catalog/book/docid/88834996	Pimpaneau	88834996		fulltext		Editions Philippe Picquier	monograph	2016	2016						P
Claire Lejeune : la poésie est en avant	978-2-88253-294-7								http://univ.scholarvox.com/catalog/book/docid/45005839	Renouprez	45005839		fulltext		Luce Wilquin	monograph	2005	2005						P
Contes de Bretagne	978-2-914067-53-9	978-2-914067-95-9							http://univ.scholarvox.com/catalog/book/docid/88805793	Féval	88805793		fulltext		Régionalismes (Ed. des)	monograph	2008	2008						P
Eloge de la fadeur : à partir de la pensée et de l'esthétique de la Chine	978-2-87730-096-4	978-2-8097-0423-5							http://univ.scholarvox.com/catalog/book/docid/88824129	Jullien	88824129		fulltext		Editions Philippe Picquier	monograph	2012	2012						P
François Weyergans : romancier	978-2-88253-295-4								http://univ.scholarvox.com/catalog/book/docid/45005797	Paque	45005797		fulltext		Luce Wilquin	monograph	2005	2005						P
Guy Vaes romancier : l'effroi et l'extase, avec plusieurs textes rares de l'écrivain	978-2-88253-296-1								http://univ.scholarvox.com/catalog/book/docid/45005705	Sempoux	45005705		fulltext		Luce Wilquin	monograph	2006	2006						P
Histoires de la rue : Éclats de vie	978-1-77120-189-6	978-1-77120-190-2							http://univ.scholarvox.com/catalog/book/docid/88820267		88820267		fulltext		Les Editions du Vermillon	monograph	2014	2014						P
Jacqueline Harpman : Dieu, Freud et moi : les plaisirs de l 'écriture	978-2-88253-235-0								http://univ.scholarvox.com/catalog/book/docid/45005825	Paque	45005825		fulltext		Luce Wilquin	monograph	2003	2003						P
Jacques Cels : un architecte du sens	978-2-88253-387-6								http://univ.scholarvox.com/catalog/book/docid/45005645	Van Rossom	45005645		fulltext		Luce Wilquin	monograph	2009	2009						P
Jacques Crickillon : la vision et le souffle	978-2-88253-224-4								http://univ.scholarvox.com/catalog/book/docid/45005823	Van Rossom	45005823		fulltext		Luce Wilquin	monograph	2003	2003						P
Jean-Louis Lippert : aède, athlète, anachorète	978-2-88253-233-6								http://univ.scholarvox.com/catalog/book/docid/45005824	Brogniet	45005824		fulltext		Luce Wilquin	monograph	2003	2003						P
Jewish Gangsta : aux origines du mouvement goon	979-10-95582-09-0	979-10-95582-13-7							http://univ.scholarvox.com/catalog/book/docid/88838695	Madani	88838695		fulltext		Marchialy Éditions	monograph	2017	2017						P
Journal d'un voyage en Amérique, depuis la côte de Virginie jusqu'au territoire de l'Illinois	978-2-84679-041-3								http://univ.scholarvox.com/catalog/book/docid/88808532	Birkbeck	88808532		fulltext		Ginkgo	monograph	2006	2006						P
La bataille de Dorking : invasion des Prussiens en Angleterre	978-2-84618-655-1	978-2-84618-965-1							http://univ.scholarvox.com/catalog/book/docid/88806441	Chesney	88806441		fulltext		Régionalismes (Ed. des)	monograph	2009	2009						P
La nuée du silence	978-1-926628-26-4	978-1-926628-46-2							http://univ.scholarvox.com/catalog/book/docid/88818456	Flamand	88818456		fulltext		Les Editions du Vermillon	monograph	2011	2011						P
La quête de la vérité dans Il se fait de plus en plus tard d'Antonio Tabucchi	978-2-7481-5430-6								http://univ.scholarvox.com/catalog/book/docid/10214655	Kobialka	10214655		fulltext		Editions Le Manuscrit	monograph	2005	2005						P
L'amitié	978-2-9530259-7-2	978-2-919176-73-1							http://univ.scholarvox.com/catalog/book/docid/88828926	Emerson	88828926		fulltext		Aux forges de Vulcain	monograph	2014	2014						P
Le cri de la Muette	978-2-88253-301-2								http://univ.scholarvox.com/catalog/book/docid/45005682	Roegiers	45005682		fulltext		Luce Wilquin	monograph	2006	2006						P
Le loup bleu : le roman de Gengis-Khan	978-2-87730-171-8	978-2-8097-3207-8							http://univ.scholarvox.com/catalog/book/docid/88831244	Inoue	88831244		fulltext		Editions Philippe Picquier	monograph	2015	2015						P
L'eau claire de la lune	978-2-88253-227-5								http://univ.scholarvox.com/catalog/book/docid/45005782	Baba	45005782		fulltext		Luce Wilquin	monograph	2003	2003						P
