publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A Beckoning War	978-1-77186-068-0	978-1-77186-070-3							http://univ.scholarvox.com/book/88832368	Murphy	88832368		fulltext		Baraka Books	monograph	2016	2016						P
À bicyclette	978-2-8097-1102-8	978-2-8097-3309-9							http://univ.scholarvox.com/book/88828880	Su	88828880		fulltext		Éditions Philippe Picquier	monograph	2015	2015						P
A Bit of Earth : An exciting Saga from the First Singapore Literature Prize Winner	978-981-261-895-5	978-981-4484-40-4							http://univ.scholarvox.com/book/88813436	Lim	88813436		fulltext		Marshall Cavendish Editions	monograph	2009	2009						P
A Candle or the Sun	978-981-4351-35-5	978-981-4634-83-0							http://univ.scholarvox.com/book/88825530	Baratham	88825530		fulltext		Marshall Cavendish Editions	monograph	2014	2014						P
A Case of Knives	978-1-4152-0118-3	978-1-4152-0231-9							http://univ.scholarvox.com/book/88809926	de Wette	88809926		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
A Confissão de Lúcio	978-989-8559-70-8								http://univ.scholarvox.com/catalog/book/docid/88814236	Carneiro	88814236		fulltext		Atlantico Press	monograph	2013	2013						P
A contretemps : récit	978-2-88253-242-8								http://univ.scholarvox.com/catalog/book/docid/45005759	Fourez	45005759		fulltext		Luce Wilquin	monograph	2004	2004						P
À côté d'une joie	978-2-89699-401-4	978-2-89699-402-1							http://univ.scholarvox.com/book/88820167	Huot	88820167		fulltext		Les Editions L'Interligne	monograph	2014	2014						P
À couper au couteau	978-28-1592-918-9	978-28-1592-918-9							http://univ.scholarvox.com/book/88856549	Nelscott	88856549		fulltext		Editions de l'Aube	monograph	2018	2018						P
A dada	979-10-304-0010-6	979-10-304-0012-0							http://univ.scholarvox.com/book/88828900	Burkhard	88828900		fulltext		Edition Allia	monograph	2015	2015						P
A Dark Energy	978-07-9749-333-9	978-07-9749-697-2							http://univ.scholarvox.com/book/88862729	Mwanaka	88862729		fulltext		Mwanaka Media and Publishing	monograph	2018	2018						P
A Dirty Game	978-9956-5-7970-9	978-9956-5-7935-8							http://univ.scholarvox.com/book/88825206	Akombi	88825206		fulltext		Langaa RPCIG	monograph	2011	2011						P
À feu et à sang	978-2-89733-366-9	978-2-89733-367-6							http://univ.scholarvox.com/book/88819894	Philip	88819894		fulltext		DG diff. [diffusion/distribution]	monograph	2013	2013						P
À feu et à sang	978-2-89752-318-3	978-2-89752-319-0							http://univ.scholarvox.com/book/88826536	Scott	88826536		fulltext		DG diffusion [diffusion/distribution]	monograph	2015	2015						P
À fleur de peau	978-2-89758-424-5	978-2-89758-426-9							http://univ.scholarvox.com/book/88852450	Tomasella	88852450		fulltext		Guy Saint-Jean Editeur	monograph	2018	2018						P
À la carte ! : les perles non censurées de la restauration	978-2-84186-810-0	978-2-84186-810-0							http://univ.scholarvox.com/book/88842488	Dembele	88842488		fulltext		Michalon éditeur	monograph	2015	2015						P
À la recherche d'Émylie perdue	978-1-77120-167-4	978-1-77120-168-1							http://univ.scholarvox.com/book/88818426	Lalonde	88818426		fulltext		Les Editions du Vermillon	monograph	2013	2013						P
À la vie à la mort	978-2-923274-12-6	978-2-89699-148-8							http://univ.scholarvox.com/book/88816374	Marchand	88816374		fulltext		Les Editions L'Interligne	monograph	2011	2011						P
À l'aube des traversées et autres poèmes	978-2-89712-471-7	978-2-89712-473-1							http://univ.scholarvox.com/book/88841496	Orcel	88841496		fulltext		Mémoire d'encrier	monograph	2017	2017						P
A l'intérieur du labyrinthe	978-2-89502-144-5								http://univ.scholarvox.com/book/88809138	Chabot	88809138		fulltext		L'instant même	monograph	2001	2001						P
À l'ombre des rois	978-28-9585-450-0	978-28-9585-479-1							http://univ.scholarvox.com/book/88863755	Duquette	88863755		fulltext		diff. DNM [diffusion/distribution]	monograph	2013	2013						P
À l'ombre du silence : suivi de ; <<Les >>soleils incendiés : suivi de	978-2-89597-284-6	978-2-89597-400-0							http://univ.scholarvox.com/book/88816652	Donovan	88816652		fulltext		Editions David	monograph	2013	2013						P
A Match for Doctor Koekentapp	978-1-4152-0098-8	978-1-4152-0318-7							http://univ.scholarvox.com/book/88809930	Kayle	88809930		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
À Montparnasse : roman	979-10-9042-460-9								http://univ.scholarvox.com/book/88859060	Ellka	88859060		fulltext		Lunatique	monograph	2015	2015						P
A Moreninha	978-989-8559-64-7								http://univ.scholarvox.com/catalog/book/docid/88814195	Macedo	88814195		fulltext		Atlantico Press	monograph	2013	2013						P
A mort l'artiste !	978-2-930585-08-6	978-2-930585-41-3							http://univ.scholarvox.com/book/88818930	Gautier	88818930		fulltext		Genèse édition	monograph	2012	2012						P
À nos vingt ans	978-2-8159-0205-2	978-2-8159-0318-9							http://univ.scholarvox.com/book/88824300	Nguyễn	88824300		fulltext		Éd. de l'Aube	monograph	2012	2012						P
À peine enchantée	978-2-89767-729-9	978-2-89767-730-5							http://univ.scholarvox.com/book/88848750	Frost	88848750		fulltext		AdA éditions	monograph	2017	2017						P
À petites doses : thriller	978-2-7598-0415-3	978-2-7598-0330-9							http://univ.scholarvox.com/catalog/book/docid/88802624	Artus	88802624		fulltext		EDP Sciences	monograph	2009	2009						P
A Relíquia	978-989-8373-28-1								http://univ.scholarvox.com/catalog/book/docid/88814180	Queiroz	88814180		fulltext		Atlantico Press	monograph	2012	2012						P
A Sailor's Honour	978-1-4152-0163-3	978-1-4152-0353-8							http://univ.scholarvox.com/book/88809933	Marnewick	88809933		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
A Stone's Throw	978-1-84668-832-4	978-1-84765-777-0							http://univ.scholarvox.com/book/88813287	Shaw	88813287		fulltext		Profile Books	monograph	2012	2012						P
A table avec les grands explorateurs [Tome 1], : menus du monde entier	978-28-9464-919-0	978-28-9665-358-4							http://univ.scholarvox.com/book/88806298		88806298		fulltext		Ulysse	monograph	2011	2011						P
A table avec les grands explorateurs Tome 2, : menus du monde entier	978-28-9464-968-8	978-28-9665-049-1							http://univ.scholarvox.com/book/88806296		88806296		fulltext		Ulysse	monograph	2011	2011						P
À travers les branches	978-28-9726-160-3	978-28-9726-161-0							http://univ.scholarvox.com/book/88855629	Dion	88855629		fulltext		Marcel Broquet	monograph	2014	2014						P
A Year in the Wild	978-1-77010-130-2	978-1-77010-155-5							http://univ.scholarvox.com/book/88811689	Hendry	88811689		fulltext		Pan Macmillan South Africa	monograph	2011	2011						P
Abécédaire des ailleurs	978-2-914453-24-0								http://univ.scholarvox.com/catalog/book/docid/10191324	Vanel	10191324		fulltext		L'Archange Minotaure	monograph	2003	2003						P
Abel : roman	978-2-84450-277-3	978-2-84450-777-8							http://univ.scholarvox.com/book/45007922	Stanley	45007922		fulltext		Ibis rouge éd.	monograph	2005	2005						P
Aboulanol	978-2-36629-176-6	978-2-36629-177-3							http://univ.scholarvox.com/book/88824557	Bousquet	88824557		fulltext		Editions ActuSF	monograph	2013	2013						P
Absent : the English teacher	978-1-77922-082-0	978-1-77922-115-5							http://univ.scholarvox.com/book/88824946	Eppel	88824946		fulltext		Weaver Press	monograph	2009	2009						P
Absolute Power and other stories	978-9966-734-14-3	978-9966-040-32-9							http://univ.scholarvox.com/book/88827218	Keitany	88827218		fulltext		Zapf Chancery Publishers Africa Ltd.	monograph	2009	2009						P
Acacia	978-0-9922285-2-1	978-0-9922285-7-6							http://univ.scholarvox.com/book/88824901	Machingaidze	88824901		fulltext		African Perspectives Publishing	monograph	2014	2014						P
Accelerando	978-2-37119-017-7	978-2-37119-217-1							http://univ.scholarvox.com/book/88828878	Stross	88828878		fulltext		Piranha	monograph	2015	2015						P
Açores	979-10-3318-547-5	979-10-3318-550-5							http://univ.scholarvox.com/book/88858970		88858970		fulltext		les Nouvelles éditions de l'Université	monograph	2018	2018						P
Addiction	978-2-914388-61-0								http://univ.scholarvox.com/book/10274357	Jeudy	10274357		fulltext		M. Milo	monograph	2005	2005						P
Adel, l'apprenti migrateur	978-2-89712-411-3	978-2-89712-413-7							http://univ.scholarvox.com/book/88841486	Beddiari	88841486		fulltext		Mémoire d'encrier	monograph	2017	2017						P
Adeline Mowbray	978-2-35287-441-6	978-2-35287-443-0							http://univ.scholarvox.com/book/88811340	Opie	88811340		fulltext		Archipoche	monograph	2013	2013						P
Adoration : roman	978-2-914388-71-9								http://univ.scholarvox.com/book/10274360	Steinke	10274360		fulltext		M. Milo	monograph	2005	2005						P
Adrien de la vallée de Thurroch : roman	979-10-90424-11-1								http://univ.scholarvox.com/book/88817957	Tellier	88817957		fulltext		Lunatique	monograph	2012	2012						P
Adulte terre : nouvelles	978-2-88253-223-7								http://univ.scholarvox.com/catalog/book/docid/45005798	Miller	45005798		fulltext		Luce Wilquin	monograph	2003	2003						P
Afghanistan	978-27-4692-256-3								http://univ.scholarvox.com/book/41000538	Auzias	41000538		fulltext		Nouvelles éd. de l'Université	monograph	2008	2008						P
African Short Stories Volume 2,	978-978-36035-8-5	978-978-37036-9-8							http://univ.scholarvox.com/catalog/book/docid/88830104	Ce	88830104		fulltext		Handel Books	monograph	2015	2015						P
Afrique du Sud : Lesotho	979-10-3310-134-5								http://univ.scholarvox.com/book/88838853		88838853		fulltext		les Nouvelles éditions de l'Université	monograph	2016	2016						P
