publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
# Mains de glace	978-23-6734-389-1	978-23-6734-389-1							https://univ.scholarvox.com/book/88901638	Guirao	88901638		fulltext	langue : fre	Au vent des îles	monograph		2020						P	249693542
¡ Santa Muerte?!	979-10-9544-212-7	979-10-9544-212-7							https://univ.scholarvox.com/book/88871254	Portebois	88871254		fulltext	langue : fre	Realities Inc.	monograph		2017						P	253168392
A Beckoning War	978-1-77186-070-3	978-1-77186-070-3							https://univ.scholarvox.com/book/88832368	Murphy	88832368		fulltext	langue : eng	Baraka Books	monograph		2016						P	228043212
A Bit of Earth : An exciting Saga from the First Singapore Literature Prize Winner	978-981-4484-40-4	978-981-4484-40-4							https://univ.scholarvox.com/book/88813436	Lim	88813436		fulltext	langue : eng	Marshall Cavendish Editions	monograph		2009						P	228040728
A Blanket Against Darkness	978-07-7662-748-9	978-07-7662-748-9							https://univ.scholarvox.com/book/88869982	Harton	88869982		fulltext	langue : eng	Presses de l'Université d'Ottawa	monograph		2019						P	236680587
A Candle or the Sun	978-981-4634-83-0	978-981-4634-83-0							https://univ.scholarvox.com/book/88825530	Baratham	88825530		fulltext	langue : eng	Marshall Cavendish Editions	monograph		2014						P	22803647X
A Case of Knives	978-1-4152-0231-9	978-1-4152-0231-9							https://univ.scholarvox.com/book/88809926	de Wette	88809926		fulltext	langue : eng	Penguin Random House South Africa	monograph		2011						P	228033764
A Cave in the Clouds : A Young Woman's Escape from ISIS	978-17-7321-236-4	978-17-7321-236-4							https://univ.scholarvox.com/book/88884273	Hassan	88884273		fulltext	langue : eng	Annick Press	monograph		2019						P	24433157X
A Choice of Evils	978-98-1482-889-5	978-98-1482-889-5							https://univ.scholarvox.com/book/88867660	Chand	88867660		fulltext	langue : eng	Marshall Cavendish Editions	monograph		2019						P	24201271X
A Confissão de Lúcio									https://univ.scholarvox.com/book/88814236	Carneiro	88814236		fulltext	langue : por	Atlântico Press	monograph		2013						P	
À côté d'une joie	978-2-89699-402-1	978-2-89699-402-1							https://univ.scholarvox.com/book/88820167	Huot	88820167		fulltext	langue : fre	Les Editions L'Interligne	monograph		2014						P	228047862
À couper au couteau	978-28-1592-918-9	978-28-1592-918-9							https://univ.scholarvox.com/book/88856549	Nelscott	88856549		fulltext	langue : fre	Editions de l'Aube	monograph		2018						P	233394877
A dada	979-10-304-0012-0	979-10-304-0012-0							https://univ.scholarvox.com/book/88828900	Burkhard	88828900		fulltext	langue : fre	Edition Allia	monograph		2015						P	227987969
A Dark Energy	978-07-9749-697-2	978-07-9749-697-2							https://univ.scholarvox.com/book/88862729	Mwanaka	88862729		fulltext	langue : eng	Mwanaka Media and Publishing	monograph		2018						P	23340029X
A Dirty Game	978-9956-5-7935-8	978-9956-5-7935-8							https://univ.scholarvox.com/book/88825206	Akombi	88825206		fulltext	langue : eng	Langaa RPCIG	monograph		2011						P	228032350
À eux deux Saison 1,	978-23-6075-702-2	978-23-6075-702-2							https://univ.scholarvox.com/book/88882058	Luny	88882058		fulltext	langue : fre	Nisha et caetera-les éditions de l'Opportun	monograph		2019						P	243776667
À eux deux Saison 2,	978-23-6075-838-8	978-23-6075-838-8							https://univ.scholarvox.com/book/88882059	Luny	88882059		fulltext	langue : fre	Nisha et caetera-les éditions de l'Opportun	monograph		2019						P	243776675
A Far Horizon	978-98-1489-353-4	978-98-1489-353-4							https://univ.scholarvox.com/book/88901172	Chand	88901172		fulltext	langue : eng	Marshall Cavendish Editions	monograph		2020						P	249688204
À feu et à sang	978-2-89752-319-0	978-2-89752-319-0							https://univ.scholarvox.com/book/88826536	Scott	88826536		fulltext	langue : fre	DG diffusion	monograph		2015						P	227982827
À feu et à sang	978-2-89733-367-6	978-2-89733-367-6							https://univ.scholarvox.com/book/88819894	Philip	88819894		fulltext	langue : fre	DG diff.	monograph		2013						P	227996798
À fleur de peau	978-2-89758-426-9	978-2-89758-426-9							https://univ.scholarvox.com/book/88852450	Tomasella	88852450		fulltext	langue : fre	Guy Saint-Jean Editeur	monograph		2018						P	228011825
À la carte ! : les perles non censurées de la restauration	978-2-84186-810-0	978-2-84186-810-0							https://univ.scholarvox.com/book/88842488	Dembele	88842488		fulltext	langue : fre	Michalon éditeur	monograph		2015						P	227983955
A la cime des montagnes : roman	978-28-0972-505-6	978-28-0972-505-6							https://univ.scholarvox.com/book/88868039	Chi	88868039		fulltext	langue : fre	Editions Philippe Picquier	monograph		2019						P	236681389
À la croisée des destins : Tome 1	979-10-9310-593-2	979-10-9310-593-2							https://univ.scholarvox.com/book/88883474	Rousseaux	88883474		fulltext	langue : fre	La Plume et le Parchemin	monograph		2017						P	244332703
A la croisée des destins : Tome 2	979-10-9740-215-0	979-10-9740-215-0							https://univ.scholarvox.com/book/88883479	Rousseaux	88883479		fulltext	langue : fre	La Plume et le Parchemin	monograph		2018						P	244332746
À la dérive	979-10-2260-025-5	979-10-2260-025-5							https://univ.scholarvox.com/book/88903530	Quiroga	88903530		fulltext	langue : fre	Editions Métailié	monograph		2013						P	25261609X
À la lueur du sang : roman	978-23-6734-176-7	978-23-6734-176-7							https://univ.scholarvox.com/book/88896627	Guirao	88896627		fulltext	langue : fre	Au vent des îles	monograph		2015						P	244997918
À la merci du désir : mémoires fictifs	979-10-9072-482-2	979-10-9072-482-2							https://univ.scholarvox.com/book/88878453	Exley	88878453		fulltext	langue : fre	Monsieur Toussaint Louverture	monograph		2020						P	250256282
À la recherche d'Émylie perdue	978-1-77120-168-1	978-1-77120-168-1							https://univ.scholarvox.com/book/88818426	Lalonde	88818426		fulltext	langue : fre	Les Editions du Vermillon	monograph		2013						P	228013909
À la recherche du pain vivant : entretiens	978-23-3008-467-7	978-23-3008-467-7							https://univ.scholarvox.com/book/88883588	Feuillas	88883588		fulltext	langue : fre	Actes Sud	monograph		2017						P	244325251
À la vie à la mort	978-2-89699-148-8	978-2-89699-148-8							https://univ.scholarvox.com/book/88816374	Marchand	88816374		fulltext	langue : fre	Les Editions L'Interligne	monograph		2011						P	228010187
À l'aide ou le rapport W	978-24-9124-103-2	978-24-9124-103-2							https://univ.scholarvox.com/book/88884099	Heidsieck	88884099		fulltext	langue : fre	Éditions du Faubourg	monograph		2020						P	25024246X
À l'aide ou le rapport W	978-24-9124-120-9	978-24-9124-120-9							https://univ.scholarvox.com/book/88897693	Heidsieck	88897693		fulltext	langue : fre	Faubourg	monograph		2020						P	248793853
À l'aube des traversées et autres poèmes	978-2-89712-473-1	978-2-89712-473-1							https://univ.scholarvox.com/book/88841496	Orcel	88841496		fulltext	langue : fre	Mémoire d'encrier	monograph		2017						P	227991338
A l'épreuve de la faim : journal d'une île froide : mémoires fictifs	979-10-9072-441-9	979-10-9072-441-9							https://univ.scholarvox.com/book/88873698	Exley	88873698		fulltext	langue : fre	Monsieur Toussaint Louverture	monograph		2017						P	241549965
A l'estuaire du monde = = At the world's estuary :									https://univ.scholarvox.com/book/88874145	Gyatso	88874145		fulltext	langue : fre	Editions de l'Astronome	monograph		2019						P	
