publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Apprenez à respirer à vos enfants : rhumes, otites, bronchites, asthme, malformations dento-maxillaires		978-2-7598-1897-6							http://univ.scholarvox.com/catalog/book/docid/88830244		88830244		fulltext		EDP sciences	monograph		2015						P
Cardiovascular Pathology	978-0-12-420219-1	978-0-12-800459-3							http://univ.scholarvox.com/catalog/book/docid/88831121	Buja	88831121		fulltext		Elsevier Science	monograph	2015	2015						P
Cell Biology : Translational Impact in Cancer Biology and Bioinformatics	978-0-12-801853-8	978-0-12-801876-7							http://univ.scholarvox.com/catalog/book/docid/88831979	Mitchell	88831979		fulltext		Elsevier Science	monograph	2016	2016						P
Cent syndromes ORL avec surdité : présentation en tableaux organisés UCOPAL		978-2-7598-1243-1							http://univ.scholarvox.com/catalog/book/docid/88818913		88818913		fulltext		Edp sciences	monograph		2014						P
Comparative Anatomy and Histology : A Mouse and Human Atlas	978-0-12-381361-9	978-0-12-381362-6							http://univ.scholarvox.com/catalog/book/docid/88812174	Treuting	88812174		fulltext		Elsevier Science	monograph	2011	2011						P
Confortablement ignorant : changeons nos habitudes alimentaires pour protéger le climat et notre santé	979-10-90685-60-4	979-10-90685-60-4							http://univ.scholarvox.com/catalog/book/docid/88838624	Oppenlander	88838624		fulltext		Le muscadier	monograph	2015	2015						P
Dépression : s'enfermer ou s'en sortir ?	979-10-90685-43-7	979-10-90685-43-7							http://univ.scholarvox.com/catalog/book/docid/88838612	Pelissolo	88838612		fulltext		Le muscadier	monograph	2015	2015						P
Emery and Rimoin's Essential Medical Genetics	978-0-12-407240-4	978-0-12-416982-1							http://univ.scholarvox.com/catalog/book/docid/88814362	Rimoin	88814362		fulltext		Elsevier Science	monograph	2013	2013						P
Étirement & [et] renforcement musculaire : gym, forme, plaisir : 250 exercices d'étirement et de renforcement musculaire : amélioration de la souplesse et développement de la force en douceur	978-2-85180-668-0								http://univ.scholarvox.com/catalog/book/docid/10125125	Waymel	10125125		fulltext		Editions Amphora	monograph	2005	2005						P
Expliquer la vie : De l'âme à la molécule	978-2-7592-1662-8	978-2-7592-1663-5							http://univ.scholarvox.com/catalog/book/docid/88805828	Pichot	88805828		fulltext		Editions Quae	monograph	2011	2011						P
Gouttières thermoformées orthopédiques et orthodontiques	978-2-7598-0519-8	978-2-7598-0935-6							http://univ.scholarvox.com/catalog/book/docid/88803132	Amoric	88803132		fulltext		EDP Sciences	monograph	2010	2010						P
Humanitarian logistics : meeting the challenge of preparing for and responding to disasters	978-0-7494-7087-6	978-0-7494-7088-3							http://univ.scholarvox.com/catalog/book/docid/88821932	Tatham	88821932		fulltext		Kogan Page	monograph	2014	2014						P
L'odontologiste face à : Asthme, Cirrhose, Diabète, Endocardite... Conduites à tenir	978-2-7598-0524-2	978-2-7598-0937-0							http://univ.scholarvox.com/catalog/book/docid/88803133	Predine-Hug	88803133		fulltext		EDP Sciences	monograph	2011	2011						P
Penser comme un rat	978-2-7592-0336-9	978-2-7592-0337-6							http://univ.scholarvox.com/catalog/book/docid/45003287	Despret	45003287		fulltext		Editions Quae	monograph	2009	2009						P
Proteomic Profiling and Analytical Chemistry : The Crossroads	978-0-444-63688-1	978-0-444-63690-4							http://univ.scholarvox.com/catalog/book/docid/88832707	Ciborowski	88832707		fulltext		Elsevier Science	monograph	2016	2016						P
