publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A Baker's Dozen : Real Analog Solutions for Digital Designers	978-0-7506-7819-3	978-0-08-047599-8							http://univ.scholarvox.com/catalog/book/docid/40000588	Baker	40000588		fulltext		Elsevier Science	monograph	2005	2005						P
A Classical Introduction to Galois Theory	978-1-118-09139-5	978-1-118-33681-6							http://univ.scholarvox.com/catalog/book/docid/88813034	Newman	88813034		fulltext		John Wiley & Sons	monograph	2012	2012						P
A Complete Guide to the Snakes of Southern Africa	978-1-86872-932-6	978-1-920544-65-2							http://univ.scholarvox.com/catalog/book/docid/88809928	Marais	88809928		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
A Comprehensive Guide to Solar Energy Systems : With Special Focus on Photovoltaic Systems	978-01-2811-479-7	978-01-2811-480-3							http://univ.scholarvox.com/book/88864519	Letcher	88864519		fulltext		Elsevier Science	monograph	2018	2018						P
A Concrete Approach to Abstract Algebra : From the Integers to the Insolvability of the Quintic	978-0-12-374941-3	978-0-08-095862-0							http://univ.scholarvox.com/catalog/book/docid/45006581	Bergen	45006581		fulltext		Elsevier Science	monograph	2010	2010						P
A Contemporary Study of Iterative Methods	978-01-2809-214-9	978-01-2809-493-8							http://univ.scholarvox.com/book/88864144	Magrenan	88864144		fulltext		Elsevier Science	monograph	2018	2018						P
A course of mathematics for engineers and scientists volume 2	978-0-08-015970-6	978-1-4831-5091-8							http://univ.scholarvox.com/book/88849547	Chirgwin	88849547		fulltext		Pergamon Press	monograph	2017	2017						P
A Field Guide to the Larger Mammals of Tanzania	978-0-691-16117-4	978-1-4008-5280-2							http://univ.scholarvox.com/catalog/book/docid/88833495	Foley	88833495		fulltext		Princeton University Press	monograph	2014	2014						P
A First Course in Applied Mathematics	978-1-118-22962-0								http://univ.scholarvox.com/catalog/book/docid/88813248	Rebaza	88813248		fulltext		John Wiley & Sons	monograph	2012	2012						P
A First Course in Finite Elements	978-0-470-03580-1								http://univ.scholarvox.com/catalog/book/docid/41000261	Fish	41000261		fulltext		John Wiley & Sons	monograph	2007	2007						P
A First Course in Functional Analysis	978-0-470-14619-4								http://univ.scholarvox.com/catalog/book/docid/41000263	Promislow	41000263		fulltext		John Wiley & Sons	monograph	2008	2008						P
A Guide to Filtration with String Wound Cartridges : Influence of Winding Parameters on Filtration Behaviour of String Wound Filter Cartridges	978-0-12-804847-4	978-0-12-805155-9							http://univ.scholarvox.com/catalog/book/docid/88832765	Kanade	88832765		fulltext		Elsevier Science	monograph	2016	2016						P
A Guide to Modern Econometrics	978-1-119-95167-4								http://univ.scholarvox.com/catalog/book/docid/88808446	Verbeek	88808446		fulltext		John Wiley & Sons	monograph	2012	2012						P
A Guide to Modern Econometrics	978-0-470-51769-7								http://univ.scholarvox.com/catalog/book/docid/88803175	Verbeek	88803175		fulltext		John Wiley & Sons	monograph	2008	2008						P
A Guide to Ship Repair Estimates in Man-hours	978-0-08-098262-5	978-0-08-098280-9							http://univ.scholarvox.com/catalog/book/docid/88812000	Butler	88812000		fulltext		Elsevier Science	monograph	2012	2012						P
