publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A la découverte de Windows 8 - Spécial grands débutants !	978-2-212-18140-1	978-2-212-18140-1							https://univ.scholarvox.com/book/88812480	Lavant	88812480		fulltext	langue : fre	Eyrolles	monograph		2012						P	170604896
A pharmacology primer : techniques for more effective and strategic drug discovery	978-0-12-407689-1	978-0-12-407689-1							https://univ.scholarvox.com/book/88819198	Kenakin	88819198		fulltext	langue : eng	Elsevier B.V.	monograph		2014						P	179864580
A Pharmacology Primer : Theory, Application and Methods	978-0-08-092333-8	978-0-08-092333-8							https://univ.scholarvox.com/book/88811733	Kenakin	88811733		fulltext	langue : eng	Elsevier Science & Technology Books	monograph		2009						P	18256536X
Acoustics : sound fields and transducers	978-0-12-391486-6	978-0-12-391486-6							https://univ.scholarvox.com/book/88812251	Beranek	88812251		fulltext	langue : eng	Elsevier Science & Technology Books	monograph		2012						P	170604101
ActionScript 3 : Programmation séquentielle et orientée objet									https://univ.scholarvox.com/book/41001388	Tardiveau	41001388		fulltext	langue : fre	Eyrolles	monograph		2009						P	
ActionScript 3 : Programmation séquentielle et orientée objet									https://univ.scholarvox.com/book/40001062	Tardiveau	40001062		fulltext	langue : fre	Eyrolles	monograph		2008						P	
Active Directory Administration Cookbook : Actionable, proven solutions to identity management and authentication on servers and in the cloud	978-17-8980-473-7	978-17-8980-473-7							https://univ.scholarvox.com/book/88871035	Berkouwer	88871035		fulltext	langue : eng	Packt Publishing	monograph		2019						P	238420299
Activiti 5.x Business Process Management beginner's guide : a practical guide to designing and developing BPMN-based business processes	978-1-84951-707-2	978-1-84951-707-2							https://univ.scholarvox.com/book/88851016	Laliwala	88851016		fulltext	langue : eng	Packt Publishing	monograph		2014						P	22804751X
Adobe Flash 11 Stage3D (Molehill) game programming beginner's guide	978-1-84969-169-7	978-1-84969-169-7							https://univ.scholarvox.com/book/88851582	Kaitila	88851582		fulltext	langue : eng	Packt Publishing	monograph		2011						P	228022738
Advanced Java® EE development with WildFly®	978-1-78328-891-5	978-1-78328-891-5							https://univ.scholarvox.com/book/88852856	Vohra	88852856		fulltext	langue : eng	Packt Publishing	monograph		2015						P	228009723
Advanced penetration testing for highly-secured environments : the ultimate security guide : learn how to perform professional penetration testing for highly-secured environments with this intensive hands-on guide	978-1-84951-775-1	978-1-84951-775-1							https://univ.scholarvox.com/book/88850727	Allen	88850727		fulltext	langue : eng	Packt Pub.	monograph		2012						P	227993802
Advanced Python Programming : Build high performance, concurrent, and multi-threaded apps with Python using proven design patterns	978-18-3855-369-2	978-18-3855-369-2							https://univ.scholarvox.com/book/88866863	Lanaro	88866863		fulltext	langue : eng	Packt Publishing	monograph		2019						P	23607041X
Advanced quantitative finance with C++	978-1-78216-723-5	978-1-78216-723-5							https://univ.scholarvox.com/book/88851115	Ph.d.	88851115		fulltext	langue : eng	Packt Publishing	monograph		2014						P	228023270
Advances in Potato Chemistry and Technology	978-0-08-092191-4	978-0-08-092191-4							https://univ.scholarvox.com/book/88812128	Singh	88812128		fulltext	langue : eng	Elsevier Science & Technology Books	monograph		2009						P	170600254
Aftershot Pro : non-destructive photo editing and management	978-1-84969-467-4	978-1-84969-467-4							https://univ.scholarvox.com/book/88850921	Ziebs	88850921		fulltext	langue : eng	Packt Publishing	monograph		2012						P	228009502
Agile IT security implementation methodology	978-1-84968-571-9	978-1-84968-571-9							https://univ.scholarvox.com/book/88851586	Laskowski	88851586		fulltext	langue : eng	Packt Publishing	monograph		2011						P	228027446
Agriculture biologique : espoir ou chimère ?	979-10-90685-11-6	979-10-90685-11-6							https://univ.scholarvox.com/book/88838597	Dufumier	88838597		fulltext	langue : fre	Le Muscadier	monograph		2013						P	199243557
Agriculture biologique : une approche scientifique									https://univ.scholarvox.com/book/88814092	Carné-Carnavalet	88814092		fulltext	langue : fre	Editions France Agricole	monograph		2011						P	
Aide mémoire de thermodynamique	978-2-10-071534-3	978-2-10-071534-3							https://univ.scholarvox.com/book/88820810	Meunier	88820810		fulltext	langue : fre	Dunod	monograph		2014						P	198667167
Aide-mémoire - Biologie cellulaire	978-2-10-056461-3	978-2-10-056461-3							https://univ.scholarvox.com/book/88802106	Tourte	88802106		fulltext	langue : fre	Dunod	monograph		2011						P	170261328
Aide-mémoire - Composants électroniques	978-2-10-054639-8	978-2-10-054639-8							https://univ.scholarvox.com/book/45006320	Mayé	45006320		fulltext	langue : fre	Dunod	monograph		2010						P	170280985
Aide-mémoire - Composants électroniques	978-2-10-052828-8	978-2-10-052828-8							https://univ.scholarvox.com/book/45001651	Mayé	45001651		fulltext	langue : fre	Dunod	monograph		2005						P	170263312
Aide-mémoire - Froid industriel	978-2-10-055313-6	978-2-10-055313-6							https://univ.scholarvox.com/book/45007510	Desmons	45007510		fulltext	langue : fre	Dunod	monograph		2010						P	170251578
