publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A armes égales : combat pour le Québec français	978-2-89448-005-2	978-2-89664-083-6							http://univ.scholarvox.com/book/88837651	Bouthillier	88837651		fulltext		Septentrion	monograph	1994	1994						P
A Arte da Guerra	978-989-8659-22-4								http://univ.scholarvox.com/catalog/book/docid/88817612	Tzu	88817612		fulltext		Atlantico Press	monograph	2014	2014						P
A Baba Boyhood : Growing up during World War 2	978-981-4382-22-9	978-981-4435-51-2							http://univ.scholarvox.com/catalog/book/docid/88813475	Gwee	88813475		fulltext		Marshall Cavendish Editions	monograph	2013	2013						P
À bout de patience : Pierre Perrault et la dépossession	978-2-89719-284-6	978-2-89719-285-3							http://univ.scholarvox.com/catalog/book/docid/88836384	Ducharme	88836384		fulltext		Les Editions Ecosociété	monograph	2016	2016						P
A Boy From Acadie : Roméo LeBlanc's Journey To Rideau Hall	978-28-9750-125-9	978-28-9750-126-6							http://univ.scholarvox.com/book/88865522	Young	88865522		fulltext		Bouton d'or Acadie	monograph	2019	2019						P
A brief history of the late Ottoman empire	978-0-691-13452-9	978-1-4008-2968-2							http://univ.scholarvox.com/catalog/book/docid/45003473	Hanioglu	45003473		fulltext		Princeton University Press	monograph	2008	2008						P
A Bruxa do Monte Córdova	978-989-8721-02-0								http://univ.scholarvox.com/catalog/book/docid/88828578	Branco	88828578		fulltext		Atlantico Press	monograph	2015	2015						P
A Case of Love and Hate	978-07-9748-494-8	978-07-9749-700-9							http://univ.scholarvox.com/book/88862723	Mhondera	88862723		fulltext		Mwanaka Media and Publishing	monograph	2018	2018						P
A certain idea of France : French security policy and the Gaullist legacy	978-0-691-08647-7	978-1-4008-2091-7							http://univ.scholarvox.com/catalog/book/docid/45003621	Gordon	45003621		fulltext		Princeton University Press	monograph	1993	2014						P
A chacun sa quête : essais sur les nouveaux visages de la transcendance	978-2-7605-1036-4	978-2-7605-1630-4							http://univ.scholarvox.com/catalog/book/docid/88801231	Boisvert	88801231		fulltext		Presses de l'Université du Québec	monograph	2000	2000						P
À chacun ses Juifs : 60 éditoriaux pour comprendre la position du Devoir à l'égard des Juifs, 1910-1947	978-2-89448-799-0	978-2-89664-892-4							http://univ.scholarvox.com/book/88837870	Anctil	88837870		fulltext		Septentrion	monograph	2014	2014						P
A cidade e as serras	978-989-8373-23-6								http://univ.scholarvox.com/catalog/book/docid/88814159	Queiroz	88814159		fulltext		Atlantico Press	monograph	2012	2012						P
A comme Afrique = = A for Africa : = = under the direction of the school of African heritage :	978-2-909550-78-7								http://univ.scholarvox.com/catalog/book/docid/88825878	L'Ecole du Patrimoine Africain	88825878		fulltext		Grandvaux	monograph	2012	2012						P
A companion to african philosophy	978-1-4051-4567-1	978-0-470-99737-6							http://univ.scholarvox.com/catalog/book/docid/88826897	Wiredu	88826897		fulltext		John Wiley & Sons	monograph	2006	2006						P
A Companion to African-American philosophy	978-1-55786-839-8	978-0-470-75164-0							http://univ.scholarvox.com/book/88839112	Lott	88839112		fulltext		John Wiley & Sons	monograph	2003	2003						P
A companion to ancient philosophy	978-1-4051-8834-0	978-0-470-70095-2							http://univ.scholarvox.com/book/88839082	Gill	88839082		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to Aristotle	978-1-118-59243-4	978-0-470-98488-8							http://univ.scholarvox.com/book/88838999	Anagnostopoulos	88838999		fulltext		John Wiley & Sons	monograph	2013	2013						P
A Companion to Ayn Rand	978-1-4051-8684-1								http://univ.scholarvox.com/book/88839080	Gotthelf	88839080		fulltext		John Wiley & Sons	monograph	2016	2016						P
A companion to Buddhist philosophy	978-0-470-65877-2	978-1-118-32388-5							http://univ.scholarvox.com/book/88839116	Emmanuel	88839116		fulltext		John Wiley & Sons	monograph	2014	2014						P
A companion to Derrida	978-1-4443-3284-1	978-1-118-60727-5							http://univ.scholarvox.com/book/88839096	Direk	88839096		fulltext		John Wiley & Sons	monograph	2012	2012						P
A companion to Eighteenth-century Europe	978-1-118-73002-7								http://univ.scholarvox.com/catalog/book/docid/88826900	Wilson	88826900		fulltext		John Wiley & Sons	monograph	2013	2013						P
A companion to Europe since 1945	978-1-4051-0612-2								http://univ.scholarvox.com/catalog/book/docid/88826921	Larres	88826921		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to Foucault	978-1-4443-3406-7	978-1-118-32485-1							http://univ.scholarvox.com/book/88839100	Falzon	88839100		fulltext		John Wiley & Sons	monograph	2012	2012						P
A companion to global historical thought	978-0-470-65899-4	978-1-118-52536-4							http://univ.scholarvox.com/catalog/book/docid/88826881	Duara	88826881		fulltext		John Wiley & Sons	monograph	2014	2014						P
A Companion to Hegel	978-1-4051-7076-5	978-1-4443-9714-7							http://univ.scholarvox.com/book/88839058	Houlgate	88839058		fulltext		John Wiley & Sons	monograph	2011	2011						P
A companion to Heidegger	978-1-4051-1092-1	978-0-470-99649-2							http://univ.scholarvox.com/book/88839040	Dreyfus	88839040		fulltext		John Wiley & Sons	monograph	2005	2005						P
A companion to Latin American literature and culture	978-1-4051-2806-3								http://univ.scholarvox.com/catalog/book/docid/88826894	Castro-Klaren	88826894		fulltext		John Wiley & Sons	monograph	2008	2008						P
A companion to Latin American philosophy	978-1-4051-7979-9	978-1-118-61056-5							http://univ.scholarvox.com/catalog/book/docid/88826895	Nuccetelli	88826895		fulltext		John Wiley & Sons	monograph	2009	2009						P
A Companion to Locke	978-1-4051-7815-0								http://univ.scholarvox.com/book/88839068	Stuart	88839068		fulltext		John Wiley & Sons	monograph	2016	2016						P
A companion to Mediterranean history	978-0-470-65901-4	978-1-118-51933-2							http://univ.scholarvox.com/catalog/book/docid/88826882	Horden	88826882		fulltext		John Wiley & Sons	monograph	2014	2014						P
A companion to metaphysics	978-1-4051-5298-3								http://univ.scholarvox.com/book/88839046	Kim	88839046		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to Nietzsche	978-1-4051-9076-3	978-0-470-79852-2							http://univ.scholarvox.com/book/88839084	Ansell Pearson	88839084		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to philosophy in the middle ages	978-0-631-21672-8	978-0-470-99666-9							http://univ.scholarvox.com/book/88838962	Gracia	88838962		fulltext		John Wiley & Sons	monograph	2005	2005						P
A companion to Schopenhauer	978-1-4051-7103-8	978-1-4443-4754-8							http://univ.scholarvox.com/book/88839059	Vandenabeele	88839059		fulltext		John Wiley & Sons	monograph	2011	2011						P
A companion to Socrates	978-1-4051-9260-6								http://univ.scholarvox.com/book/88839088	Ahbel-Rappe	88839088		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to the French Revolution	978-1-4443-3564-4	978-1-1183-1641-2							http://univ.scholarvox.com/catalog/book/docid/88826923	McPhee	88826923		fulltext		John Wiley & Sons	monograph	2012	2012						P
A companion to the medieval world	978-1-4051-0922-2								http://univ.scholarvox.com/catalog/book/docid/88826893	Lansing	88826893		fulltext		John Wiley & Sons	monograph	2009	2009						P
A companion to the philosophy of education	978-0-631-22837-0	978-0-470-99723-9							http://univ.scholarvox.com/book/88838959	Curren	88838959		fulltext		John Wiley & Sons	monograph	2003	2003						P
A companion to the philosophy of time	978-0-47065-881-9	978-1-11852-205-9							http://univ.scholarvox.com/book/88839117	Bardon	88839117		fulltext		Wiley Blackwell	monograph	2013	2013						P
A companion to the worlds of the Renaissance	978-1-4051-5783-4	978-0-470-75161-9							http://univ.scholarvox.com/catalog/book/docid/88826896	Ruggiero	88826896		fulltext		John Wiley & Sons	monograph	2006	2006						P
A companion to twentieth-century german literature	978-0-415-15056-9	978-0-203-36042-2							http://univ.scholarvox.com/catalog/book/docid/41000659	Furness	41000659		fulltext		Taylor & Francis	monograph	1997	2014						P
A companion to world history	978-1-4443-3418-0								http://univ.scholarvox.com/catalog/book/docid/88826918	Northrop	88826918		fulltext		John Wiley & Sons	monograph	2012	2012						P
A Comparative Study of Religions	978-9966-846-89-1	978-9966-792-38-9							http://univ.scholarvox.com/catalog/book/docid/88827285	Mugambi	88827285		fulltext		University of Nairobi Press	monograph	2010	2010						P
A Contemporary Geography of Uganda	978-9987-08-036-6	978-9987-08-077-9							http://univ.scholarvox.com/catalog/book/docid/88825346	Bakamanume	88825346		fulltext		Mkuki na Nyota Publishers	monograph	2010	2010						P
