publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A better politics : how government can make us happier									https://univ.scholarvox.com/book/88832555	Dorling	88832555		fulltext	langue : eng	London Publishing Partnership	monograph		2013						P	
A Brief History of International Relations : The World Made Easy	978-14-3316-758-4	978-14-3316-758-4							https://univ.scholarvox.com/book/88875987	Brush	88875987		fulltext	langue : eng	Peter Lang	monograph		2019						P	241549310
A Crowdfunder's Strategy Guide : Build a Better Business by Building Community	978-1-62656-409-1	978-1-62656-409-1							https://univ.scholarvox.com/book/88828737	Stegmaier	88828737		fulltext	langue : eng	Berrett-Koehler Publishers	monograph		2015						P	198680872
A historical perspective on race-based politics	978-16-2273-626-3	978-16-2273-626-3							https://univ.scholarvox.com/book/88871856	Smith	88871856		fulltext	langue : eng	Vernon Press	monograph		2019						P	238411265
A history of political economy									https://univ.scholarvox.com/book/88826199	Ingram	88826199		fulltext	langue : eng	Black	monograph		2015						P	
À la recherche des Européens									https://univ.scholarvox.com/book/88867356		88867356		fulltext	langue : fre	La Documentation française	monograph		2011						P	
A la santé de l'oncle Sam : regards croisés sur les systèmes de santé américain et français									https://univ.scholarvox.com/book/88802056	Tabuteau	88802056		fulltext	langue : fre	Editions Jacob-Duvernet	monograph		2010						P	
A l'intérieur de la menace	978-27-6064-054-2	978-27-6064-054-2							https://univ.scholarvox.com/book/88901339	Blais	88901339		fulltext	langue : fre	Les Presses de l'Université de Montréal	monograph		2019						P	249683008
À mes frères : anthologie de textes poétiques et politiques	978-23-7729-103-8	978-23-7729-103-8							https://univ.scholarvox.com/book/88883751	Michel	88883751		fulltext	langue : fre	Libertalia	monograph		2019						P	242833500
A Monetary History of the United States, 1867-1960	978-1-4008-2933-0	978-1-4008-2933-0							https://univ.scholarvox.com/book/88807820	Friedman	88807820		fulltext	langue : eng	Princeton University Press	monograph		1971						P	170237699
