publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Abdos fessiers : exercices de renforcement musculaire	978-28-5180-572-0								http://univ.scholarvox.com/book/88854669	Pavlovic	88854669		fulltext		Amphora	monograph	2005	2005						P
Approche systémique de la performance sportive : analyse de la performance et planification, quantification des charges d'entraînement et de compétition	978-28-5180-837-0								http://univ.scholarvox.com/book/88854716	Biéchy	88854716		fulltext		Amphora	monograph	2011	2011						P
Basket, entrainement des jeunes : principes fondamentaux, perfectionnement technico-tactique : 150 fiches pratiques	978-28-5180-765-6								http://univ.scholarvox.com/book/88854677	Malfois	88854677		fulltext		Amphora	monograph	2009	2009						P
Bien respirer : un nouveau souffle pour votre bien-être : plus de 120 solutions simples et efficaces : préserver votre capital santé ; Développer votre énergie ; Mieux gérer votre stress et vos émotions ; Vous relaxer en toutes circonstances ; Améliorer la qualité de votre sommeil ; Diminuer votre temps de récupération ; Adapter votre organisme à l'effort ; Augmenter votre pouvoir de concentration	978-28-5180-777-9								http://univ.scholarvox.com/book/88854643	Choque	88854643		fulltext		Amphora	monograph	2010	2010						P
Courir : du jogging au marathon	978-28-5180-643-7								http://univ.scholarvox.com/book/10125153	Delore	10125153		fulltext		Amphora	monograph	2004	2004						P
Course à pied : méthode d'entraînement par cycles : des cycles de 21 jours pour atteindre ses objectifs	978-28-5180-913-1								http://univ.scholarvox.com/book/88854724	Lamouche	88854724		fulltext		Amphora	monograph	2015	2015						P
Courses nature, trails et raids : s'initier et progresser	978-28-5180-755-7								http://univ.scholarvox.com/book/88854746	Calmé	88854746		fulltext		Amphora	monograph	2009	2009						P
Cyclosportif : route, VTT : préparation et entraînement	978-28-5180-740-3								http://univ.scholarvox.com/book/88854730	Delore	88854730		fulltext		Amphora	monograph	2008	2008						P
Football : perfectionnement tactique	978-28-5180-676-5								http://univ.scholarvox.com/book/88854684	Doucet	88854684		fulltext		Amphora	monograph	2005	2005						P
Football : une préparation physique programmée	978-28-5180-753-3								http://univ.scholarvox.com/book/88854715	Ancian	88854715		fulltext		Amphora	monograph	2008	2008						P
