publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A buen juez	978-84-9816-276-9								http://univ.scholarvox.com/book/45002898	Zorrilla	45002898		fulltext		Red-ediciones	monograph	2008	2008						P
A la entrada del príncipe de Gales en Madrid por marzo del año 1623	978-84-9816-547-0								http://univ.scholarvox.com/book/45002915	de Solís	45002915		fulltext		Red-ediciones	monograph	2008	2008						P
A María el corazón	978-84-9816-392-6	978-84-9816-994-2							http://univ.scholarvox.com/book/45002180	Calderón de la Barca	45002180		fulltext		Red-ediciones	monograph	2008	2008						P
A propósito de un tal Javier Marías	978-84-342-2230-4								http://univ.scholarvox.com/book/40000343	Braudeau	40000343		fulltext		Debolsillo	monograph	2003	2003						P
A secreto agravio, secreta venganza	978-84-9897-266-5	978-84-96290-93-8							http://univ.scholarvox.com/book/45002181	Calderón de la Barca	45002181		fulltext		Red-ediciones	monograph	2008	2008						P
Abdala	978-84-933439-7-2								http://univ.scholarvox.com/book/45002717	Martí y Pérez	45002717		fulltext		Red-ediciones	monograph	2008	2008						P
Aben Humeya o La rebelión de los moriscos	978-84-9897-262-7								http://univ.scholarvox.com/book/45002734	Martínez de la Rosa	45002734		fulltext		Red-ediciones	monograph	2008	2008						P
Abencerraje	978-84-9816-842-6								http://univ.scholarvox.com/book/45002916	de Villegas	45002916		fulltext		Red-ediciones	monograph	2008	2008						P
Abre el ojo	978-84-9897-265-8								http://univ.scholarvox.com/book/45002535	de Rojas Zorrilla	45002535		fulltext		Red-ediciones	monograph	2008	2008						P
Adúltera	978-84-96290-06-8								http://univ.scholarvox.com/book/45002718	Martí y Pérez	45002718		fulltext		Red-ediciones	monograph	2008	2008						P
Al pueblo y congreso norteamericanos	978-84-9816-703-0								http://univ.scholarvox.com/book/45003031	Mabini	45003031		fulltext		Red-ediciones	monograph	2008	2008						P
Álbum de un loco	978-84-9897-264-1								http://univ.scholarvox.com/book/45002899	Zorrilla	45002899		fulltext		Red-ediciones	monograph	2008	2008						P
Amadís de Gaula I	978-84-9816-814-3								http://univ.scholarvox.com/book/45002767	Ordóñez de Montalvo	45002767		fulltext		Red-ediciones	monograph	2008	2008						P
Amadís de Gaula II	978-84-9816-815-0								http://univ.scholarvox.com/book/45002768	Ordóñez de Montalvo	45002768		fulltext		Red-ediciones	monograph	2008	2008						P
Amadís de Gaula III	978-84-9816-816-7								http://univ.scholarvox.com/book/45002769	Ordóñez de Montalvo	45002769		fulltext		Red-ediciones	monograph	2008	2008						P
Amadís de Gaula IV	978-84-9816-844-0								http://univ.scholarvox.com/book/45002770	Ordóñez de Montalvo	45002770		fulltext		Red-ediciones	monograph	2008	2008						P
Amado y aborrecido	978-84-9897-272-6	978-84-9897-104-0							http://univ.scholarvox.com/book/45002182	Calderón de la Barca	45002182		fulltext		Red-ediciones	monograph	2008	2008						P
Amalia	978-84-9897-273-3								http://univ.scholarvox.com/book/45002713	Mármol Carvajal	45002713		fulltext		Red-ediciones	monograph	2008	2008						P
Amar después de la muerte	978-84-9897-274-0	978-84-9816-394-0							http://univ.scholarvox.com/book/45002183	Calderón de la Barca	45002183		fulltext		Red-ediciones	monograph	2008	2008						P
Amar por razón de Estado	978-84-9897-275-7								http://univ.scholarvox.com/book/45002454	Molina	45002454		fulltext		Red-ediciones	monograph	2008	2008						P
Amar por señas	978-84-9897-276-4								http://univ.scholarvox.com/book/45002455	Molina	45002455		fulltext		Red-ediciones	monograph	2008	2008						P
Amazonas en las Indias	978-84-9897-277-1								http://univ.scholarvox.com/book/45002456	Molina	45002456		fulltext		Red-ediciones	monograph	2008	2008						P
Amedeo Modigliani	978-958-30-2188-6	978-1-78042-081-3							http://univ.scholarvox.com/book/88835990	Charles	88835990		fulltext		Parkstone International	monograph	2006	2006						P
Amistad funesta	978-84-96290-39-6								http://univ.scholarvox.com/book/45002719	Martí y Pérez	45002719		fulltext		Red-ediciones	monograph	2008	2008						P
Amor con amor se paga	978-84-96290-97-6								http://univ.scholarvox.com/book/45002720	Martí y Pérez	45002720		fulltext		Red-ediciones	monograph	2008	2008						P
Amor es más laberinto	978-84-9897-278-8								http://univ.scholarvox.com/book/45002410	Juana Inés de la Cruz	45002410		fulltext		Red-ediciones	monograph	2008	2008						P
Amor, honor y poder	978-84-9816-924-9	978-84-9816-925-6							http://univ.scholarvox.com/book/45002184	Calderón de la Barca	45002184		fulltext		Red-ediciones	monograph	2008	2008						P
Amor, ingenio y mujer	978-84-9897-282-5								http://univ.scholarvox.com/book/45003032	Mira de Amescua	45003032		fulltext		Red-ediciones	monograph	2008	2008						P
Amor no teme peligros	978-84-9897-279-5								http://univ.scholarvox.com/book/45002457	Molina	45002457		fulltext		Red-ediciones	monograph	2008	2008						P
Amor, pleito y desafío	978-84-9897-283-2								http://univ.scholarvox.com/book/45003027	de Vega y Carpio	45003027		fulltext		Red-ediciones	monograph	2008	2008						P
Amor venga sus agravios	978-84-9897-280-1								http://univ.scholarvox.com/book/45002392	Espronceda	45002392		fulltext		Red-ediciones	monograph	2008	2008						P
Amor y celos hacen discretos	978-84-9897-113-2								http://univ.scholarvox.com/book/45002458	Molina	45002458		fulltext		Red-ediciones	monograph	2008	2008						P
Anaconda	978-84-9816-880-8								http://univ.scholarvox.com/book/45002789	Quiroga	45002789		fulltext		Red-ediciones	monograph	2008	2008						P
Analogías arquitectura : Animal	978-84-342-2944-0								http://univ.scholarvox.com/book/40000261	Bahamón	40000261		fulltext		Parramón	monograph	2007	2007						P
Analogías arquitectura : mineral	978-84-342-2943-3								http://univ.scholarvox.com/book/40000259	Bahamón	40000259		fulltext		Parramón	monograph	2007	2007						P
Analogías arquitectura : vegetal	978-84-342-2783-5								http://univ.scholarvox.com/book/40000260	Bahamón	40000260		fulltext		Parramón	monograph	2006	2006						P
Andrómeda y Perseo	978-84-9816-396-4	978-84-9897-116-3							http://univ.scholarvox.com/book/45002185	Calderón de la Barca	45002185		fulltext		Red-ediciones	monograph	2008	2008						P
