publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A Baobab is Big	978-1-4323-0584-0	978-1-4323-0584-0							https://univ.scholarvox.com/book/88828301	Taylor	88828301		fulltext	langue : eng	Penguin Random House South Africa	monograph		2015						P	192171453
À bientôt, papa !									https://univ.scholarvox.com/book/88821635	Maucler	88821635		fulltext	langue : fre	Minedition	monograph		2009						P	
A buen juez									https://univ.scholarvox.com/book/45002898	Zorrilla	45002898		fulltext	langue : spa	Red-ediciones	monograph		2008						P	
À cheval sur l'été : des poèmes	978-28-9607-510-2	978-28-9607-510-2							https://univ.scholarvox.com/book/88883876	Gagnon	88883876		fulltext	langue : fre	Soulières Editeur	monograph		2020						P	249698544
A companion to genethics	978-0-470-75642-3	978-0-470-75642-3							https://univ.scholarvox.com/book/88838961	Burley	88838961		fulltext	langue : eng	Blackwell Publishers	monograph		2004						P	203365054
A Comprehensive Guide to the Prostate : Eastern and Western Approaches for Management of BPH	978-01-2811-466-7	978-01-2811-466-7							https://univ.scholarvox.com/book/88864135	Chughtai	88864135		fulltext	langue : eng	Elsevier Science	monograph		2018						P	233902686
A Comprehensive Guide to Toxicology in Nonclinical Drug Development	978-0-12-803621-1	978-0-12-803621-1							https://univ.scholarvox.com/book/88836565	Faqi	88836565		fulltext	langue : eng	Elsevier Science	monograph		2016						P	19805808X
A coups de milliards									https://univ.scholarvox.com/book/88879674	Le Rouge	88879674		fulltext	langue : fre	La Gibecière à Mots	monograph		2019						P	
A dévorer des yeux									https://univ.scholarvox.com/book/88865604	Cottin	88865604		fulltext	langue : fre	L'atelier du poisson soluble	monograph		2018						P	
À dos d'amour	978-28-9750-128-0	978-28-9750-128-0							https://univ.scholarvox.com/book/88862826	Comeau	88862826		fulltext	langue : fre	Bouton d'or Acadie	monograph		2018						P	233367950
À dos de poney	978-28-9686-666-3	978-28-9686-666-3							https://univ.scholarvox.com/book/88859812	Montour	88859812		fulltext	langue : fre	Dominique et compagnie	monograph		2015						P	233396055
A Historical Introduction to Mathematical Modeling of Infectious Diseases : Seminal Papers in Epidemiology	978-0-12-802499-7	978-0-12-802499-7							https://univ.scholarvox.com/book/88836459	Foppa	88836459		fulltext	langue : eng	Elsevier Science	monograph		2016						P	19805792X
A Historical Perspective on Evidence-Based Immunology	978-0-12-398375-6	978-0-12-398375-6							https://univ.scholarvox.com/book/88831140	Moticka	88831140		fulltext	langue : eng	Elsevier Science	monograph		2015						P	193663112
A history of modern immunology : the path toward understanding	978-01-2420-108-8	978-01-2420-108-8							https://univ.scholarvox.com/book/88873100	Nagy	88873100		fulltext	langue : eng	Elsevier/AP	monograph		2013						P	194156281
A Journey in Translation : Anne Hébert's Poetry in English	978-07-7662-377-1	978-07-7662-377-1							https://univ.scholarvox.com/book/88867980	Skallerup Bessette	88867980		fulltext	langue : eng	Presses de l'Université d'Ottawa	monograph		2016						P	238415724
A la conquête de votre emploi : CV gagnants, lettres efficaces, entretiens réussis	978-22-9707-089-8	978-22-9707-089-8							https://univ.scholarvox.com/book/88857032	Raboutet	88857032		fulltext	langue : fre	Gualino	monograph		2018						P	233387471
A la entrada del príncipe de Gales en Madrid por marzo del año 1623									https://univ.scholarvox.com/book/45002915	de Solís	45002915		fulltext	langue : spa	Red-ediciones	monograph		2008						P	
A la ferme									https://univ.scholarvox.com/book/40000099	Clément	40000099		fulltext	langue : fre	Bayard éditions	monograph		2013						P	
A la feuille de rose, maison turque	978-23-6075-853-1	978-23-6075-853-1							https://univ.scholarvox.com/book/88882112	Maupassant	88882112		fulltext	langue : fre	Nisha et caetera	monograph		2019						P	243779666
A la garderie									https://univ.scholarvox.com/book/40000093	Clément	40000093		fulltext	langue : fre	Bayard éditions	monograph		2013						P	
À la recherche du dragon d'or	978-2-89683-139-5	978-2-89683-139-5							https://univ.scholarvox.com/book/88819731	Bilodeau	88819731		fulltext	langue : fre	ADA jeunesse	monograph		2012						P	198671180
À la recherche du merisier spécial	978-2-89682-340-6	978-2-89682-340-6							https://univ.scholarvox.com/book/88829289	Leblanc-Nowlan	88829289		fulltext	langue : fre	Bouton d'or Acadie	monograph		2012						P	192171798
A la recherche du temps perdu (Marcel Proust ) : fiche de lecture	978-25-1103-156-8	978-25-1103-156-8							https://univ.scholarvox.com/book/88894660		88894660		fulltext	langue : fre	FichesDeLecture.com	monograph		2015						P	248804987
À la recherche du temps perdu, Marcel Proust : (fiche de lecture)									https://univ.scholarvox.com/book/88892711		88892711		fulltext	langue : fre	Encyclopaedia Universalis	monograph		2017						P	
A la rencontre de la relation d'aide difficile : approches inspirantes pour les professionnels de la santé et des services sociaux	978-27-6374-810-8	978-27-6374-810-8							https://univ.scholarvox.com/book/88898245	Giroux	88898245		fulltext	langue : fre	Presses de l'Université Laval	monograph		2020						P	249686171
À la rescousse de Ti-Bleu	978-2-89682-219-5	978-2-89682-219-5							https://univ.scholarvox.com/book/88829381	Daigle	88829381		fulltext	langue : fre	Bouton d'or Acadie	monograph		2011						P	198684347
À la ville et aux champs									https://univ.scholarvox.com/book/88821676	Schärer	88821676		fulltext	langue : fre	Minedition	monograph		2014						P	
