publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
A Beckoning War	978-1-77186-068-0	978-1-77186-070-3							http://univ.scholarvox.com/book/88832368	Murphy	88832368		fulltext		Baraka Books	monograph	2016	2016						P
À bicyclette	978-2-8097-1102-8	978-2-8097-3309-9							http://univ.scholarvox.com/book/88828880	Su	88828880		fulltext		Éditions Philippe Picquier	monograph	2015	2015						P
A Bit of Earth : An exciting Saga from the First Singapore Literature Prize Winner	978-981-261-895-5	978-981-4484-40-4							http://univ.scholarvox.com/book/88813436	Lim	88813436		fulltext		Marshall Cavendish Editions	monograph	2009	2009						P
A buen juez	978-84-9816-276-9								http://univ.scholarvox.com/book/45002898	Zorrilla	45002898		fulltext		Red-ediciones	monograph	2008	2008						P
A Candle or the Sun	978-981-4351-35-5	978-981-4634-83-0							http://univ.scholarvox.com/book/88825530	Baratham	88825530		fulltext		Marshall Cavendish Editions	monograph	2014	2014						P
A Case of Knives	978-1-4152-0118-3	978-1-4152-0231-9							http://univ.scholarvox.com/book/88809926	de Wette	88809926		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
À côté d'une joie	978-2-89699-401-4	978-2-89699-402-1							http://univ.scholarvox.com/book/88820167	Huot	88820167		fulltext		Les Editions L'Interligne	monograph	2014	2014						P
A dada	979-10-304-0010-6	979-10-304-0012-0							http://univ.scholarvox.com/book/88828900	Burkhard	88828900		fulltext		Edition Allia	monograph	2015	2015						P
A Dirty Game	978-9956-5-7970-9	978-9956-5-7935-8							http://univ.scholarvox.com/book/88825206	Akombi	88825206		fulltext		Langaa RPCIG	monograph	2011	2011						P
À feu et à sang	978-2-89733-366-9	978-2-89733-367-6							http://univ.scholarvox.com/book/88819894	Philip	88819894		fulltext		DG diff. [diffusion/distribution]	monograph	2013	2013						P
À feu et à sang	978-2-89752-318-3	978-2-89752-319-0							http://univ.scholarvox.com/book/88826536	Scott	88826536		fulltext		DG diffusion [diffusion/distribution]	monograph	2015	2015						P
A la entrada del príncipe de Gales en Madrid por marzo del año 1623	978-84-9816-547-0								http://univ.scholarvox.com/book/45002915	de Solís	45002915		fulltext		Red-ediciones	monograph	2008	2008						P
À la recherche d'Émylie perdue	978-1-77120-167-4	978-1-77120-168-1							http://univ.scholarvox.com/book/88818426	Lalonde	88818426		fulltext		Les Editions du Vermillon	monograph	2013	2013						P
À la vie à la mort	978-2-923274-12-6	978-2-89699-148-8							http://univ.scholarvox.com/book/88816374	Marchand	88816374		fulltext		Les Editions L'Interligne	monograph	2011	2011						P
A l'intérieur du labyrinthe	978-2-89502-144-5								http://univ.scholarvox.com/book/88809138	Chabot	88809138		fulltext		L'instant même	monograph	2001	2001						P
À l'ombre du silence : suivi de ; <<Les >>soleils incendiés : suivi de	978-2-89597-284-6	978-2-89597-400-0							http://univ.scholarvox.com/book/88816652	Donovan	88816652		fulltext		Editions David	monograph	2013	2013						P
A María el corazón	978-84-9816-392-6	978-84-9816-994-2							http://univ.scholarvox.com/book/45002180	Calderón de la Barca	45002180		fulltext		Red-ediciones	monograph	2008	2008						P
A Match for Doctor Koekentapp	978-1-4152-0098-8	978-1-4152-0318-7							http://univ.scholarvox.com/book/88809930	Kayle	88809930		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
A mort l'artiste !	978-2-930585-08-6	978-2-930585-41-3							http://univ.scholarvox.com/book/88818930	Gautier	88818930		fulltext		Genèse édition	monograph	2012	2012						P
À nos vingt ans	978-2-8159-0205-2	978-2-8159-0318-9							http://univ.scholarvox.com/book/88824300	Nguyễn	88824300		fulltext		Éd. de l'Aube	monograph	2012	2012						P
A propósito de un tal Javier Marías	978-84-342-2230-4								http://univ.scholarvox.com/book/40000343	Braudeau	40000343		fulltext		Debolsillo	monograph	2003	2003						P
A Sailor's Honour	978-1-4152-0163-3	978-1-4152-0353-8							http://univ.scholarvox.com/book/88809933	Marnewick	88809933		fulltext		Penguin Random House South Africa	monograph	2011	2011						P
A secreto agravio, secreta venganza	978-84-9897-266-5	978-84-96290-93-8							http://univ.scholarvox.com/book/45002181	Calderón de la Barca	45002181		fulltext		Red-ediciones	monograph	2008	2008						P
A Stone's Throw	978-1-84668-832-4	978-1-84765-777-0							http://univ.scholarvox.com/book/88813287	Shaw	88813287		fulltext		Profile Books	monograph	2012	2012						P
A Year in the Wild	978-1-77010-130-2	978-1-77010-155-5							http://univ.scholarvox.com/book/88811689	Hendry	88811689		fulltext		Pan Macmillan South Africa	monograph	2011	2011						P
Abdala	978-84-933439-7-2								http://univ.scholarvox.com/book/45002717	Martí y Pérez	45002717		fulltext		Red-ediciones	monograph	2008	2008						P
Abel : roman	978-2-84450-277-3	978-2-84450-777-8							http://univ.scholarvox.com/book/45007922	Stanley	45007922		fulltext		Ibis rouge éd.	monograph	2005	2005						P
Aben Humeya o La rebelión de los moriscos	978-84-9897-262-7								http://univ.scholarvox.com/book/45002734	Martínez de la Rosa	45002734		fulltext		Red-ediciones	monograph	2008	2008						P
Abencerraje	978-84-9816-842-6								http://univ.scholarvox.com/book/45002916	de Villegas	45002916		fulltext		Red-ediciones	monograph	2008	2008						P
Aboulanol	978-2-36629-176-6	978-2-36629-177-3							http://univ.scholarvox.com/book/88824557	Bousquet	88824557		fulltext		Editions ActuSF	monograph	2013	2013						P
Abre el ojo	978-84-9897-265-8								http://univ.scholarvox.com/book/45002535	de Rojas Zorrilla	45002535		fulltext		Red-ediciones	monograph	2008	2008						P
Absent : the English teacher	978-1-77922-082-0	978-1-77922-115-5							http://univ.scholarvox.com/book/88824946	Eppel	88824946		fulltext		Weaver Press	monograph	2009	2009						P
Absolute Power and other stories	978-9966-734-14-3	978-9966-040-32-9							http://univ.scholarvox.com/book/88827218	Keitany	88827218		fulltext		Zapf Chancery Publishers Africa Ltd.	monograph	2009	2009						P
Acacia	978-0-9922285-2-1	978-0-9922285-7-6							http://univ.scholarvox.com/book/88824901	Machingaidze	88824901		fulltext		African Perspectives Publishing	monograph	2014	2014						P
Accelerando	978-2-37119-017-7	978-2-37119-217-1							http://univ.scholarvox.com/book/88828878	Stross	88828878		fulltext		Piranha	monograph	2015	2015						P
Addiction	978-2-914388-61-0								http://univ.scholarvox.com/book/10274357	Jeudy	10274357		fulltext		M. Milo	monograph	2005	2005						P
Adeline Mowbray	978-2-35287-441-6	978-2-35287-443-0							http://univ.scholarvox.com/book/88811340	Opie	88811340		fulltext		Archipoche	monograph	2013	2013						P
Adoration : roman	978-2-914388-71-9								http://univ.scholarvox.com/book/10274360	Steinke	10274360		fulltext		M. Milo	monograph	2005	2005						P
Adrien de la vallée de Thurroch : roman	979-10-90424-11-1								http://univ.scholarvox.com/book/88817957	Tellier	88817957		fulltext		Lunatique	monograph	2012	2012						P
Adúltera	978-84-96290-06-8								http://univ.scholarvox.com/book/45002718	Martí y Pérez	45002718		fulltext		Red-ediciones	monograph	2008	2008						P
Agents and Dealers	978-0-462-09916-3	978-981-4312-48-6							http://univ.scholarvox.com/book/45003878	Brown	45003878		fulltext		Marshall Cavendish Editions	monograph	2008	2008						P
Ah, les garçons	978-2-89767-182-2	978-2-89767-183-9							http://univ.scholarvox.com/book/88834336	Webb	88834336		fulltext		Editions AdA	monograph	2016	2016						P
Ainsi fut dissipé le charme nostalgique : roman	978-2-87106-395-7	978-2-87106-864-8							http://univ.scholarvox.com/book/88813838	Delzenne	88813838		fulltext		[diff.] Casteilla [diffusion/distribution]	monograph	2006	2006						P
Ainsi parle le Saigneur	978-2-89597-080-4	978-2-89597-135-1							http://univ.scholarvox.com/book/88816653	Forand	88816653		fulltext		Editions David	monograph	2010	2010						P
Airiana	978-2-89767-632-2	978-2-89767-633-9							http://univ.scholarvox.com/book/88836668	Feehan	88836668		fulltext		DG diffusion [diffusion/distribution]	monograph	2016	2016						P
Ajay, la conquête de l'ancien monde : roman	978-2-84450-463-0	978-2-84450-963-5							http://univ.scholarvox.com/book/88832242	Bulot	88832242		fulltext		Ibis rouge	monograph	2015	2015						P
Al pueblo y congreso norteamericanos	978-84-9816-703-0								http://univ.scholarvox.com/book/45003031	Mabini	45003031		fulltext		Red-ediciones	monograph	2008	2008						P
Alabama shooting : roman	978-2-8159-1209-9	978-2-8159-1211-2							http://univ.scholarvox.com/book/88828887	Turner	88828887		fulltext		Éditions de l'Aube	monograph	2015	2015						P
Álbum de un loco	978-84-9897-264-1								http://univ.scholarvox.com/book/45002899	Zorrilla	45002899		fulltext		Red-ediciones	monograph	2008	2008						P
Alex Van Helsing : la voix des morts-vivants	978-2-89733-007-1	978-2-89683-949-0							http://univ.scholarvox.com/book/88819831	Henderson	88819831		fulltext		Editions AdA	monograph	2013	2013						P
Alex Van Helsing : l'avènement des vampires	978-2-89733-006-4	978-2-89683-947-6							http://univ.scholarvox.com/book/88819830	Henderson	88819830		fulltext		Editions AdA	monograph	2013	2013						P
Alex Van Helsing : le triomphe de la mort	978-2-89733-254-9	978-2-89733-255-6							http://univ.scholarvox.com/book/88819873	Henderson	88819873		fulltext		Editions AdA	monograph	2013	2013						P
Alexandre et Gaia	978-2-89667-734-4	978-2-89683-751-9							http://univ.scholarvox.com/book/88819808	Sébastien	88819808		fulltext		DG diff. [diffusion/distribution]	monograph	2013	2013						P
