publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Créer et vendre une formation en ligne : la méthode pour trouver le positionnement, structurer le contenu, obtenir des ventes récurrentes - Prévente en eBook	978-22-1245-143-6	978-22-1245-143-6							https://univ.scholarvox.com/book/88897883	Antonio Giraud	88897883		fulltext	langue : fre	Eyrolles	monograph		2020						P	248795481
Le sens au travail : regards croisés en sciences humaines et sociales	978-21-0089-117-7	978-21-0089-117-7							https://univ.scholarvox.com/book/88974418	Arnoux-Nicolas	88974418		fulltext	langue : fre	Dunod	monograph		2025						P	291840434
66 techniques créatives : pour animateurs et formateurs	978-2-84769-738-4	978-2-84769-738-4							https://univ.scholarvox.com/book/88828012	Jaoui	88828012		fulltext	langue : fre	Editions EMS	monograph		2015						P	187349541
DRH : 50 compétences clés pour réussir	978-21-2800-663-8	978-21-2800-663-8							https://univ.scholarvox.com/book/88950792	Plante	88950792		fulltext	langue : fre	AFNOR Éditions	monograph		2023						P	276406249
Les mots d'aujourd'hui : lexique thématique de l'actualité : FLE français langue étrangère : B1-B2	978-23-4010-103-6	978-23-4010-103-6							https://univ.scholarvox.com/book/88962437	Bagarry	88962437		fulltext	langue : fre	Ellipses	monograph		2025						P	283876166
Adolescents en danger d'illettrisme	978-23-5345-117-3	978-23-5345-117-3							https://univ.scholarvox.com/book/88856423	Gallet	88856423		fulltext	langue : fre	Tom Pousse	monograph		2014						P	233389369
Réaliser une vidéo pédagogique	979-10-3971-418-1	979-10-3971-418-1							https://univ.scholarvox.com/book/88974354	Caprani	88974354		fulltext	langue : fre	GERESO	monograph		2025						P	291841260
De l'échec scolaire à la réussite : accompagner l'élève en difficulté d'apprentissage	978-28-0735-845-4	978-28-0735-845-4							https://univ.scholarvox.com/book/88956015	Vianin	88956015		fulltext	langue : fre	De Boeck supérieur	monograph		2022						P	280308795
Le FLE et la francophonie dans le monde	978-22-0063-270-0	978-22-0063-270-0							https://univ.scholarvox.com/book/88950495	Chiss	88950495		fulltext	langue : fre	Armand Colin	monograph		2021						P	276403525
Un autre monde du travail est possible	978-23-8630-238-1	978-23-8630-238-1							https://univ.scholarvox.com/book/88970626	Galiere	88970626		fulltext	langue : fre	Éditions EMS Management & Société	monograph		2025						P	286163195
Enseigner à la formation générale des adultes : une pratique et un contexte à découvrir	978-27-6055-845-8	978-27-6055-845-8							https://univ.scholarvox.com/book/88946899	Voyer	88946899		fulltext	langue : fre	Presses de l'Université du Québec	monograph		2023						P	273095293
Bénévolat et management : pratiques, paradoxes et préconisations	978-23-7687-500-0	978-23-7687-500-0							https://univ.scholarvox.com/book/88919206	Bartel-Radic	88919206		fulltext	langue : fre	Éditions EMS	monograph		2021						P	259173754
Travailler avec l'intelligence artificielle dans les industries culturelles et créatives : comment appliquer l'AI Act ?	978-23-8542-680-4	978-23-8542-680-4							https://univ.scholarvox.com/book/88969691	Manitsaris	88969691		fulltext	langue : fre	Transvalor - Presses des Mines	monograph		2025						P	285387677
Malaise sur le marché du travail	978-23-8313-198-4	978-23-8313-198-4							https://univ.scholarvox.com/book/88961732	Amiel	88961732		fulltext	langue : fre	Enrick B. Editions	monograph		2023						P	282423257
Parcours et expériences en formation initiale Tome 3, : quel(s) impact(s) sur l'insertion ?	978-24-8757-402-1	978-24-8757-402-1							https://univ.scholarvox.com/book/88973564	Couppié	88973564		fulltext	langue : fre	CEREQ	monograph		2024						P	291417418
Former à l'ère de l'IA : gouvernance, pédagogie, transformations	978-23-8630-301-2	978-23-8630-301-2							https://univ.scholarvox.com/book/88977700	Martinache	88977700		fulltext	langue : fre	Éditions EMS	monograph		2026						P	294910662
Intelligence artificielle : génération générative : ChatGPT, Midjourney... S'approprier les nouvelles IA qui révolutionnenet le monde professionnel	978-21-0086-972-5	978-21-0086-972-5							https://univ.scholarvox.com/book/88953874	Nadeau	88953874		fulltext	langue : fre	Dunod	monograph		2024						P	277030420
Le FLE en scènes : apprenez le français du quotidien grâce au jeu théâtral : A2-B1	978-23-4010-004-6	978-23-4010-004-6							https://univ.scholarvox.com/book/88961967	Bregeault	88961967		fulltext	langue : fre	Ellipses	monograph		2024						P	283326646
L'égalité femmes-hommes au travail : perspectives pour une égalité réelle	978-23-7687-089-0	978-23-7687-089-0							https://univ.scholarvox.com/book/88852325	Falcoz	88852325		fulltext	langue : fre	Éditions EMS	monograph		2017						P	267947410
Où sont passés nos rêves d'émancipation par le travail ? : la grande désillusion	978-28-1596-764-8	978-28-1596-764-8							https://univ.scholarvox.com/book/88969948	Duez	88969948		fulltext	langue : fre	Éditions de l'aube	monograph		2025						P	286165279
Votre bilan de compétences	978-22-1282-109-3	978-22-1282-109-3							https://univ.scholarvox.com/book/88914427	Debray	88914427		fulltext	langue : fre	Éditions Eyrolles	monograph		2021						P	257931864
Marque employeur, mode d'emploi : attirez vos candidats et fidélisez vos collaborateurs	978-21-0083-539-3	978-21-0083-539-3							https://univ.scholarvox.com/book/88926805	Epiphane	88926805		fulltext	langue : fre	Dunod	monograph		2021						P	262543753
Travailler à l'ère des IA génératives : quand le futur du travail est en avance	978-23-8630-248-0	978-23-8630-248-0							https://univ.scholarvox.com/book/88974369	Lamri	88974369		fulltext	langue : fre	EMS	monograph		2025						P	292531087
Oser les métiers de la transition écologique et solidaire : donner du sens à votre travail	978-21-0087-233-6	978-21-0087-233-6							https://univ.scholarvox.com/book/88955316	Perrin	88955316		fulltext	langue : fre	Dunod	monograph		2024						P	280309309
Déclin de l'industrie française : les réformes de la dernière chance	979-1-09292-846-4	979-1-09292-846-4							https://univ.scholarvox.com/book/88841425	Parrat	88841425		fulltext	langue : fre	Alisio	monograph		2016						P	220188629
Employabilité, flexisécurité : sécurisation de l'emploi	978-2-12-800304-0	978-2-12-800304-0							https://univ.scholarvox.com/book/88823540	Drugmand	88823540		fulltext	langue : fre	AFNOR éd.	monograph		2013						P	187336326
Les Serious Games : une Révolution	978-25-1101-412-7	978-25-1101-412-7							https://univ.scholarvox.com/book/88902512	Kasbi	88902512		fulltext	langue : fre	EdiPro	monograph		2013						P	250251590
Changement de parcours : guide d'accompagnement pour votre transition et recherche d'emploi	978-28-9471-808-7	978-28-9471-808-7							https://univ.scholarvox.com/book/88947956	BrissonLegris	88947956		fulltext	langue : fre	Septembre éditeur	monograph		2022						P	273796267
Favoriser l'insertion professionnelle et l'accès à l'emploi : les atouts des bibliothèques	978-23-7546-085-6	978-23-7546-085-6							https://univ.scholarvox.com/book/88909627	Perrin	88909627		fulltext	langue : fre	Presses de l'ENSSIB	monograph		2017						P	267946872
Au top ! : méthode pour communiquer rapidement en français et pour réussir le DELF : FLE, français langue étrangère	978-23-4009-752-0	978-23-4009-752-0							https://univ.scholarvox.com/book/88958125	Racine	88958125		fulltext	langue : fre	Ellipses	monograph		2024						P	280847823
500 réponses aux questions des recruteurs : stage, alternance, premier emploi	978-23-8015-099-5	978-23-8015-099-5							https://univ.scholarvox.com/book/88968855	Manceau	88968855		fulltext	langue : fre	L'Etudiant éditions	monograph		2020						P	285062093
Comment favoriser les apprentissages scolaires : repenser les gestes professionnels pour l'enseignement	978-21-0086-040-1	978-21-0086-040-1							https://univ.scholarvox.com/book/88947408	Wyss	88947408		fulltext	langue : fre	Dunod	monograph		2023						P	274603500
Comprendre et mettre en œuvre le diagnostic des risques : développer les compétences ERM d'un organisme	978-21-2800-640-9	978-21-2800-640-9							https://univ.scholarvox.com/book/88950769	Louisot	88950769		fulltext	langue : fre	Afnor Éditions	monograph		2023						P	276409213
Solide : bâtir des projets de formation stratégiques et innovants	978-28-9471-957-2	978-28-9471-957-2							https://univ.scholarvox.com/book/88977607	Sauvé	88977607		fulltext	langue : fre	Septembre éditeur	monograph		2026						P	294913459
Apprendre et comprendre autrement	978-27-5905-826-6	978-27-5905-826-6							https://univ.scholarvox.com/book/88968305	Dupré	88968305		fulltext	langue : fre	Studyrama	monograph		2025						P	284519669
Le guide de l'écriture assistée par l'intelligence artificielle : #ChatGpt, #Claude, #Gemini, #Rédactionweb, #Copywriting	978-22-1243-731-7	978-22-1243-731-7							https://univ.scholarvox.com/book/88958940	Rondelet	88958940		fulltext	langue : fre	Éditions Eyrolles	monograph		2024						P	281653577
Inégalités d'accès aux droits et discriminations en France Tome 2, Les analyses du Défenseur des droits	978-21-1157-121-1	978-21-1157-121-1							https://univ.scholarvox.com/book/88897957	France. Défenseur des droits	88897957		fulltext	langue : fre	la Documentation française	monograph		2020						P	248405454
Soft skills : Les nouvelles clés du succès : les compétences indispensables du XXIe siècle	978-23-8576-061-8	978-23-8576-061-8							https://univ.scholarvox.com/book/88958601	Hoarau	88958601		fulltext	langue : fre	Iggybook	monograph		2024						P	281648409
Diversité en milieu de travail : de l'exclusion à l'inclusion	978-28-9799-246-0	978-28-9799-246-0							https://univ.scholarvox.com/book/88919976	Beaudry	88919976		fulltext	langue : fre	Éditions JFD Inc	monograph		2021						P	264421019
Stratégie et formation : développer l'atout concurrentiel humain	978-2-10-056175-9	978-2-10-056175-9							https://univ.scholarvox.com/book/88800753	Korda	88800753		fulltext	langue : fre	Dunod	monograph		2011						P	170240940
La construction du social : souffrance, travail et catégorisation des usagers dans l'action publique	978-27-5356-300-1	978-27-5356-300-1							https://univ.scholarvox.com/book/88936194	Loriol	88936194		fulltext	langue : fre	PUR	monograph		2022						P	267767536
FLE : Français langue étrangère : méthode pour communiquer rapidement en français et pour réussir le DELF	978-23-4010-629-1	978-23-4010-629-1							https://univ.scholarvox.com/book/88970995	Racine	88970995		fulltext	langue : fre	Ellipses	monograph		2025						P	286167719
Métavers et RH : comment le web 3.0 repense le futur du travail et des organisations	978-23-7687-708-0	978-23-7687-708-0							https://univ.scholarvox.com/book/88939722	Lamri	88939722		fulltext	langue : fre	Éditions EMS	monograph		2022						P	267771657
La place du numérique dans la transition énergétique : Ecole nationale supérieure des Mines de Paris, Sophia Antipolis, 29 septembre 2022	978-23-8542-483-1	978-23-8542-483-1							https://univ.scholarvox.com/book/88947047	Congrès OSE	88947047		fulltext	langue : fre	Presses des Mines	monograph		2023						P	273793179
Démocratie et éducation ; suivi de Expérience et éducation	978-22-0063-450-6	978-22-0063-450-6							https://univ.scholarvox.com/book/88931881	Dewey	88931881		fulltext	langue : fre	Armand Colin	monograph		2022						P	26556896X
Apprendre et enseigner sur le Web: quelle ingénierie pédagogique ?	978-27-6242-661-8	978-27-6242-661-8							https://univ.scholarvox.com/book/88946623	Paquette	88946623		fulltext	langue : fre	Presses de l'Université du Québec	monograph		2022						P	273093126
Enseigner et former : psychologie appliquée et pédagogies active : secondaire, supérieur, formation professionnelle	978-21-0088-515-2	978-21-0088-515-2							https://univ.scholarvox.com/book/88970217	Parmentier	88970217		fulltext	langue : fre	Dunod	monograph		2025						P	286162873
Convention collective nationale du 10 juin 1988 : (étendue par arrêté du 16 mars 1989) : organismes de formation : IDCC : 1516	978-21-1077-553-5	978-21-1077-553-5							https://univ.scholarvox.com/book/88941542		88941542		fulltext	langue : fre	La Documentation française	monograph		2023						P	269859799
Les intelligences multiples en entreprise : 10 compétences à détecter, comprendre et développer	978-21-0079-223-8	978-21-0079-223-8							https://univ.scholarvox.com/book/88870414	Wattier	88870414		fulltext	langue : fre	Dunod	monograph		2019						P	238399877
Maîtriser l'information stratégique : méthodes et techniques d'analyse	978-28-0735-857-7	978-28-0735-857-7							https://univ.scholarvox.com/book/88955996	Bulinge	88955996		fulltext	langue : fre	De Boeck Supérieur	monograph		2022						P	280308779
Boostez votre carrière ou changez de métier par la formation continue	978-2-8188-0423-0	978-2-8188-0423-0							https://univ.scholarvox.com/book/88811781	Janssoone	88811781		fulltext	langue : fre	Maxima	monograph		2013						P	17060277X
Explorer la flexibilité des nouveaux modes d'organisation du travail	978-23-8630-093-6	978-23-8630-093-6							https://univ.scholarvox.com/book/88967369	Berkani	88967369		fulltext	langue : fre	Éditions EMS	monograph		2025						P	283874635
La Kakistocratie ou le pouvoir des pires : voyage au cœur de l'incompétence	978-23-7687-938-1	978-23-7687-938-1							https://univ.scholarvox.com/book/88950710	Barth	88950710		fulltext	langue : fre	Éditions EMS	monograph		2024						P	276404149
Comment travailler avec tout le monde (ou presque) : 5 questions pour construire les meilleures relations possibles	978-22-1232-290-3	978-22-1232-290-3							https://univ.scholarvox.com/book/88967894	Bungay Stanier	88967894		fulltext	langue : fre	Eyrolles	monograph		2025						P	283898550
Études et handicap : construire son parcours scolaire et universitaire : de la 3e aux études supérieures	978-27-5905-907-2	978-27-5905-907-2							https://univ.scholarvox.com/book/88975209	Yvard Guermonprez	88975209		fulltext	langue : fre	Studyrama	monograph		2025						P	292532768
Exploitations de l'enquête 2020 auprès de la Génération 2017 Tome 1, Premiers pas sur le marché du travail : quand les inégalités s'en mêlent	978-24-8757-400-7	978-24-8757-400-7							https://univ.scholarvox.com/book/88973562		88973562		fulltext	langue : fre	Cereq	monograph		2024						P	291419836
La boîte à outils de la QVTC : 65 outils clés en main	978-21-0087-054-7	978-21-0087-054-7							https://univ.scholarvox.com/book/88954086	Boutet	88954086		fulltext	langue : fre	Dunod	monograph		2024						P	277590590
L'addiction au travail : de la pathologie individuelle à la gestion collective de l'engagement	978-23-0405-476-7	978-23-0405-476-7							https://univ.scholarvox.com/book/88942459	Loriol	88942459		fulltext	langue : fre	Éditions Le Manuscrit	monograph		2023						P	274605287
Formations ouvertes : pratiques de formateurs : situation réelle et perspectives : regards d'aujourd'hui	979-10-275-0040-6	979-10-275-0040-6							https://univ.scholarvox.com/book/88830428	Cornu	88830428		fulltext	langue : fre	Educagri éd.	monograph		2008						P	192174177
Droit du travail : 2025-26	978-20-1790-361-1	978-20-1790-361-1							https://univ.scholarvox.com/book/88971031	Lopes dos Santos	88971031		fulltext	langue : fre	Hachette	monograph		2025						P	289016673
Je suis formateur !	978-23-1163-049-7	978-23-1163-049-7							https://univ.scholarvox.com/book/88973311	Cortana	88973311		fulltext	langue : fre	Vuibert	monograph		2025						P	291413854
Ludopédagogie : 59 outils, 11 plans d'action, 5 ressources numériques	978-23-1163-053-4	978-23-1163-053-4							https://univ.scholarvox.com/book/88973305	Cortana	88973305		fulltext	langue : fre	Vuibert	monograph		2025						P	291414842
Former au développement des compétences psychosociales	978-21-0089-506-9	978-21-0089-506-9							https://univ.scholarvox.com/book/88977864	Lenoir	88977864		fulltext	langue : fre	Dunod	monograph		2026						P	294910026
Crises et transitions : quelles données pour quelles analyses ?	978-21-1172-455-6	978-21-1172-455-6							https://univ.scholarvox.com/book/88973561	Journées du longitudinal	88973561		fulltext	langue : fre	Centre d'études et de recherches sur les qualifications	monograph		2024						P	291422357
La qualité de vie et des conditions de travail, l'affaire de tous !	978-27-1014-474-8	978-27-1014-474-8							https://univ.scholarvox.com/book/88968466	Grésy	88968466		fulltext	langue : fre	ESF Sciences humaines	monograph		2023						P	284520535
VAE pour l'obtention du CAP accompagnant éducatif petite enfance, AEPE : tout-en-un	978-23-1122-247-0	978-23-1122-247-0							https://univ.scholarvox.com/book/88971191	Camus	88971191		fulltext	langue : fre	Vuibert	monograph		2024						P	289014689
Comment réaliser une formation ou un enseignement numérique à distance ?	978-28-0733-821-0	978-28-0733-821-0							https://univ.scholarvox.com/book/88955833	Charnet	88955833		fulltext	langue : fre	De Boeck Supérieur	monograph		2019						P	280301650
La transition écologique	978-27-5905-371-1	978-27-5905-371-1							https://univ.scholarvox.com/book/88960547	Douin	88960547		fulltext	langue : fre	Studyrama	monograph		2023						P	282066500
