publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
11 grandes notions de neuropsychologie	978-21-0075-099-3	978-21-0075-099-3							https://univ.scholarvox.com/book/88920967	Montel	88920967		fulltext	langue : fre	Dunod	monograph		2016						P	248207032
20 cas cliniques en neuropsychologie : enfant, adulte et personne âgée	978-21-0082-709-1	978-21-0082-709-1							https://univ.scholarvox.com/book/88920834	Moroni	88920834		fulltext	langue : fre	Dunod	monograph		2021						P	260359025
1500 exercices pour progresser en français : orthographe, grammaire, conjugaison, vocabulaire	978-23-4007-704-1	978-23-4007-704-1							https://univ.scholarvox.com/book/88939756	Thiébault-Roger	88939756		fulltext	langue : fre	Ellipses	monograph		2023						P	267773811
35 grandes notions de périnatalité	978-21-0076-665-9	978-21-0076-665-9							https://univ.scholarvox.com/book/88920891	Riazuelo-Deschamps	88920891		fulltext	langue : fre	Dunod	monograph		2017						P	260359041
Idées reçues sur les phobies	979-10-3180-460-6	979-10-3180-460-6							https://univ.scholarvox.com/book/88918862	Pelissolo	88918862		fulltext	langue : fre	Le Cavalier Bleu	monograph		2021						P	25889590X
365 risques en entreprise : une année en risk management	978-2-35953-497-9	978-2-35953-497-9							https://univ.scholarvox.com/book/88848396	Darsa	88848396		fulltext	langue : fre	Gereso édition	monograph		2017						P	22641213X
120 questions-réponses pour devenir fonctionnaire : toutes catégories	978-23-4008-653-1	978-23-4008-653-1							https://univ.scholarvox.com/book/88951488	Quillien	88951488		fulltext	langue : fre	Ellipses	monograph		2024						P	277022312
25 idées reçues sur les addictions : comprendre, soigner, prévenir	979-10-318-0214-5	979-10-318-0214-5							https://univ.scholarvox.com/book/88840206	Karila	88840206		fulltext	langue : fre	Le Cavalier bleu	monograph		2017						P	201701839
45 commentaires de textes fondamentaux en psychopathologie psychanalytique	978-21-0058-356-0	978-21-0058-356-0							https://univ.scholarvox.com/book/88920903	Chagnon	88920903		fulltext	langue : fre	Dunod	monograph		2012						P	171894197
60 minutes pour arrêter de procrastiner	979-10-3970-394-9	979-10-3970-394-9							https://univ.scholarvox.com/book/88939279	Martin	88939279		fulltext	langue : fre	Gereso	monograph		2023						P	26777317X
100 idées pour comprendre et préserver l'estime de soi	978-23-5345-128-9	978-23-5345-128-9							https://univ.scholarvox.com/book/88856429	Oubrayrie-Roussel	88856429		fulltext	langue : fre	Tom Pousse	monograph		2015						P	233389458
15 cas cliniques en hypnose médicale et hypnoanalgésie	978-21-0077-119-6	978-21-0077-119-6							https://univ.scholarvox.com/book/88920548	Bioy	88920548		fulltext	langue : fre	Dunod	monograph		2017						P	26793694X
18 grandes notions de la pratique de l'entretien clinique	978-21-0084-528-6	978-21-0084-528-6							https://univ.scholarvox.com/book/88931826	Bouvet	88931826		fulltext	langue : fre	Dunod	monograph		2022						P	264408357
3000 QCM de culture générale	978-23-8015-220-3	978-23-8015-220-3							https://univ.scholarvox.com/book/88914157	Oullion	88914157		fulltext	langue : fre	l'Étudiant	monograph		2021						P	256894000
70 médicaments pour l'infirmier	978-23-1166-599-4	978-23-1166-599-4							https://univ.scholarvox.com/book/88961905	Le Glass	88961905		fulltext	langue : fre	Éditions Vuibert	monograph		2023						P	282423907
50 clés pour aider un enfant autiste	978-22-1274-111-7	978-22-1274-111-7							https://univ.scholarvox.com/book/88943861	Payen	88943861		fulltext	langue : fre	Éditions Eyrolles	monograph		2023						P	272708828
11 cas cliniques difficiles en thérapies comportementales et cognitives	978-21-0078-641-1	978-21-0078-641-1							https://univ.scholarvox.com/book/88920641	Bouvet	88920641		fulltext	langue : fre	Dunod	monograph		2020						P	267937407
10 cas cliniques en psychopathologie de l'enfant	978-21-0079-765-3	978-21-0079-765-3							https://univ.scholarvox.com/book/88920534	Coq	88920534		fulltext	langue : fre	Dunod	monograph		2019						P	267937954
16 cas de clinique des expériences exceptionnelles	978-21-0089-525-0	978-21-0089-525-0							https://univ.scholarvox.com/book/88977865	Evrard	88977865		fulltext	langue : fre	Dunod	monograph		2026						P	294909877
IADE, le concours : infirmier anesthésiste diplômé d'État									https://univ.scholarvox.com/book/88940430	Lenoir	88940430		fulltext	langue : fre	Foucher	monograph		2022						P	26857104X
50 épisodes managériaux : des coachs racontent et décryptent !	978-21-2800-597-6	978-21-2800-597-6							https://univ.scholarvox.com/book/88926014	Bouchet	88926014		fulltext	langue : fre	AFNOR Éditions	monograph		2021						P	261212990
55 idées reçues sur les troubles mentaux									https://univ.scholarvox.com/book/88957800	Delgènes	88957800		fulltext	langue : fre	Le Cavalier Bleu Éditions	monograph		2024						P	280849788
150 questions sur l'ACT	978-28-0735-868-3	978-28-0735-868-3							https://univ.scholarvox.com/book/88955961	Harris	88955961		fulltext	langue : fre	De Boeck supérieur	monograph		2022						P	280306008
17 cas pratiques en hypnothérapie	978-21-0082-776-3	978-21-0082-776-3							https://univ.scholarvox.com/book/88920699	Bioy	88920699		fulltext	langue : fre	Dunod	monograph		2021						P	26793971X
37 règles pour savoir tout écrire : + simple qu'une grammaire, + utile qu'un dictionnaire, + pratique qu'un tutoriel	978-21-0085-352-6	978-21-0085-352-6							https://univ.scholarvox.com/book/88941444	Fogel	88941444		fulltext	langue : fre	Dunod	monograph		2023						P	269854347
Auxiliaire de puériculture : toute la formation : modules 1 à 10 + AFGSU 2	978-22-1616-417-2	978-22-1616-417-2							https://univ.scholarvox.com/book/88917393	Benchimol	88917393		fulltext	langue : fre	Foucher	monograph		2021						P	258900024
Aux limites de la symbolisation	978-21-0075-653-7	978-21-0075-653-7							https://univ.scholarvox.com/book/88920855	Brun	88920855		fulltext	langue : fre	Dunod	monograph		2019						P	267936257
Bacteriology Methods for the Study of Infectious Diseases	978-01-2815-223-2	978-01-2815-223-2							https://univ.scholarvox.com/book/88873089	Jenkins	88873089		fulltext	langue : eng	Elsevier Science	monograph		2019						P	240176979
L'analyse organisationnelle du dialogue social : pratiques et perspectives théoriques	978-23-7687-706-6	978-23-7687-706-6							https://univ.scholarvox.com/book/88939718	Bourguignon	88939718		fulltext	langue : fre	Éditions EMS	monograph		2022						P	267771622
Bipolar Disorder Vulnerability : Perspectives from Pediatric and High-Risk Populations	978-01-2812-560-1	978-01-2812-560-1							https://univ.scholarvox.com/book/88864465	Soares	88864465		fulltext	langue : eng	Elsevier Science	monograph		2018						P	233903755
CAFERUIS : certificat d'aptitude aux fonctions d'encadrement et de responsable d'unité d'intervention sociale : tout-en-un 2026-2027	978-21-0088-721-7	978-21-0088-721-7							https://univ.scholarvox.com/book/88972169	Rousseau	88972169		fulltext	langue : fre	Dunod	monograph		2025						P	291416888
L'asthme chez l'enfant : pour une prise en charge efficace	978-2-89619-289-2	978-2-89619-289-2							https://univ.scholarvox.com/book/88815952	Bérubé	88815952		fulltext	langue : fre	Éd. du CHU Sainte-Justine	monograph		2006						P	187348286
