publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Acta Acustica	1022-4793	2681-4617	2020	4	1				https://acta-acustica.edpsciences.org		aacus		fulltext		EDP Sciences	serial								F	242997635
Agronomy for Sustainable Development	1774-0746	1773-0155	2005	25	1	2010	30	4	https://www.agronomy-journal.org		agro		fulltext		EDP Sciences	serial							agro	P	085227366
Analusis	0365-4877	1286-482X	1998	26	1	2000	28	10	https://analusis.edpsciences.org		analusis		fulltext		EDP Sciences	serial								F	040654389
Annales de Zootechnie	0003-424X	1297-9651	1952	1	1	2000	49	6	https://animres.edpsciences.org		animres		fulltext		EDP Sciences	serial								F	048897655
Annals of Forest Science	1286-4560	1297-966X	1999	56	1	2010	67	8	https://www.afs-journal.org		forest		fulltext		EDP Sciences	serial							forest	F	048897663
Apidologie	0044-8435	1297-9678	1970	1	1	2010	41	6	https://www.apidologie.org		apido		fulltext		EDP Sciences	serial							apido	F	048897671
Bulletin de la Société géologique de France	0037-9409	1777-5817	2016	187	1	2017	188	6	https://www.bsgf.fr		bsgf		fulltext		EDP Sciences	serial								P	104152559
Cahiers Agricultures	1166-7699	1777-5949	2014	23	1				https://www.cahiersagricultures.fr		cagri		fulltext		EDP Sciences	serial								F	116269537
Ciência e Técnica Vitivinícola		2416-3953	2014	29	1				https://www.ctv-jve-journal.org		ctv		fulltext		EDP Sciences	serial								F	18276169X
Dairy Science & Technology	1958-5586	1958-5594	2008	88	1	2010	90	6	https://www.dairy-journal.org		dst		fulltext		EDP Sciences	serial							lait	F	123683173
Emergent Scientist		2556-8779	2017	1					https://emergent-scientist.edp-open.org		emsci		fulltext		EDP Sciences	serial								P	219528438
EPJ Applied Metamaterials		2272-2394	2014	1					https://epjam.edp-open.org		epjam		fulltext		EDP Sciences	serial								F	187248109
EPJ Nonlinear Biomedical Physics		2195-0008	2013	1	1				https://www.epj-nbp.org		epjnbp		fulltext		EDP Sciences	serial								F	177940212
EPJ Nuclear Sciences & Technologies		2491-9292	2015	1					https://www.epj-n.org		epjn		fulltext		EDP Sciences	serial								F	192662007
European Journal of Economic and Social Systems	1292-8895	1292-8909	1999	13	1	2001	15	3	https://ejess.edpsciences.org		ejess		fulltext		EDP Sciences	serial								F	048897507
E3S Web of Conferences		2267-1242	2013	1					https://www.e3s-conferences.org		e3sconf		fulltext		EDP Sciences	serial								F	170652459
Génétique Sélection Évolution	0754-0264	2056-4562	1983	15	1	1988	20	4	https://www.gse-journal.org		gse		fulltext		EDP Sciences	serial							gse	F	180712527
ITM Web of Conferences		2271-2097	2013	1					https://www.itm-conferences.org		itmconf		fulltext		EDP Sciences	serial								F	175967091
Le Lait	0023-7302	1297-9694	1921	1	1	2007	87	6	https://lait.dairy-journal.org		lait		fulltext		EDP Sciences	serial								F	048897698
Les Cahiers de Myologie	2108-2219	2496-1558	2016		13				https://www.cahiers-myologie.org		myolog		fulltext		EDP Sciences	serial								F	199153140
Manufacturing Review		2265-4224	2014	1					https://mfr.edp-open.org		mfreview		fulltext		EDP Sciences	serial								F	169700240
Oléagineux, Corps gras, Lipides	1258-8210	1950-697X	2000	7	1	2013	20	3	https://www.ocl-journal.org		ocl		fulltext		EDP Sciences	serial								F	123246385
Photoniques	1629-4475	2269-8418	2008		37				https://www.photoniques.com		photon	P12M	fulltext		EDP Sciences	serial								F	174855915
Quadrature	1142-2785	1760-4826	2002		46	2010		77	https://www.quadrature-journal.org		quadrature		fulltext		EDP Sciences	serial								P	128396547
Reflets de la physique	1953-793X	2102-6777	2006		1				https://www.refletsdelaphysique.fr		refdp	P12M	fulltext		EDP Sciences	serial							refdp	F	137919034
Regenerative Medicine Research		2050-490X	2013	1					https://www.regenmedres-journal.org		rmr		fulltext		EDP Sciences	serial								F	174852479
Renewable Energy and Environmental Sustainability		2493-9439	2016	1					https://www.rees-journal.org		rees		fulltext		EDP Sciences	serial								F	194033481
Reproduction Nutrition Développement	0181-1916		1980	20	1A	1988	28	S1	https://rnd.edpsciences.org		rnd		fulltext		EDP Sciences	serial							rnd	F	
Revue d’Orthodontie Clinique	2118-5654	2269-8876	2011		1				https://www.roc-journal.org		roc		fulltext		EDP Sciences	serial								P	174856091
Revue Française de Géotechnique	0181-0529	2493-8653	1977		1				https://www.geotechnique-journal.org		geotech	P24M	fulltext	Journal suspended from 2014 to the end of 2015	EDP Sciences	serial								F	194033376
Revue Générale Nucléaire	0335-5004		1975		1				https://rgn.publications.sfen.org		rgn		fulltext		EDP Sciences	serial								P	
SICOT-J		2426-8887	2015	1					https://www.sicot-j.org		sicotj		fulltext		EDP Sciences	serial								F	187168512
Sustainable Buildings		2492-6035	2016	1					https://www.sustainable-buildings-journal.org		sbuild		fulltext		EDP Sciences	serial								F	19324442X
Veterinary Research	0928-4249	1297-9716	2000	31	1	2010	41	6	https://www.vetres.org		vetres		fulltext		EDP Sciences	serial								F	04889771X
Xibei Gongye Daxue Xuebao/Journal of Northwestern Polytechnical University	1000-2758	2609-7125	2018	36	1				https://www.jnwpu.org		jnwpu		fulltext		EDP Sciences	serial								F	231604823
4open		2557-0250	2018	1					https://www.4open-sciences.org		fopen		fulltext		EDP Sciences	serial								F	219998167
