publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Aquatic Living Resources	0990-7440	1765-2952	1988	1	1				https://www.alr-journal.org		alr		fulltext		EDP Sciences	serial								F	069766258
Revue Française De Géotechnique	0181-0529	2493-8653	1977		1				https://www.geotechnique-journal.org		geotech	P24M	fulltext	Journal suspended from 2014 to the end of 2015	EDP Sciences	serial								F	194033376
Cahiers Agricultures	1166-7699	1777-5949	2014	23	1				https://www.cahiersagricultures.fr		cagri		fulltext		EDP Sciences	serial								F	116269537
Epj Applied Metamaterials		2272-2394	2014	1					https://epjam.edp-open.org		epjam		fulltext		EDP Sciences	serial								F	187248109
Epj Nonlinear Biomedical Physics		2195-0008	2013	1	1	2017	5		https://www.epj-nbp.org		epjnbp		fulltext		EDP Sciences	serial								F	177940212
Esaim: Control, Optimisation And Calculus Of Variations	1292-8119	1262-3377	1996	1		2016	22	4	https://www.esaim-cocv.org		cocv		fulltext		EDP Sciences	serial								F	040652750
National Science Open	2097-1168	2097-1400	2022	1	1				https://www.nso-journal.org		nso		fulltext		EDP Sciences	serial								F	264934229
Astronomy And Astrophysics Supplement Series	0365-0138	1286-4846	1996	116	2	2000	147	3	https://aas.aanda.org		aas		fulltext		EDP Sciences	serial								F	040654400
Fruits	0248-1294	1625-967X	2001	56	1	2016	71	6	https://fruits.edpsciences.org		fruits		fulltext		EDP Sciences	serial								F	057939160
Renewable Energy And Environmental Sustainability		2493-9439	2016	1					https://www.rees-journal.org		rees		fulltext		EDP Sciences	serial								F	194033481
La Houille Blanche	0018-6368	1958-5551	1902		1	2000		07-08	https://www.shf-lhb.org		lhb		fulltext		EDP Sciences	serial								F	121373134
Photoniques	1629-4475	2269-8418	2008		37				https://www.photoniques.com		photon		fulltext		EDP Sciences	serial								F	174855915
European Journal Of Economic And Social Systems	1292-8895	1292-8909	1999	13	1	2001	15	3	https://ejess.edpsciences.org		ejess		fulltext		EDP Sciences	serial								F	048897507
The Journal Of Extracorporeal Technology	0022-1058	2969-8960	2022	54	1				https://ject.edpsciences.org		ject		fulltext		EDP Sciences	serial								F	269312307
