publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Astronomy and Astrophysics Supplement Series	0365-0138	1286-4846	1996-04-01	116	2	2000-12-31	147	3	http://aas.aanda.org/		aas.aanda.org		fulltext	free access to archive 1996-2000; now: Astronomy & Astrophysics		serial										0365-0138	1286-4846				
Analusis	0365-4877	1286-482X	1998-01-01	26	1	2000-12-31	28	10	http://analusis.edpsciences.org/		analusis.edpsciences.org		fulltext	free access to archive; now: Analytical and Bioanalytical Chemistry 2002-		serial										0365-4877	1286-482X				
Animal Research	1627-3583	1627-3591	2001-01-01	50	1	2006-12-31	55	6	http://animres.edpsciences.org/		animres.edpsciences.org		fulltext	free access to archive 1952-2006; now: Animal 2007- after merge with Reproduction Nutrition Development; previously: Annales de Zootechnie 1952-2000		serial										1627-3583	1627-3591				
European Journal of Economic and Social Systems	1292-8895	1292-8909	1999-01-01	13	1	2001-12-31	15	3	http://ejess.edpsciences.org/		ejess.edpsciences.org		fulltext	free access to archive 1999-2001		serial										1292-8895	1292-8909				
Épistémologiques	1517-7823		2002-01-01	2	1	2002-12-31	2	3	http://epistemo.edpsciences.org/		epistemo.edpsciences.org		fulltext	ceased: 2002		serial										1517-7823					
The European Physical Journal A - Hadrons and Nuclei	1434-6001	1434-601X	1998-01-01	1	1				http://epja.epj.org/		epja.epj.org		fulltext			serial										1434-6001	1434-601X				
EPJ Applied Metamaterials		2272-2394	2014-01-01	1	1				http://epjam.edp-open.org/		epjam.edp-open.org		fulltext	Open Access		serial								F			2272-2394				
The European Physical Journal: B - Condensed Matter Physics and Complex Systems	1434-6028	1434-6036	1998-01-01	1	1				http://epjb.epj.org/		epjb.epj.org		fulltext			serial										1434-6028	1434-6036				
The European Physical Journal C - Particles and Fields	1434-6044	1434-6052	1998-01-01	1	1				http://epjc.epj.org/		epjc.epj.org		fulltext			serial										1434-6044	1434-6052				
The European Physical Journal: D - Atomic, Molecular, Optical and Plasma Physics	1434-6060	1434-6079	1998-01-01	1	1				http://epjd.epj.org/		epjd.epj.org		fulltext			serial										1434-6060	1434-6079				
The European Physical Journal E: Soft Matter and Biological Physics	1292-8941	1292-895X	2000-01-01	1	1				http://epje.epj.org/		epje.epj.org		fulltext			serial										1292-8941	1292-895X				
The European Physical Journal: H - Historical Perspectives on Contemporary Physics	2102-6459	2102-6467	2010-01-01	35	1				http://epjh.epj.org/		epjh.epj.org		fulltext			serial										2102-6459	2102-6467				
The European Physical Journal - Special Topics	1951-6355	1951-6401	2007-01-01	140	1				http://epjst.epj.org/		epjst.epj.org		fulltext			serial										1951-6355	1951-6401				
EPL (Europhysics Letters)	0295-5075	1286-4854	1996-01-01	33	1				http://epljournal.edpsciences.org/		epljournal.edpsciences.org		fulltext			serial										0295-5075	1286-4854				
Journal de Chimie Physique et de Physico-Chimie Biologique	0021-7689		1998-01-01	95	1	1999-12-31	96	90	http://jcp.edpsciences.org/		jcp.edpsciences.org		fulltext	free access to archive 1998-1999; ceased: 1999		serial										0021-7689					
Le Lait	0023-7302	1297-9694	1921-01-01	1	1	2007-12-31	87	6	http://lait.dairy-journal.org/		lait.dairy-journal.org		fulltext	free access to archive 1921-2007; now: Dairy Science & Technology 2008-		serial										0023-7302	1297-9694				
Manufacturing Review		2265-4224	2013-01-01	1	1				http://mfr.edp-open.org/		mfr.edp-open.org		fulltext	Open Access		serial								F			2265-4224				
Microscopy Microanalysis Microstructures	1154-2799		1990-02-01	1	1	1997-12-31	8	6	http://mmm.edpsciences.org/		mmm.edpsciences.org		fulltext	free access to archive 1990-1997; now: European Physical Journal: Applied Physics 1998-		serial										1154-2799					
Revue d'Orthopédie Dento-Faciale	0337-9736	2110-543X	1967-01-01	1	1				http://odf.edpsciences.org/		odf.edpsciences.org		fulltext			serial										0337-9736	2110-543X				
Oil & Gas Science and Technology	1294-4475	1953-8189	1999-01-01	54	1				http://ogst.ifpenergiesnouvelles.fr/		ogst.ifpenergiesnouvelles.fr		fulltext	Open Access; previously: Revue de L'Institut Français du Pétrole 1974-1998		serial								F		1294-4475	1953-8189				
Revue Générale Nucléaire	0335-5004		1975-02-01		1				http://rgn.publications.sfen.org/		rgn.publications.sfen.org		fulltext			serial										0335-5004					
Annales de Biologie Animale, Biochimie, Biophysique	0003-388X		1961-01-01	1	1	1979-12-31	19	6	http://rnd.edpsciences.org/		rnd.edpsciences.org		fulltext	free access to archives; now: Animal; previously: Reproduction Nutrition Development 1989-2006; Reproduction Nutrition Développement 1980-1988; Annales de Biologie Animale, Biochimie, Biophysique 1961-1979		serial										0003-388X					
Techniques Sciences Methodes	0299-7258		2007-01-01	1	1				http://tsm.astee.org/		tsm.astee.org		fulltext			serial										0299-7258					
Astronomy & Astrophysics	0004-6361	1432-0746	2001-01-01	365	1				http://www.aanda.org/		www.aanda.org		fulltext			serial										0004-6361	1432-0746				
Annals of Forest Science	1286-4560	1297-966X	1999-01-01	56	1	2010-12-31	67	8	http://www.afs-journal.org/		www.afs-journal.org		fulltext	Previously: Annales des Sciences Forestières 1964-1998; transfer out: Springer in 2011		serial										1286-4560	1297-966X				
Agronomy for Sustainable Development	1774-0746	1773-0155	2005-01-01	25	1				http://www.agronomy-journal.org/		www.agronomy-journal.org		fulltext	transfer out: Springer 2011; previously: Agronomie 1981-2004		serial										1774-0746	1773-0155				
Aquatic Living Resources	0990-7440	1765-2952	1988-01-01	1	1				http://www.alr-journal.org/		www.alr-journal.org		fulltext	transfer in (2015): Cambridge University Press		serial										0990-7440	1765-2952				
Annales de Physique	0003-4169	1286-4838	1984-01-01	9	1	2009-12-31	34	6	http://www.annphys.org/		www.annphys.org		fulltext	ceased 2009		serial										0003-4169	1286-4838				
Actualités Odonto-Stomatologiques	0001-7817	1760-611X	2007-03-01		237				http://www.aos-journal.org/		www.aos-journal.org		fulltext	Open Access		serial								F		0001-7817	1760-611X				
Apidologie	0044-8435	1297-9678	1970-01-01	1	1	2010-12-31	41	6	http://www.apidologie.org/		www.apidologie.org		fulltext	transfer out: Springer 2011; free access 1970-2010; previously: Annales de l'Abeille 1958-1968		serial										0044-8435	1297-9678				
Annales de Toxicologie Analytique	0768-598X	1961-9480	2000-01-01	12	1				http://www.ata-journal.org/		www.ata-journal.org		fulltext	Open Access; ceased 2013		serial								F		0768-598X	1961-9480				
BIO Web of Conferences		2117-4458	2011-01-01	1					http://www.bio-conferences.org/		www.bio-conferences.org		fulltext	Open Access		serial								F			2117-4458				
Biologie Aujourd'Hui	2105-0678	2105-0686	2005-01-01	199	1				http://www.biologie-journal.org/		www.biologie-journal.org		fulltext			serial										2105-0678	2105-0686				
Ciência e Técnica Vitivinícola	0254-0223		2014-01-01	29	1				http://www.ctv-jve-journal.org/		www.ctv-jve-journal.org		fulltext	Open Access		serial								F		0254-0223					
Dairy Science & Technology	1958-5586	1958-5594	2008-01-01	88	1	2010-12-31	90	6	http://www.dairy-journal.org/		www.dairy-journal.org		fulltext	transfer out: Springer 2011; free access 2008-2010; previously: Le Fait 1921-2007		serial										1958-5586	1958-5594				
E3S Web of Conferences		2267-1242	2013-01-01	1					http://www.e3s-conferences.org/		www.e3s-conferences.org		fulltext	Open Access		serial								F			2267-1242				
European Astronomical Society Publications Series	1633-4760	1638-1963							http://www.eas-journal.org/		www.eas-journal.org		fulltext	transfer in (2015): Cambridge University Press		serial										1633-4760	1638-1963				
Environmental Biosafety Research	1635-7922	1635-7930	2002-10-01	1	1	2011-10-31	10	4	http://www.ebr-journal.org/		www.ebr-journal.org		fulltext	ceased: 2011		serial										1635-7922	1635-7930				
EPJ Web of Conferences		2100-014X	2009-01-01	1					http://www.epj-conferences.org/		www.epj-conferences.org		fulltext	Open Access		serial								F			2100-014X				
EPJ Photovoltaics		2105-0716	2010-01-01	1					http://www.epj-pv.org/		www.epj-pv.org		fulltext	Open Access		serial								F			2105-0716				
The European Physical Journal - Applied Physics	1286-0042	1286-0050	1998-01-01	1					http://www.epjap.org/		www.epjap.org		fulltext	transfer in (2015): Cambridge University Press		serial										1286-0042	1286-0050				
ESAIM: Control, Optimisation and Calculus of Variations	1292-8119	1262-3377	1996-01-01	1					http://www.esaim-cocv.org/		www.esaim-cocv.org		fulltext	transfer in (2015): Cambridge University Press		serial										1292-8119	1262-3377				
ESAIM: Mathematical Modelling and Numerical Analysis	0764-583X	1290-3841	1999-01-01	33	1				http://www.esaim-m2an.org/		www.esaim-m2an.org		fulltext	transfer in (2015): Cambridge University Press		serial										0764-583X	1290-3841				
ESAIM: Proceedings and Surveys		2267-3059	1996-01-01	1					http://www.esaim-proc.org/		www.esaim-proc.org		fulltext	Open Access		serial								F			2267-3059				
ESAIM: Probability and Statistics	1292-8100	1262-3318	1997-01-01	1	1				http://www.esaim-ps.org/		www.esaim-ps.org		fulltext	transfer in (2015): Cambridge University Press		serial										1292-8100	1262-3318				
Éducation Thérapeutique du Patient - Therapeutic Patient Education	2100-0808	2100-0816	2009-06-01	1	1				http://www.etp-journal.org/		www.etp-journal.org		fulltext			serial										2100-0808	2100-0816				
