publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Actualités Odonto-Stomatologiques	0001-7817	1760-611X	2007-03-01		237				http://www.aos-journal.org/		24787		fulltext			serial								F	Open Access		0001-7817	1760-611X					Current	
Agronomie	0249-5627		1981-01-01	1		2004-01-01	24	1	http://www.agronomy-journal.org/		24788		fulltext			serial									now: Agronomy for Sustainable Development 2005-		0249-5627						Current	
Agronomy for Sustainable Development	1774-0746	1773-0155	2005-01-01	25	1				http://www.agronomy-journal.org/		5567		fulltext			serial									transfer out: Springer 2011; previously: Agronomie 1981-2004		1774-0746	1773-0155					Current	
Analusis	0365-4877	1286-482X	1998-01-01	26	1	2000-12-31	28	10	http://analusis.edpsciences.org/		24789		fulltext			serial									free access to archive; now: Analytical and Bioanalytical Chemistry 2002-		0365-4877	1286-482X					Current	
Animal Research	1627-3583	1627-3591	2001-01-01	50	1	2006-12-31	55	6	http://animres.edpsciences.org/		24790		fulltext			serial									free access to archive 1952-2006; now: Animal 2007- after merge with Reproduction Nutrition Development; previously: Annales de Zootechnie 1952-2000		1627-3583	1627-3591					Current	
Annales de Biologie Animale, Biochimie, Biophysique	0003-388X		1961-01-01	1	1	1979-12-31	19	6	http://rnd.edpsciences.org/		24791		fulltext			serial									free access to archives; now: Animal; previously: Reproduction Nutrition Development 1989-2006; Reproduction Nutrition Développement 1980-1988; Annales de Biologie Animale, Biochimie, Biophysique 1961-1979		0003-388X						Current	
Annales de Génétique et de Sélection Animale	0003-4002		1969-01-01	1	1	1987-12-31	19	4	http://www.gse-journal.org/		24792		fulltext			serial									now: Genetics Selection Evolution 1989- ;previously: Génétique Sélection Evolution 1983-1988; Annales de Génétique et de Sélection Animale 1969-1987		0003-4002						Current	
Annales de Limnologie - International Journal of Limnology	0003-4088	2100-000X	1965-01-01	1	1				http://www.limnology-journal.org/		5002		fulltext			serial									transfer in (2015): Cambridge University Press		0003-4088	2100-000X			2015-01-01		Current	
Annales de Physique	0003-4169	1286-4838	1984-01-01	9	1	2009-12-31	34	6	http://www.annphys.org/		24794		fulltext			serial									ceased 2009		0003-4169	1286-4838					Current	
Annales de Toxicologie Analytique	0768-598X	1961-9480	2000-01-01	12	1				http://www.ata-journal.org/		24795		fulltext			serial								F	Open Access; ceased 2013		0768-598X	1961-9480					Current	
Annales de Zootechnie	0003-424X	1297-9651	1952-01-01	1	1	2000-12-31	49	5	http://animres.edpsciences.org/		24796		fulltext			serial									free access to archive 1952-2006; now: Animal 2007- ;previously: Animal Research 2002-2006;		0003-424X	1297-9651					Current	
Annales de l'Abeille	0570-1597		1958-01-01	1	1	1968-12-31	11	4	http://www.apidologie.org/		24793		fulltext			serial									free access 1958-1968; now: Apidologie 1970-		0570-1597						Current	
Annales des Sciences Forestières	0003-4312		1964-01-01	21	1	1998-12-31	55	8	http://www.afs-journal.org/		19924		fulltext			serial									Now: Annals of Forest Science		0003-4312						Current	
Annals of Forest Science	1286-4560	1297-966X	1999-01-01	56	1	2010-12-31	67	8	http://www.afs-journal.org/		5577		fulltext			serial									Previously: Annales des Sciences Forestières 1964-1998; transfer out: Springer in 2011		1286-4560	1297-966X					Current	
Apidologie	0044-8435	1297-9678	1970-01-01	1	1	2010-12-31	41	6	http://www.apidologie.org/		5581		fulltext			serial									transfer out: Springer 2011; free access 1970-2010; previously: Annales de l'Abeille 1958-1968		0044-8435	1297-9678					Current	
Aquatic Living Resources	0990-7440	1765-2952	1988-01-01	1	1				http://www.alr-journal.org/		5003		fulltext			serial									transfer in (2015): Cambridge University Press		0990-7440	1765-2952			2015-01-01		Current	
Astronomy & Astrophysics	0004-6361	1432-0746	2001-01-01	365	1				http://www.aanda.org/		24797		fulltext			serial											0004-6361	1432-0746					Current	
Astronomy and Astrophysics Supplement Series	0365-0138	1286-4846	1996-04-01	116	2	2000-12-31	147	3	http://aas.aanda.org/		24798		fulltext			serial									free access to archive 1996-2000; now: Astronomy & Astrophysics		0365-0138	1286-4846					Current	
