publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Astronomy and Astrophysics Supplement Series	0365-0138	1286-4846							http://aas.aanda.org/		aas.aanda.org													
Analusis	0365-4877	1286-482X							http://analusis.edpsciences.org/		analusis.edpsciences.org													
Animal Research	1627-3583	1627-3591							http://animres.edpsciences.org/		animres.edpsciences.org													
European Journal of Economic and Social Systems	1292-8895	1292-8909							http://ejess.edpsciences.org/		ejess.edpsciences.org													
ÃpistÃ©mologiques	1517-7823								http://epistemo.edpsciences.org/		epistemo.edpsciences.org													
The European Physical Journal A - Hadrons and Nuclei	1434-6001	1434-601X							http://epja.epj.org/		epja.epj.org													
EPJ Applied Metamaterials		2272-2394							http://epjam.edp-open.org/		epjam.edp-open.org													
The European Physical Journal: B - Condensed Matter Physics and Complex Systems	1434-6028	1434-6036							http://epjb.epj.org/		epjb.epj.org													
The European Physical Journal C - Particles and Fields	1434-6044	1434-6052							http://epjc.epj.org/		epjc.epj.org													
The European Physical Journal: D - Atomic, Molecular, Optical and Plasma Physics	1434-6060	1434-6079							http://epjd.epj.org/		epjd.epj.org													
The European Physical Journal E: Soft Matter and Biological Physics	1292-8941	1292-895X							http://epje.epj.org/		epje.epj.org													
The European Physical Journal: H - Historical Perspectives on Contemporary Physics	2102-6459	2102-6467							http://epjh.epj.org/		epjh.epj.org													
The European Physical Journal - Special Topics	1951-6355	1951-6401							http://epjst.epj.org/		epjst.epj.org													
EPL (Europhysics Letters)	0295-5075	1286-4854							http://epljournal.edpsciences.org/		epljournal.edpsciences.org				IOP									
Journal de Chimie Physique et de Physico-Chimie Biologique	0021-7689								http://jcp.edpsciences.org/		jcp.edpsciences.org													
Le Fait	0023-7302	1297-9694							http://lait.dairy-journal.org/		lait.dairy-journal.org													
Manufacturing Review		2265-4224							http://mfr.edp-open.org/		mfr.edp-open.org				EDP Sciences									
Microscopy Microanalysis Microstructures	1154-2799								http://mmm.edpsciences.org/		mmm.edpsciences.org													
Revue d'OrthopÃ©die Dento-Faciale	0337-9736	2110-543X							http://odf.edpsciences.org/		odf.edpsciences.org													
Oil & Gas Science and Technology	1294-4475	1953-8189							http://ogst.ifpenergiesnouvelles.fr/		ogst.ifpenergiesnouvelles.fr													
Revue GÃ©nÃ©rale NuclÃ©aire	0335-5004								http://rgn.publications.sfen.org/		rgn.publications.sfen.org													
Annales de Biologie Animale, Biochimie, Biophysique	0003-388X								http://rnd.edpsciences.org/		rnd.edpsciences.org													
Techniques Sciences Methodes	0299-7258								http://tsm.astee.org/		tsm.astee.org													
Astronomy & Astrophysics	0004-6361	1432-0746							http://www.aanda.org/		www.aanda.org													
Annals of Forest Science	1286-4560	1297-966X							http://www.afs-journal.org/		www.afs-journal.org				EDP Sciences									
Agronomy for Sustainable Development	1774-0746	1773-0155							http://www.agronomy-journal.org/		www.agronomy-journal.org													
Aquatic Living Resources	0990-7440	1765-2952							http://www.alr-journal.org/		www.alr-journal.org													
Annales de Physique	0003-4169	1286-4838							http://www.annphys.org/		www.annphys.org													
ActualitÃ©s Odonto-Stomatologiques	0001-7817	1760-611X							http://www.aos-journal.org/		www.aos-journal.org													
Apidologie	0044-8435	1297-9678							http://www.apidologie.org/		www.apidologie.org													
Annales de Toxicologie Analytique	0768-598X	1961-9480							http://www.ata-journal.org/		www.ata-journal.org													
BIO Web of Conferences		2117-4458							http://www.bio-conferences.org/		www.bio-conferences.org													
Biologie Aujourd'Hui	2105-0678	2105-0686							http://www.biologie-journal.org/		www.biologie-journal.org													
CiÃªncia e TÃ©cnica VitivinÃ­cola	0254-0223								http://www.ctv-jve-journal.org/		www.ctv-jve-journal.org													
Dairy Science & Technology	1958-5586	1958-5594							http://www.dairy-journal.org/		www.dairy-journal.org													
E3S Web of Conferences		2267-1242							http://www.e3s-conferences.org/		www.e3s-conferences.org													
