publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	ezp-jtype	ezp-issn
Mémento Assemblées générales 2012-2013											MASGE					Mémento	undefined
Mémento Baux Commerciaux 2013-2014											MBC					Mémento	undefined
Mémento Cessions de parts et actions 2013-2014											MCPA					Mémento	undefined
Mémento Comptes Consolidés 											CCONSO					Mémento	undefined
Mémento Concurrence consommation 2013-2014											MCC					Mémento	undefined
Mémento Droit commercial 											MDC					Mémento	undefined
Fiches complémentaires au Mémento Droit commercial											ANALYSE					Mémento	undefined
Mémento Express Réformes fiscales 											MXF					Mémento	undefined
Mémento Fiscal 											MF					Mémento	undefined
Bulletin du patrimoine 2013/5											BPAT1305					Revues	undefined
Bulletin fiscal											BF1311					Revues	0242-5912
Bulletin pratique immobilier											BM1305					Revues	undefined
Bulletin rapide de droit des affaires											BRDA1320					Revues	0395-451X
Bulletin social											BS1311					Revues	0242-5874
Feuillet Rapide Fiscal Social											FR1347					Revues	0150-5467
Feuillet Rapide Comptable											FRC1311					Revues	undefined
Feuillet Rapide Social											FRS1321					Revues	0753-5732
Bulletin comptable et financier France jusqu'au 3-4/2008											BCFF0804					Revues	0220-2352
Bulletin comptable et financier IFRS jusqu'au 11-12/2008											BCFI0812					Revues	0220-2352
Bulletins des conclusions fiscales											BDCF13					Revues de jurisprudence	undefined
Revue de jurisprudence de droit des affaires											RJDA13					Revues de jurisprudence	1156-2935
Revue de jurisprudence fiscale											RHF13					Revues de jurisprudence	0337-7393
Revue de jurisprudence sociale											RJS13					Revues de jurisprudence	0997-7422
Documentation pratique Affaires SARL											SARL					Documentation experte	undefined
Documentation pratique Fiscale - ASS (Taxes assimilées aux impôts directs locaux)											ASS					Documentation experte	undefined
Documentation pratique Fiscale - BA (Bénéfices agricoles)											BA					Documentation experte	undefined
Documentation pratique Fiscale - BIC (Bénéfices industriels et commerciaux)											BIC					Documentation experte	undefined
Documentation pratique Fiscale - BNC (Bénéfices non commerciaux)											BNC					Documentation experte	undefined
Documentation pratique Fiscale - CET (Contribution économique territoriale)											CET					Documentation experte	undefined
