publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Regards Démographiques Sur Quelques Crises Climatiques		9782901107071							https://www.erudit.org/fr/livres/actes-des-colloques-de-lassociation-internationale-des-demographes-de-langue-francaise/regards-demographiques-sur-quelques-crises-climatiques/	Thierry Eggerickx, Jean-Paul Sanderson	regards-demographiques-sur-quelques-crises-climatiques		fulltext		Association Internationale des Démographes de Langue Française	monograph		2024						F	
Les Métaphores De La Culture	2763772945								https://www.erudit.org/fr/livres/culture-francaise-damerique/les-metaphores-culture/	Sous la direction de Joseph Melançon	les-metaphores-culture		fulltext		La culture d'expression française en Amérique du Nord	monograph	1992							F	
Actes Du Colloque Sur La Recherche En Enseignement Des Arts Visuels, Université Du Québec À Montréal 2016		9782923999043							https://www.erudit.org/fr/livres/actes-du-colloque-sur-la-recherche-en-enseignement-des-arts-visuels/actes-colloque-sur-recherche-en-enseignement-arts-visuels-universite-quebec-a--978-2-923999-04-3/	Sous la direction de Alain Savoie, Anne-Marie Émond, Francine Gagnon-Bourget et Pierre Gosselin	actes-colloque-sur-recherche-en-enseignement-arts-visuels-universite-quebec-a--978-2-923999-04-3		fulltext		CRÉA Éditions	monograph		2018						F	
L’informateur Clé En Recherche Qualitative : Enjeux Éthiques, Enjeux Méthodologiques Et Histoire D’une Pratique		9782925374282							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/linformateur-cle-en-recherche-qualitative/	Jonathan Paquette, Karine St-Denis et Julien Doris	linformateur-cle-en-recherche-qualitative		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2024						F	
Sensorialité, Émotion Et Esthétique En Recherche Qualitative		9782925374244							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/sensorialite-emotion-et-esthetique-en-recherche-qualitative/	Linda Rouleau et Sylvie Grosjean	sensorialite-emotion-et-esthetique-en-recherche-qualitative		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2020						F	
La Vieillesse Entre Le Médical Et Le Social. Enjeux De Santé, De Dépendance Et D’accompagnement De La Fin De Vie		9782901107040							https://www.erudit.org/fr/livres/actes-des-colloques-de-lassociation-internationale-des-demographes-de-langue-francaise/la-vieillesse-entre-le-medical-et-le-social-enjeux-de-sante-de-dependance-et-daccompagnement-de-la-fin-de-vie/	Sophie Pennec et Michel Oris	la-vieillesse-entre-le-medical-et-le-social-enjeux-de-sante-de-dependance-et-daccompagnement-de-la-fin-de-vie		fulltext		Association Internationale des Démographes de Langue Française	monograph		2020						F	
Relations Intergénérationnelles, Enjeux Démographiques (actes Du Xvie Colloque, Genève, 21-24 Juin 2010)									https://www.erudit.org/fr/livres/actes-des-colloques-de-lassociation-internationale-des-demographes-de-langue-francaise/relations-intergenerationnelles-enjeux-demographiques-actes-xvie-colloque--978-2-9521220-3-0/		relations-intergenerationnelles-enjeux-demographiques-actes-xvie-colloque--978-2-9521220-3-0		fulltext		Association Internationale des Démographes de Langue Française	monograph	2012							F	
Vie Des Arts	0042-5435	1923-3183	1956		1				https://www.erudit.org/revues/va/#back-issues		va		fulltext		La Société La Vie des Arts	serial								P	184170877
L’ère Du Numérique : Quelles Possibilités Et Quels Défis Pour La Recherche Qualitative ?		9782925374237							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/lere-du-numerique-quelles-possibilites-et-quels-defis-pour-la-recherche-qualitative/	Normand Roy et Sylvie Gendron	lere-du-numerique-quelles-possibilites-et-quels-defis-pour-la-recherche-qualitative		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2019						F	
L’instrumentation Dans La Collecte Des Données		9782925374015							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/linstrumentation-dans-la-collecte-des-donnees/		linstrumentation-dans-la-collecte-des-donnees		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2005						F	
Encounters In Theory And History Of Education / Encuentros En Teoría E Historia De La Educación		2560-8371	2020	21					https://www.erudit.org/revues/ethe/#back-issues		ethe		fulltext		Faculty of Education, Queen's University	serial								F	201460890
Methodology, Problems And Perspectives In Québec Studies	2895180954								https://www.erudit.org/fr/livres/new-perspectives-in-quebec-studies/methodology-problems-and-perspectives-in-quebec-studies--2-89518-095-4/	Daniel Chartier	methodology-problems-and-perspectives-in-quebec-studies--2-89518-095-4		fulltext		Éditions Nota bene	monograph	2002							F	
Engaged Scholar Journal : Community-engaged Research, Teaching And Learning	2369-1190	2368-416X	2019	5	3				https://www.erudit.org/revues/esj/#back-issues		esj		fulltext		University of Saskatchewan	serial								F	189596198
Perspectives Comparatives		9782925374060							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/perspectives-comparatives/	Colette Baribeau	perspectives-comparatives		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2009						F	
Pour Une Traductologie Proactive (2005) : Colloque International Du 50e Anniversaire De Meta	2760619257								https://www.erudit.org/fr/livres/hors-collection/pour-une-traductologie-proactive-colloque-international-du-50e-anniversaire-de-meta/	André Clas, Georges L. Bastin, Hélène Buzelin, Jeanne Dancette, Judith Lavoie, Egan Valentine et Sylvie Vandaele	pour-une-traductologie-proactive-colloque-international-du-50e-anniversaire-de-meta		fulltext		Les Presses de l'Université de Montréal	monograph	2006							F	
La Construction D'une Culture. Le Québec Et L'amérique Française	2763773060								https://www.erudit.org/fr/livres/culture-francaise-damerique/construction-dune-culture-quebec-lamerique-francaise/	Sous la direction de Gérard Bouchard	construction-dune-culture-quebec-lamerique-francaise		fulltext		La culture d'expression française en Amérique du Nord	monograph	1993							F	
La Recherche Qualitative : Un Vecteur D’innovations		9782925374169							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/la-recherche-qualitative-un-vecteur-dinnovations/	Martin Caouette, Dany Lussier-Desrochers et Valérie Godin-Tremblay	la-recherche-qualitative-un-vecteur-dinnovations		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2015						F	
Recherche Qualitative En Sciences Humaines Et Sociales : Les Questions De L'heure		9782925374046							https://www.erudit.org/fr/livres/collection-hors-serie-les-actes-de-la-revue-recherches-qualitatives/recherche-qualitative-en-sciences-humaines-et-sociales/	François Guillemette et Colette Baribeau	recherche-qualitative-en-sciences-humaines-et-sociales		fulltext		Association pour la recherche qualitative (ARQ)	monograph		2007						F	
