publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Acta Criminologica	0065-1168	1718-3243							http://www.erudit.org/revue/ac/1974/v7/n1/index.html		ac				
L'Actualité économique	0001-771X	1710-3991							http://www.erudit.org/revue/ae/2012/v88/n2/index.html		ae				
L'Annuaire théâtral : revue québécoise d’études théâtrales									http://www.erudit.org/revue/51/index.html		annuaire				
Arborescences : revue d’études françaises		1925-5357							http://www.erudit.org/revue/arbo/2013/v/n3/index.html		arbo				
Anthropologie et Sociétés	0702-8997	1703-7921							http://www.erudit.org/revue/as/2013/v37/n2/index.html		as				
Les ateliers de l’éthique / The Ethics Forum		1718-9977							http://www.erudit.org/revue/ateliers/2013/v8/n1/index.html		ateliers				
Bulletin de l'Association des démographes du Québec 	0380-1713	1925-3478							http://www.erudit.org/revue/badq/1974/v3/nbadq3932/index.html		badq				
Bulletin d'histoire politique	1201-0421	1929-7653							http://www.erudit.org/revue/bhp/2013/v22/n1/index.html		bhp				
Bulletin de la Société d’Histoire de la Guadeloupe	0583-8266								http://www.erudit.org/revue/bshg/2013/v/n165/index.html		bshg				
Les Cahiers de droit	0007-974X	1918-8218							http://www.erudit.org/revue/cd/2013/v54/n4/index.html		cd				
Les Cahiers des dix 	0575-089X	1920-437X							http://www.erudit.org/revue/cdd/2012/v/n66/index.html		cdd				
Cahiers franco-canadiens de l'Ouest 									http://www.erudit.org/revue/2/index.html		cfco				
Cahiers de géographie du Québec	0007-9766	1708-8968							http://www.erudit.org/revue/cgq/2013/v57/n160/index.html		cgq				
Cinémas : revue d'études cinématographiques / Cinémas: Journal of Film Studies									http://www.erudit.org/revue/3/index.html		cine				
Circuit : musiques contemporaines	1183-1693	1488-9692							http://www.erudit.org/revue/circuit/2013/v23/n2/index.html		circuit				
Cahier de linguistique	0315-4025	1920-1346							http://www.erudit.org/revue/cl/1980/v/n10/index.html		cl				
Cahiers québécois de démographie	0380-1721	1705-1495							http://www.erudit.org/revue/cqd/2013/v42/n2/index.html		cqd				
Criminologie	0316-0041	1492-1367							http://www.erudit.org/revue/crimino/2013/v46/n1/index.html		crimino				
Cahiers de recherche sociologique 	0831-1048	1923-5771							http://www.erudit.org/revue/crs/2012/v/n52/index.html		crs				
