publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Acta Criminologica									http://www.erudit.org/revue/undefined		ac													
L'Actualité économique									http://www.erudit.org/revue/undefined		ae													
L'Annuaire théâtral : revue québécoise d’études théâtrales									http://www.erudit.org/revue/undefined		annuaire													
Approches inductives : Travail intellectuel et construction des connaissances									http://www.erudit.org/revue/undefined		approchesind													
Arborescences : revue d’études françaises									http://www.erudit.org/revue/undefined		arbo													
Archives									http://www.erudit.org/revue/undefined		archives													
Anthropologie et Sociétés									http://www.erudit.org/revue/undefined		as													
Les ateliers de l’éthique / The Ethics Forum									http://www.erudit.org/revue/undefined		ateliers													
Bulletin de l'Association des démographes du Québec 									http://www.erudit.org/revue/undefined		badq													
Bulletin d'histoire politique									http://www.erudit.org/revue/undefined		bhp													
BioéthiqueOnline									http://www.erudit.org/revue/undefined		bo													
Bulletin de la Société d’Histoire de la Guadeloupe									http://www.erudit.org/revue/undefined		bshg													
Les Cahiers de droit									http://www.erudit.org/revue/undefined		cd													
Les Cahiers des dix 									http://www.erudit.org/revue/undefined		cdd													
Cahiers franco-canadiens de l'Ouest 									http://www.erudit.org/revue/undefined		cfco													
Cahiers de géographie du Québec									http://www.erudit.org/revue/undefined		cgq													
Cinémas : revue d'études cinématographiques / Cinémas: Journal of Film Studies									http://www.erudit.org/revue/undefined		cine													
Circuit : musiques contemporaines									http://www.erudit.org/revue/undefined		circuit													
Cahier de linguistique									http://www.erudit.org/revue/undefined		cl													
Cahiers québécois de démographie									http://www.erudit.org/revue/undefined		cqd													
Criminologie									http://www.erudit.org/revue/undefined		crimino													
Cahiers de recherche sociologique 									http://www.erudit.org/revue/undefined		crs													
Canadian Social Work Review / Revue canadienne de service social									http://www.erudit.org/revue/undefined		cswr													
Cuizine: The Journal of Canadian Food Cultures / Cuizine : revue des cultures culinaires au Canada									http://www.erudit.org/revue/undefined		cuizine													
Canadian University Music Review / Revue de musique des universités canadiennes									http://www.erudit.org/revue/undefined		cumr													
Documentation et bibliothèques									http://www.erudit.org/revue/undefined		documentation													
Drogues, santé et société									http://www.erudit.org/revue/undefined		dss													
Diversité urbaine									http://www.erudit.org/revue/undefined		du													
Éducation et francophonie									http://www.erudit.org/revue/undefined		ef													
Enfances, Familles, Générations									http://www.erudit.org/revue/undefined		efg													
Études d’histoire religieuse									http://www.erudit.org/revue/undefined		ehr													
Études internationales									http://www.erudit.org/revue/undefined		ei													
Études littéraires africaines									http://www.erudit.org/revue/undefined		ela													
Enfance en difficulté									http://www.erudit.org/revue/undefined		enfance													
Économie et Solidarités									http://www.erudit.org/revue/undefined		es													
Ethnologies									http://www.erudit.org/revue/undefined		ethno													
Études françaises									http://www.erudit.org/revue/undefined		etudfr													
Études/Inuit/Studies									http://www.erudit.org/revue/undefined		etudinuit													
Études littéraires									http://www.erudit.org/revue/undefined		etudlitt													
Environnement Urbain / Urban Environment									http://www.erudit.org/revue/undefined		eue													
Eurostudia									http://www.erudit.org/revue/undefined		euro													
Francophonies d'Amérique									http://www.erudit.org/revue/undefined		fa													
Filigrane : écoutes psychanalytiques									http://www.erudit.org/revue/undefined		fili													
Frontières									http://www.erudit.org/revue/undefined		fr													
Globe : revue internationale d’études québécoises									http://www.erudit.org/revue/undefined		globe													
Géographie physique et Quaternaire									http://www.erudit.org/revue/undefined		gpq													
Revue d'histoire de l'Amérique française									http://www.erudit.org/revue/undefined		haf													
Cahiers d'histoire									http://www.erudit.org/revue/undefined		histoire													
Historical Papers / Communications historiques									http://www.erudit.org/revue/undefined		hp													
Horizons philosophiques									http://www.erudit.org/revue/undefined		hphi													
HSTC Bulletin: Journal of the History of Canadian Science, Technology and Medecine / HSTC Bulletin : revue d’histoire des sciences, des techniques et de la médecine au Canada									http://www.erudit.org/revue/undefined		hstc													
International Journal of Canadian Studies / Revue internationale d’études canadiennes									http://www.erudit.org/revue/undefined		ijcs													
Intermédialités : histoire et théorie des arts, des lettres et des techniques / Intermediality: History and Theory of the Arts, Literature and Technologies									http://www.erudit.org/revue/undefined		im													
Revue internationale P.M.E. : économie et gestion de la petite et moyenne entreprise									http://www.erudit.org/revue/undefined		ipme													
Intersections: Canadian Journal of Music / Intersections : revue canadienne de musique									http://www.erudit.org/revue/undefined		is													
Journal of the Canadian Historical Association / Revue de la Société historique du Canada									http://www.erudit.org/revue/undefined		jcha													
Les Cahiers du Gres									http://www.erudit.org/revue/undefined		lcg													
Lex Electronica									http://www.erudit.org/revue/undefined		lex													
Loisir et Société / Society and Leisure									http://www.erudit.org/revue/undefined		ls													
Lien social et Politiques									http://www.erudit.org/revue/undefined		lsp													
Laval théologique et philosophique									http://www.erudit.org/revue/undefined		ltp													
Lumen: Selected Proceedings from the Canadian Society for Eighteenth-Century Studies / Lumen : travaux choisis de la Société canadienne d'étude du dix-huitième siècle									http://www.erudit.org/revue/undefined		lumen													
Man and Nature / L'homme et la nature									http://www.erudit.org/revue/undefined		man													
Mesure et évaluation en éducation									http://www.erudit.org/revue/undefined		mee													
Mémoires du livre  / Studies in Book Culture									http://www.erudit.org/revue/undefined		memoires													
Mens : revue d'histoire intellectuelle et culturelle									http://www.erudit.org/revue/undefined		mens													
Mens : revue d'histoire intellectuelle de l’Amérique française									http://www.erudit.org/revue/undefined		mensaf													
Meta : journal des traducteurs / Meta: Translators' Journal									http://www.erudit.org/revue/undefined		meta													
Management international / Gestión Internacional									http://www.erudit.org/revue/undefined		mi													
Minorités linguistiques et société / Linguistic Minorities and Society									http://www.erudit.org/revue/undefined		minling													
McGill Journal of Education / Revue des sciences de l'éducation de McGill									http://www.erudit.org/revue/undefined		mje													
McGill Law Journal / Revue de droit de McGill									http://www.erudit.org/revue/undefined		mlj													
M/S : médecine sciences									http://www.erudit.org/revue/undefined		ms													
Muséologies : les cahiers d’études supérieures									http://www.erudit.org/revue/undefined		museo													
Le Naturaliste canadien									http://www.erudit.org/revue/undefined		natcan													
Nouveaux c@hiers de la recherche en éducation									http://www.erudit.org/revue/undefined		ncre													
Nouvelles pratiques sociales									http://www.erudit.org/revue/undefined		nps													
Nouvelles perspectives en sciences sociales : revue internationale de systémique complexe et d'études relationnelles									http://www.erudit.org/revue/undefined		npss													
Port Acadie : revue interdisciplinaire en études acadiennes / Port Acadie: An Interdisciplinary Review in Acadian Studies									http://www.erudit.org/revue/undefined		pa													
Philosophiques									http://www.erudit.org/revue/undefined		philoso													
Phronesis									http://www.erudit.org/revue/undefined		phro													
Phytoprotection									http://www.erudit.org/revue/undefined		phyto													
Politique									http://www.erudit.org/revue/undefined		po													
Protée									http://www.erudit.org/revue/undefined		pr													
Politique et Sociétés									http://www.erudit.org/revue/undefined		ps													
Psychiatrie et violence									http://www.erudit.org/revue/undefined		pv													
Rabaska : revue d'ethnologie de l'Amérique française									http://www.erudit.org/revue/undefined		rabaska													
RACAR : Revue d’art canadienne / Canadian Art Review									http://www.erudit.org/revue/undefined		racar													
Report of the Annual Meeting of the Canadian Historical Association  / Rapports annuels de la Société historique du Canada									http://www.erudit.org/revue/undefined		ram													
Recherches amérindiennes au Québec									http://www.erudit.org/revue/undefined		raq													
Romanticism and Victorianism on the Net									http://www.erudit.org/revue/undefined		ravon													
Revue de Bibliothèque et Archives nationales du Québec									http://www.erudit.org/revue/undefined		rbanq													
Revue internationale de l'économie sociale : Recma									http://www.erudit.org/revue/undefined		recma													
Reflets : revue d'intervention sociale et communautaire									http://www.erudit.org/revue/undefined		ref													
Revue multidisciplinaire sur l'emploi, le syndicalisme et le travail									http://www.erudit.org/revue/undefined		remest													
Recherches féministes									http://www.erudit.org/revue/undefined		rf													
Revue francophone de la déficience intellectuelle									http://www.erudit.org/revue/undefined		rfdi													
Revue générale de droit									http://www.erudit.org/revue/undefined		rgd													
Relations industrielles / Industrial Relations									http://www.erudit.org/revue/undefined		ri													
Revue internationale d’action communautaire / International Review of Community Development									http://www.erudit.org/revue/undefined		riac													
Revue internationale des technologies en pédagogie universitaire / International Journal of Technologies in Higher Education									http://www.erudit.org/revue/undefined		ritpu													
Revue du Nouvel-Ontario									http://www.erudit.org/revue/undefined		rno													
Romanticism on the Net									http://www.erudit.org/revue/undefined		ron													
Revue québécoise de linguistique									http://www.erudit.org/revue/undefined		rql													
Revue québécoise de science politique									http://www.erudit.org/revue/undefined		rqsp													
Recherches sociographiques									http://www.erudit.org/revue/undefined		rs													
Revue des sciences de l'éducation									http://www.erudit.org/revue/undefined		rse													
Revue des sciences de l'eau / Journal of Water Science									http://www.erudit.org/revue/undefined		rseau													
Recherches sémiotiques / Semiotic Inquiry									http://www.erudit.org/revue/undefined		rssi													
Revue de l'Université de Moncton									http://www.erudit.org/revue/undefined		rum													
Rapport - Société canadienne d'histoire de l'Église catholique									http://www.erudit.org/revue/undefined		schec													
Scientia Canadensis: Canadian Journal of the History of Science, Technology and Medicine / Scientia Canadensis : revue canadienne d'histoire des sciences, des techniques et de la médecine 									http://www.erudit.org/revue/undefined		scientia													
Sessions d’étude - Société canadienne d'histoire de l'Église catholique									http://www.erudit.org/revue/undefined		sessions													
Santé mentale au Québec									http://www.erudit.org/revue/undefined		smq													
Sociologie et sociétés									http://www.erudit.org/revue/undefined		socsoc													
Les Cahiers de la Société québécoise de recherche en musique									http://www.erudit.org/revue/undefined		sqrm													
Service social									http://www.erudit.org/revue/undefined		ss													
Tangence									http://www.erudit.org/revue/undefined		tce													
Télescope : Revue d’analyse comparée en administration publique									http://www.erudit.org/revue/undefined		telescope													
Téoros. Revue de recherche en tourisme									http://www.erudit.org/revue/undefined		teoros													
Théologiques									http://www.erudit.org/revue/undefined		theologi													
TTR : traduction, terminologie, rédaction									http://www.erudit.org/revue/undefined		ttr													
Urban History Review / Revue d'histoire urbaine									http://www.erudit.org/revue/undefined		uhr													
Urgences									http://www.erudit.org/revue/undefined		urces													
[VertigO] La revue électronique en sciences de l’environnement									http://www.erudit.org/revue/undefined		vertigo													
