publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Alkemie	1843-9012	2286-136X	2014		12	2016		17	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=alk		alk		fulltext		Classiques Garnier	serial								P
Bulletin de la Société Paul Claudel	0037-9506	2262-3108	2012		207	2016		219	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=bcl		bcl		fulltext		Classiques Garnier	serial								P
Bulletin de la Société internationale des amis de Montaigne	2119-9434	2261-897X	2011		54	2016		62	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=bsm		bsm		fulltext		Classiques Garnier	serial								P
Les Cahiers du dictionnaire	2239-0626	2262-0419	2011		1	2016		7	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cad		cad		fulltext		Classiques Garnier	serial								P
Cahiers Tristan L'Hermite	0241-9890	2262-2004	2012		33	2016		37	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cat		cat		fulltext		Classiques Garnier	serial								P
Cahiers Alexandre Dumas	0761-8034	2275-2986	2014		40	2016		42	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cdu		cdu		fulltext		Classiques Garnier	serial								P
Cahiers La Boétie	2259-6984	2262-0427	2012		1	2016		5	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=clb		clb		fulltext		Classiques Garnier	serial								P
Cahiers Louis Dumur	2426-1866	2427-8084	2015		1	2016		2	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cld		cld		fulltext		Classiques Garnier	serial								P
Cahiers de littérature française	1971-4882	2430-8293	2015		12	2015		12	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=clf		clf		fulltext		Classiques Garnier	serial								P
Cahiers de recherches médiévales et humanistes - Journal of Medieval and Humanistic Studies	2115-6360	2273-0893	2014		26	2016		31	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cmh		cmh		fulltext		Classiques Garnier	serial								P
Cahiers Valery Larbaud	0301-8776	2429-3237	2015		51	2016		52	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=cvl		cvl		fulltext		Classiques Garnier	serial								P
Écrans	2267-4357	2491-2557	2015		1	2016		2	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=ecr		ecr		fulltext		Classiques Garnier	serial								P
European Drama and Performance Studies	2266-9035	2045-8541	2013		1	2016		7	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=edp		edp		fulltext		Classiques Garnier	serial								P
ELFe XX-XXI	2257-5529	2262-3450	2011		1	2016		5	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=elf		elf		fulltext		Classiques Garnier	serial								P
Études Stéphane Mallarmé	2269-1456	2427-8165	2013		1	2016		3	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=esm		esm		fulltext		Classiques Garnier	serial								P
LiCArC (Littérature et culture arabes contemporaines)	2270-7220	2426-8852	2013		1	2015		3	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=lcc		lcc		fulltext		Classiques Garnier	serial								P
Parlement[s], Revue d'histoire politique	1768-6520	1760-6233	2014		21	2015		22	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=par		par		fulltext		Classiques Garnier	serial								P
Parade sauvage	0764-471X	2262-2268	2011		22	2016		26	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=pas		pas		fulltext		Classiques Garnier	serial								P
Revue Bossuet	2117-8844	2494-5102	2016		1	2016		1	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rbo		rbo		fulltext		Classiques Garnier	serial								P
Cahiers de lexicologie	0007-9871	2262-0346	2010		94	2016		108	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rcl		rcl		fulltext		Classiques Garnier	serial								P
Cahiers Mérimée	2103-9054	2262-2098	2009		1	2016		8	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rcm		rcm		fulltext		Classiques Garnier	serial								P
Revue d'études proustiennes	2430-9176	2430-8218	2015		1	2016		3	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rep		rep		fulltext		Classiques Garnier	serial								P
Éthique, politique, religions	2265-0156	2271-7234	2013		1	2016		8	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=ret		ret		fulltext		Classiques Garnier	serial								P
La Lettre clandestine	1242-3912	2271-720X	2013		21	2016		24	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rlc		rlc		fulltext		Classiques Garnier	serial								P
Neologica	1965-2542	2262-0354	2010		3	2016		10	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rne		rne		fulltext		Classiques Garnier	serial								P
Romanesques	2269-7586	2271-7242	2013		5	2016		8	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rom		rom		fulltext		Classiques Garnier	serial								P
Revue Verlaine	1247-5351	2426-8860	2014		11	2016		13	http://www.classiques-garnier.com/numerique-bases/garnier?subcol=rve		rve		fulltext		Classiques Garnier	serial								P
