publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Alkemie	1843-9012	2286-136X	2014		12				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=alk		alk		fulltext		Classiques Garnier	serial								P
Bibliographie de la littérature française	1154-3590	2556-2584	2002		22				https://www.classiques-garnier.com/numerique-bases/blf?filename=BlfAB01		blf		fulltext		Classiques Garnier	serial							hlf	P
Bulletin de l'Association des amis d'Alfred de Vigny	0066-8893	2554-9235	2016	1					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=bvy		bvy		fulltext	Reprise de la numérotation à 1 car il s'agit d'une nouvelle série.	Classiques Garnier	serial								P
Bulletin de la Société Paul Claudel	0037-9506	2262-3108	2012		207				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=bcl		bcl		fulltext		Classiques Garnier	serial								P
Bulletin de la Société internationale des amis de Montaigne	2119-9434	2261-897X	2011		54				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=bsm		bsm		fulltext		Classiques Garnier	serial								P
Cahiers Alexandre Dumas	0761-8034	2275-2986	2014	40					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cdu		cdu		fulltext		Classiques Garnier	serial								P
Cahiers Jean Giraudoux	0150-6943	2552-1004	2016	44					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cjg		cjg		fulltext		Classiques Garnier	serial								P
Cahiers La Boétie	2259-6984	2262-0427	2012	1					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=clb		clb		fulltext		Classiques Garnier	serial								P
Cahiers Louis Dumur	2426-1866	2427-8084	2015	1					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cld		cld		fulltext		Classiques Garnier	serial								P
Cahiers Mérimée	2103-9054	2262-2098	2009	1					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=rcm		rcm		fulltext		Classiques Garnier	serial								P
Cahiers Tristan L’Hermite	0241-9890	2262-2004	2012	33					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cat		cat		fulltext		Classiques Garnier	serial								P
Cahiers Valery Larbaud	0301-8776	2429-3237	2015	51					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cvl		cvl		fulltext		Classiques Garnier	serial								P
Cahiers d'études nodiéristes	2264-8496	2556-2371	2017		1				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=eno		eno		fulltext		Classiques Garnier	serial								P
Cahiers de lexicologie	0007-9871	2262-0346	2010		94				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=rcl		rcl		fulltext		Classiques Garnier	serial								P
Cahiers de littérature française	1971-4882	2430-8293	2015	14					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=clf		clf		fulltext		Classiques Garnier	serial								P
Cahiers de recherches médiévales et humanistes - Journal of Medieval and Humanistic Studies	2115-6360	2273-0893	2014		26				https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cmh		cmh		fulltext		Classiques Garnier	serial								P
Constellation Cendrars	2557-8855	2557-7360	2017	1					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=cen		cen		fulltext		Classiques Garnier	serial								P
Des mots aux actes	2555-2376		2017	6					https://www.classiques-garnier.com/numerique-bases/garnier?subcol=dma		dma		fulltext		Classiques Garnier	serial								P
