publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Ædificare	2557-3659	2649-177X	2017		1				https://classiques-garnier.com/doi/garnier?subcol=aed		aed		fulltext		Classiques Garnier	serial								P	234012927
Albineana	1154-5852	2417-6516	2020	32					https://classiques-garnier.com/doi/garnier?subcol=aub		aub		fulltext		Classiques Garnier	serial								P	184607124
Alkemie	1843-9012	2286-136X	2014		12				https://classiques-garnier.com/doi/garnier?subcol=alk		alk		fulltext		Classiques Garnier	serial								P	167870580
Bibliographie de la littérature française	1154-3590	2556-2584	2002		22				https://www.classiques-garnier.com/numerique-bases/blf?filename=BlfAB01		blf		fulltext		Classiques Garnier	serial							hlf	P	20395369X
Bulletin de la Société internationale des amis de Montaigne	2119-9434	2261-897X	2011		54				https://classiques-garnier.com/doi/garnier?subcol=bsm		bsm		fulltext		Classiques Garnier	serial								P	168247321
Bulletin de la Société Paul Claudel	0037-9506	2262-3108	2012		207				https://classiques-garnier.com/doi/garnier?subcol=bcl		bcl		fulltext		Classiques Garnier	serial								P	168247402
Bulletin de l'Association des amis d'Alfred de Vigny	0066-8893	2554-9235	2016	1					https://classiques-garnier.com/doi/garnier?subcol=bvy		bvy		fulltext	Reprise de la numérotation à 1 car il s'agit d'une nouvelle série.	Classiques Garnier	serial								P	202731375
Cahiers Alexandre Dumas	0761-8034	2275-2986	2014	40					https://classiques-garnier.com/doi/garnier?subcol=cdu		cdu		fulltext		Classiques Garnier	serial								P	180782681
Cahiers de lexicologie	0007-9871	2262-0346	2010		94				https://classiques-garnier.com/doi/garnier?subcol=rcl		rcl		fulltext		Classiques Garnier	serial								P	16824733X
Cahiers de littérature française	1971-4882	2430-8293	2015	14					https://classiques-garnier.com/doi/garnier?subcol=clf		clf		fulltext		Classiques Garnier	serial								P	189598735
Cahiers de recherches médiévales et humanistes - Journal of Medieval and Humanistic Studies	2115-6360	2273-0893	2014		26				https://classiques-garnier.com/doi/garnier?subcol=cmh		cmh		fulltext		Classiques Garnier	serial								P	178582433
Cahiers d'études nodiéristes	2264-8496	2556-2371	2017		1				https://classiques-garnier.com/doi/garnier?subcol=eno		eno		fulltext		Classiques Garnier	serial								P	204280133
