publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"Abstract of Reported Cases Relating to Letters Patent for Inventions (between the Years 1884 to 1886 Inclusive)"									http://heinonline.org/HOL/Index?index=elrpre/abstrepc&collection=engrep	Griffith	abstrepc		fulltext			monograph	1887							P	
"Abstract of Reported Cases Relating to Letters Patent for Inventions, Bringing the Cases down to the End of the Year 1883"									http://heinonline.org/HOL/Index?index=elrpre/abstrcrlp&collection=engrep	Goodeve	abstrcrlp		fulltext			monograph	1884							P	
"Abstract of Reported Cases Relating to Trade Marks (Between the Years 1876 and 1892 Inclusive). With the Statutes and Rules"									http://heinonline.org/HOL/Index?index=elrpre/abrectye&collection=engrep	Austen-Cartmell	abrectye		fulltext			monograph	1893							P	
"Acta Cancellariae; or, Selections from the Records of the Court of Chancery, Remaining in the Office of Reports and Entries"									http://heinonline.org/HOL/Index?index=elrpre/accansr&collection=engrep	Monro	accansr		fulltext			monograph	1847							P	
"Admiralty Court Cases on the Rule of the Road, as Laid down by the Articles and Regulations Now in Force under Order in Council for Preventing Collisions at Sea"									http://heinonline.org/HOL/Index?index=elrpre/admirccrr&collection=engrep		admirccrr		fulltext			monograph	1867				Holt			P	
"Bail Court Reports"									http://heinonline.org/HOL/Index?index=elrpre/bailcrep&collection=engrep	Saunders	bailcrep		fulltext			monograph	1847							P	
"Bankruptcy and Insolvency Reports"									http://heinonline.org/HOL/Index?index=elrpre/binsore&collection=engrep	"Great Britain"	binsore		fulltext			monograph	1855							P	
"Bartholoman's Complete Law Reports of all the Trials and Causes that Came on at the Yorkshire Lent Assize, March 9, 1811"									http://heinonline.org/HOL/Index?index=elrpre/bartrepc&collection=engrep	Bartholoman	bartrepc		fulltext			monograph	1811							P	
"Bracton's Note Book. A Collection of Cases Decided in the King's Courts during the Reign of Henry the Third, Annotated by a Lawyer of That Time, Seemingly by Henry of Bratton"									http://heinonline.org/HOL/Index?index=beal/brac&collection=engrep		brac		fulltext			monograph	1887				Maitland			P	
"Cases and Resolutions of Cases, Adjudg'd in the Court of King's Bench, concerning Settlements and Removals, from the First Year of King George I to the Present Time (4th ed., corr. and enl.)"									http://heinonline.org/HOL/Index?index=elrpre/carckib&collection=engrep		carckib		fulltext			monograph	1742			"4th ed., corr. and enl."				P	
"Cases Argued and Determined in the Bail Court"									http://heinonline.org/HOL/Index?index=elrpre/cargdeba&collection=engrep	Lowndes	cargdeba		fulltext			monograph	1852							P	
"Cases Argued and Determined in the Court of Common Pleas, and the Court of Exchequer Chamber on Appeal from the Court of Common Pleas"									http://heinonline.org/HOL/Index?index=elrpre/caseadccp&collection=engrep	Harrison	caseadccp		fulltext			monograph	1868							P	
"Cases Argued and Determined in the Court of Queen's Bench"									http://heinonline.org/HOL/Index?index=elrpre/carqueb&collection=engrep	Arnold	carqueb		fulltext			monograph	[1840]							P	
"Cases Argued and Determined in the Courts of Common Pleas & Exchequer Chamber, and in the House of Lords"									http://heinonline.org/HOL/Index?index=eislr/cadccmi&collection=engrep	Moore	cadccmi		fulltext			monograph								P	
"Cases at Large concerning Tithes"									http://heinonline.org/HOL/Index?index=elrpre/placitaan&collection=engrep	Rayner	placitaan		fulltext			monograph	1783							P	
"Cases Explanatory of the Rules of Evidence, before Committees of Election, of the House of Commons"									http://heinonline.org/HOL/Index?index=elrpre/ceotroev&collection=engrep	Tomlins	ceotroev		fulltext			monograph	1796							P	
"Cases in Bankruptcy"									http://heinonline.org/HOL/Index?index=beal/casibbay&collection=engrep	Rose	casibbay		fulltext			monograph	1813							P	
"Cases in Bankruptcy"									http://heinonline.org/HOL/Index?index=elrpre/cabtcy&collection=engrep	Buck	cabtcy		fulltext			monograph	1820							P	
"Cases in Bankruptcy"									http://heinonline.org/HOL/Index?index=elrpre/cabancy&collection=engrep	Glyn	cabancy		fulltext			monograph	1824							P	
"Cases in the Court of Common Pleas and Exchequer Chamber"									http://heinonline.org/HOL/Index?index=elrpre/cccpleae&collection=engrep	Scott	cccpleae		fulltext			monograph	1835							P	
"Cases of Controverted Elections, Determined in Committees of the House of Commons, in the Second Parliament of the Reign of Queen Victoria"									http://heinonline.org/HOL/Index?index=elrpre/ccerqu&collection=engrep	Falconer	ccerqu		fulltext			monograph	1839							P	
"Cases of Controverted Elections Determined in the Eleventh Parliament of the United Kingdom, Being the First Session after the Passing of the Reform Acts"									http://heinonline.org/HOL/Index?index=elrpre/cceldek&collection=engrep	Cockburn	cceldek		fulltext			monograph	1833							P	
"Cases of Controverted Elections in the Eleventh Parliament of the United Kingdom: Being the First Parliament since the Passing of Acts for the Amendment of the Representation of the People"									http://heinonline.org/HOL/Index?index=selden/ccele&collection=engrep	Perry	ccele		fulltext			monograph	1833							P	
"Cases of controverted elections, in the second Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/cacelpuk&collection=engrep	Peckwell	cacelpuk		fulltext			monograph	1805							P	
"Cases of Controverted Elections in the Twelfth Parliament of the United Kingdom"									http://heinonline.org/HOL/Index?index=elrpre/catrovelt&collection=engrep	Knapp	catrovelt		fulltext			monograph	1837							P	
"Cases of Supposed Exemption from Poor Rates, Claimed on the Ground of Extra-Parochiality, with a Preliminary Sketch of the Ancient History of the Parish of St. Andrew, Holborn"									http://heinonline.org/HOL/Index?index=beal/casupaw&collection=engrep	Griffith	casupaw		fulltext			monograph	1848							P	
"Cases Relating to Railways and Canals, Argued and Adjudged in the Courts of Law and Equity: 1835 to [1854]"									http://heinonline.org/HOL/Index?index=elrpre/crrceq&collection=engrep	Nicholl	crrceq		fulltext			monograph	1840							P	
"Cases Relating to the Tithes of the City of London; Determined in the Several Courts of Law and Equity, and in the High Court of Parliament, from the Date of the Decree Made in Pursuance of the Statute of 37 Hen. 8. c 12, to the Present Time; to Which Is Added the Statute and Decree, Faithfully Transcribed from the Entry Made in the Register Book of the Bishop of London, Preserved in St. Paul's Cathedral: and Also the Fire Acts"									http://heinonline.org/HOL/Index?index=trials/adbc&collection=engrep	Western	adbc		fulltext			monograph	1823							P	
"Civil Power in Its Relations to the Church; Considered with Special Reference to the Court of Final Ecclesiastical Appeal in England"									http://heinonline.org/HOL/Index?index=elrpre/sworkect&collection=engrep	Joyce	sworkect		fulltext			monograph	1881							P	
"Collection of Acts and Records of Parliament with Reports of Cases Argued and Determined in the Courts of Law and Equity, respecting Tithes (2nd ed.)"									http://heinonline.org/HOL/Index?index=elrpre/collarpert&collection=engrep	Gwillim	collarpert		fulltext			monograph	1825			"2nd ed."				P	
"Collection of Debates, Reports, Orders, and Resolutions, of the House of Commons, Touching the Right of Electing Members to Serve in Parliament"									http://heinonline.org/HOL/Index?index=elrpre/codbreh&collection=engrep	Bohun	codbreh		fulltext			monograph	1702							P	
"Collection of Decisions in the Courts for Revising the Lists of Electors"									http://heinonline.org/HOL/Index?index=elrpre/cdcrlise&collection=engrep	DeLane	cdcrlise		fulltext			monograph	1834							P	
"Collection of Decrees by the Court of Exchequer in Tithe-Causes, from the Usurpation to the Present Time"									http://heinonline.org/HOL/Index?index=elrpre/colldcex&collection=engrep	Wood	colldcex		fulltext			monograph	1798							P	
"Collection of Select Cases Relating to Evidence"									http://heinonline.org/HOL/Index?index=elrpre/collscrte&collection=engrep		collscrte		fulltext			monograph	1754							P	
"Collection of the Judgments of the Judicial Committee of the Privy Council in Ecclesiastical Cases Relating to Doctrine and Discipline"									http://heinonline.org/HOL/Index?index=eislr/cjudecc&collection=engrep		cjudecc		fulltext			monograph					Brodrick			P	
"Collection of the Most Important Cases respecting Patents of Invention and the Rights of Patentees, Which Have Been Determined in the Courts of Law since the Statute for Restraining Monopolies"									http://heinonline.org/HOL/Index?index=elrpre/cmosipi&collection=engrep	Davies	cmosipi		fulltext			monograph	1816							P	
"Collection of the Reports of Cases, the Statutes, and Ecclesiastical Laws, Relating to Tithes. With a Copious Analytical Index"									http://heinonline.org/HOL/Index?index=eislr/crstaco&collection=engrep	Eagle	crstaco		fulltext			monograph								P	
"Common Law Reports: Reports of Cases Argued and Determined in All the Superior Courts of Common Law"									http://heinonline.org/HOL/Index?index=eislr/clrards&collection=engrep		clrards		fulltext			monograph								P	
"Digest of the Judgments in Board of Trade Inquiries into Shipping Casualties"									http://heinonline.org/HOL/Index?index=elrpre/dotjibot&collection=engrep	Rothery	dotjibot		fulltext			monograph	1882							P	
"Ecclesiastical Cases Relating to the Duties and Rights of the Parochial Clergy, Stated and Resolved According to the Principles of Conscience and Law"									http://heinonline.org/HOL/Index?index=elrpre/ecccrttd&collection=engrep	Stillingfleet	ecccrttd		fulltext			monograph	1698							P	
"Election Cases; Determined during the First Session of the Fifteenth Parliament of Great-Britain, by Committees of the House of Commons, Appointed by Virtue of Stat. 10, Geo. III"									http://heinonline.org/HOL/Index?index=elrpre/electcddfs&collection=engrep	Philipps	electcddfs		fulltext			monograph	1782							P	
