publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	mongraph_edition	first_editor	parent_publication_title_id	Preceding_publication_title_id	access_type	frequency
"AALL Spectrum"	1089-8689		1996						http://heinonline.org/HOL/Index?index=aallar/spectrum&collection=journals		spectrum		fulltext		"American Association of Law Libraries"	serial								P	6
American Bar Association Journal 	0002-7596		1915	1		1983	69		http://heinonline.org/HOL/Index?index=journals/abaj		abaj		fulltext		American Bar Association	serial								P	12
Labor Lawyer  	8756-2995		1985	1		2009	24		http://heinonline.org/HOL/Index?index=journals/lablaw		lablaw		fulltext		American Bar Association	serial								P	3
NewsQuarterly 	1548-8977		2003	22		2013	32		http://heinonline.org/HOL/Index?index=journals/newsqtrly		newsqtrly	P2Y	fulltext		American Bar Association	serial								P	4
"Aberdeen Student Law Review"	2045-7340	"2045-7359 "	2010						http://heinonline.org/HOL/Index?index=journals/aberde&collection=journals		aberde		fulltext			serial								P	1
Acta Facultatis Politico-Iuridicae Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae 	1418-1347		1959	1					http://heinonline.org/HOL/Index?index=journals/acfpoiu		acfpoiu		fulltext		Eotvos Lorand University ELTE Law School	serial								P	1
Acta Juridica 	0065-1346		1958			2013			http://heinonline.org/HOL/Index?index=journals/actj		actj	P2Y	fulltext		Juta & Company Ltd.	serial								P	1
Acta Juridica  	1216-2574		1959	1		1990	32		http://heinonline.org/HOL/Index?index=journals/ajur		ajur		fulltext		Akademiai Kiado Zrt.	serial								P	4
"Acta Societatis Martensis"	1736-3918		2005						http://heinonline.org/HOL/Index?index=journals/actsoma&collection=journals		actsoma		fulltext		"Martens Society"	serial								P	1
"Acta Universitatis Danubius Juridica"	2065-3891		2005						http://heinonline.org/HOL/Index?index=journals/actdaj&collection=journals		actdaj		fulltext		"Danubius University"	serial								P	3
"Acta Universitatis Lucian Blaga"	1582-4608		2001						http://heinonline.org/HOL/Index?index=journals/asunlub&collection=journals		asunlub		fulltext		"University of Sibiu"	serial								P	2
"Acta Universitatis Sapientiae: Legal Studies"	2285-6293		2012						http://heinonline.org/HOL/Index?index=journals/ausapls&collection=journals		ausapls		fulltext		"Faculty of Science and Arts, Cluj-Napoca - Sapientia University"	serial								P	2
ACTEC Law Journal 	1544-4945		2011	36					http://heinonline.org/HOL/Index?index=journals/acteclj		acteclj		fulltext		American College of Trust and Estate Counsel Inc.	serial								P	3
"Adelaide Law Review"	0065-1915		1960						http://heinonline.org/HOL/Index?index=journals/adelrev&collection=journals		adelrev		fulltext		"Adelaide Law Review Association of the Faculty of Law, University of Adelaide"	serial								P	2
"Adelphia Law Journal"	8756-3630		1982						http://heinonline.org/HOL/Index?index=journals/adelphlj&collection=journals		adelphlj		fulltext		"Delta Theta Phi Law Fraternity"	serial								P	1
Administrative Law News 	1544-1547		1974	1		1994	19		http://heinonline.org/HOL/Index?index=journals/admreln		admreln		fulltext		American Bar Association	serial								P	4
Administrative Law Journal 			1987	1		1991	5		http://heinonline.org/HOL/Index?index=journals/adminlj		adminlj		fulltext		American University (Washington College of Law)	serial								P	4
"Administrative Law News"			1961			1963			http://heinonline.org/HOL/Index?index=journals/admiwne&collection=journals		admiwne		fulltext			serial								P	
Administrative Law Bulletin 	0001-8368		1949	1		1960	12		http://heinonline.org/HOL/Index?index=journals/admin		admin		fulltext		American Bar Association	serial								P	4
Advocate: A Weekly Law Journal 			1889	2		1890	2		http://heinonline.org/HOL/Index?index=journals/advwklj		advwklj		fulltext			serial								P	
"Advocate of Peace"			1837			1845			http://heinonline.org/HOL/Index?index=journals/advpc&collection=journals		advpc		fulltext			serial								P	
"Advocate of Peace and Christian Patriot"			1828	1	1	1829	1		http://heinonline.org/HOL/Index?index=journals/advpeacecp&collection=journals		advpeacecp		fulltext			serial								P	
"Advocate (Vancouver Bar Association)"	0044-6416		1943						http://heinonline.org/HOL/Index?index=barjournals/advvba&collection=journals		advvba		fulltext		"Vancouver Bar Association"	serial								P	6
"Advocates' Quarterly"	0704-0288		1977			2013			http://heinonline.org/HOL/Index?index=journals/aqrty&collection=journals		aqrty	P3Y	fulltext		"Canada Law Book Inc."	serial								P	4
"Aeronautical Law Journal"			1933	1	1	1933	1		http://heinonline.org/HOL/Index?index=journals/aerolj&collection=journals		aerolj		fulltext			serial								P	
Affiliate	0360-5485		1975			2016			http://heinonline.org/HOL/Index?index=external-journals/aff&collection=journals		aff	P1Y	fulltext		"American Bar Association"	serial								P	12
"African Disability Rights Yearbook"	2311-8970		2013						http://heinonline.org/HOL/Index?index=journals/afdry&collection=journals		afdry		fulltext		"Pretoria University Law Press"	serial								P	1
"African Human Rights Law Journal"	1609-073X		2001						http://heinonline.org/HOL/Index?index=journals/afrhurlj&collection=journals		afrhurlj		fulltext		"Pretoria University Law Press"	serial								P	2
"African Journal of International and Comparative Law"	0954-8890		1989						http://heinonline.org/HOL/Index?index=journals/afjincol&collection=journals		afjincol		fulltext		"Edinburgh University Press"	serial								P	3
"African Journal of Legal Studies"	1708-7384		2004			2013			http://heinonline.org/HOL/Index?index=journals/ajls&collection=journals		ajls	P2Y	fulltext		"The Africa Law Institute"	serial								P	4
"AGORA International Journal of Juridical Sciences"	1843-570X		2007						http://heinonline.org/HOL/Index?index=journals/agoraijjs&collection=journals		agoraijjs		fulltext		"AGORA University"	serial								P	4
AIPLA Quarterly Journal 	0883-6078		1984	12		2014	42		http://heinonline.org/HOL/Index?index=journals/aiplaqj		aiplaqj	P1Y	fulltext		American Intellectual Property Law Association	serial								P	4
"Air and Space Lawyer"	0747-7449		1983			2014			http://heinonline.org/HOL/Index?index=journals/airspaclaw&collection=journals		airspaclaw	P2Y	fulltext		"American Bar Association"	serial								P	4
"Air Commerce Bulletin"			1929			1939			http://heinonline.org/HOL/Index?index=journals/aicmrcb&collection=journals		aicmrcb		fulltext			serial								P	
Air Force Law Review 	0094-8381		1974	16					http://heinonline.org/HOL/Index?index=journals/airfor		airfor		fulltext		Office of the Judge Advocate General	serial								P	1
"Air Law Review"			1930			1941			http://heinonline.org/HOL/Index?index=journals/airlr&collection=journals		airlr		fulltext			serial								P	
"Akron Intellectual Property Journal"			2007			2015			http://heinonline.org/HOL/Index?index=journals/akrintel&collection=journals		akrintel		fulltext		"University of Akron School of Law"	serial								P	2
"Akron Journal of Constitutional Law and Policy"			2009	1	1				http://heinonline.org/HOL/Index?index=journals/akjopal&collection=journals		akjopal		fulltext		"University of Akron School of Law"	serial								P	2
"Akron Law Review"	0002-371X		1967						http://heinonline.org/HOL/Index?index=journals/aklr&collection=journals		aklr		fulltext		"University of Akron School of Law"	serial								P	4
"Akron Tax Journal"	1044-4130		1983			2014			http://heinonline.org/HOL/Index?index=journals/aktax&collection=journals		aktax		fulltext		"University of Akron School of Law"	serial								P	1
"Alabama Civil Rights & Civil Liberties Law Review"	2160-9993		2011						http://heinonline.org/HOL/Index?index=journals/alabcrcl&collection=journals		alabcrcl		fulltext		"University of Alabama School of Law"	serial								P	2
"Alabama Law Journal (Montgomery)"			1882			1885			http://heinonline.org/HOL/Index?index=journals/alamon&collection=journals		alamon		fulltext			serial								P	
"Alabama Law Journal (Tuscaloosa)"			1925			1930			http://heinonline.org/HOL/Index?index=journals/alatus&collection=journals		alatus		fulltext			serial								P	
"Alabama Law Review"	0002-4279		1948						http://heinonline.org/HOL/Index?index=journals/bamalr&collection=journals		bamalr		fulltext		"University of Alabama School of Law"	serial								P	5
"Alaska Justice Forum"	0893-8903		1977						http://heinonline.org/HOL/Index?index=journals/aljufor&collection=journals		aljufor		fulltext		"University of Alaska Anchorage"	serial								P	4
"Alaska Law Review"	0883-0568		1984						http://heinonline.org/HOL/Index?index=journals/allr&collection=journals		allr		fulltext		"Duke University School of Law"	serial								P	2
"Albany Government Law Review"	2328-2975		2008						http://heinonline.org/HOL/Index?index=journals/aglr&collection=journals		aglr		fulltext		"Albany Law School"	serial								P	2
Albany Law Environmental Outlook Journal 	1085-3634		2001	6		2007	12		http://heinonline.org/HOL/Index?index=journals/alev		alev		fulltext		Albany Law School 	serial								P	2
"Albany Law Journal"			1870			1909			http://heinonline.org/HOL/Index?index=journals/albalj&collection=journals		albalj		fulltext			serial								P	
