publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ASIC , Annual IEEESeminar and Exhibit			1989						http://ieeexplore.ieee.org/servlet/opac?punumber=1000052		1000052		fulltext		IEEE	Serial								P
Composition-Based Software Systems, International Conference on			2008						http://ieeexplore.ieee.org/servlet/opac?punumber=1001619		1001619		fulltext		IEEE	Serial								P
Convergence and Hybrid Information Technology (ICHIT), International Conference on			2008						http://ieeexplore.ieee.org/servlet/opac?punumber=1002442		1002442		fulltext		IEEE	Serial								P
Digital Games and Intelligent Toys Based Education, IEEE International Conference on									http://ieeexplore.ieee.org/servlet/opac?punumber=1002542		1002542		fulltext		IEEE	Serial								P
Computing, Communication and Networking Technologies (ICCCNT), International Conference on			2002						http://ieeexplore.ieee.org/servlet/opac?punumber=1800136		1800136		fulltext		IEEE	Serial								P
Advanced Communication Control and Computing Technologies (ICACCCT), IEEE International Conference on			2012						http://ieeexplore.ieee.org/servlet/opac?punumber=1801893		1801893		fulltext		IEEE	Serial								P
Control, Instrumentation and Automation, International Conference on			2011						http://ieeexplore.ieee.org/servlet/opac?punumber=1802142		1802142		fulltext		IEEE	Serial								P
Advances in Type-2 Fuzzy Logic Systems (T2FUZZ), IEEE Symposium on			2013						http://ieeexplore.ieee.org/servlet/opac?punumber=1802763		1802763		fulltext		IEEE	Serial								P
Computer Architecture (ISCA), International Symposium on	1063-6897		2014						http://ieeexplore.ieee.org/servlet/opac?punumber=1803789		1803789		fulltext		IEEE	Serial								P
Advanced Robotics and Intelligent Systems, International Conference on			2015						http://ieeexplore.ieee.org/servlet/opac?punumber=1803862		1803862		fulltext		IEEE	Serial								P
Consumer Electronics - Taiwan (ICCE-TW), IEEE International Conference on			2014						http://ieeexplore.ieee.org/servlet/opac?punumber=1803979		1803979		fulltext		IEEE	Serial								P
Computing Colombian Conference (9CCC)			2014						http://ieeexplore.ieee.org/servlet/opac?punumber=1804144		1804144		fulltext		IEEE	Serial								P
Baltic International Symposium, IEEE US/EU	2150-6027		2004						http://ieeexplore.ieee.org/servlet/opac?punumber=1809244		1809244		fulltext		IEEE	Serial								P
Chilean Computer Science Society (SCCC), International Conference of the			2015						http://ieeexplore.ieee.org/servlet/opac?punumber=1812024		1812024		fulltext		IEEE	Serial								P
Computer Science and Information Technologies (CSIT)			2013						http://ieeexplore.ieee.org/servlet/opac?punumber=1813344		1813344		fulltext		IEEE	Serial								P
Computer, Information and Telecommunication Systems (CITS), 2016 International Conference on			2016						http://ieeexplore.ieee.org/servlet/opac?punumber=1814384		1814384		fulltext		IEEE	Serial								P
