publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subtype	subjects	frequency	aspp	iel	ibm	tup	biai	mitp	nokia_bell_labs	oa	csdl	stem10	stem25	stem45	smpteall	smptejnl	agu	
"Annals of the History of Computing"	0164-1239		1979	1	1	1991	13	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5488650		5488650		fulltext		IEEE	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4		*														
"Artificial Life"	1064-5462		1993	1	1_2				https://ieeexplore.ieee.org/servlet/opac?punumber=6720217		6720217		fulltext		MIT Press	Serial								P	Journal	Computing and Processing; Bioengineering	4						*										
"Astronomy & Geophysics"	1366-8781	1468-4004	1997	38	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016774		8016774		fulltext		OUP	Serial								P	Journal	Geoscience; General Topics for Engineers	6																
"AT&T Bell Laboratories Technical Journal"	0748-612X		1984	63	1	1984	63	10	https://ieeexplore.ieee.org/servlet/opac?punumber=6731004		6731004		fulltext		Nokia Bell Labs	Serial							6731005	P	Journal	Communication, Networking and Broadcast Technologies	1							*									
"AT&T Technical Journal"	8756-2324		1985	64	1	1996	75	2	https://ieeexplore.ieee.org/servlet/opac?punumber=6731003		6731003		fulltext		Nokia Bell Labs	Serial							6731004	P	Journal	Communication, Networking and Broadcast Technologies	1							*									
"Bell Labs Technical Journal"	1089-7089	1538-7305	1996	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6731002		6731002		fulltext		Nokia Bell Labs	Serial							6731003	P	Journal	Communication, Networking and Broadcast Technologies	4	*						*									
"Big Data Mining and Analytics"		2096-0654	2018	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8254253		8254253		fulltext		TUP	Serial								F	Journal	Computing and Processing	4								*								
"Canadian Electrical Engineering Journal"	0700-9216		1976	1	1	1988	13	1	https://ieeexplore.ieee.org/servlet/opac?punumber=6449389		6449389		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas			*														
"Canadian Journal of Electrical and Computer Engineering"	0840-8688		1988	13	2				https://ieeexplore.ieee.org/servlet/opac?punumber=9754		9754		fulltext		IEEE	Serial							6449389	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics	4		*														
"CES Transactions on Electrical Machines and Systems"	2096-3564		2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7873789		7873789		fulltext		CES	Serial								F	Journal	Power, Energy and Industry Applications	4								*								
"China Communications"	1673-5447		2013	10	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6245522		6245522		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies	12	*	*										*				
"Chinese Journal of Electrical Engineering"	2096-1529		2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7873788		7873788		fulltext		CMP	Serial								F	Journal	Power, Energy and Industry Applications	4								*								
"Communications Society"	0094-5579	2331-463X	1973	10	1	1976	14	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8158		8158		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Bioengineering; Computing and Processing; Engineering Profession; Fields, Waves and Electromagnetics; Robotics and Control Systems; Signal Processing and Analysis; Power, Energy and Industry Applications	6		*														
"Computer"	0018-9162	1558-0814	1970	3	5				https://ieeexplore.ieee.org/servlet/opac?punumber=2		2		fulltext		IEEE	Serial								P	Journal	Computing and Processing	12	*	*							*	*	*	*				
"Computer Music Journal"	0148-9267		1999	23	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720219		6720219		fulltext		MIT Press	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4						*										
"Computing in Science & Engineering"	1521-9615	1558-366X	1999	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5992		5992		fulltext		IEEE	Serial							99	P	Journal	Computing and Processing; Bioengineering; Communication, Networking and Broadcast Technologies	6	*	*							*			*				
"CPSS Transactions on Power Electronics and Applications"	2475-742X		2016	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7873541		7873541		fulltext		CPSS	Serial								F	Journal	Power, Energy and Industry Applications	4								*								
"CSEE Journal of Power and Energy Systems"		2096-0042	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7054730		7054730		fulltext		CSEE	Serial								F	Journal	Power, Energy and Industry Applications	4								*								
"Design Issues"	0747-9360		2000	16	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720221		6720221		fulltext		MIT Press	Serial								P	Journal	General Topics for Engineers	4						*										
"Electrical Engineering"	0095-9197	2376-7804	1931	50	1	1963	82	12	https://ieeexplore.ieee.org/servlet/opac?punumber=6413714		6413714		fulltext		IEEE	Serial							6528086	P	Journal	Fields, Waves and Electromagnetics; Power, Energy and Industry Applications	12		*														
"Electronics and Power"	0013-5127		1964	10	1	1987	33	11.12	https://ieeexplore.ieee.org/servlet/opac?punumber=5176125		5176125		fulltext		IET	Serial								P	Journal				*														
"Engineering & Technology"	1750-9637		2006	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=10908		10908		fulltext		IET	Serial							2188	P	Journal	Engineering Profession; General Topics for Engineers	18		*														
"Engineering in Medicine and Biology Magazine"	0278-0054	2376-8797	1982	1	1	1983	2	3	https://ieeexplore.ieee.org/servlet/opac?punumber=5005708		5005708		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Communication, Networking and Broadcast Technologies; Robotics and Control Systems	1		*														
"Evolutionary Computation"	1063-6560		1993	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720222		6720222		fulltext		MIT Press	Serial								P	Journal	Computing and Processing; Bioengineering	4						*										
"Geophysical Journal International"	0956-540X	1365-246X	1996	124	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016795		8016795		fulltext		OUP	Serial								P	Journal	Geoscience; General Topics for Engineers	12																
"IBM Journal of Research and Development"	0018-8646	0018-8646	1957	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5288520		5288520		fulltext		IBM	Serial								P	Journal	Computing and Processing; General Topics for Engineers; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	6			*													
"IBM Systems Journal"	0018-8670		1962	1	1	2008	47	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5288519		5288519		fulltext		IBM	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4			*													
"IEE Review"	0953-5683		1988	34	1	2006	52	3	https://ieeexplore.ieee.org/servlet/opac?punumber=2188		2188		fulltext		IET	Serial							5176125	P	Journal	Engineering Profession	12		*														
"IEEE Access"		2169-3536	2013	1					https://ieeexplore.ieee.org/servlet/opac?punumber=6287639		6287639		fulltext		IEEE	Serial								F	Journal	Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Geoscience; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation	1	*	*						*								
"IEEE Acoustics, Speech, and Signal Processing Newsletter"	2168-3093	2168-3085	1974	29	1	1983	62	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8342		8342		fulltext		IEEE	Serial							8338	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	1		*														
"IEEE Aerospace and Electronic Systems Magazine"	0885-8985	1557-959X	1986	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=62		62		fulltext		IEEE	Serial								P	Journal	Aerospace; Transportation	12	*	*									*	*				
"IEEE Annals of the History of Computing"	1058-6180	1934-1547	1992	14	1				https://ieeexplore.ieee.org/servlet/opac?punumber=85		85		fulltext		IEEE	Serial							5488650	P	Journal	Computing and Processing; General Topics for Engineers	2	*	*							*	*	*	*				
"IEEE Antennas and Propagation Group Newsletter"	2168-0353	2168-0361	1964	7	1	1973	15	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4545874		4545874		fulltext		IEEE	Serial							4545875,5721922	P	Journal	Fields, Waves and Electromagnetics	3		*														
"IEEE Antennas and Propagation Magazine"	1045-9243	1558-4143	1990	32	1				https://ieeexplore.ieee.org/servlet/opac?punumber=74		74		fulltext		IEEE	Serial							8233	P	Journal	Communication, Networking and Broadcast Technologies; Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics	6	*	*									*	*				
"IEEE Antennas and Propagation Society Newsletter"	2168-0329	2168-0337	1973	15	4	1989	31	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8233		8233		fulltext		IEEE	Serial							4545874	P	Journal	Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; Geoscience; General Topics for Engineers; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation	6		*														
"IEEE Antennas and Wireless Propagation Letters"	1536-1225	1548-5757	2002	1					https://ieeexplore.ieee.org/servlet/opac?punumber=7727		7727		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	1	*	*														
"IEEE ASSP Magazine"	0740-7467	1558-1284	1984	1	1	1990	7	4	https://ieeexplore.ieee.org/servlet/opac?punumber=53		53		fulltext		IEEE	Serial							8342	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	4		*														
"IEEE Audio and Electroacoustics Newsletter"	2168-3069	2168-3050	1970	16	1	1973	27	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8338		8338		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	1		*														
"IEEE Canadian Journal of Electrical and Computer Engineering"		2694-1783	2021	44	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9349829		9349829		fulltext		IEEE	Serial								P	Journal	Computing and Processing		*	*														
"IEEE Circuits & Systems Magazine"	0163-6812		1979	1	1	1984	6	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6331049		6331049		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems			*														
"IEEE Circuits and Devices Magazine"	8755-3996	1558-1888	1985	1	1	2006	22	6	https://ieeexplore.ieee.org/servlet/opac?punumber=101		101		fulltext		IEEE	Serial							6331049	P	Journal	Components, Circuits, Devices and Systems; Aerospace; Bioengineering; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; General Topics for Engineers; Signal Processing and Analysis; Transportation; Communication, Networking and Broadcast Technologies; Photonics and Electrooptics; Power, Energy and Industry Applications	6	*	*														
"IEEE Circuits and Systems Magazine"	1531-636X	1558-0830	2001	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7384		7384		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	4	*	*										*				
"IEEE Cloud Computing"		2325-6095	2014	1	1	2018	5	6	https://ieeexplore.ieee.org/servlet/opac?punumber=6509491		6509491		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	4	*	*							*							
"IEEE Communications Letters"	1089-7798	1558-2558	1997	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4234		4234		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies	12	*	*										*				
"IEEE Communications Magazine"	0163-6804	1558-1896	1979	17	1				https://ieeexplore.ieee.org/servlet/opac?punumber=35		35		fulltext		IEEE	Serial							5488653	P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies	12	*	*								*	*	*				
"IEEE Communications Society Magazine"	0148-9615		1977	15	1	1978	16	6	https://ieeexplore.ieee.org/servlet/opac?punumber=5488653		5488653		fulltext		IEEE	Serial							8158	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	6		*														
"IEEE Communications Standards Magazine"	2471-2825	2471-2833	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7886829		7886829		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies	4	*	*														
"IEEE Communications Surveys"			1998	1	1	1999	2	3	https://ieeexplore.ieee.org/servlet/opac?punumber=7041148		7041148		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies		*	*														
"IEEE Communications Surveys & Tutorials"		1553-877X	2000	3	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9739		9739		fulltext		IEEE	Serial							7041148	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4	*	*										*				
"IEEE Computational Intelligence Magazine"	1556-603X	1556-6048	2006	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=10207		10207		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	4	*	*														
"IEEE Computational Science and Engineering"	1070-9924	1558-190X	1994	1	1	1998	5	4	https://ieeexplore.ieee.org/servlet/opac?punumber=99		99		fulltext		IEEE	Serial								P	Journal	Computing and Processing; General Topics for Engineers	4	*	*							*							
"IEEE Computer Applications in Power"	0895-0156	1558-4151	1988	1	1	2002	15	4	https://ieeexplore.ieee.org/servlet/opac?punumber=67		67		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Computing and Processing	4	*	*														
"IEEE Computer Architecture Letters"	1556-6056	1556-6064	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=10208		10208		fulltext		IEEE	Serial								P	Journal	Computing and Processing	2	*	*							*							
"IEEE Computer Graphics and Applications"	0272-1716	1558-1756	1981	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=38		38		fulltext		IEEE	Serial								P	Journal	Computing and Processing; General Topics for Engineers	6	*	*							*		*	*				
"IEEE Concurrency"	1092-3063	1558-0849	1997	5	1	2000	8	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4434		4434		fulltext		IEEE	Serial							88	P	Journal	Computing and Processing	4	*	*							*							
"IEEE Consumer Electronics Magazine"	2162-2248	2162-2256	2012	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5962380		5962380		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing	4	*	*										*				
"IEEE Control Systems"	1066-033X	1941-000X	1991	11	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5488303		5488303		fulltext		IEEE	Serial							37	P	Journal	Robotics and Control Systems; Computing and Processing; Components, Circuits, Devices and Systems	6	*	*										*				
"IEEE Control Systems Letters"		2475-1456	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7782633		7782633		fulltext		IEEE	Serial								P	Journal	Robotics and Control Systems; Computing and Processing; Components, Circuits, Devices and Systems	2	*	*														
"IEEE Control Systems Magazine"	0272-1708	2374-9385	1981	1	1	1990	10	7	https://ieeexplore.ieee.org/servlet/opac?punumber=37		37		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Robotics and Control Systems; Communication, Networking and Broadcast Technologies	6		*														
"IEEE CSIT Newsletter"	0364-7188	2379-5654	1972	1	1	1976	4	16	https://ieeexplore.ieee.org/servlet/opac?punumber=6457541		6457541		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession	4		*														
