'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'notes'	'publisher_name'	'publication_type'	'date_monograph_published_print'	'date_monograph_published_online'	'monograph_volume'	'monograph_edition'	'first_editor'	'parent_publication_title_id'	'preceding_publication_title_id'	'access_type'
'2008+ Solved Problems in Electromagnetics'	'9781891121463'	'9781613531006'	'2008'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew037e'	'Nasar'	'sbew037e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2008'	'2008'	''	''	''	''	''	'P'
'A Guide to MATLAB® Object-Oriented Programming'	'9781584889113'	'9781613531259'	'2007'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/sbpc001e'	'Register'	'sbpc001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2007'	'2007'	''	''	''	''	''	'P'
'A Handbook for EMC Testing and Measurement'	'9780863417566'	'9780863412233'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbel008e'	'Morgan'	'pbel008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'A History of Control Engineering 1800-1930'	'9780863410475'	'9781849193320'	'1979'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce008e'	'Bennett'	'pbce008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1979'	'1979'	''	''	''	''	''	'P'
'A History of Control Engineering 1930-1955'	'9780863412998'	'9781849193450'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce047e'	'Bennett'	'pbce047e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'A History of the World Semiconductor Industry'	'9780863412271'	'9781849194044'	'1990'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht012e'	'Morris'	'pbht012e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1990'	'1990'	''	''	''	''	''	'P'
'A Management Guide to Logistics Engineering'	'9780855100360'	'9781849194181'	'1989'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbme013e'	''	'pbme013e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1989'	'1989'	''	''	''	''	''	'P'
'A Scientist's War: The diary of Sir Clifford Paterson 1939-45'	'9780863412189'	'9781849194068'	'1991'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht014e'	''	'pbht014e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1991'	'1991'	''	''	''	''	''	'P'
'AC-DC Power System Analysis'	'9780852969342'	'9781849194396'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo027e'	'Arillaga'	'pbpo027e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'ATM: the broadband telecommunications solution'	'9780852968154'	'9781849194587'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte029e'	'Cuthbert'	'pbte029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'Active Sound and Vibration Control: theory and applications'	'9780852960387'	'9781849191845'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce062e'	''	'pbce062e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Active and Assisted Living: Technologies and Applications'	'9781849199872'	'9781849199889'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/he/pbhe006e'	''	'pbhe006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Adaptive Array Principles'	'9780863412479'	'9781849193740'	'1981'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew011e'	'Hudson'	'pbew011e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1981'	'1981'	''	''	''	''	''	'P'
'Adaptive Prediction and Predictive Control'	'9780863411939'	'9781849193481'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce052e'	'Kanjilal'	'pbce052e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Adaptive Sampling with Mobile WSN: Simultaneous robot localisation and mapping of paramagnetic spatio-temporal fields'	'9781849192576'	'9781849192583'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce073e'	'Sreenath'	'pbce073e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Adjoint Sensitivity Analysis of High Frequency Structures with MATLAB®'	'9781613532317'	'9781613532324'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew525e'	'Bakr'	'sbew525e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'Advanced Control for Constrained Processes and Systems'	'9781849192613'	'9781849192620'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce075e'	'Garelli'	'pbce075e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Advanced Electromagnetic Analysis of Passive and Active Planar Structures'	'9780852967638'	'9781849193993'	'1999'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew046e'	'Rozzi'	'pbew046e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1999'	'1999'	''	''	''	''	''	'P'
'Advanced Radar Techniques and Systems'	'9780863411724'	'9781849191784'	'1993'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra004e'	''	'pbra004e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1993'	'1993'	''	''	''	''	''	'P'
'Advanced Relay Technologies in Next Generation Wireless Communications'	'9781785610035'	'9781785610042'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte068e'	''	'pbte068e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Advanced Robotics and Intelligent Machines'	'9780852968536'	'9781849193474'	'1996'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce051e'	''	'pbce051e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1996'	'1996'	''	''	''	''	''	'P'
'Advanced Signal Processing'	'9780863410376'	'9781849194532'	'1985'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte013e'	''	'pbte013e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1985'	'1985'	''	''	''	''	''	'P'
'Advances in Bistatic Radar'	'9781891121487'	'9781613531297'	'2007'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra001e'	''	'sbra001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2007'	'2007'	''	''	''	''	''	'P'
'Advances in Body-Centric Wireless Communication: Applications and state-of-the-art'	'9781849199896'	'9781849199902'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte065e'	''	'pbte065e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
