"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"coverage_notes"	"publisher_name"
"2008+ Solved Problems in Electromagnetics"	"9781891121463"	"9781613531006"	"2008-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ew/sbew037e"	""	"sbew037e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"5G Wireless Technologies"	"9781785610615"	"9781785610622"	"2017-06"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte069e"	""	"pbte069e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A Guide to MATLAB® Object-Oriented Programming"	"9781584889113"	"9781613531259"	"2007-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/pc/sbpc001e"	""	"sbpc001e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A Handbook for EMC Testing and Measurement"	"9780863417566"	"9780863412233"	"1994-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/cs/pbel008e"	""	"pbel008e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A History of Control Engineering 1800-1930"	"9780863410475"	"9781849193320"	"1979-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce008e"	""	"pbce008e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A History of Control Engineering 1930-1955"	"9780863412998"	"9781849193450"	"1993-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce047e"	""	"pbce047e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A History of the World Semiconductor Industry"	"9780863412271"	"9781849194044"	"1990-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ht/pbht012e"	""	"pbht012e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A Management Guide to Logistics Engineering"	"9780855100360"	"9781849194181"	"1989-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/mt/pbme013e"	""	"pbme013e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"A Scientist's War: The diary of Sir Clifford Paterson 1939-45"	"9780863412189"	"9781849194068"	"1991-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ht/pbht014e"	""	"pbht014e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"AC-DC Power System Analysis"	"9780852969342"	"9781849194396"	"1998-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/po/pbpo027e"	""	"pbpo027e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"AI for Emerging Verticals: Human-robot computing, sensing and networking"	"9781785619823"	"9781785619830"	"2020-11"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/pc/pbpc034e"	""	"pbpc034e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"ATM: the broadband telecommunications solution"	"9780852968154"	"9781849194587"	"1993-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte029e"	""	"pbte029e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Access, Fronthaul and Backhaul Networks for 5G & Beyond"	"9781785612138"	"9781785612145"	"2017-08"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte074e"	""	"pbte074e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Active Sound and Vibration Control: theory and applications"	"9780852960387"	"9781849191845"	"2002-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce062e"	""	"pbce062e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Active and Assisted Living: Technologies and Applications"	"9781849199872"	"9781849199889"	"2016-08"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/he/pbhe006e"	""	"pbhe006e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Adaptive Array Principles"	"9780863412479"	"9781849193740"	"1981-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ew/pbew011e"	""	"pbew011e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Adaptive Prediction and Predictive Control"	"9780863411939"	"9781849193481"	"1995-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce052e"	""	"pbce052e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Adaptive Sampling with Mobile WSN: Simultaneous robot localisation and mapping of paramagnetic spatio-temporal fields"	"9781849192576"	"9781849192583"	"2011-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce073e"	""	"pbce073e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Adjoint Sensitivity Analysis of High Frequency Structures with MATLAB®"	"9781613532317"	"9781613532324"	"2017-03"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ew/sbew525e"	""	"sbew525e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Characterization of Thin Film Solar Cells"	"9781839530234"	"9781839530241"	"2020-09"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/po/pbpo166e"	""	"pbpo166e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Control for Constrained Processes and Systems"	"9781849192613"	"9781849192620"	"2011-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce075e"	""	"pbce075e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Dielectric Materials for Electrostatic Capacitors"	"9781785619885"	"9781785619892"	"2020-09"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/po/pbpo158e"	""	"pbpo158e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Electromagnetic Analysis of Passive and Active Planar Structures"	"9780852967638"	"9781849193993"	"1999-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ew/pbew046e"	""	"pbew046e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Radar Techniques and Systems"	"9780863411724"	"9781849191784"	"1993-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ra/pbra004e"	""	"pbra004e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Relay Technologies in Next Generation Wireless Communications"	"9781785610035"	"9781785610042"	"2016-06"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte068e"	""	"pbte068e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Robotics and Intelligent Machines"	"9780852968536"	"9781849193474"	"1996-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce051e"	""	"pbce051e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Signal Processing"	"9780863410376"	"9781849194532"	"1985-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte013e"	""	"pbte013e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Sparsity-Driven Models and Methods for Radar Applications"	"9781839530753"	"9781839530760"	"2020-12"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ra/sbra535e"	""	"sbra535e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advanced Technologies for Next Generation Integrated Circuits"	"9781785616648"	"9781785616655"	"2020-05"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/cs/pbcs049e"	""	"pbcs049e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advances in Bistatic Radar"	"9781891121487"	"9781613531297"	"2007-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ra/sbra001e"	""	"sbra001e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advances in Body-Centric Wireless Communication: Applications and state-of-the-art"	"9781849199896"	"9781849199902"	"2016-06"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/te/pbte065e"	""	"pbte065e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advances in Cognitive Systems"	"9781849190756"	"9781849190763"	"2010-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/ce/pbce071e"	""	"pbce071e"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Advances in Command, Control and Communication Systems"	"9780863410949"	"9781849193559"	"1987-01"	""	""	""	""	""	"https://digital-library.theiet.org/content/books/pc/pbcm011e"	""	"pbcm011e"	""	"fulltext"	""	"Institution of Engineering and Technology"
