"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"coverage_notes"	"publisher_name"
"IET Biometrics"	"2047-4938"	"2047-4946"	"2012-03"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-bmt"	""	"iet-bmt"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Biosurface and Biotribology"	""	"2405-4518"	"2018-03"	"4"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/bsbt"	""	"bsbt"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Journal of the British Institution of Radio Engineers"	"0538-0022"	"2054-054X"	"1939-12"	"1"	"1"	"1962-12"	"24"	"6"	"https://digital-library.theiet.org/content/journals/jbire"	""	"jbire"	""	"fulltext"	""	"BIRE"
"Proceedings of the British Institution of Radio Engineers"	"2050-2664"	"2054-0558"	"1963-03"	"1"	"2"	"1964-12"	"2"	"1"	"https://digital-library.theiet.org/content/journals/pbire"	""	"pbire"	""	"fulltext"	""	"BIRE"
"CAAI Transactions on Intelligence Technology"	""	"2468-2322"	"2017-06"	"2"	"2"	""	""	""	"https://digital-library.theiet.org/content/journals/trit"	""	"trit"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Chinese Journal of Electronics"	"1022-4653"	"2075-5597"	"2015-01"	"24"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/cje"	""	"cje"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IET Circuits, Devices & Systems"	"1751-858X"	"1751-8598"	"2007-02"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-cds"	""	"iet-cds"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Proceedings - Circuits, Devices and Systems"	"1350-2409"	"1359-7000"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"https://digital-library.theiet.org/content/journals/ip-cds"	""	"ip-cds"	""	"fulltext"	""	"IEE"
"IEE Proceedings G (Circuits, Devices and Systems)"	"0956-3768"	"2053-9061"	"1989-02"	"136"	"1"	"1993-12"	"140"	"6"	"https://digital-library.theiet.org/content/journals/ip-g-2"	""	"ip-g-2"	""	"fulltext"	""	"IEE"
"CIRED - Open Access Proceedings Journal"	""	"2515-0855"	"2017-10"	"2017"	"1"	"2017-10"	"2017"	"1"	"https://digital-library.theiet.org/content/journals/oap-cired"	""	"oap-cired"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Cognitive Computation and Systems"	""	"2517-7567"	"2019-03"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/ccs"	""	"ccs"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IET Collaborative Intelligent Manufacturing"	""	"2516-8398"	"2019-03"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-cim"	""	"iet-cim"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Communications Engineer"	"1479-8352"	"1741-0452"	"2003-02"	"1"	"1"	"2007-12"	"5"	"6"	"https://digital-library.theiet.org/content/journals/ce"	""	"ce"	""	"fulltext"	""	"IEE"
"IEE Proceedings - Communications"	"1350-2425"	"1359-7019"	"1994-02"	"141"	"1"	"2006-12"	"153"	"6"	"https://digital-library.theiet.org/content/journals/ip-com"	""	"ip-com"	""	"fulltext"	""	"IEE"
"IET Communications"	"1751-8628"	"1751-8636"	"2007-02"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-com"	""	"iet-com"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Proceedings F (Communications, Radar and Signal Processing)"	"0143-7070"	"2053-7956"	"1980-02"	"127"	"1"	"1988-12"	"135"	"6"	"https://digital-library.theiet.org/content/journals/ip-f-1"	""	"ip-f-1"	""	"fulltext"	""	"IEE"
"IEE Proceedings I (Communications, Speech and Vision)"	"0956-3776"	"2053-9053"	"1989-02"	"136"	"1"	"1993-12"	"140"	"6"	"https://digital-library.theiet.org/content/journals/ip-i-2"	""	"ip-i-2"	""	"fulltext"	""	"IEE"
"IET Computer Vision"	"1751-9632"	"1751-9640"	"2007-03"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-cvi"	""	"iet-cvi"	""	"fulltext"	""	"Institution of Engineering and Technology"
"Computer-Aided Engineering Journal"	"0263-9327"	"2054-0353"	"1983-11"	"1"	"1"	"1991-12"	"8"	"6"	"https://digital-library.theiet.org/content/journals/cae"	""	"cae"	""	"fulltext"	""	"IEE"
"Computerised Manufacturing"	"0269-8536"	"2054-0396"	"1986-06"	"1986"	"1"	"1989-12"	"1989"	"2"	"https://digital-library.theiet.org/content/journals/cm"	""	"cm"	""	"fulltext"	""	"Peter Peregrinus"
"IET Computers & Digital Techniques"	"1751-8601"	"1751-861X"	"2007-01"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-cdt"	""	"iet-cdt"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Journal on Computers and Digital Techniques"	"0140-1335"	"2053-8006"	"1978-02"	"1"	"1"	"1979-12"	"2"	"6"	"https://digital-library.theiet.org/content/journals/ij-cdt"	""	"ij-cdt"	""	"fulltext"	""	"IEE"
"IEE Proceedings - Computers and Digital Techniques"	"1350-2387"	"1359-7027"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"https://digital-library.theiet.org/content/journals/ip-cdt"	""	"ip-cdt"	""	"fulltext"	""	"IEE"
"IEE Proceedings E (Computers and Digital Techniques)"	"0143-7062"	"2053-7948"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"https://digital-library.theiet.org/content/journals/ip-e"	""	"ip-e"	""	"fulltext"	""	"IEE"
"Computing & Control Engineering Journal"	"0956-3385"	"1741-0460"	"1990-01"	"1"	"1"	"2002-12"	"13"	"6"	"https://digital-library.theiet.org/content/journals/ccej"	""	"ccej"	""	"fulltext"	""	"IEE"
"Computing and Control Engineering"	"0956-3385"	"1741-0460"	"2003-02"	"14"	"1"	"2007-12"	"18"	"6"	"https://digital-library.theiet.org/content/journals/cce"	""	"cce"	""	"fulltext"	""	"IEE"
"IET Control Theory & Applications"	"1751-8644"	"1751-8652"	"2007-01"	"1"	"1"	"2007-01"	"1"	"1"	"https://digital-library.theiet.org/content/journals/iet-cta"	""	"iet-cta"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Proceedings - Control Theory and Applications"	"1350-2379"	"1359-7035"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"https://digital-library.theiet.org/content/journals/ip-cta"	""	"ip-cta"	""	"fulltext"	""	"IEE"
"IEE Proceedings D (Control Theory and Applications)"	"0143-7054"	"2053-793X"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"https://digital-library.theiet.org/content/journals/ip-d"	""	"ip-d"	""	"fulltext"	""	"IEE"
"IET Cyber-Physical Systems: Theory & Applications"	""	"2398-3396"	"2016-12"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-cps"	""	"iet-cps"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IET Cyber-Systems and Robotics"	""	"2631-6315"	"2019-06"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-csr"	""	"iet-csr"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Journal on Electric Power Applications"	"0140-1327"	"2053-7999"	"1978-02"	"1"	"1"	"1979-12"	"2"	"6"	"https://digital-library.theiet.org/content/journals/ij-epa"	""	"ij-epa"	""	"fulltext"	""	"IEE"
"IEE Proceedings - Electric Power Applications"	"1350-2352"	"1359-7043"	"1994-01"	"141"	"1"	"2006-11"	"153"	"6"	"https://digital-library.theiet.org/content/journals/ip-epa"	""	"ip-epa"	""	"fulltext"	""	"IEE"
"IEE Proceedings B (Electric Power Applications)"	"0143-7038"	"2053-7913"	"1980-01"	"127"	"1"	"1993-11"	"140"	"6"	"https://digital-library.theiet.org/content/journals/ip-b"	""	"ip-b"	""	"fulltext"	""	"IEE"
"IET Electric Power Applications"	"1751-8660"	"1751-8679"	"2007-01"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-epa"	""	"iet-epa"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IET Electrical Systems in Transportation"	"2042-9738"	"2042-9746"	"2011-03"	"1"	"1"	""	""	""	"https://digital-library.theiet.org/content/journals/iet-est"	""	"iet-est"	""	"fulltext"	""	"Institution of Engineering and Technology"
"IEE Journal on Electronic Circuits and Systems"	"0308-6984"	"2053-8014"	"1976-09"	"1"	"1"	"1979-11"	"3"	"6"	"https://digital-library.theiet.org/content/journals/ij-ecs"	""	"ij-ecs"	""	"fulltext"	""	"IEE"
"IEE Proceedings G (Electronic Circuits and Systems)"	"0143-7089"	"2053-7964"	"1980-02"	"127"	"1"	"1988-12"	"135"	"6"	"https://digital-library.theiet.org/content/journals/ip-g-1"	""	"ip-g-1"	""	"fulltext"	""	"IEE"
