publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Advances in Neuroimmune Biology	1878-948X	1878-9498	2011-01-01	1	1				http://content.iospress.com/journals/advances-in-neuroimmune-biology		advances-in-neuroimmune-biology		fulltext			serial										1878-948X	1878-9498	
AI Communications	0921-7126	1875-8452	1987-01-01	0	1				http://content.iospress.com/journals/ai-communications		ai-communications					serial										0921-7126	1875-8452	
Algorithmic Finance	2158-5571	2157-6203	2011-01-01	1	1				http://content.iospress.com/journals/algorithmic-finance		algorithmic-finance		fulltext			serial										2158-5571	2157-6203	
Analytical Cellular Pathology (2011)	2210-7177	2210-7185	2010-01-01	33	1	2013-12-31	36	5,6	http://content.iospress.com/journals/analytical-cellular-pathology		analytical-cellular-pathology		fulltext	Previoulsy: Analytical Cellular Pathology (1997-2003), Cellular Oncology (2004-2010). transfer our (2014): Hindawi Publishing		serial										2210-7177	2210-7185	
Applied Bionics and Biomechanics	1176-2322	1754-2103	2003-01-01	1	1	2014-12-31	11	4	http://content.iospress.com/journals/applied-bionics-and-biomechanics		applied-bionics-and-biomechanics		fulltext	No longer published by IOS Press		serial										1176-2322	1754-2103	
Applied Ontology	1570-5838	1875-8533	2005-01-01	1	1				http://content.iospress.com/journals/applied-ontology		applied-ontology					serial										1570-5838	1875-8533	
Asian Journal of Water, Environment and Pollution	0972-9860	1875-8568	2004-01-01	1	1				http://content.iospress.com/journals/asian-journal-of-water-environment-and-pollution		asian-journal-of-water-environment-and-pollution					serial										0972-9860	1875-8568	
Asymptotic Analysis	0921-7134	1875-8576	1988-01-01	1	1				http://content.iospress.com/journals/asymptotic-analysis		asymptotic-analysis		fulltext			serial										0921-7134	1875-8576	
Behavioural Neurology	0953-4180	1875-8584	1998-01-01	11	1				http://content.iospress.com/journals/behavioural-neurology		behavioural-neurology					serial										0953-4180	1875-8584	
Bio-Medical Materials and Engineering	0959-2989	1878-3619	1991-01-01	1	1				http://content.iospress.com/journals/bio-medical-materials-and-engineering		bio-medical-materials-and-engineering		fulltext			serial										0959-2989	1878-3619	
BioFactors	0951-6433	1872-8081	1997-01-01	6	1	2008-01-01	34	4	http://content.iospress.com/journals/biofactors		biofactors					serial										0951-6433	1872-8081	
Biomedical Spectroscopy and Imaging	2212-8794	2212-8808	2012-01-01	1	1				http://content.iospress.com/journals/biomedical-spectroscopy-and-imaging		biomedical-spectroscopy-and-imaging		fulltext			serial										2212-8794	2212-8808	
Biorheology	0006-355X	1878-5034	1998-01-01	35	2				http://content.iospress.com/journals/biorheology		biorheology		fulltext			serial										0006-355X	1878-5034	
Bladder Cancer	2352-3727	2352-3735	2015-01-01	1	1				http://content.iospress.com/journals/bladder-cancer		bladder-cancer		fulltext	New for 2015		serial										2352-3727	2352-3735	
Brain Plasticity	2213-6304	2213-6312	2014-01-01	1	1				http://content.iospress.com/journals/brain-plasticity		brain-plasticity			Open Access		serial										2213-6304	2213-6312	
Breast Disease	0888-6008	1558-1551	1998-01-01	10	1				http://content.iospress.com/journals/breast-disease		breast-disease					serial										0888-6008	1558-1551	
Bridge Structures - Assessment, Design & Construction	1573-2487	1744-8999	2005-01-01	1	1				http://content.iospress.com/journals/bridge-structures		bridge-structures					serial										1573-2487	1744-8999	
Cancer Biomarkers	1574-0153	1875-8592	2005-01-01	1	1				http://content.iospress.com/journals/cancer-biomarkers		cancer-biomarkers					serial										1574-0153	1875-8592	
Cellular Oncology	1570-5870	1875-8606	2004-01-01	24		2010-01-01	32	05-Jun	http://content.iospress.com/journals/cellular-oncology		cellular-oncology					serial										1570-5870	1875-8606	
Cheminformatics	1572-4778	1875-8614	2004-01-01	1	1	2004-01-01	1	1	http://content.iospress.com/journals/cheminformatics		cheminformatics					serial										1572-4778	1875-8614	
Climate Law	1878-6553	1878-6561	2010-01-01	1	1				http://content.iospress.com/journals/climate-law		climate-law					serial										1878-6553	1878-6561	
Clinical Hemorheology and Microcirculation	1386-0291	1875-8622	1992-01-01	11	1-2				http://content.iospress.com/journals/clinical-hemorheology-and-microcirculation		clinical-hemorheology-and-microcirculation		fulltext			serial										1386-0291	1875-8622	
Computability	2211-3568	2211-3576	2012-01-01	1	1				http://content.iospress.com/journals/computability		computability		fulltext			serial										2211-3568	2211-3576	
Disease Markers	0278-0240	1875-8630	1998-01-01	14	1				http://content.iospress.com/journals/disease-markers		disease-markers					serial										0278-0240	1875-8630	
Education for Information	0167-8329	1875-8649	1983-01-01	1	1				http://content.iospress.com/journals/education-for-information		education-for-information		fulltext			serial										0167-8329	1875-8649	
Electronic Journal of Pathology and Histology	0948-0382		2000-01-01	6	1	2003-01-01	8	1	http://content.iospress.com/journals/electronic-journal-of-pathology-and-histology		electronic-journal-of-pathology-and-histology					serial										0948-0382		
Environmental Policy and Law	0378-777X	1878-5395	1975-01-01	1	1				http://content.iospress.com/journals/environmental-policy-and-law		environmental-policy-and-law		fulltext			serial										0378-777X	1878-5395	
Fundamenta Informaticae	0169-2968	1875-8681	1994-01-01	20	1				http://content.iospress.com/journals/fundamenta-informaticae		fundamenta-informaticae					serial										0169-2968	1875-8681	
Human Antibodies	1093-2607	1875-869X	1990-01-01	1	1				http://content.iospress.com/journals/human-antibodies		human-antibodies		fulltext			serial										1093-2607	1875-869X	
Human Systems Management	0167-2533	1875-8703	1980-01-01	1	1				http://content.iospress.com/journals/human-systems-management		human-systems-management					serial										0167-2533	1875-8703	
I-Ways: The Journal of E-Government Policy and Regulation	1084-4678	1875-8886	2003-01-01	26	1	2009-01-01	32	4	http://content.iospress.com/journals/i-ways-digest-of-electronic-commerce-policy-and-regulation		i-ways-digest-of-electronic-commerce-policy-and-regulation					serial										1084-4678	1875-8886	
ICGA Journal	1389-6911		2014-01-01	37	1				http://content.iospress.com/journals/icga-journal		icga-journal		fulltext	transfer in (2016):Tilburg Centre for Cogination and Communication		serial										1389-6911		
In Silico Biology	1386-6338	1434-3207	1998-01-01	1	1				http://content.iospress.com/journals/in-silico-biology		in-silico-biology		fulltext			serial										1386-6338	1434-3207	
Informatica	0868-4952	1822-8844	1990-01-01	1	1				http://content.iospress.com/journals/informatica		informatica		fulltext			serial										0868-4952	1822-8844	
Information Infrastructure and Policy	1383-7605	1875-8738	1998-01-01	6	1	2000-01-01	6	4	http://content.iospress.com/journals/information-infrastructure-and-policy		information-infrastructure-and-policy					serial										1383-7605	1875-8738	
Information, Knowledge, Systems Management	1389-1995	1875-8762	1999-01-01	1	1	2013-12-31	12	3,4	http://content.iospress.com/journals/information-knowledge-systems-management		information-knowledge-systems-management		fulltext	Ceased: 2013		serial										1389-1995	1875-8762	
Information Polity	1570-1255	1875-8754	2002-01-01	7	1				http://content.iospress.com/journals/information-polity		information-polity					serial										1570-1255	1875-8754	
Information Services and Use	0167-5265	1875-8789	1981-01-01	1	1				http://content.iospress.com/journals/information-services-and-use		information-services-and-use		fulltext			serial										0167-5265	1875-8789	
Information Technology for Development	0268-1102	1554-0170	1998-01-01	8	1	2003-12-31	10	4	http://content.iospress.com/journals/information-technology-for-development		information-technology-for-development		fulltext	transfer out (2004): Wiley		serial										0268-1102	1554-0170	
Integrated Computer-Aided Engineering	1069-2509	1875-8835	1993-01-01	1	1				http://content.iospress.com/journals/integrated-computer-aided-engineering		integrated-computer-aided-engineering		fulltext			serial										1069-2509	1875-8835	
