publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
AI Communications	0921-7126	1875-8452	1987-01-01	0	1				http://content.iospress.com/journals/ai-communications		ai-communications		fulltext			serial											0921-7126	1875-8452					Current	
Advances in Neuroimmune Biology	1878-948X	1878-9498	2011-01-01	1	1				http://content.iospress.com/journals/advances-in-neuroimmune-biology		advances-in-neuroimmune-biology		fulltext			serial											1878-948X	1878-9498					Current	
Algorithmic Finance	2158-5571	2157-6203	2011-01-01	1	1				http://content.iospress.com/journals/algorithmic-finance		algorithmic-finance		fulltext			serial											2158-5571	2157-6203					Current	
Analytical Cellular Pathology (2011)	2210-7177	2210-7185	2010-01-01	33	1	2013-12-31	36	5,6	http://content.iospress.com/journals/analytical-cellular-pathology		analytical-cellular-pathology		fulltext			serial									Previoulsy: Analytical Cellular Pathology (1997-2003), Cellular Oncology (2004-2010). transfer out (2014): Hindawi Publishing		2210-7177	2210-7185					Current	
Applied Bionics and Biomechanics	1176-2322	1754-2103	2003-01-01	1	1	2014-12-31	11	4	http://content.iospress.com/journals/applied-bionics-and-biomechanics		applied-bionics-and-biomechanics		fulltext			serial									No longer published by IOS Press		1176-2322	1754-2103					Current	
Applied Ontology	1570-5838	1875-8533	2005-01-01	1	1				http://content.iospress.com/journals/applied-ontology		applied-ontology		fulltext			serial											1570-5838	1875-8533					Current	
Argument & Computation	1946-2166	1946-2174	2010-01-01	1	1				http://www.iospress.nl/journal/argument-computation/		18868		fulltext			serial								F	Open Access		1946-2166	1946-2174					Current	
Asian Journal of Water, Environment and Pollution	0972-9860	1875-8568	2004-01-01	1	1				http://content.iospress.com/journals/asian-journal-of-water-environment-and-pollution		asian-journal-of-water-environment-and-pollution		fulltext			serial											0972-9860	1875-8568					Current	
Asymptotic Analysis	0921-7134	1875-8576	1988-01-01	1	1				http://content.iospress.com/journals/asymptotic-analysis		asymptotic-analysis		fulltext			serial											0921-7134	1875-8576					Current	
Behavioural Neurology	0953-4180	1875-8584	1998-01-01	11	1	2013-12-31	28	1	http://content.iospress.com/journals/behavioural-neurology		behavioural-neurology		fulltext			serial									transfer out (2014): Hindawi Publishing; open access		0953-4180	1875-8584					Current	
Bio-Medical Materials and Engineering	0959-2989	1878-3619	1991-01-01	1	1				http://content.iospress.com/journals/bio-medical-materials-and-engineering		bio-medical-materials-and-engineering		fulltext			serial											0959-2989	1878-3619					Current	
BioFactors	0951-6433	1872-8081	1997-01-01	6	1	2008-01-01	34	4	http://content.iospress.com/journals/biofactors		biofactors		fulltext			serial										10.1002/(ISSN)1872-8081	0951-6433	1872-8081					Current	
Biomedical Spectroscopy and Imaging	2212-8794	2212-8808	2012-01-01	1	1				http://content.iospress.com/journals/biomedical-spectroscopy-and-imaging		biomedical-spectroscopy-and-imaging		fulltext			serial											2212-8794	2212-8808					Current	
Biorheology	0006-355X	1878-5034	1998-01-01	35	2				http://content.iospress.com/journals/biorheology		biorheology		fulltext			serial											0006-355X	1878-5034					Current	
