publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Annales de Biologie Clinique	0003-3898	1950-6112	1997	55	1				https://www.jle.com/fr/revues/abc/archive.phtml		abc	P1Y	fulltext		John Libbey Eurotext	serial								F	142870625
Annales de Biologie Clinique	0003-3898	1950-6112	1997	55	1				https://www.jle.com/fr/revues/abc/archive.phtml		abc	R1Y	fulltext		John Libbey Eurotext	serial								P	142870625
Annales de Gérontologie	1968-0805	2102-6009	2008	1	1	2011	4	1	https://www.jle.com/fr/revues/age/archive.phtml		age		fulltext		John Libbey Eurotext	serial								F	137918968
Bulletin Infirmier du Cancer	1628-2205	2102-5983	2001	1	1				https://www.jle.com/fr/revues/bic/archive.phtml		bic	P1Y	fulltext		John Libbey Eurotext	serial								F	137918941
Bulletin Infirmier du Cancer	1628-2205	2102-5983	2001	1	1				https://www.jle.com/fr/revues/bic/archive.phtml		bic	R1Y	fulltext		John Libbey Eurotext	serial								P	137918941
Cahiers d'études et de recherches francophones / Santé	1157-5999	1950-6953	1991	1	1	2011	21	3	https://www.jle.com/fr/revues/san/archive.phtml		san		fulltext		John Libbey Eurotext	serial								F	145456811
Cahiers santé Médecine thérapeutique	2780-8858	2780-8866	2021	30	1				https://www.jle.com/fr/revues/smt/archive.phtml		met		fulltext		John Libbey Eurotext	serial								P	256870314
Dermato Mag	2271-8273	2272-057X	2013	1	1				https://www.jle.com/fr/revues/dmg/archive.phtml		dmg	P2Y	fulltext		John Libbey Eurotext	serial								F	177498080
Dermato Mag	2271-8273	2272-057X	2013	1	1				https://www.jle.com/fr/revues/dmg/archive.phtml		dmg	R2Y	fulltext		John Libbey Eurotext	serial								P	177498080
Environnement, Risques & Santé	1635-0421	1952-3998	2002	1	1				https://www.jle.com/fr/revues/ers/archive.phtml		ers	P2Y	fulltext		John Libbey Eurotext	serial								F	159793661
Environnement, Risques & Santé	1635-0421	1952-3998	2002	1	1				https://www.jle.com/fr/revues/ers/archive.phtml		ers	R2Y	fulltext		John Libbey Eurotext	serial								P	159793661
Epileptic Disorders	1294-9361	1950-6945	1999	1	1				https://www.jle.com/fr/revues/epd/archive.phtml		epd	P1Y	fulltext		John Libbey Eurotext	serial								F	128405732
Epileptic Disorders	1294-9361	1950-6945	1999	1	1				https://www.jle.com/fr/revues/epd/archive.phtml		epd	R1Y	fulltext		John Libbey Eurotext	serial								P	128405732
European Cytokine Network	1148-5493	1952-4005	1997	8	2				https://www.jle.com/fr/revues/ecn/archive.phtml		ecn		fulltext		John Libbey Eurotext	serial								P	121373037
European Journal of Dermatology	1167-1122	1952-4013	1997	7	6				https://www.jle.com/fr/revues/ejd/archive.phtml		ejd		fulltext		John Libbey Eurotext	serial								P	128405856
Gériatrie et Psychologie Neuropsychiatrie du Vieillissement	2115-8789	2115-7863	2011	9	1				https://www.jle.com/fr/revues/gpn/archive.phtml		gpn	P1Y	fulltext		John Libbey Eurotext	serial								F	15261091X
