publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Journal Of Forensic Economics	0898-5510	2374-8753	1987-09-01	1	1	2022-12-01	30	1	https://www.jstor.org/journal/jforeecon		jforeecon	P4Y	fulltext		National Association of Forensic Economics	serial								P	182017354
Management Revue	0935-9915	1861-9908	1990-01-01	1	1	2023-01-01	34	4	https://www.jstor.org/journal/managementrevue		managementrevue	P3Y	fulltext		Nomos Verlagsgesellschaft mbH & Co. KG	serial								P	11626327X
Latin American Music Review / Revista De Música Latinoamericana	0163-0350	1536-0199	1980-04-01	1	1	2022-10-01	43	2	https://www.jstor.org/journal/latiamermusirevi		latiamermusirevi	P4Y	fulltext		University of Texas Press	serial							anuainteinvemusi	P	076864669
Medieval World: Culture & Conflict	2949-7566	2949-7574	2022-01-01		3	2022-07-01		2	https://www.jstor.org/journal/medievalworld		medievalworld	P4Y	fulltext		Karwansaray BV	serial							medievalwarfare	P	263543404
Journal Of The Society For Industrial And Applied Mathematics	0368-4245		1953-09-01	1	1	1965-12-01	13	4	https://www.jstor.org/journal/jsociinduapplmat		jsociinduapplmat		fulltext		Society for Industrial and Applied Mathematics	serial						siamjapplmath		P	163391211
Merrill-palmer Quarterly Of Behavior And Development	0026-0150		1958-10-01	5	1	1981-10-01	27	4	https://www.jstor.org/journal/merrpalmquarbeha		merrpalmquarbeha		fulltext		Wayne State University Press	serial						merrpalmquar1982	merrpalmquar1954	P	171062078
The Technical Writer	2637-787X	2639-9709	1957-10-01			1957-10-01			https://www.jstor.org/journal/techwrit		techwrit		fulltext	Publication of this title ceased in August 2024 with Vol. 71, no. 3	Society for Technical Communication	serial						techwritrevi		P	232590168
Monatshefte	0026-9271	1934-2810	1946-01-01	38	1	2020-12-01	112	4	https://www.jstor.org/journal/monatshefte		monatshefte	P6Y	fulltext		University of Wisconsin Press	serial							monadeutunte	P	124307124
Mitteilungen Zur Jüdischen Volkskunde	2193-9055		1905-01-01	1	1 (15)	1929-01-01	31/32		https://www.jstor.org/journal/mittjudivolk		mittjudivolk		fulltext	Publication of this title ceased in 1929.		serial							mitgesjudvol	P	
The Sociological Quarterly	0038-0253	1533-8525	1960-01-01	1	1	2020-07-01	61	3	https://www.jstor.org/journal/sociquar		sociquar	P6Y	fulltext		Taylor & Francis	serial							midwsoc	P	120421313
Nacta Journal	0149-4910		1963-06-01	7	2	2022-01-01	66	1	https://www.jstor.org/journal/nactajournal		nactajournal	P4Y	fulltext		North American Colleges and Teachers of Agriculture (NACTA)	serial								P	
The Musical Times	0027-4666	2397-5318	1904-01-01	45	731	2024-12-01	165	1969	https://www.jstor.org/journal/musicaltimes		musicaltimes		fulltext	Publication of this title ceased in December 2024.	Musical Times Publications, Ltd.	serial							musitimesingclas	P	191028606
Newsletter: European Labor And Working Class History	0097-8523		1972-05-01		1	1975-11-01		8	https://www.jstor.org/journal/newseurolabowork		newseurolabowork		fulltext		Cambridge University Press	serial						intelaboworkhist		P	15645095X
L'esprit Créateur	0014-0767	1931-0234	1961-04-01	1	1	2020-12-01	60	4	https://www.jstor.org/journal/espritcreateur		espritcreateur	P6Y	fulltext		The Johns Hopkins University	serial								P	143742256
New England Review And Bread Loaf Quarterly	0736-2579		1982-10-01	5	1/2	1990-07-01	12	4	https://www.jstor.org/journal/newengrevbreloq		newengrevbreloq		fulltext		Middlebury College Publications	serial						newenglandrev	newengrev	P	169592448
Vermont Journal Of Environmental Law	1936-4253	1936-4261	1999-01-01	1		2024-10-01	26	1	https://www.jstor.org/journal/vermjenvilaw		vermjenvilaw	P2Y	fulltext		Vermont Law School	serial								P	113870590
South Atlantic Review	0277-335X	2325-7970	1981-01-01	46	1	2022-12-01	87	4	https://www.jstor.org/journal/soutatlarevi		soutatlarevi	P4Y	fulltext		South Atlantic Modern Language Association	serial							soutatlabull	P	167176005
Urbanism Past & Present	0160-2780	2577-1574	1975-12-01		1	1983-07-01	8	2 (16)	https://www.jstor.org/journal/urbapastpres		urbapastpres		fulltext	Coverage for this title ends with Volume 50, Issue 1/2, 2022	Board of Regents of the University of Wisconsin System on behalf of the University of Wisconsin-Milwaukee	serial						urbahistrevi		P	225501589
Vienna Yearbook Of Population Research	1728-4414	1728-5305	2003-01-01	1		2025-01-01	23		https://www.jstor.org/journal/vienyearpopurese		vienyearpopurese		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Austrian Academy of Sciences	serial							demoinfo	F	073632996
Woman's Art Journal	0270-7993	2158-8457	1980-04-01	1	1	2022-10-01	43	2	https://www.jstor.org/journal/womansartj		womansartj	P4Y	fulltext		Old City Publishing, Inc.	serial								P	149007507
World Affairs	0043-8200	1940-1582	1932-06-01	95	1	2023-12-01	186	4	https://www.jstor.org/journal/worldaffairs		worldaffairs	P3Y	fulltext		Wiley	serial							advopeacjust	P	119403390
Sexually Transmitted Diseases	0148-5717	1537-4521	1977-01-01	4	1	2020-12-01	47	12	https://www.jstor.org/journal/sexutrandise		sexutrandise	P6Y	fulltext		Lippincott Williams & Wilkins	serial							jamervenedise	P	076866572
Scandinavian Journal Of Public Health. Supplement	1403-4956	1651-2553	2001-01-01	55		2022-01-01	50		https://www.jstor.org/journal/scanjpublsupp		scanjpublsupp	P4Y	fulltext		Sage Publications, Ltd.	serial							scanjsocisupp	P	118349554
Zeitschrift Für Pflanzenkrankheiten Und Gallenkunde	0372-8528	2364-6187	1922-01-01	32	1/2	1925-01-01	35	7/8	https://www.jstor.org/journal/zeitpflagall		zeitpflagall		fulltext		Verlag Eugen Ulmer KG	serial						zeitpflapfla2	zeitpfla	P	187674280
Revue D'histoire De La Deuxième Guerre Mondiale	0035-2314		1950-11-01	1	1	1981-10-01	31	124	https://www.jstor.org/journal/revuhistdeuxguer		revuhistdeuxguer		fulltext		Presses Universitaires de France	serial						revuhistdeuxgmcc	cahihistguer	P	178344168
Slavic Review	0037-6779	2325-7784	1961-10-01	20	3	2022-12-01	81	4	https://www.jstor.org/journal/slavicreview		slavicreview	P4Y	fulltext		Cambridge University Press	serial							amerslaveasteuro	P	119754487
Scripta	1971-9027	2035-2751	2008-01-01	1		2020-01-01	13		https://www.jstor.org/journal/scripta		scripta	P6Y	fulltext		Fabrizio Serra editore	serial								P	192167626
Thomas Mann Jahrbuch	0935-6983		1988-01-01	1		2020-01-01	33		https://www.jstor.org/journal/thommannjahr		thommannjahr	P6Y	fulltext		Vittorio Klostermann GmbH	serial							heftdeutthommann	P	271421991
Studies In Comparative Communism	0039-3592	1878-3341	1968-07-01	1	1/2	1992-12-01	25	4	https://www.jstor.org/journal/studcompcomm		studcompcomm		fulltext		University of California Press	serial						commandpostcomm	communistaffairs	P	127799931
Small Business Economics	0921-898X	1573-0913	1989-01-01	1	1	2022-12-01	59	4	https://www.jstor.org/journal/smallbusecon		smallbusecon	P4Y	fulltext		Springer Nature	serial								P	111688426
Revue D'histoire Des Sciences	0151-4105	1969-6582	1971-01-01	24	1	2022-07-01	75	2	https://www.jstor.org/journal/revuhistscie		revuhistscie	P4Y	fulltext		Armand Colin	serial							revuhistscieleur	P	127474099
Romance Notes	0035-7995	2165-7599	1959-11-01	1	1	2022-01-01	62	3	https://www.jstor.org/journal/romancenotes		romancenotes	P4Y	fulltext		University of North Carolina Press	serial								P	166926957
Sae International Journal Of Electrified Vehicles	2691-3747	2691-3755	2020-01-01	9	1	2024-01-01	13	3	https://www.jstor.org/journal/saeintejelecvehi		saeintejelecvehi	P2Y	fulltext		SAE International	serial							saeintejaltepowe	P	249574233
Studies In The American Renaissance	0149-015X		1977-01-01			1996-01-01			https://www.jstor.org/journal/studamerrena		studamerrena		fulltext	Publication of this title ceased in 1996.	Greta Little	serial								P	169438074
Sefunot: Studies And Sources On The History Of The Jewish Communities In The East / ספונות: מחקרים ומקורות לתולדות קהילות ישראל במזרח	0582-3943		1956-01-01	א		2019-01-01	11		https://www.jstor.org/journal/sefunot		sefunot		fulltext	No issues were published from 2020-2021. Vol. 12 (2022) will be released in 2028.	Yad Izhak Ben Zvi / יד יצחק בן-צבי	serial								P	
Washington History	1042-9719	2328-7195	1989-04-01	1	1	2025-10-01	37	2	https://www.jstor.org/journal/washhist		washhist		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	DC History Center	serial							recocoluhistsoci	P	170089665
Séminaire De Théorie Des Nombres De Bordeaux	0989-5558	2547-5819	1976-01-01			1992-01-01	4	2	https://www.jstor.org/journal/semitheonombbord		semitheonombbord		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.	Société Arithmétique de Bordeaux	serial						jtheonombbord		P	204152704
