publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
4S Review	0738-0526		1983	1	1	1985	3	4	https://www.jstor.org/journal/4sreview		4sreview		fulltext	continued by: Science & Technology Studies (ISSN: 0886-3040) (1986-1987)		serial								P	
AATSEEL Journal	2325-7695	2379-8165	1954	12	1	1956	14	4	httpss://www.jstor.org/journal/aatseeljournal		aatseeljournal		fulltext	now: The Slavic and East European Journal (ISSN: 0037-6752) (1957-)		serial								P	187709432
ASA Review of Books	0364-1686	2326-3075	1975	1		1980	6		https://www.jstor.org/journal/asareviewbooks		asareviewbooks		fulltext	merged into: African Studies Review (ISSN: 0002-0206) (1970-)		serial								P	119718286
African Affairs	0001-9909	1468-2621	1944	43	172	2014			https://www.jstor.org/journal/africanaffairs		africanaffairs		fulltext	previously: Journal of the Royal African Society (ISSN: 0368-4016) (1901-1944). Moving Wall: 5 years		serial								P	064160572
African Historical Studies	0001-9992		1968	1	1	1971	4	3	https://www.jstor.org/journal/afrihiststud		afrihiststud		fulltext	now: The International Journal of African Historical Studies (ISSN: 0361-7882) (1972-)		serial								P	
African Studies Bulletin	0568-1537	2326-3083	1958	1	1	1969	12	3	https://www.jstor.org/journal/afristudbull		afristudbull		fulltext	now: African Studies Review (ISSN: 0002-0206) (1970-)		serial								P	119717492
African Studies Review	0002-0206	1555-2462	1970	13	1	2014			https://www.jstor.org/journal/afristudrevi		afristudrevi		fulltext	previously: African Studies Bulletin (ISSN: 0568-1537) (1958-1969) Moving Wall: 5 years.		serial								P	115432043
Albion: A Quarterly Journal Concerned with British Studies	0095-1390		1969	1	1	2004	36	4	https://www.jstor.org/journal/albiquarjconcbri		albiquarjconcbri		fulltext	absorbed by: Journal of British Studies (ISSN: 0021-9371) (1961-)		serial								P	
American Anthropologist	0002-7294	1548-1433	1888	1	1	2012			https://www.jstor.org/journal/ameranth		ameranth		fulltext	previously: Transactions of the Anthropological Society of Washington (1879-1883) (ISSN: 1541-4132) Moving Wall: 7 years		serial								P	076881733
American Antiquity	0002-7316	2325-5064	1935	1	1	2016			https://www.jstor.org/journal/ameranti		ameranti		fulltext	Moving Wall: 3 years		serial								P	119720175
American Ethnologist	0094-0496	1548-1425	1974	1	1	2012			https://www.jstor.org/journal/amerethn		amerethn		fulltext	Moving Wall: 7 years		serial								P	076881725
American Journal of Archaeology	0002-9114	1939-828X	1897	1	1	2016			https://www.jstor.org/journal/amerjarch		amerjarch		fulltext	previously: The American Journal of Archaeology (1895-1896) (ISSN: 1540-5079) and of the History of the Fine Arts (1885-1896). Moving Wall: 3 years		serial								P	118360639
American Journal of Philology	0002-9475	1086-3168	1880	1	1	2014			https://www.jstor.org/journal/amerjphil		amerjphil		fulltext	Moving Wall: 5 years		serial								P	058046526
American Slavic and East European Review	1049-7544	2326-4985	1945	4	1-2	1961	20	2	https://www.jstor.org/journal/amerslaveasteuro		amerslaveasteuro		fulltext	now: Slavic Review (ISSN: 0037-6779) (1961-2016)		serial								P	119752700
American Statistical Association Bulletin	2334-3915	2334-3907	1938	1	1	1946	6	4	https://www.jstor.org/journal/amerstatassocbu		amerstatassocbu		fulltext	now: The American Statistician (ISSN: 0003-1305) (1947-)		serial								P	177878258
Annals of the Association of American Geographers	0004-5608	1467-8306	1911	1		2014			https://www.jstor.org/journal/annaassoamergeog		annaassoamergeog		fulltext	Moving Wall: 5 years		serial								P	058287183
Archaeological Reports	0570-6084	2041-4102	1954		1	2016			https://www.jstor.org/journal/archrepo		archrepo		fulltext	Moving Wall: 3 years		serial								P	151981639
Asian Survey	0004-4687	1533-838X	1961	1	1	2016			https://www.jstor.org/journal/asiansurvey		asiansurvey		fulltext	previously: Far Eastern Survey (ISSN: 0362-8949) (1935-1961), Memorandum (Institute of Pacific Relations, American Council) (ISSN: 1536-0385) (1932-1934)		serial								P	119755963
Background	0361-5448	2326-2966	1962	6	1-3	1966	10	2	https://www.jstor.org/journal/background		background		fulltext	now: International Studies Quarterly (ISSN: 0020-8833) (1967-). previously: Background on World Politics (ISSN: 1533-6689) (1957-1961)		serial								P	119862352
Background on World Politics	1533-6689	2326-2974	1957	1	1	1961	5	4	https://www.jstor.org/journal/backworlpoli		backworlpoli		fulltext	now: International Studies Quarterly (ISSN: 0020-8833) (1967-). continues: Background (ISSN: 0361-5448) (1962-1966)		serial								P	119862433
