publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Administrative Science Quarterly	0001-8392	1930-3815	1956	1	1	2016			https://www.jstor.org/journal/admisciequar		admisciequar		fulltext	moving wall: 3 years; links to external content: 2012 (v. 57, no. 1)		serial								P	113724462
American Bar Foundation Research Journal	0361-9486	2328-0212	1976	1	1	1987	12	4	https://www.jstor.org/journal/amerbarfounresej		amerbarfounresej		fulltext	now: Law and Social inquiry (ISSN: 0897-6546; 1988- )		serial								P	169592979
American Educational Research Journal	0002-8312	1935-1011	1964	1	1	2016			https://www.jstor.org/journal/amereducresej		amereducresej		fulltext	moving wall: 3 years		serial								P	113632606
American Journal of Education	0195-6744	1549-6511	1979	88	1	2015	122	1	http://www.jstor.org/journal/amerjeduc		amerjeduc		fulltext	previously: The School Review (ISSN: 0036-6773; 1893-1979); School and College (ISSN: 2575-758X; 1892-1892)coverage presently ends: 2015; JSTOR will resume a moving wall of 5 years in 2021		serial								P	116302305
Anthropology and Education Quarterly	0161-7761	1548-1492	1976	7	3	2012			https://www.jstor.org/journal/antheducquar		antheducquar		fulltext	moving wall: 7 years; previously: Council on Anthropology and Education Quarterly (ISSN: 0098-2881; 1974-1976); Council on Anthropology and Education Newsletter (ISSN: 0591-2202; 1970-1973)		serial								P	119399652
Arab Law Quarterly	0268-0556	1573-0255	1985	1	1	2016			https://www.jstor.org/journal/arablawquarterly		arablawquarterly		fulltext	moving wall: 3 years		serial								P	078589509
Art Education	0004-3125	2325-5161	1948	1	1	2014			https://www.jstor.org/journal/arteducation		arteducation		fulltext	moving wall: 5 years		serial								P	166930989
British Educational Research Journal	0141-1926	1469-3518	1978	4	1	2012			https://www.jstor.org/journal/briteducresej		briteducresej		fulltext	previously: Research Intelligence (ISSN: 0307-9023; 1975-1977); moving wall: 7 years		serial								P	058289259
British Journal of Educational Studies	0007-1005	1467-8527	1952	1	1	2012			https://www.jstor.org/journal/britjeducstud		britjeducstud		fulltext	moving wall: 7 years		serial								P	058287388
British Journal of Law and Society	0306-3704		1974	1	1	1981	8	2	https://www.jstor.org/journal/britjlawsoci		britjlawsoci		fulltext	now: Journal of Law and Society (ISSN: 0263-323X; 1982- )		serial								P	
British Journal of Sociology of Education	0142-5692	1465-3346	1980	1	1	2012			https://www.jstor.org/journal/britjsocieduc		britjsocieduc		fulltext	moving wall: 7 years		serial								P	064160424
California Law Review	0008-1221	1942-6542	1912	1	1	2016			https://www.jstor.org/journal/calilawrevi		calilawrevi		fulltext	moving wall: 3 years		serial								P	113786182
Canadian Journal of Education / Revue canadienne de l'éducation	0380-2361	1918-5979	1976	1	1	2017			https://www.jstor.org/journal/canajeducrevucan		canajeducrevucan		fulltext	moving wall: 2 years		serial								P	174201591
Cardozo Studies in Law and Literature	1043-1500		1989	1	1	2001	13	2	https://www.jstor.org/journal/cardstudlawlite		cardstudlawlite		fulltext	now: Law and Literature (ISSN: 1535-685X; 2002- )		serial								P	
Child Development	0009-3920	1467-8624	1930	1	1	2014			https://www.jstor.org/journal/childdevelopment		childdevelopment		fulltext	moving wall: 5 years		serial								P	081011830
Cognition and Instruction	0737-0008	1532-690X	1984	1	1	2012			https://www.jstor.org/journal/cogninst		cogninst		fulltext	moving wall: 7 years		serial								P	059183764
Columbia Law Review	0010-1958	1945-2268	1901	1	1				https://www.jstor.org/journal/colulawrevi		colulawrevi		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	121233863
Comparative Education	0305-0068	1360-0486	1964	1	1	2012			https://www.jstor.org/journal/compeduc		compeduc		fulltext	moving wall: 7 years		serial								P	040644421
Comparative Education Review	0010-4086	1545-701X	1957	1	1	2015	59	4	https://www.jstor.org/journal/compeducrevi		compeducrevi		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021.		serial								P	076878546
Council on Anthropology and Education Newsletter	0591-2202		1970	1	1	1973	4	3	https://www.jstor.org/journal/counantheducnews		counantheducnews		fulltext	now: Anthropology and Education Quarterly (ISSN: 0161-7761; 1976- ); continued by: Council on Anthropology and Education Quarterly (ISSN: 0098-2881; 1974-1976)		serial								P	
Council on Anthropology and Education Quarterly	0098-2881		1974	5	1	1976	7	2	https://www.jstor.org/journal/counantheducquar		counantheducquar		fulltext	now: Anthropology and Education Quarterly (ISSN: 0161-7761; 1976- ); previously: Council on Anthropology and Education Newsletter (ISSN: 0591-2202; 1970-1973)		serial								P	
Crime and Justice	0192-3234	2153-0416	1979	1		2015	44	1	https://www.jstor.org/journal/crimejustice		crimejustice		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	142487740
Criminal Science Monographs	1547-626X		1915		1	1923		4	https://www.jstor.org/journal/crimsciemono		crimsciemono		fulltext	Ceased: 1923		serial								P	
Curriculum Theory Network	0078-4931		1968		1	1976	5	4	https://www.jstor.org/journal/currtheonetw		currtheonetw		fulltext	now: Curriculum inquiry (ISSN: 0362-6784; 1976- )		serial								P	
Curriculum inquiry	0362-6784	1467-873X	1976	6	1	2012			https://www.jstor.org/journal/currinqu		currinqu		fulltext	moving wall: 7 years; previously: Curriculum Theory Network (ISSN: 0078-4931; 1968-1976)		serial								P	058287574
Duke Bar Journal	1553-8729		1951	1	1	1957	6	2	https://www.jstor.org/journal/dukebarj		dukebarj		fulltext	now: Duke Law Journal (ISSN: 0012-7086; 1957- )		serial								P	
Duke Law Journal	0012-7086	1939-9111	1957	7	1	2014			https://www.jstor.org/journal/dukelawj		dukelawj		fulltext	previously: Duke Bar Journal (ISSN: 1553-8729; 1951-1957) moving wall: 5 years		serial								P	118362674
Educational Evaluation and Policy Analysis	0162-3737	1935-1062	1979	1	1	2016			https://www.jstor.org/journal/educevalpolianal		educevalpolianal		fulltext	moving wall: 3 years		serial								P	113665415
Educational Research Bulletin	1555-4023		1922	1	1	1961	40	9	https://www.jstor.org/journal/educresebull		educresebull		fulltext	now: Theory Into Practice (ISSN: 0040-5841; 1962- )		serial								P	
Educational Researcher	0013-189X	1935-102X	1966	17	2	2016			https://www.jstor.org/journal/educrese		educrese		fulltext	moving wall: 3 years		serial								P	112420184
Educational Studies in Mathematics	0013-1954	1573-0816	1968	1	1-2	2016			https://www.jstor.org/journal/educstudmath		educstudmath		fulltext	moving wall: 3 years		serial								P	098976508
European Journal of Education	0141-8211	1465-3435	1979	14	1	2014			https://www.jstor.org/journal/eurojeduc		eurojeduc		fulltext	moving wall: 5 years; previously: Paedagogica Europaea (ISSN: 0078-7787; 1965-1978)		serial								P	064160491
Harvard Law Review	0017-811X	2161-976X	1887	1	1	2016			https://www.jstor.org/journal/harvardlawreview		harvardlawreview		fulltext	moving wall: 3 years		serial								P	153736488
Higher Education	0018-1560	1573-174X	1972	1	1	2016			https://www.jstor.org/journal/highereducation		highereducation		fulltext	moving wall: 3 years		serial								P	112298281
Human Rights Quarterly	0275-0392	1085-794X	1981	3	1	2014			https://www.jstor.org/journal/humarighquar		humarighquar		fulltext	previously: Universal Human Rights (ISSN: 0163-2647; 1979-1980); moving wall: 5 years		serial								P	04062935X
Industrial and Labor Relations Review	0019-7939	2162-271X	1947	1	1	2016			https://www.jstor.org/journal/indulaborelarevi		indulaborelarevi		fulltext	moving wall: 3 years		serial								P	115661603
International & Comparative Law Quarterly	0020-5893	1471-6895	1952	1	1	2014			https://www.jstor.org/journal/intecomplawquar		intecomplawquar		fulltext	moving wall: 5 years; formed by the union of: The International Law Quarterly (ISSN: 1479-5930; 1947-1951) and Journal of Comparative Legislation and International Law (ISSN: 1479-5949; 1918-1951); absorbed (1959): Transactions of the Grotius Society (ISSN: 1479-1234)		serial								P	11626604X
International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue internationale de l'éducation	0020-8566	1573-0638	1955	1	1	2016			https://www.jstor.org/journal/interevieducinte		interevieducinte		fulltext	moving wall: 3 years		serial								P	111374057
Islamic Law and Society	0928-9380	1568-5195	1994	1	1	2016			https://www.jstor.org/journal/islalawsoci		islalawsoci		fulltext	moving wall: 3 years		serial								P	143236679
Journal for Research in Mathematics Education	0021-8251	1945-2306	1970	1	1	2014			https://www.jstor.org/journal/jresematheduc		jresematheduc		fulltext	moving wall: 5 years		serial								P	167867210
Journal for Research in Mathematics Education. Monograph	0883-9530	2326-4039	1985	1		2008	14		https://www.jstor.org/journal/jresematheducmon		jresematheducmon		fulltext	Vol. 14 (2008) is the last issue published for this journal.		serial								P	187653275
Journal of Accounting Research	0021-8456	1475-679X	1963	1	1	2014			https://www.jstor.org/journal/jaccorese		jaccorese		fulltext	moving wall: 5 years		serial								P	083661484
Journal of African Law	0021-8553	1464-3731	1957	1	1	2014			https://www.jstor.org/journal/jafricanlaw		jafricanlaw		fulltext	moving wall: 5 years		serial								P	058286675
Journal of Comparative Legislation and International Law	1479-5949		1918	18	1	1951	33	3-4	https://www.jstor.org/journal/jcomplegiintelaw		jcomplegiintelaw		fulltext	now: International & Comparative Law Quarterly (ISSN: 0020-5893; 1952- ); merged with: The International Law Quarterly (ISSN: 1479-5930; 1947-1951); previously: Journal of the Society of Comparative Legislation (ISSN: 1479-5973; 1896-1917)		serial								P	
Journal of Consumer Psychology	1057-7408	1532-7663	1992	1	1	2014			https://www.jstor.org/journal/jconspsyc		jconspsyc		fulltext	moving wall: 5 years		serial								P	058403906
Journal of Consumer Research	0093-5301	1537-5277	1974	1	1	2014			https://www.jstor.org/journal/jconsrese		jconsrese		fulltext	moving wall: 5 years		serial								P	076866696
Journal of Criminal Law and Criminology (1931-1951)	0885-2731	2160-0015	1931	22	1	1951	41	6	https://www.jstor.org/journal/jcrimlawcrim1931		jcrimlawcrim1931		fulltext	now: The Journal of Criminal Law and Criminology (1973-) (ISSN: 0091-4169; 1973- ); continued by: The Journal of Criminal Law, Criminology, and Police Science (ISSN: 0022-0205; 1951-1972); previously: Journal of the American Institute of Criminal Law and Criminology (ISSN: 0885-4173; 1910-1931); absorbed (1932): The American Journal of Police Science (ISSN: 1547-6154)		serial								P	151148007
Journal of Educational Measurement	0022-0655	1745-3984	1964	1	1	2014			https://www.jstor.org/journal/jeducmeas		jeducmeas		fulltext	previously: Yearbook of the National Council on Measurement in Education (ISSN: 2330-5657; 1961-1963); Yearbook of the National Council on Measurements Used in Education (ISSN: 2330-5673; 1941-1960); moving wall: 5 years		serial								P	11034815X
Journal of Educational Statistics	0362-9791	2328-0735	1976	1	1	1994	19	2	https://www.jstor.org/journal/jeducstat		jeducstat		fulltext	now: Journal of Educational and Behavioral Statistics (ISSN: 1076-9986; 1994- )		serial								P	169593029
Journal of Educational and Behavioral Statistics	1076-9986	1935-1054	1994	19	3	2016			https://www.jstor.org/journal/jeducbehastat		jeducbehastat		fulltext	previously: Journal of Educational Statistics (ISSN: 0362-9791; 1976-1994); moving wall: 3 years		serial								P	113799489
Journal of Human Resources, The	0022-166X	1548-8004	1966	1	1	2014			https://www.jstor.org/journal/jhumanresources		jhumanresources		fulltext	moving wall: 5 years		serial								P	083137084
Journal of International Business Studies	0047-2506	1478-6990	1970	1	1	2016			https://www.jstor.org/journal/jintebusistud		jintebusistud		fulltext	moving wall: 3 years		serial								P	113868596
Journal of Law and Economics	0022-2186	1537-5285	1958	1		2015	58	4	https://www.jstor.org/journal/jlaweconomics		jlaweconomics		fulltext	Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	07686670X
Journal of Law and Religion	0748-0814	2163-3088	1983	1	2	2014			https://www.jstor.org/journal/jlawreligion		jlawreligion		fulltext	moving wall: 5 years		serial								P	156451131
Journal of Law and Society	0263-323X	1467-6478	1982	9	1	2014			https://www.jstor.org/journal/jlawsociety		jlawsociety		fulltext	previously: British Journal of Law and Society (ISSN: 0306-3704; 1974-1981); moving wall: 5 years		serial								P	058287043
Journal of Occupational Behaviour	0142-2774		1980	1	1	1987	8	4	https://www.jstor.org/journal/joccubeha		joccubeha		fulltext	now: Journal of Organizational Behavior (ISSN: 0894-3796; 1988- )		serial								P	
