publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AJAS	0725-0770		1980	1	1	1982	1	3	http://www.jstor.org/journal/ajas		ajas		fulltext	now: Australasian Journal of American Studies		serial								P	
ASEAN Economic Bulletin	0217-4472	1793-2831	1984	1	1	2012	29	3	http://www.jstor.org/journal/aseaeconbull		aseaeconbull		fulltext	Now: Journal of Southeast Asian Economies		serial								P	11410851X
Acta Oeconomica	0001-6373		1966	1	1/2	2014			http://www.jstor.org/journal/actaoeco		actaoeco		fulltext	Moving Wall: 5 years		serial								P	
Aegyptus	0001-9046		1920	1	1	2014			http://www.jstor.org/journal/aegy		aegy		fulltext	Moving Wall: 5 years		serial								P	
Aequatoria	0304-257X		1937	1	1	1962	25	4	http://www.jstor.org/journal/aequatoria		aequatoria		fulltext	now: Annales Aequatoria		serial								P	
Afers Internacionals	0212-1786		1982			1985		6	http://www.jstor.org/journal/aferinte		aferinte		fulltext	now: Revista CIDOB d'Afers Internacionals		serial								P	
Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente	0001-9747		1950	5	3/4	2009	64	3/4	http://www.jstor.org/journal/africa2		africa2		fulltext	Ceased: 2009		serial								P	
African Conflict & Peacebuilding Review	2156-695X	2156-7263	2011	1	1	2016			http://www.jstor.org/journal/africonfpeacrevi		africonfpeacrevi		fulltext	Moving Wall: 3 Years		serial								P	192117254
African Review of Money Finance and Banking	1124-3163		1987		1	2010			http://www.jstor.org/journal/afrirevmonfinban		afrirevmonfinban		fulltext	Ceased (2010)		serial								P	
Afro-Hispanic Review	0278-8969	2327-9648	1982	1	1	2016			http://www.jstor.org/journal/afrohisprevi		afrohisprevi		fulltext	Moving Wall: 3 years		serial								P	169592669
Aleph: Historical Studies in Science and Judaism	1565-1525	1553-3956	2001		1	2016			https://www.jstor.org/journal/aleph		aleph		fulltext	Moving Wall: 3 years		serial								P	131339125
American Studies	0026-3079	2153-6856	1971	12	1	2016			http://www.jstor.org/journal/amerstudies		amerstudies		fulltext	Moving Wall: 3 years		serial								P	165470208
American Studies International	0883-105X		1975	14	1	2004	42	2/3	http://www.jstor.org/journal/amerstudinter		amerstudinter		fulltext	Absorbed		serial								P	
Amerikastudien / American Studies	0340-2827		1997	42	1	2016			http://www.jstor.org/journal/amerikastudien		amerikastudien		fulltext	Previously: Jahrbuch für Amerikastudien (1956-1973) Moving Wall: 3 years		serial								P	
Angol Filológiai Tanulmányok / Hungarian Studies in English	0570-0973		1936	1		1990	21		http://www.jstor.org/journal/angofilotanuhung		angofilotanuhung		fulltext	Absorbed		serial								P	
Annales Aequatoria	0254-4296		1980	1		2009	30		http://www.jstor.org/journal/annaaequ		annaaequ		fulltext	Ceased: 2009		serial								P	
Annali di Economia	0391-4674		1924	1	1	1938	13	2	http://www.jstor.org/journal/anneconomia		anneconomia		fulltext	Merged with: Giornale degli Economisti e Rivista di Statistica to form Giornale degli Economisti e Annali di Economia		serial								P	
Anthropologischer Anzeiger	0003-5548		1924	1	1	2014			http://www.jstor.org/journal/anthanze		anthanze		fulltext	Incorporates: Zeitschrift für Morphologie und Anthropologie (1899-2002) Moving Wall: 5 years		serial								P	
Anthropology Design Series	2169-0588		1924		1	1931		5	http://www.jstor.org/journal/anthdesiseri		anthdesiseri		fulltext	Ceased: 1931		serial								P	
Anthropology Leaflet	2167-6208		1924		15	1945		36	http://www.jstor.org/journal/anthroleaflet		anthroleaflet		fulltext	Absorbed		serial								P	
Anthropology Now	1942-8200	1949-2901	2009	1	1	2014	6	3	http://www.jstor.org/journal/anthropologynow		anthropologynow		fulltext	Coverage presently ends: 2011. JSTOR will resume a moving wall of 7 years in 2019.		serial								P	136635679
Anthropology, Memoirs	2169-0618		1923	1	1	1940	5	3	http://www.jstor.org/journal/anthmemo		anthmemo		fulltext	Ceased: 1940		serial								P	
Análise Social	0003-2573	2182-2999	1963	1	1	2019			http://www.jstor.org/journal/analisesocial		analisesocial		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	143787314
Appalachian Journal	0090-3779		1972	1	1	2016			http://www.jstor.org/journal/appalachianj		appalachianj		fulltext	Moving Wall: 3 years		serial								P	
Archaeology & Physical Anthropology in Oceania	0003-8121		1966	1	1	1980	15		http://www.jstor.org/journal/archphyanthoce		archphyanthoce		fulltext	Now: Archaeology in Oceania		serial								P	
Archaeology in Oceania	0728-4896	1834-4453	1981	16	1	2014			http://www.jstor.org/journal/archoceania		archoceania		fulltext	Previously: Archaeology & Physical Anthropology in Oceania (1966-1980) Moving Wall: 5 years		serial								P	18267780X
Archaeology of Eastern North America	0360-1021		1973	1	1	2016			http://www.jstor.org/journal/archeastnortham		archeastnortham		fulltext	Moving Wall: 3 years		serial								P	
Archiv für Keilschriftforschung	2194-7449		1923	1		1924	2		http://www.jstor.org/journal/archkeil		archkeil		fulltext	Absorbed		serial								P	
Archiv für Orientforschung	0066-6440		1926	3		2014			http://www.jstor.org/journal/archorie		archorie		fulltext	No issues were published from 2007-2010. Bd. 52 (2011) will be released 2017. Moving Wall: 5 years		serial								P	
Arctic	0004-0843	1923-1245	1948	1	1	2018			http://www.jstor.org/journal/arctic		arctic		fulltext	1 year		serial								P	153475323
Atlantis (1979)	0210-6124		1979	1	1	2017			http://www.jstor.org/journal/atlantis		atlantis		fulltext	Moving Wall: 2 years		serial								P	
Aula	0866-6865		1990	12	1	1992	14	4	http://www.jstor.org/journal/aula		aula		fulltext	now: Society and Economy. conintues: Társadalom és gazdaság Közép- és Kelet-Európában (1995-2001) previously: Egyetemi Szemle (1979-1986)		serial								P	
Australasian Historical Archaeology	1322-9214		1992	10		2016			http://www.jstor.org/journal/austhistarch		austhistarch		fulltext	Previously: Australian Journal of Historical Archaeology (1983-1991) Moving Wall: 3 years		serial								P	
Australasian Journal of American Studies	1838-9554		1983	2	1	2016			http://www.jstor.org/journal/austjamerstud		austjamerstud		fulltext	Previously: AJAS (1980-1982) Moving Wall: 3 years		serial								P	
Australian Archaeology	0312-2417	2470-0363	1974		1	2013		77	http://www.jstor.org/journal/austarch		austarch		fulltext	Coverage presently ends: 2013. JSTOR will resume a moving wall of 7 years in 2021		serial								P	225257750
Australian Journal of Historical Archaeology	0810-1868		1983	1		1991	9		http://www.jstor.org/journal/austjhistarchae		austjhistarchae		fulltext	now: Australasian Historical Archaeology		serial								P	
B.B.A.A. Boletín Bibliográfico de Antropología Americana	0186-0658		1949	12	1	1972	35	2	http://www.jstor.org/journal/bbaabolbibantame		bbaabolbibantame		fulltext	Now: Boletín de Antropología Americana. Continues: Boletín Bibliográfico de Antropología Americana (1973-1979) Previously: Boletín Bibliográfico de Antropología Americana (1937-1948)		serial								P	
Beiträge zur biblischen Landes- und Altertumskunde	2192-3132		1949	68	1	1951	68	3	http://www.jstor.org/journal/beitbibllandalte		beitbibllandalte		fulltext	Now: Zeitschrift des Deutschen Palästina-Vereins (1953-) Previously: Zeitschrift des Deutschen Palästina-Vereins (1878-1945)		serial								P	
Bijdragen tot de Taal-, Land- en Volkenkunde / Journal of the Humanities and Social Sciences of Southeast Asia	0006-2294	2213-4379	1949	105	1	2019			http://www.jstor.org/journal/bijdtaallandvolk		bijdtaallandvolk		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR. Previously: Bijdragen tot de Taal-, Land- en Volkenkunde van Nederlandsch-Indië (1852-1948)		serial								P	170776549
Bijdragen tot de Taal-, Land- en Volkenkunde van Nederlandsch-Indië	1383-5408		1852	1	1	1948	104	4	http://www.jstor.org/journal/bijdtaallandvol2		bijdtaallandvol2		fulltext	Now: Bijdragen tot de Taal-, Land- en Volkenkunde		serial								P	
Boletín Bibliográfico de Antropología Americana (1937-1948)	0186-064X		1937	1	1/2	1948	11		http://www.jstor.org/journal/bolebiblantramer		bolebiblantramer		fulltext	Now: Boletín de Antropología Americana. Continues: Boletín Bibliográfico de Antropología Americana (1973-1979), B.B.A.A. Boletín Bibliográfico de Antropología Americana (1949-1972)		serial								P	
Boletín Bibliográfico de Antropología Americana (1973-1979)	2221-4348		1973	36	45	1979	41	50	http://www.jstor.org/journal/bolbibantame		bolbibantame		fulltext	Now: Boletín de Antropología Americana. Previously: B.B.A.A. Boletín Bibliográfico de Antropología Americana (1949-1972), Boletín Bibliográfico de Antropología Americana (1937-1948)		serial								P	
Boletín Informativo Sobre Estudios Latinoamericanos en Europa	0168-9657		1965		1	1969		9	http://www.jstor.org/journal/boleinfosobrestu		boleinfosobrestu		fulltext	Absorbed		serial								P	
