publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
291	1054-7193		1915		1	1916		12	http://www.jstor.org/journal/291		291		fulltext	Ceased: 1916		serial								P	
AAUP Bulletin	0001-026X		1956	42	1	1978	64	4	http://www.jstor.org/journal/aaupbulletin		aaupbulletin		fulltext	Now: Academe. Previously: Bulletin of the American Association of University Professors (1915-1955)		serial								P	
AV Communication Review	0001-2890		1964	12	1	1977	25	4	http://www.jstor.org/journal/avcommrev		avcommrev		fulltext	Absorbed		serial								P	
Academe	0190-2946		1979	65	1	2016			http://www.jstor.org/journal/academe		academe		fulltext	Previously: AAUP Bulletin (1956-1978), Bulletin of the American Association of University Professors (1915-1955) Moving Wall: 3 Years		serial								P	
Acadiensis	0044-5851	1712-7432	1971	1	1	2018			http://www.jstor.org/journal/acadiensis		acadiensis		fulltext	Moving Wall: 1 year		serial								P	171501454
African Music	0065-4019		1954	1	1	2014			http://www.jstor.org/journal/afrimusi		afrimusi		fulltext	Previously: Newsletter. African Music Society (1948-1951), The African Music Society Newsletter (1952-1953) Moving Wall: 5 years		serial								P	
American Academy Notes	2152-8551		1881		1	1881		1	http://www.jstor.org/journal/ameracadnote		ameracadnote		fulltext	Absorbed		serial								P	
American Art Illustrated	2151-772X		1886	1	1	1886	1	2	http://www.jstor.org/journal/amerartillu		amerartillu		fulltext	Ceased: 1887		serial								P	
American Art News	1944-0227		1904	3	52	1923	21	18	http://www.jstor.org/journal/amerartnews		amerartnews		fulltext	Absorbed		serial								P	
American Literary Realism	1540-3084	1940-5103	1999	32	1	2016			http://www.jstor.org/journal/amerlitereal		amerlitereal		fulltext	Moving Wall: 3 years		serial								P	14059566X
American Literary Realism, 1870-1910	0002-9823	2326-9235	1967	1	1	1999	31	3	http://www.jstor.org/journal/amerlitereal1870		amerlitereal1870		fulltext	Absorbed		serial								P	168250888
American Periodicals: A Journal of History, Criticism, and Bibliography	1054-7479	1548-4238	1991	1	1	2014			http://www.jstor.org/journal/amerperi		amerperi		fulltext	Moving Wall: 5 years		serial								P	153474173
Anales de la Literatura Española Contemporánea	0272-1635		1981	6		2016			http://www.jstor.org/journal/analliteespacont		analliteespacont		fulltext	Moving Wall: 3 years		serial								P	
Anales de la narrativa española contemporánea	0270-6334		1979	4		1980	5		http://www.jstor.org/journal/analnarrespncont		analnarrespncont		fulltext	Absorbed		serial								P	
Anales de la novela de posguerra	0145-2363		1976	1		1978	3		http://www.jstor.org/journal/analnoveposg		analnoveposg		fulltext	Absorbed		serial								P	
Annuaire historique pour l'année ..	0399-1342	2332-418X	1837	1		1863	27		http://www.jstor.org/journal/annuhistpouranne		annuhistpouranne		fulltext	Now: Annuaire-Bulletin de la Société de l'histoire de France		serial								P	175154856
Annuaire-Bulletin de la Société de l'histoire de France	0399-1350		1863	1	1	2014			http://www.jstor.org/journal/annbulsochistfra		annbulsochistfra		fulltext	Previously: Annuaire historique pour l'année ..(1837-1863) Incorporated: Bulletin de la Société de l'histoire de France (1834-1861) Moving Wall: 5 years		serial								P	
Annual Report of the Trustees of the Metropolitan Museum of Art	0740-7661		1871		1	2016			http://www.jstor.org/journal/annreptrusmetmar		annreptrusmetmar		fulltext	Moving Wall: 3 years		serial								P	
Art & Life	2150-5969		1919	10	6	1920	11	9	http://www.jstor.org/journal/artandlife		artandlife		fulltext	Ceased: 1920		serial								P	
Art and Progress	2151-2531		1909	1	1	1915	7	2	http://www.jstor.org/journal/artprog		artprog		fulltext	Absorbed		serial								P	
Arthurian Interpretations	0890-4944		1986	1	1	1990	4	2	http://www.jstor.org/journal/arthinte		arthinte		fulltext	Absorbed		serial								P	
Arthuriana	1078-6279	1934-1539	1994	4	1	2016			http://www.jstor.org/journal/arthuriana		arthuriana		fulltext	Previously: Quondam et Futurus (1980-1993) Moving Wall: 3 years		serial								P	119538350
Arts & Decoration	2472-6060	2472-6052	1910	1	1	1918	8	6	http://www.jstor.org/journal/artsdeco1910		artsdeco1910		fulltext	Ceased:1918		serial								P	197515096
Audio Visual Communication Review	0885-727X		1953	1	1	1963	11	6	http://www.jstor.org/journal/audivisucommrev		audivisucommrev		fulltext	Absorbed		serial								P	
Aula-Historia Social	1139-1405		1998		1	2008		22	http://www.jstor.org/journal/aulahistsoci		aulahistsoci		fulltext	Ceased: 2008		serial								P	
BOMB	0743-3204		1981	1	1	2017			http://www.jstor.org/journal/bomb		bomb		fulltext	Moving Wall: 2 years		serial								P	
Behavior and Philosophy	1053-8348		1990	18	1	2016			http://www.jstor.org/journal/behaphil		behaphil		fulltext	Previously: Behaviorism (1972-1989) Moving Wall: 3 years		serial								P	
Behaviorism	0090-4155		1972	1	1	1989	17	2	http://www.jstor.org/journal/behaviorism		behaviorism		fulltext	Absorbed		serial								P	
Bibliothèque d'Humanisme et Renaissance	0006-1999		1941	1		2016			http://www.jstor.org/journal/biblhumarena		biblhumarena		fulltext	Previously: Humanisme et Renaissance (1934-1940), Revue du Seizième siècle (1913-1932) Moving Wall: 3 years		serial								P	
Black Camera	1536-3155	1947-4237	1985	1	1	2016			http://www.jstor.org/journal/blackcamera		blackcamera		fulltext	Moving Wall: 3 years		serial								P	147871018
Book History	1098-7371	1529-1499	1998	1		2014			http://www.jstor.org/journal/bookhistory		bookhistory		fulltext	Moving Wall: 5 years		serial								P	048905887
Bradley, His Book	1948-0717		1896	1	1	1897	2	3	http://www.jstor.org/journal/bradleyhisbook		bradleyhisbook		fulltext	Ceased: 1897		serial								P	
Bridges: A Jewish Feminist Journal	1046-8358	1558-9552	1990	1	1	2011	16	1	https://www.jstor.org/journal/bridges		bridges		fulltext	Ceased: 2011		serial								P	114709815
Brush and Pencil	1932-7080		1897	1	2	1907	19	4	http://www.jstor.org/journal/brushandpencil		brushandpencil		fulltext	Ceased: 1907		serial								P	
Bulletin (Shaw Society of America)	2156-8928		1951		1	1958	2	6	http://www.jstor.org/journal/bullshawsociamer		bullshawsociamer		fulltext	Absorbed		serial								P	
Bulletin (St. Louis Art Museum)	0009-7691		1972	7	5	1998	22	3	http://www.jstor.org/journal/bullstlouartmus		bullstlouartmus		fulltext	Ceased: 1998		serial								P	
Bulletin de la Société d'Études Philosophiques du Sud-Est	0996-0996		1926	1	1	1927	1	3	http://www.jstor.org/journal/bulsocetudphilse		bulsocetudphilse		fulltext	Now: Les Études philosophiques		serial								P	
Bulletin de la Société de l'histoire de France	0399-1334	2332-4171	1834	1	1	1861	3		http://www.jstor.org/journal/bullsocdehisfra		bullsocdehisfra		fulltext	Now: Annuaire-Bulletin de la Société de l'histoire de France		serial								P	17515483X
Bulletin of the American Art-Union	2152-6125		1849	2	1	1853		11	http://www.jstor.org/journal/bullamerartunio		bullamerartunio		fulltext	Ceased: 1853		serial								P	
Bulletin of the American Association of University Professors (1915-1955)	0883-1610		1915	1	1	1955	41	4	http://www.jstor.org/journal/bulamassunivprof		bulamassunivprof		fulltext	Now: Academe. Continues: AAUP Bulletin (1956-1978)		serial								P	
