publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Abstract of Sanitary Reports	2327-6274	2327-6266	1890	5	3	1895	10	52	https://www.jstor.org/journal/abstsanirepo		abstsanirepo		fulltext	Now: Public Health Reports (1974-)		serial								P	169437272
Acta Sociologica	0001-6993	1502-3869	1955	1	1	2016			http://www.jstor.org/journal/actasoci		actasoci		fulltext	Moving Wall: 3 years		serial								P	058349782
Advances in Applied Probability	0001-8678	1475-6064	1969	1	1	2016			http://www.jstor.org/journal/advaapplprob		advaapplprob		fulltext	Moving Wall: 3 years		serial								P	06416179X
Advances in Sex Research	1934-5984		1963	1		1963	1		http://www.jstor.org/journal/advasexrese		advasexrese		fulltext	now: Journal of Sex Research		serial								P	
Africa: Journal of the International African Institute	0001-9720	1750-0184	1928	1	1	2014			http://www.jstor.org/journal/afrijinteafriins		afrijinteafriins		fulltext	Moving Wall: 5 years		serial								P	107049015
African Arts	0001-9933	1937-2108	1967	1	1	2014			http://www.jstor.org/journal/africanarts		africanarts		fulltext	Moving Wall: 5 years		serial								P	114562857
African Economic History	0145-2258	2163-9108	1976		1	2014			http://www.jstor.org/journal/afrieconhist		afrieconhist		fulltext	Previously: African Economic History Review (1974-1975) . Moving Wall: 5 years		serial								P	156993597
African Economic History Review	0360-6333		1974	1	1	1975	2	2	http://www.jstor.org/journal/afrieconhistrevi		afrieconhistrevi		fulltext	Absorbed		serial								P	
African Issues	1548-4505	2325-873X	2000	28	1/2	2003	31/32		http://www.jstor.org/journal/africanissues		africanissues		fulltext	Note: There is currently no additional content for African Issues due to a temporary suspension of publishing by the publisher.		serial								P	16717620X
African Journal of Reproductive Health / La Revue Africaine de la Santé Reproductive	1118-4841		1997	1	1	2017			http://www.jstor.org/journal/afrijreprhealrev		afrijreprhealrev		fulltext	Moving Wall: 2 years		serial								P	
Agenda	1013-0950	2158-978X	1987		1	2012			http://www.jstor.org/journal/agenda		agenda		fulltext	Moving Wall: 7 years		serial								P	14914346X
Agricultural History	0002-1482		1927	1	1	2016			http://www.jstor.org/journal/agrihist		agrihist		fulltext	Previously: Agricultural History Society Papers (1921-1925) Moving Wall: 3 years		serial								P	
Agricultural History Society Papers	1933-6365	2573-1386	1921	1		1925	3		http://www.jstor.org/journal/agrihistsocipape		agrihistsocipape		fulltext	Now: Agricultural History		serial								P	201462567
American Journal of Agricultural Economics	0002-9092	1467-8276	1968	50	1	2014			http://www.jstor.org/journal/amerjagriecon		amerjagriecon		fulltext	Moving wall: 5 years		serial								P	078917638
American Journal of Economics and Sociology	0002-9246	1536-7150	1941	1	1	2014			http://www.jstor.org/journal/amerjeconsoci		amerjeconsoci		fulltext	Moving wall: 5 years		serial								P	153829583
American Marketing Journal	0193-1806		1934	1	1	1936	3	2	http://www.jstor.org/journal/amermarkj		amermarkj		fulltext	Merged with: National Marketing Review to form Journal of Marketing		serial								P	
Amtliche Berichte aus den Königlichen Kunstsammlungen	0934-9138		1880	1	1	1918	40	2	http://www.jstor.org/journal/amtlberikoenkuns		amtlberikoenkuns		fulltext	Absorbed		serial								P	
Amtliche Berichte aus den Preuszischen Kunstsammlungen	0934-5795		1918	40	3	1919	40	12	http://www.jstor.org/journal/amtlberipreukuns		amtlberipreukuns		fulltext	Absorbed		serial								P	
Analysis	0003-2638	1467-8284	1933	1	1	2014			http://www.jstor.org/journal/analysis		analysis		fulltext	Moving Wall: 5 years		serial								P	058287167
Anatolian Studies	0066-1546	2048-0849	1951	1		2016			http://www.jstor.org/journal/anatolianstudies		anatolianstudies		fulltext	Moving Wall: 3 years		serial								P	163678820
Annales d'Économie et de Statistique	0769-489X	2272-6497	1986		1	2008		91/92	http://www.jstor.org/journal/annaeconstat		annaeconstat		fulltext	Now: Annals of Economics and Statistics / Annales d'Économie et de Statistique		serial								P	177943068
Annales de l'inséé	0019-0209		1969		1	1985		59/60	http://www.jstor.org/journal/annalesinsee		annalesinsee		fulltext	now: Annals of Economics and Statistics		serial								P	
Annals of Economics and Statistics / Annales d'Économie et de Statistique	2115-4430	1968-3863	2009		93/94	2016			http://www.jstor.org/journal/annaeconstat2009		annaeconstat2009		fulltext	Previously: Annales d'Économie et de Statistique (1986-2008) Moving Wall: 3 years		serial								P	134010736
Anthropological Quarterly	0003-5491	1534-1518	1953	26	1	2016			http://www.jstor.org/journal/anthquar		anthquar		fulltext	Previously: Primitive Man (1928-1952) Moving Wall: 3 years		serial								P	058406743
Applied Economic Perspectives and Policy	2040-5790	2040-5804	2010	32	1	2014			http://www.jstor.org/journal/appleconperspoli		appleconperspoli		fulltext	Previously: Review of Agricultural Economics (1991-2009), North Central Journal of Agricultural Economics(1979-1990), Illinois Agricultural Economics (1961-1978) Moving Wall: 5 years		serial								P	146865928
Arabica	0570-5398	1570-0585	1954	1	1	2014			http://www.jstor.org/journal/arabica		arabica		fulltext	Moving Wall: 5 years		serial								P	12768204X
Archaeological Report (Egypt Exploration Fund)	1754-3983	2195-9285	1892			1911			http://www.jstor.org/journal/archreport		archreport		fulltext	Now: Journal of Egyptian Archaeology		serial								P	167980181
Aristotelian Society Supplementary Volume	0309-7013	1467-8349	1918	1		2014			http://www.jstor.org/journal/procarissocisupp		procarissocisupp		fulltext	Moving Wall: 5 years		serial								P	058287213
Art Institute of Chicago Museum Studies	0069-3235		1966	1		2011	36	2	http://www.jstor.org/journal/artinstchicmuses		artinstchicmuses		fulltext	Ceased: 2011		serial								P	
