publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
ALA Bulletin	0364-4006		1939	33	1	1969	63	11	http://www.jstor.org/journal/alabulletin		alabulletin		fulltext	now: American Libraries. previously: Bulletin of the American Library Association (1907-1938)		serial								P	
AQ: Australian Quarterly	1443-3605		1997	69	3				http://www.jstor.org/journal/aqjcontanaly		aqjcontanaly		fulltext	No issues were published in 2011		serial								P	
Academy of Management Perspectives	1558-9080	1943-4529	2006	20	1	2014			http://www.jstor.org/journal/acadmanapers		acadmanapers		fulltext	Previously: he Academy of Management Executive (1993-2005), The Executive (1990-1993), The Academy of Management Executive (1987-1989) Moving Wall: 5 years		serial								P	12840308X
Advances in Archaeological Method and Theory	0162-8003		1978	1		1987	11		http://www.jstor.org/journal/advarchmeththeo		advarchmeththeo		fulltext	Absorbed		serial								P	
Advocate of Peace (1847-1884)	2154-8390		1847	7	1/2	1884	15	3	http://www.jstor.org/journal/advopeace1847		advopeace1847		fulltext	Absorbed		serial								P	
Advocate of Peace through Justice	2155-7802		1920	82	3	1932	94	1	http://www.jstor.org/journal/advopeacjust		advopeacjust		fulltext	Absorbed		serial								P	
Africa Spectrum	0002-0397	1868-6869	1966	1	1	2016			http://www.jstor.org/journal/africaspec		africaspec		fulltext	Moving Wall: 3 years		serial								P	13637333X
Africa Today	0001-9887	1527-1978	1954	1	1	2016			http://www.jstor.org/journal/africatoday		africatoday		fulltext	Moving Wall: 3 years		serial								P	045015325
African Archaeological Review	0263-0338	1572-9842	1983	1		2016			http://www.jstor.org/journal/afriarchrevi		afriarchrevi		fulltext	Moving Wall: 3 years		serial								P	11126958X
African Journal of Political Economy / Revue Africaine d'Economie Politique	1017-4974	2311-8997	1986	1	1	1990	2	5	http://www.jstor.org/journal/afrijpoliecon		afrijpoliecon		fulltext	Now: African Journal of Political Science / Revue Africaine de Science Politique		serial								P	188561285
African Journal of Political Science / Revue Africaine de Science Politique	1027-0353	1726-3727	1996	1	1	2004	9	1	http://www.jstor.org/journal/afrijpoliscie		afrijpoliscie		fulltext	Previously:African Journal of Political Economy / Revue Africaine d'Economie Politique Ceased:2004		serial								P	110936922
Alternatives: Global, Local, Political	0304-3754	2163-3150	1990	15	1	2016			http://www.jstor.org/journal/alternatives		alternatives		fulltext	The content for Vol. 1, No. 1 (1975) - Vol. 14, No. 4 (1989) is not currently available to JSTOR Moving Wall: 3 years		serial								P	223675032
American Advocate of Peace (1834-1836)	2159-5062		1834	1	1	1836	2	11	http://www.jstor.org/journal/advopeace1834		advopeace1834		fulltext	Absorbed		serial								P	
American Advocate of Peace (1892-1893)	2159-5089		1892	54	3	1893	55	12	http://www.jstor.org/journal/amadvopeace		amadvopeace		fulltext	Absorbed		serial								P	
American Economic Journal: Applied Economics	1945-7782	1945-7790	2009	1	1	2017			http://www.jstor.org/journal/aejapplecon		aejapplecon		fulltext	2 years		serial								P	133155021
American Economic Journal: Economic Policy	1945-7731	1945-774X	2009	1	1	2017			http://www.jstor.org/journal/aejeconpoli		aejeconpoli		fulltext	2 years		serial								P	136634982
American Economic Journal: Macroeconomics	1945-7707	1945-7715	2009	1	1	2017			http://www.jstor.org/journal/aejmacrecon		aejmacrecon		fulltext	2 years		serial								P	136189199
American Economic Journal: Microeconomics	1945-7669	1945-7685	2009	1	1	2017			http://www.jstor.org/journal/aejmicrecon		aejmicrecon		fulltext	2 years		serial								P	137917783
American Indian Law Review	0094-002X		1973	1	1	2018			http://www.jstor.org/journal/amerindlawrev		amerindlawrev		fulltext	Moving Wall: 1 year		serial								P	
American Libraries	0002-9769		1970	1	1	2016			http://www.jstor.org/journal/amerlibr		amerlibr		fulltext	Previously: ALA Bulletin (1939-1969) , Bulletin of the American Library Association (1907-1938) Moving Wall: 3 years		serial								P	
