publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
14th Century English Mystics Newsletter	0737-5840		1974	1	1	1983	9	4	https://www.jstor.org/journal/14centengmystnew		14centengmystnew		fulltext	Now: Journal of Medieval Religious Cultures Continues: Mystics Quarterly (1984-2009)		serial								P	
Acquisitions (Fogg Art Museum)	0440-3800		1959		1959/1962	1969		1969/1970	http://www.jstor.org/journal/acqufogg		acqufogg		fulltext	Ceased: 1970		serial								P	
American Philosophical Quarterly	0003-0481		1964	1	1	2016			http://www.jstor.org/journal/amerphilquar		amerphilquar		fulltext	Moving Wall: 3 years		serial								P	
Annalen der Philosophie	1866-6167		1919	1		1923	3	4	http://www.jstor.org/journal/annaphil		annaphil		fulltext	Absorbed		serial								P	
Annalen der Philosophie und philosophischen Kritik	1866-6175		1924	4	1/2	1929	8		http://www.jstor.org/journal/annaphilphilkrit		annaphilphilkrit		fulltext	Absorbed		serial								P	
Annales d'histoire sociale (1939-1941)	1243-2563		1939	1	1	1941	3	3/4	http://www.jstor.org/journal/annahistsoci1939		annahistsoci1939		fulltext	Absorbed		serial								P	
Annales d'histoire sociale (1945)	1243-258X		1945			1945			http://www.jstor.org/journal/annahistsoc1945		annahistsoc1945		fulltext	Absorbed		serial								P	
Annales d'histoire économique et sociale	0003-441X		1929	1	1	1938	10	54	http://www.jstor.org/journal/annahisteconsoc		annahisteconsoc		fulltext	Absorbed		serial								P	
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146	1946	1	1	2014			http://www.jstor.org/journal/annahistscisoc		annahistscisoc		fulltext	Moving Wall: 5 years		serial								P	116298782
Annual Report (Fogg Art Museum)	0362-7861		1896		1896/1897	1978		1978/1980	http://www.jstor.org/journal/annurepofogg		annurepofogg		fulltext	Absorbed		serial								P	
Annual Report (Harvard University Art Museums)	1534-5920		1997		1997/1998	2006		2006/2007	http://www.jstor.org/journal/annurepoharvuniv		annurepoharvuniv		fulltext	Absorbed		serial								P	
Annual Report of the Dante Society, with Accompanying Papers	1948-1608		1955		73	1965		83	http://www.jstor.org/journal/annrepdantsocwap		annrepdantsocwap		fulltext	Absorbed		serial								P	
Annual Reports of the Dante Society	1948-1594		1882		1	1954		68-72	http://www.jstor.org/journal/annrepdantesoc		annrepdantesoc		fulltext	Absorbed		serial								P	
Annual of the British School at Athens	0068-2454	2045-2403	1894	1		2016			http://www.jstor.org/journal/annubritschoathe		annubritschoathe		fulltext	Moving Wall: 3 years		serial								P	163678669
Archives of Asian Art	0066-6637	1944-6497	1966	20		2013	63	2	http://www.jstor.org/journal/archasiaart		archasiaart		fulltext	Coverage presently ends: 2013. JSTOR will resume a moving wall of 5 years in 2019.Previously: Archives of the Chinese Art Society of America (1945-1965)		serial								P	131773038
Archives of the Chinese Art Society of America	1945-2926		1945	1		1965	19		http://www.jstor.org/journal/archchiartsocam		archchiartsocam		fulltext	Now: Archives of Asian Art		serial								P	
Arion: A Journal of Humanities and the Classics	0095-5809		1962	1	1	2016			http://www.jstor.org/journal/arion		arion		fulltext	Moving Wall:3 years		serial								P	
Arizona and the West	0004-1408		1959	1	1	1986	28	4	http://www.jstor.org/journal/arizwest		arizwest		fulltext	Now: Journal of the Southwest		serial								P	
Ars Islamica	1939-6406		1934	1	1	1951	15/16		http://www.jstor.org/journal/arsislamica		arsislamica		fulltext	Absorbed		serial								P	
Ars Orientalis	0571-1371		1954	1		2016			http://www.jstor.org/journal/arsorie		arsorie		fulltext	Previously: Ars Islamica (1934-1951) Moving Wall: 3 years		serial								P	
