publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
A.A.V. Newsletter	2154-6312		1980	1	1	1986	7	3	http://www.jstor.org/journal/aavnewsletter		aavnewsletter		fulltext	Now: Journal of Avian Medicine and Surgery, Continues: AAV Today (1987-1988),Journal of the Association of Avian Veterinarians (1989-1994)		serial								P	
AAV Today	0892-9904		1987	1	1	1988	2	4	http://www.jstor.org/journal/aavtoday		aavtoday		fulltext	Now: Journal of Avian Medicine and Surgery Previously: A.A.V. Newsletter (1980-1986) Continues: Journal of the Association of Avian Veterinarians (1989-1994)		serial								P	
AIBS Bulletin	0096-7645	2326-1331	1951	1	1	1963	13	6	http://www.jstor.org/journal/aibsbulletin		aibsbulletin		fulltext	now: BioScience		serial								P	167504908
AMBIO: A Journal of the Human Environment	0044-7447	1654-7209	1972	1	1	2016			http://www.jstor.org/journal/ambio		ambio		fulltext	Moving Wall: 3 years		serial								P	120428458
Ambio Special Report	0301-0325		1972		1	1979		6	http://www.jstor.org/journal/ambispecrepo		ambispecrepo		fulltext	Merged into: Ambio (1979)		serial								P	
American Fern Journal	0002-8444	1938-422X	1910	1	1	2016			http://www.jstor.org/journal/americanfernj		americanfernj		fulltext	Moving Wall: 3 years		serial								P	115213872
American Journal of Botany	0002-9122	1537-2197	1914	1	1	2014			http://www.jstor.org/journal/americanjbotany		americanjbotany		fulltext	Moving Wall: 5 years		serial								P	130380598
American Zoologist	0003-1569	2162-4445	1961	1	1	2001	41	6	http://www.jstor.org/journal/amerzool		amerzool		fulltext	Now: Integrative and Comparative Biology		serial								P	168245477
Annals of the Missouri Botanical Garden	0026-6493	2162-4372	1914	1	1	2016			http://www.jstor.org/journal/annamissbotagard		annamissbotagard		fulltext	Moving Wall: 3 years		serial								P	154285757
Annual Review of Ecology and Systematics	0066-4162	2330-1902	1970	1		2002	33		https://www.jstor.org/journal/annureviecolsyst		annureviecolsyst		fulltext	Now: Annual Review of Ecology, Evolution and Systematics		serial								P	118934082
Annual Review of Ecology, Evolution and Systematics	1543-592X	1545-2069	2003	34		2014			https://www.jstor.org/journal/annureviecolevol		annureviecolevol		fulltext	Previously: Annual Review of Ecology and Systematics (1970-2002) Moving Wall: 5 years		serial								P	117377546
Applied Vegetation Science	1402-2001	1654-109X	1998	1	1	2014			http://www.jstor.org/journal/applvegescie		applvegescie		fulltext	Moving Wall: 5 years		serial								P	13039890X
Avian Diseases	0005-2086	1938-4351	1957	1	1	2016			http://www.jstor.org/journal/aviandiseases		aviandiseases		fulltext	Moving Wall: 3 years		serial								P	115213902
BIOS	0005-3155	1943-6289	1930	1	1	2018			http://www.jstor.org/journal/bios		bios		fulltext	Moving Wall: 1 year		serial								P	071279911
Bears: Their Biology and Management	1936-0614		1972	2		1997	9		http://www.jstor.org/journal/beartheibiolmana		beartheibiolmana		fulltext	Now: Ursus. Previously: Proceedings of the First Bear Workshop (1968)		serial								P	
Behavioral Ecology and Sociobiology	0340-5443	1432-0762	1976	1	1	2016			http://www.jstor.org/journal/behaecolsoci		behaecolsoci		fulltext	Moving Wall: 3 years		serial								P	044892012
Behaviour	0005-7959	1568-539X	1947	1	1	2014			http://www.jstor.org/journal/behaviour		behaviour		fulltext	Moving Wall: 5 years		serial								P	147697107
Behaviour. Supplement	0169-7544		1950		1	1977		20	http://www.jstor.org/journal/behasupp		behasupp		fulltext	Ceased: 1977		serial								P	
Belgian Journal of Botany	0778-4031		1990	123	1/2	2009	142	2	http://www.jstor.org/journal/belgjbota		belgjbota		fulltext	merged with: Systematics and Geography of Plants to form Plant Ecology and Evolution		serial								P	
BioScience	0006-3568	1525-3244	1964	14	1	2016			http://www.jstor.org/journal/bioscience		bioscience		fulltext	Previously: AIBS Bulletin (1951-1963) Moving Wall: 3 years		serial								P	05835204X
Biodiversity Letters	0967-9952		1993	1	1	1996	3	6	http://www.jstor.org/journal/biodlett		biodlett		fulltext	now: Diversity and Distributions		serial								P	
Biogeochemistry	0168-2563	1573-515X	1984	1	1	2016			http://www.jstor.org/journal/biogeochemistry		biogeochemistry		fulltext	Moving Wall: 3 years		serial								P	111480655
Biological Bulletin	0006-3185	1939-8697	1899	1	1	2015	229	3	http://www.jstor.org/journal/biolbull		biolbull		fulltext	Previously: Zoological Bulletin (1897-1899).Coverage presently ends: 2015. JSTOR will resume a moving wall of 5 years in 2021		serial								P	118360752
Biotropica	0006-3606	1744-7429	1969	1	1	2014			http://www.jstor.org/journal/biotropica		biotropica		fulltext	Previously: Bulletin (Association for Tropical Biology) (1962 -1967) Moving Wall: 5 years		serial								P	130589322
Bird-Banding	0006-3630	2327-1280	1930	1	1	1979	50	4	http://www.jstor.org/journal/birdband		birdband		fulltext	Now: Journal of Field Ornithology Previously: Bulletin of the Northeastern Bird-Banding Association (1925-1929)		serial								P	169434958
Botanical Bulletin	1529-4560		1875	1	1	1876	1	12	http://www.jstor.org/journal/botabull		botabull		fulltext	now: International Journal of Plant Sciences. continues: Botanical Gazette (1876-1991)		serial								P	
Botanical Gazette	0006-8071		1876	2	1	1991	152	4	http://www.jstor.org/journal/botanicalgazette		botanicalgazette		fulltext	now: International Journal of Plant Sciences. previously: Botanical Bulletin (1875-1876)		serial								P	
Brittonia	0007-196X	1938-436X	1931	1	1	2014			http://www.jstor.org/journal/brittonia		brittonia		fulltext	Moving Wall: 5 years		serial								P	115213910
Bulletin (Association for Tropical Biology)	0571-5725		1964		2	1967		8	http://www.jstor.org/journal/bullassotropbiol		bullassotropbiol		fulltext	Now: Biotropica		serial								P	
Bulletin de la Société Royale de Botanique de Belgique / Bulletin van de Koninklijke Belgische Botanische Vereniging	0037-9557		1862	1	2/3	1989	122	2	http://www.jstor.org/journal/bullsocroybotbel		bullsocroybotbel		fulltext	previously: Bulletin de la Société de Botanique de Belgique (1862) continues: Belgian Journal of Botany (1990-2009) Merges with: Systematics and Geography of Plants (1999-2009) to form: Plant Ecology and Evolution		serial								P	
Bulletin de la Société de Botanique de Belgique	0374-6062		1862	1	1	1862	1	1	http://www.jstor.org/journal/bullsocibotabelg		bullsocibotabelg		fulltext	continues: Bulletin de la Société Royale de Botanique de Belgique / Bulletin van de Koninklijke Belgische Botanische Vereniging (1862-1989), Belgian Journal of Botany (1990-2009) Merges with: Systematics and Geography of Plants (1999-2009) to form: Plant Ecology and Evolution		serial								P	
