publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
ASEAN Economic Bulletin	0217-4472	1793-2831	1984	1	1	2012	29	3	https://www.jstor.org/journal/aseaeconbull		aseaeconbull		fulltext	Now: Journal of Southeast Asian Economies		serial								P	11410851X
Academy of Management Learning & Education	1537-260X	1944-9585	2002	1	1	2014			https://www.jstor.org/journal/acadmanaleareduc		acadmanaleareduc		fulltext	Moving Wall: 5 years		serial								P	118194437
Acta Oeconomica	0001-6373		1966	1	1/2	2014			https://www.jstor.org/journal/actaoeco		actaoeco		fulltext	Moving Wall: 5 years		serial								P	
Administrative Theory & Praxis	1084-1806	1949-0461	1993	15	1	2012			https://www.jstor.org/journal/admintheoprax		admintheoprax		fulltext	Moving Wall: 7 years		serial								P	121028518
African Review of Money Finance and Banking	1124-3163		1987		1	2010			https://www.jstor.org/journal/afrirevmonfinban		afrirevmonfinban		fulltext	Ceased (2010)		serial								P	
Annali di Economia	0391-4674		1924	1	1	1938	13	2	https://www.jstor.org/journal/anneconomia		anneconomia		fulltext	Merged with: Giornale degli Economisti e Rivista di Statistica to form Giornale degli Economisti e Annali di Economia		serial								P	
Aula	0866-6865		1990	12	1	1992	14	4	https://www.jstor.org/journal/aula		aula		fulltext	now: Society and Economy. Continues: Társadalom és gazdaság Közép- és Kelet-Európában (1995-2001) previously: Egyetemi Szemle (1979-1986)		serial								P	
British Actuarial Journal	1357-3217	2044-0456	1995	1	1	2014			https://www.jstor.org/journal/britactuj		britactuj		fulltext	Moving wall: 5 years. No issues were published in 2010.		serial								P	146078292
Bulletin de l'Institut de Recherches Économiques	2033-642X		1937	9	1	1940	11	2	https://www.jstor.org/journal/bullinstrechecon		bullinstrechecon		fulltext	now: Journal of Demographic Economics (ISSN: 2054-0892) 2015-present; previously; Recherches Économiques de Louvain / Louvain Economic Review (ISSN: 0770-4518) 1961-2014; Bulletin de l'Institut de recherches économiques et sociales (ISSN: 1373-9719) 1946-1960; Bulletin de l'Institut de recherches économiques (ISSN: 2033-642X) 1937-1940; Bulletin de l'Institut des sciences économiques (ISSN: 2033-6411) 1929-1937		serial								P	
Bulletin de l'Institut de Recherches Économiques et Sociales	1373-9719		1946	12	1	1960	26	8	https://www.jstor.org/journal/bulinsrececosoc		bulinsrececosoc		fulltext	now: Journal of Demographic Economics (ISSN: 2054-0892) 2015-present; previously; Recherches Économiques de Louvain / Louvain Economic Review (ISSN: 0770-4518) 1961-2014; Bulletin de l'Institut de recherches économiques et sociales (ISSN: 1373-9719) 1946-1960; Bulletin de l'Institut de recherches économiques (ISSN: 2033-642X) 1937-1940; Bulletin de l'Institut des sciences économiques (ISSN: 2033-6411) 1929-1937		serial								P	
