publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Academy of Management Perspectives	1558-9080	1943-4529	2006	20	1	2014			http://www.jstor.org/journal/acadmanapers		acadmanapers		fulltext	Previously: he Academy of Management Executive (1993-2005), The Executive (1990-1993), The Academy of Management Executive (1987-1989) Moving Wall: 5 years		serial								P	12840308X
American Economic Journal: Applied Economics	1945-7782	1945-7790	2009	1	1	2017			http://www.jstor.org/journal/aejapplecon		aejapplecon		fulltext	Moving Wall: 2 years		serial								P	133155021
American Economic Journal: Economic Policy	1945-7731	1945-774X	2009	1	1	2017			http://www.jstor.org/journal/aejeconpoli		aejeconpoli		fulltext	Moving Wall: 2 years		serial								P	136634982
American Economic Journal: Macroeconomics	1945-7707	1945-7715	2009	1	1	2017			http://www.jstor.org/journal/aejmacrecon		aejmacrecon		fulltext	Moving Wall: 2 years		serial								P	136189199
American Economic Journal: Microeconomics	1945-7669	1945-7685	2009	1	1	2017			http://www.jstor.org/journal/aejmicrecon		aejmicrecon		fulltext	Moving Wall: 2 years		serial								P	137917783
American Journal of Agricultural Economics	0002-9092	1467-8276	1968	50	1	2014			http://www.jstor.org/journal/amerjagriecon		amerjagriecon		fulltext	Moving wall: 5 years		serial								P	078917638
American Journal of Economics and Sociology	0002-9246	1536-7150	1941	1	1	2014			http://www.jstor.org/journal/amerjeconsoci		amerjeconsoci		fulltext	Moving wall: 5 years		serial								P	153829583
American Marketing Journal	0193-1806		1934	1	1	1936	3	2	http://www.jstor.org/journal/amermarkj		amermarkj		fulltext	Merged with: National Marketing Review to form Journal of Marketing		serial								P	
Annales d'Économie et de Statistique	0769-489X	2272-6497	1986		1	2008		91/92	http://www.jstor.org/journal/annaeconstat		annaeconstat		fulltext	Now: Annals of Economics and Statistics / Annales d'Économie et de Statistique		serial								P	177943068
Annales de l'inséé	0019-0209		1969		1	1985		59/60	http://www.jstor.org/journal/annalesinsee		annalesinsee		fulltext	now: Annals of Economics and Statistics		serial								P	
