publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Administrative Science Quarterly	0001-8392	1930-3815	1956	1	1	2016			http://www.jstor.org/journal/admisciequar		admisciequar		fulltext	Moving Wall: 3 years		serial								P	113724462
American Economic Association Quarterly	1532-5059		1908	9	1	1910	11	4	http://www.jstor.org/journal/amereconassoquar		amereconassoquar		fulltext	Now: The American Economic Review		serial								P	
Brookings Papers on Economic Activity	0007-2303	1533-4465	1970	1970	1	2019			http://www.jstor.org/journal/broopapeeconacti		broopapeeconacti		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	058405313
Brookings Papers on Economic Activity. Microeconomics	1057-8641		1989	1989		1998	1998		http://www.jstor.org/journal/broopapeeconact2		broopapeeconact2		fulltext	Ceased: 1998		serial								P	
Canadian Journal of Economics / Revue Canadienne d'Economique	0008-4085	1540-5982	1968	1	1	2016			http://www.jstor.org/journal/canajeconrevucan		canajeconrevucan		fulltext	Moving Wall: 3 years		serial								P	076871274
Canadian Journal of Political Science / Revue canadienne de science politique	0008-4239	1744-9324	1968	1	1	2014			http://www.jstor.org/journal/canajpoliscierev		canajpoliscierev		fulltext	Moving wall: 5 years		serial								P	119942410
Contributions to Canadian Economics	0383-6258		1928	1		1934	7		https://www.jstor.org/journal/contcanaecon		contcanaecon		fulltext	continued by: The Canadian journal of economics and political science (ISSN: 0315-4890) (1935-1967)		serial								P	
Econometrica	0012-9682	1468-0262	1933	1	1	2017			https://www.jstor.org/journal/econometrica		econometrica		fulltext	Moving Wall: 2 years		serial								P	242275710
Economic History Review	0013-0117	1468-0289	1927	1	1	2014			http://www.jstor.org/journal/econhistrevi		econhistrevi		fulltext	Moving Wall: 5 years		serial								P	081666705
Economica	0013-0427	1468-0335	1921		1	2014			http://www.jstor.org/journal/economica		economica		fulltext	Moving Wall: 5 years		serial								P	058288465
