publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
AMBIO: A Journal of the Human Environment	0044-7447	1654-7209	1972	1	1	2016			http://www.jstor.org/journal/ambio		ambio		fulltext	Moving Wall: 3 years		serial								P	120428458
Abstracta Botanica	0133-6215	2498-4795	1971	1		1998	22		http://www.jstor.org/journal/abstbota		abstbota		fulltext	Merged with: Coenoses to form: Community Ecology		serial								P	191533211
Acta Botánica Venezuélica	0084-5906		1965	1	1	2016			http://www.jstor.org/journal/actabotavene		actabotavene		fulltext	Moving Wall: 3 years		serial								P	
Advances in Horticultural Science	0394-6169	1592-1573	1987	1	1	2016			http://www.jstor.org/journal/advahortscie		advahortscie		fulltext	previously: Rivista di ortoflorofrutticoltura italiana (1948-1986), Rivista della Società Toscana di Orticultura (1939-1947), Bullettino della R. Società Toscana di Orticultura (1901-1938) Moving Wall: 3 years		serial								P	059187980
Allertonia	0735-8032		1975	1	1	2016			http://www.jstor.org/journal/allertonia		allertonia		fulltext	No issues were published in 2011.Moving Wall: 3 years		serial								P	
Ambio Special Report	0301-0325		1972		1	1979		6	http://www.jstor.org/journal/ambispecrepo		ambispecrepo		fulltext	Merged into: Ambio (1979)		serial								P	
American Fern Journal	0002-8444	1938-422X	1910	1	1	2016			http://www.jstor.org/journal/americanfernj		americanfernj		fulltext	Moving Wall: 3 years		serial								P	115213872
Annalen des Naturhistorischen Museums in Wien	0083-6133		1886	1	1	1979		83	http://www.jstor.org/journal/annanatumusewien		annanatumusewien		fulltext	Splits into: Annalen des Naturhistorischen Museums in Wien.Serie A and Annalen des Naturhistorischen Museums in Wien.Serie B		serial								P	
Annalen des Naturhistorischen Museums in Wien. Serie A für Mineralogie und Petrographie, Geologie und Paläontologie, Anthropologie und Prähistorie	0255-0091		1980	84		2019			http://www.jstor.org/journal/annnatmuswiesera		annnatmuswiesera		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR.		serial								P	
Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie	0255-0105		1980	84		2019			http://www.jstor.org/journal/annnatmuswieserb JSTOR		annnatmuswieserb JSTOR		fulltext	Content for this title is released as soon as the latest issues become available to JSTOR. Previously: in part Annalen des Naturhistorischen Museums in Wien , 1886-1979		serial								P	
Annales Botanici Fennici	0003-3847	1797-2442	1964	1	1	2016			http://www.jstor.org/journal/annabotafenn		annabotafenn		fulltext	Moving Wall: 3 years		serial								P	121553329
Annales Zoologici Fennici	0003-455X	1797-2450	1964	1	1	2016			http://www.jstor.org/journal/annazoolfenn		annazoolfenn		fulltext	Moving Wall: 3 years		serial								P	121553337
Annals of Botany	0305-7364	1095-8290	1887	1	1	2014			http://www.jstor.org/journal/annabota		annabota		fulltext	Moving Wall: 5 years		serial								P	040631192
